,mse,rmse,mae,mape
A,0.04462813689722652,0.21125372635110257,0.17265834374340774,0.13652507932600308
AAL,0.028958876867288427,0.1701730791496952,0.1569478822954317,0.14047456189540325
AAP,0.06936695796940405,0.2633760770635861,0.211792577652178,0.3254067208633757
AAPL,0.06549041973557011,0.2559109605616182,0.22367897804405681,0.17230528195456785
ABBV,0.03295503119169902,0.18153520647989752,0.11244614388890878,0.08966627713595665
ABT,0.015613678148370532,0.1249547043867118,0.09547556022505108,0.08610650549056566
ACN,0.004953826351352906,0.07038342383937361,0.048059927081946,0.0435935952033792
ADBE,0.07189097317150818,0.2681249208326376,0.21816165627991005,0.16409569552882278
ADI,0.04918395729676742,0.22177456413386865,0.207298027334068,0.16567478478732348
ADM,0.003742229692074808,0.061173766371499544,0.04877601415100859,0.05355076005916442
ADP,0.0191501104591504,0.13838392413553824,0.12467242293103523,0.10599256024309776
ADSK,0.1409727128100026,0.3754633308460396,0.32045860776640345,0.22542514986103054
AEE,0.01122609801252653,0.10595328221686448,0.08843792274706154,0.0774523611440471
AEP,0.00431715156802532,0.065705034571373,0.05279640549083395,0.049895201654127565
AES,0.011319233791918704,0.10639188781067241,0.10234595722989433,0.11654350557906436
AFL,0.003994386185090273,0.06320115651703118,0.05269091064672312,0.049720989064600346
AIG,0.001835769399060452,0.042845879604233264,0.03507961935952276,0.035063498544779005
AIZ,0.006649959129075626,0.08154728155539966,0.0714671378070801,0.06512274286647987
AJG,0.013366171027116706,0.11561215778246121,0.09836856436476979,0.08533772379411732
AKAM,0.022840873051045537,0.15113197229919795,0.13626088256080626,0.1810433129267567
ALB,0.10578513264332921,0.3252462646108779,0.27156517801435115,0.1959339295799454
ALGN,0.3758420649209172,0.6130595932867515,0.45214642495801555,0.2549521917869509
ALK,0.04012140840876369,0.20030329105824418,0.17738550155075936,0.15274371498125947
ALL,0.04192915217588379,0.20476609137228702,0.17961584793968421,0.14150886711314378
ALLE,0.009471651455503669,0.09732240983197893,0.08459219040930485,0.07785779727422351
AMAT,0.17417297874303095,0.41734036318457257,0.3535407667564655,0.23781670652326115
AMCR,0.006044834403406048,0.0777485331270375,0.06461407287884673,0.06685370383073717
AMD,0.45772406558146433,0.6765530766920392,0.6480450777750734,0.39517740482106917
AME,0.04066694705751077,0.2016604747031772,0.16787908008672667,0.13406498882206908
AMGN,0.00505526424151285,0.07110038144421484,0.05893547586908299,0.06337926756395897
AMP,0.07325161601654481,0.27065035750307964,0.24629005387443223,0.20391029031091754
AMT,0.01686624078039398,0.12987009193957622,0.11254482753521583,0.10089721528738609
AMZN,0.017497458584854516,0.13227795955810068,0.10873010277346738,0.09496132095519465
ANET,0.5267596109920779,0.7257820685247589,0.6161879449703379,0.34148767527123247
ANSS,0.04511372405802572,0.21239991539081582,0.16920151954314788,0.1338347275869584
