,mse,rmse,mae,mape
FTI,0.060928601282719784,0.2468371959059651,0.19567226006507843,0.22089481981813786
PEP,0.0024570912867833807,0.049569055738266594,0.04603756935865883,0.04431331084436996
LYV,0.4026607085457874,0.6345555204596265,0.5392295548605076,0.4505553621708637
CHTR,0.00718243195308054,0.08474922980818493,0.07232033143428544,0.06759271364971484
CMI,0.5001136380577403,0.7071871308626454,0.6076662774631559,0.5886042630478345
INTU,0.03646886087461845,0.19096821954089233,0.1752181728220577,0.16164553003315038
AEP,0.004227917646796035,0.06502243956355401,0.05358489526065215,0.04617365901076812
AMP,0.3955945725517213,0.6289630931554898,0.5646128137140397,0.5299471945299108
CMG,0.02587262685927334,0.1608497027018494,0.1359817847393739,0.12434693825846907
ADSK,0.42378861688688807,0.6509904890909606,0.5680464358056406,0.5184638568581489
JNPR,0.24340912993217223,0.49336510814220763,0.400272752455603,0.40056411098091366
LH,0.09827866152369735,0.3134942767000657,0.27813787814367974,0.2894892206307907
TROW,0.5878001401308074,0.7666812506712339,0.6756837544731663,0.6886762382973176
PM,0.049398400576406175,0.22225750960632618,0.2027709941302661,0.2119419438926666
AMGN,0.01892940434672234,0.1375841718611641,0.09789907322284383,0.07875429600335807
GOOGL,0.18345864693215103,0.4283207290479309,0.35918096622424633,0.35937902983738906
COO,0.06299552898706906,0.25098910133125113,0.22445343019490308,0.20257538742564202
ETN,0.6561219465212222,0.8100135471220357,0.7034923994821188,0.7672702265911595
BSX,0.27922047669323813,0.5284131685463924,0.44074150287848396,0.4284578749743867
MCHP,0.13924693529466667,0.37315805671949076,0.3040513051604332,0.2940393755367148
AJG,0.0021155037951050603,0.045994606152298556,0.04030985036027001,0.04127228638111783
GRMN,0.24234021420470675,0.4922806254614402,0.4457246007043689,0.38555195019402216
PH,0.9717778660089262,0.9857879417039581,0.8703486553314838,0.9192261532198226
ADP,0.2417400984645405,0.4916707215856365,0.44900871079840765,0.42852084657055634
RTX,0.20839195579998612,0.45649967776547895,0.38625435078308035,0.3928163697155173
EL,0.09574655776604678,0.3094294067570934,0.28148917479862995,0.28661738407478604
UNH,0.10772445828850306,0.32821404340537147,0.29754229980704333,0.259201756036239
DOV,0.6218983195687271,0.7886053002413356,0.6765738945068416,0.6636872418783468
PPL,0.0023033856526707467,0.04799360012200321,0.03959444108938692,0.03498170515416302
LEG,0.42916213930209,0.6551046781256337,0.5855293878706285,0.5012593512065576
SCHW,0.11302244873375362,0.33618811509890356,0.29454901112999765,0.2737779834465806
ULTA,0.025759511191669884,0.1604976983999144,0.14804148310615778,0.2003418691428933
CAG,0.15566035766445319,0.3945381574251763,0.36526897185889373,0.371797160289981
BAX,0.17386676994577946,0.41697334440678513,0.35742254158642184,0.33608983568041667
VRSN,0.4095480723448539,0.6399594302335531,0.5790760345549277,0.6350772332124763
VLO,0.35357313105235727,0.5946201569509373,0.49050086147768673,0.4812809372706592
PNW,0.01627861267382987,0.12758766662115062,0.09692073723205516,0.09100990521093752
DXCM,0.026743919969908426,0.16353568408732214,0.14029013124691986,0.1270419749359949
TMO,1.1831833635998374,1.0877423240822421,0.9337082121132251,0.8557975760916928
JNJ,0.028426674740859366,0.1686021196214904,0.14719787769932072,0.13337275051951905
NTAP,0.005818976247449406,0.07628221448967909,0.06729559480276863,0.07226137475954919
OXY,0.19358777284610204,0.43998610528754434,0.3696469216551669,0.38841729184427926
REGN,0.19886421333419735,0.4459419394205902,0.3784426654201505,0.33600760970793336
ESS,0.5842580104737963,0.7643677194085294,0.6832757510167954,0.5826147196897873
KLAC,0.12251518327306617,0.3500216897180319,0.31602281807808846,0.27713902644010685
