,mse,rmse,mae,mape
EL,0.34876338217595526,0.5905619206958364,0.5168456802247385,0.5243555242132358
LLY,0.014174217846054406,0.11905552421477303,0.0966257759817603,0.07580920894334305
RMD,0.6440222068420571,0.8025099418960846,0.6318142468618725,0.6971695327041189
TMO,0.9998327570570268,0.9999163750319457,0.8592299827157186,0.787584677958452
ANSS,0.025544514787422423,0.15982651465705688,0.14695608382537478,0.16817561151768565
FIS,1.0888321638985528,1.043471208945677,0.8876049454603792,0.8289578174942095
HBAN,1.7589411307680922,1.3262507797426897,1.1057551955001703,1.0807730832247142
KO,0.012587464126907326,0.11219386849069483,0.10241193509871421,0.10220172860285599
LNC,0.07029942679319444,0.2651403907238474,0.24028581187438747,0.23720868011687948
UNP,0.057399559364904255,0.2395820514247765,0.2006084690502983,0.15661833851898002
QCOM,0.020405202794700417,0.1428467808342226,0.13195628664205794,0.12646861029035958
VRSN,2.4635667126202723,1.569575328749873,1.3416417058363945,1.453061929667086
RHI,0.5512551800843186,0.7424656086879167,0.6564940208557931,0.5526708792484506
MDT,0.005767457366756968,0.07594377766977994,0.056175590468640055,0.048567377113752
STE,2.749150908428895,1.6580563646718693,1.3954882268991455,1.1855397618050378
ESS,0.9477171633076318,0.9735076596039868,0.8653903462541328,0.7371130893789625
TYL,1.4269420181970665,1.194546783594961,1.0390111281310315,1.1571758391386762
GOOGL,0.05314626856523169,0.23053474481134442,0.18959224359312232,0.18564668164182396
GLW,0.13922246500833158,0.3731252671802482,0.33131289798228847,0.2833676155813909
CHD,0.04067731942835655,0.20168619047509562,0.16368523567703447,0.15139023542337335
KMB,0.11866270456460465,0.3444745339856121,0.2966037256591021,0.2834710156005351
ES,0.09584946970481967,0.3095956551775552,0.2626983276498061,0.23696541049559902
STX,12.865802521180083,3.5868931572016587,2.921299584318545,2.7329482862206214
XYL,0.21500999621658876,0.4636917038470591,0.38272384895133926,0.35799653609062165
RL,0.10320927436584205,0.3212620026798097,0.3010417450118213,0.3278426263652087
AXP,0.07565738808178471,0.2750588811178158,0.24140998952378864,0.24001098747502092
XEL,0.011982469987998994,0.10946446906644637,0.09461710527881519,0.08293006998730872
HAS,0.020682422516124514,0.14381384674684325,0.11976679701963303,0.1197456679383696
LRCX,1.079012320265984,1.0387551782138003,0.9033825567044531,0.6940945470324529
SCHW,0.9979712291208607,0.9989850995489676,0.8365782309068454,0.7717381852903908
AAPL,0.3108366980056105,0.5575273069595879,0.4463647559458578,0.3542911154744793
MDLZ,0.002755623035512736,0.052494028570045335,0.039526237721427555,0.039085317618233396
MRO,0.12776395093454618,0.35744083557219114,0.3073272585993863,0.3186231604531542
XRAY,0.04799151922451348,0.21906966751358684,0.20204022594575496,0.20746428817568424
CB,0.09319763026681796,0.30528286926524056,0.28315621974088273,0.27284438005585376
HON,0.3270651320628237,0.5718960850214169,0.49623026263504383,0.4721405810290525
APA,0.02161883537129057,0.1470334498380915,0.11035465050330524,0.11493141579496745
PCAR,0.8693309061518134,0.9323791643702756,0.7780435009443768,0.7191105305166506
WDC,0.9145350851372411,0.9563132777166911,0.8115016849061782,0.6980074220608545
ISRG,0.5227711542195238,0.7230291517079541,0.5801755202730204,0.5062744188172421
BDX,0.08401482962483951,0.2898531173281383,0.2572991986739747,0.2320855140318873
NVR,0.371223374328752,0.6092810306654491,0.5225026195737547,0.46401051274663
PH,0.3789865838127905,0.6156188624569511,0.5582234257902459,0.5874161971547565
RTX,0.27747769712252857,0.5267615182627985,0.4513718588989947,0.4581431315408834
INTU,0.00483865707312657,0.06956045624581951,0.05952476784300383,0.055226650049710904
JPM,0.6018547144110601,0.7757929584696294,0.6682497305716062,0.6501773672764989
LH,0.18403615543321994,0.42899435361461336,0.3783940834192746,0.39396028021995144
BKNG,0.06376587237368346,0.2525190534864319,0.22658150181962083,0.22609664568627033
BLK,3.5524572235719356,1.8847963347725227,1.5804740508566069,1.5184821773485133
KMX,1.5861893776698959,1.2594401048362307,1.0717580283968728,1.0900290833699429
NEM,0.2129093784601245,0.4614210424981987,0.4127981281656663,0.49969800114404583
DRI,0.4582233147450815,0.676921941397294,0.6125223818647807,0.6422248267199765
MKTX,0.9142388466609518,0.9561583794858213,0.837337779196527,0.9798445144798209
