,mse,rmse,mae,mape
FTI,0.08748757524445593,0.29578298673935915,0.24042610437023793,0.269629725212233
PEP,0.00839173008198083,0.09160638668772407,0.08320677894912953,0.07870150669642093
LYV,0.3115095646496466,0.5581304190327262,0.4720521909235688,0.3944213624895025
CHTR,0.02702746362940328,0.16440031517428208,0.1397449017822895,0.1339995796198094
CMI,0.6426103330944387,0.8016297980330065,0.6899142048639104,0.6690029613372602
INTU,0.011721310729939614,0.10826500233196143,0.09885559514640446,0.09250119080387245
AEP,0.009399932884531585,0.09695325102610837,0.08407300945307536,0.07241205975887692
AMP,0.4121661893653617,0.6420017051109457,0.5761433888258526,0.5407626069444819
CMG,0.012917375743809457,0.11365463362225693,0.0877210456345576,0.08260658630524621
ADSK,0.422891620578525,0.6503011768238813,0.5673027740958329,0.5178746880189394
JNPR,0.6821473749285032,0.8259221361172633,0.6658215874155123,0.6678115578304219
LH,0.13016304833140122,0.3607811640474059,0.315997181377135,0.3282655352679343
TROW,0.46709335035765603,0.6834422801946453,0.6024680904312287,0.6143684142610111
PM,0.042627467690097405,0.2064642043795907,0.18866516282960896,0.19734605851750153
AMGN,0.0179844835125839,0.13410623964821286,0.09220229179824563,0.07355247299436345
GOOGL,0.08084762725157078,0.28433717177247647,0.23869344339065107,0.2395292212787415
COO,0.015433719475338194,0.12423252181026591,0.10978769156631542,0.10098296580374709
ETN,0.5805062384333564,0.7619095999089107,0.6604679661408032,0.7196149452020829
BSX,0.4156992729826562,0.644747448992748,0.5362106044927006,0.5216856970269383
MCHP,0.25166199681494567,0.501659243725206,0.41707930002719945,0.4028837979153223
AJG,0.014490186297979778,0.12037518971108531,0.10352717231777986,0.10514081816484247
GRMN,0.17055698110950596,0.41298544902878354,0.3727641634556062,0.3211945542029885
PH,0.777517974147763,0.8817697965726445,0.7785720204671926,0.8220187970175289
ADP,0.20050274230075296,0.4477753256944301,0.4102237362291921,0.39195583628701886
RTX,0.24394825494293332,0.4939111812289061,0.41707255431726864,0.4251683980491586
EL,0.06849878943519071,0.2617227338906399,0.236813643452628,0.24190429239281816
UNH,0.21631643385619279,0.4650983055830163,0.416201521205504,0.36146697466881006
DOV,0.4998501777070396,0.7070008328899193,0.6043500285126435,0.5931734068380601
PPL,0.0026041622646200686,0.05103099317689269,0.042086516389287766,0.03730419918755831
LEG,0.2807323731609332,0.5298418378732782,0.4746229231484617,0.40682280777773977
SCHW,0.23337100521246246,0.48308488406538086,0.4240628468674734,0.39343000945125584
ULTA,0.9817114471129069,0.990813527921832,0.8370563547748483,1.0313904228082154
CAG,0.15476699066690175,0.3934043602540543,0.3644333078815281,0.37096549618702285
BAX,0.19536093876779573,0.4419965370540766,0.37708277600421447,0.35547628070463244
VRSN,0.29843026705681813,0.5462877145395255,0.4954643994339945,0.5450256734703989
VLO,0.2614417680675667,0.5113137667495045,0.4163355913085946,0.4095253290752912
PNW,0.02641627594311475,0.1625308461280958,0.12876638414648506,0.12170363144801738
DXCM,0.061782815419688594,0.24856149223016946,0.2164743576000193,0.19230728781132145
TMO,0.9952205158527619,0.9976073956485898,0.8541414562448147,0.7828604040123033
JNJ,0.033845745465598424,0.18397213230703835,0.1602652289705487,0.1452817470231449
NTAP,0.010421511559574362,0.10208580488772355,0.09198228975107119,0.10164836473899236
OXY,0.17980632868426774,0.4240357634495795,0.35425783559121127,0.37284947794873796
REGN,0.09831209230478331,0.3135475917700267,0.2617351771015549,0.23118998878166988
ESS,0.4629815669680989,0.680427488398359,0.6085253503364833,0.5187140238123757
KLAC,0.05947737570198338,0.24387983865416873,0.2205490415374673,0.19507442326099705
VFC,0.3971299733141959,0.6301824920720949,0.5654952759695356,0.534070137127481
NOC,0.24250324071360257,0.49244618052494077,0.4306165382983944,0.3795560379348485
REG,0.13884711741579467,0.37262194972356993,0.3261594830311202,0.29557856872981764
SWKS,0.4984952619848654,0.7060419689967908,0.5965427986370864,0.3179206982756186
LHX,0.5118737633976697,0.7154535368545393,0.6104557820874233,0.5985222964632781
MNST,0.3862401493934007,0.6214822196920847,0.5636545319110361,0.47231076312735193
PEG,0.06094758341325033,0.24687564362093384,0.22271372499831643,0.19009561438120426
SBAC,0.0019136630587622391,0.04374543471909085,0.035398057439346146,0.03234771774796117
EMN,0.5683011995157419,0.7538575459035626,0.6347888287765003,0.6317820582842937
AIG,0.08341746318747671,0.28882081501767964,0.2548522134328707,0.2492543802789465
MDLZ,0.025194475671332896,0.1587276777103883,0.13458385483640864,0.13149273904937359
NFLX,0.06440007433874304,0.25377169727679055,0.19528468674839428,0.20100950059814285
EXC,0.15425240885984623,0.39274980440459323,0.3564698492164475,0.3009311850364833
CTAS,0.6595749858122176,0.8121422201881994,0.7287852821120878,0.6414271080404724
DTE,0.01591199998149729,0.1261427761764315,0.11264040538125725,0.09818965371237233
ADBE,0.1454442981129635,0.3813716010834623,0.3211737537375621,0.2796226723502141
IT,0.4771813641811394,0.6907831527919158,0.6180028625406245,0.5853584511444013
MAS,0.12362473572625712,0.3516030940225884,0.3136552647327873,0.3130635366125128
CBOE,0.05807590001671652,0.24098941888953654,0.21146419739594835,0.20640461093728507
EBAY,0.2380250549542304,0.4878781148547559,0.42381483746110826,0.44408275689634863
GE,0.3748945090569183,0.6122862966430968,0.5456005560093348,0.577458635967633
STX,1.2895632731425721,1.1355893946064186,1.0073062797258396,0.9511743181338534
CBRE,0.07949108150405125,0.2819416278311013,0.24218326554576905,0.2085031904070737
CI,0.08938278302090444,0.29896953527224884,0.2711444462136961,0.2630606359846214
CRM,0.2103992911094811,0.45869302491915126,0.3930953367130152,0.3971660639219874
NSC,0.03026430794415157,0.17396639889401508,0.1498665869000784,0.1316395060696577
INTC,0.0967328740017199,0.311019089449056,0.28681132523831604,0.23605038494298727
LDOS,1.1465202783919957,1.0707568717463343,0.9465590191704916,1.1818151297415131
PAYX,0.5468638496013912,0.7395024338035617,0.668306676641336,0.6877301502042135
ALK,0.1502951801033501,0.3876792232030885,0.3472178229036085,0.2732435166365418
SO,0.0027920649951087622,0.05283999427619918,0.04102211171372001,0.03687666961917707
BKR,0.06909989812692201,0.26286859479010044,0.17640248579786155,0.17390196924824053
DD,1.290776212623025,1.136123326326427,0.9720416983967838,0.8583389882024416
CB,0.1178925627868234,0.34335486422478917,0.3108395941296451,0.2998737722138316
NEM,0.07969462836452793,0.2823023704550281,0.2567177342566321,0.3063589505973448
CVS,0.3352983145746676,0.5790494923360762,0.5181821613550941,0.45430327779063406
BWA,0.1312476363324618,0.3622811564689251,0.2838929025745137,0.2736444760050138
AIZ,0.15926476538832995,0.3990798985019541,0.3482632488553079,0.34674817279413367
WM,0.04078682184375423,0.20195747533516611,0.19160009827098365,0.18902335632809383
AAL,0.1103043700377617,0.3321210171575441,0.3076835531847446,0.2039600086670275
GM,0.08777143793933366,0.2962624477373629,0.2724604246955936,0.3298716545066599
NEE,0.01147997831126246,0.10714466067547398,0.07946798949547365,0.07021120010718956
FTNT,0.17904298171938846,0.4231347087150716,0.3514800288724641,0.3033744898668104
