,mse,rmse,mae,mape
A,0.10174517568171462,0.31897519602896185,0.28252030849050885,0.25705813913627096
AAL,0.060870067507057056,0.24671859984009525,0.21483226378346193,0.21362291859158647
AAP,0.007631788987556753,0.08736011096350985,0.0705349699502897,0.07063597880548297
AAPL,0.0637365522156953,0.252460991473327,0.1996178038588349,0.1683656625960929
ABBV,0.005243337808470893,0.07241089564748453,0.06226597250120114,0.060349815289033916
ABT,0.013845538899074883,0.11766706803126728,0.10238510880229164,0.10344544035611712
ACN,0.15375627358930233,0.39211767824124216,0.3478919692425377,0.3433401624520534
ADBE,0.05714209157985434,0.23904412057160984,0.21974627064528557,0.19315715099198205
ADI,0.5429049868563807,0.7368208648351244,0.6460832520291988,0.5172260357426965
ADM,0.24725851974766913,0.4972509625407166,0.42900408880949037,0.398894575938021
ADP,2.6664443951989396,1.632925103977197,1.2725856094234151,1.142404193792942
ADSK,0.023884058309044262,0.15454468062357973,0.12482528395904649,0.09565158327517193
AEE,0.013554508616847712,0.1164238318251367,0.10320123329313916,0.09656182637366138
AEP,0.0037211248251058124,0.06100102314802443,0.05020841853540354,0.04905878726253295
AES,0.00990681800407651,0.09953299957339028,0.09156446777571767,0.0875203479760601
AFL,0.10340181985041406,0.32156153353660644,0.2737730707622425,0.2612034606238701
AIG,0.0473724696976952,0.2176521759544232,0.18970316757823244,0.17607948024534179
AIZ,0.19459746700143854,0.441132028990685,0.39521586693892136,0.3699488317818762
AJG,0.09990231920333793,0.31607328138160923,0.2796043542958388,0.24733576513781683
AKAM,0.031026269950868133,0.17614275446599595,0.14088821853755745,0.12453216650969441
ALB,0.28107031050981274,0.5301606459459366,0.4658342892859591,0.3833214184234631
ALGN,0.03962376489956437,0.1990571900222757,0.1601868923540055,0.1284787373722363
ALK,0.3092552652663912,0.5561072425947995,0.45961642740244285,0.434704857581555
ALL,0.01936292202145348,0.13915071692755837,0.10402735842161252,0.08890345524917026
ALLE,0.03357015041406659,0.1832215882860603,0.15675049700403748,0.15199961718241173
AMAT,0.006713407835307198,0.08193538817450734,0.069157711586521,0.0504454200914597
AMCR,0.4025475734457066,0.6344663690422894,0.5547479599236379,0.5721747028506622
AMD,0.1488748576938217,0.3858430480050427,0.29961980582366965,0.1197348540625666
AME,0.008749855606687834,0.0935406628514457,0.0655706688473293,0.06342219879929684
AMGN,0.008223578084913597,0.09068394612561585,0.07632596270211084,0.073923300628838
AMP,0.06461735323829416,0.2541994359519591,0.23625748386749443,0.20956367034361698
AMT,8.171077507250274,2.858509665411379,2.1980679619927415,2.0105276580051674
AMZN,0.12279603399486076,0.35042265051628835,0.300611310473845,0.26057843370402356
ANET,0.22362065824888916,0.47288545996772746,0.3496150593103308,0.22213371050678363
ANSS,0.019483324659756572,0.1395826803717301,0.1036613377069906,0.0914001854603134
AON,0.04478165737644941,0.21161677007375718,0.18473816395695566,0.16922117370426346
AOS,0.046250517857019974,0.215059335665811,0.17017580832430904,0.13950672209738757
APA,0.7473170416376483,0.8644750092614871,0.7450933482835912,0.7787297496953467
APD,4.594981720779899,2.1435908473353535,1.662682505042192,1.599292302403273
APH,0.027720815510454643,0.16649569216785953,0.14468943429827483,0.12426923675905602
APTV,0.18282676432135198,0.427582464936709,0.3504728774094905,0.3589517751672618
ARE,0.158741432021642,0.3984236840621325,0.3309341935041782,0.2823493866973675
ATO,0.006659640596772861,0.08160662103513942,0.0677411436245724,0.0636211109351415
AVB,0.002038680931893908,0.04515175447193506,0.036999291618562975,0.03910707138968026
AVGO,0.15773582402411226,0.3971596958707067,0.34974233881497546,0.2839120844095348
AVY,0.08492492449164984,0.29141881286500676,0.25361917993505256,0.2485705065619696
AWK,0.0032227120137016635,0.05676893528772284,0.04330177569148229,0.04108680093378632
AXP,0.060845846556955865,0.24666950877024882,0.2257128430376321,0.20501707848908332
AZO,0.0022832668797656466,0.04778354193407649,0.038727527706628066,0.04149002931078209
BA,0.0643779239997407,0.2537280512669829,0.19553188552907133,0.15473508395869234
BAC,0.18166284605062383,0.42621924645729437,0.33808507406079696,0.22871464909081535
BAX,0.02536801818603229,0.15927340702713774,0.1321376844315213,0.12432880385939621
BBY,0.13365290611518016,0.3655857028320174,0.3079125403545043,0.22591062724174102
BDX,0.044827943824493136,0.2117261056754531,0.17767088999465327,0.1667576710786568
BEN,0.01055120611605537,0.10271906403416733,0.08520530602418037,0.08614195899307099
BIIB,0.008236460698836368,0.0907549486189947,0.07665639531065001,0.07514826817930637
BIO,0.0039677737527441595,0.06299026712710591,0.056269929834503477,0.049963587372164595
BK,0.12274108554360341,0.350344238633381,0.31650290561255834,0.2901186815463197
BKNG,0.04813172833417327,0.2193894444456553,0.1819556388298542,0.15074474269812313
