,mse,rmse,mae,mape
A,0.007348887799733206,0.08572565426832977,0.06914766452979058,0.07163934338503626
AAL,0.008288683863482544,0.09104220924100284,0.07167600112780051,0.10137290761269928
AAP,0.009009991188087704,0.09492097338358738,0.08313937408469094,0.0876188056129157
AAPL,0.018295848658007277,0.13526214791288535,0.11949276654340474,0.15483219118098826
ABBV,0.019631987790284095,0.14011419553451426,0.1270931844668802,0.15464697852169854
ABT,0.02914390138636,0.1707158498393163,0.15848824294977712,0.19809578691389793
ACN,0.011016826175130074,0.10496106980747706,0.08423599590580699,0.07657929621496837
ADBE,0.01767756967894085,0.13295702192415731,0.11543284989106758,0.10441006351638084
ADI,0.002157731442308595,0.04645138794813988,0.03631051521719866,0.04437767737774995
ADM,0.022988604926264648,0.1516199357810992,0.1276750129867151,0.18132154204778556
ADP,0.00959348641736791,0.09794634458400124,0.08277898944544052,0.0809879103412105
ADSK,0.011851014466376996,0.10886236478405655,0.095367770920764,0.10302985071738319
AEE,0.047204596720506135,0.2172661886270069,0.18977918732701077,0.16182813980174815
AEP,0.024692033593944517,0.15713698989717384,0.1252866901023597,0.10830325523027633
AES,0.02410653383744765,0.15526278960989864,0.13207613195864226,0.17997320697641095
AFL,0.008533492744098209,0.09237690590238563,0.07253484091164504,0.06960751487381567
AIG,0.010433374526275976,0.10214389128222978,0.08742692386276821,0.10152702666143834
AIZ,0.01850173750613667,0.13602109213697952,0.11932061276804606,0.10450536047806779
AJG,0.00848723284375591,0.09212617892735979,0.07633283967479321,0.08922934933118445
AKAM,0.0441425839837889,0.2101013659731628,0.18315316960715997,0.27141932223378284
ALB,0.07063183957581622,0.26576651327023165,0.18703587041796688,0.16931183965942315
ALGN,0.028897722383798195,0.1699933009968281,0.1342664330844381,0.12121265523836916
ALK,0.009114845740305511,0.0954717012538559,0.08471608659118955,0.08724879200657387
ALL,0.006154639233547378,0.0784515088035111,0.06228607316477147,0.07107643857617511
ALLE,0.00568988896034368,0.07543135263498647,0.06344551786148762,0.06054292032559567
AMAT,0.03539692497792383,0.18814070526582977,0.1388229217253468,0.1325186031046535
AMCR,0.010859884446925545,0.10421076934235514,0.09446521104492356,0.09748555369867232
AMD,0.3837252054999501,0.6194555718531799,0.44410276927826225,0.3365985423970961
AME,0.005472032711148988,0.0739731891373421,0.06315968231332647,0.07214299026672963
AMGN,0.0032949530746934123,0.05740168181067008,0.04666464234904784,0.05029719660787501
AMP,0.03088415946973725,0.17573889572242465,0.15575939963936425,0.20915717638528053
AMT,0.008254408582706698,0.0908537758307639,0.07059081033811321,0.06634032272073793
AMZN,0.04009792695646895,0.2002446677354205,0.15875175150744616,0.1324021020717733
ANET,0.03798343239828475,0.1948933872615609,0.18108962164163314,0.24285244082260812
ANSS,0.0018713570777820425,0.04325918489502596,0.03534309725197067,0.037792936187089655
AON,0.005757464705310173,0.07587795928535619,0.06702288242009585,0.07248588131946908
AOS,0.014277080475307399,0.1194867376544669,0.09604732750512081,0.08994629874853166
APA,0.011646628535537754,0.10791954658697261,0.0888263707324813,0.12344967339232477
APD,0.0075954674913078744,0.08715197927361074,0.07693617555540777,0.08156752680834543
APH,0.0036553537195214694,0.06045952133056852,0.04938895602656051,0.054083934304414286
APTV,0.007017804282851914,0.08377233602360575,0.07060293014101808,0.08753014116126392
ARE,0.007210886566873514,0.08491693922223949,0.06352004345458011,0.06662572089849593
ATO,0.08560610448751209,0.2925852089349564,0.24904361783113124,0.1900079777153067
AVB,0.005995853324476633,0.0774328956224461,0.06706608004202265,0.062030056170715574
AVGO,0.018164300206651822,0.13477499844797558,0.10383339186587924,0.10248151603018184
AVY,0.023884029728979256,0.15454458815817285,0.1211885131610212,0.10686145376683906
AWK,0.10205277717772802,0.3194570036448223,0.2617581978081817,0.20020157382672027
AXP,0.017680181159511255,0.13296684233112877,0.10702616716985515,0.14137560790898443
AZO,0.016612328952855946,0.128888824002921,0.12183178000921632,0.11056787000180461
BA,0.005589534239849462,0.07476318773199456,0.06202612493694955,0.07083396733656602
BAC,0.02782119978019699,0.1667968818059768,0.14003276999362785,0.18309545776127828
BAX,0.013067255813491597,0.11431209828137875,0.08669589274567469,0.08071365416627423
BBY,0.005357708324260883,0.07319636824502213,0.05663312545798184,0.06281787177844707
BDX,0.008950863134453781,0.09460900133948028,0.07369571765595896,0.06825267646149262
BEN,0.02980243892924874,0.17263382904068583,0.16165748640010857,0.23152136114932664
BIIB,0.009054659098806582,0.09515597248100921,0.08238562036961912,0.13037948715903097
BIO,0.005010634917106356,0.07078583839375187,0.060477972279968796,0.0679457328256478
BK,0.009162103417749586,0.09571887701884925,0.07856327109716024,0.09229626964099717
BKNG,0.008273071287643513,0.09095642521363465,0.08251637497224829,0.08170602825702789
BKR,0.0241075428699424,0.15526603901028196,0.13916996309432503,0.21108992189376619
BLK,0.0038289283298500888,0.06187833489881647,0.053437646925899286,0.05960468272548017
BMY,0.006119472987801549,0.07822706045737338,0.06178104236559311,0.0626971122111388
BR,0.01790703632327019,0.13381717499360907,0.10404432903328423,0.0916462379494328
BSX,0.02557111102989437,0.15990969648490477,0.10751336936809665,0.09327966941314603
BWA,0.04702619736076174,0.2168552451769653,0.19796254986794515,0.3470447529563251
BXP,0.0028127610396287937,0.05303546963710978,0.0433175631636626,0.04758717187732963
C,0.03885512961203058,0.19711704546291928,0.1735526814684333,0.23692187452430377
CAG,0.0038546861440989727,0.06208611877142082,0.05383282171887506,0.054739370751043175
CAH,0.0015930322444108543,0.039912808024628564,0.03356631419634776,0.036284101350589425
CAT,0.004621874054809465,0.06798436625290748,0.05367372843777812,0.0680215653225202
CB,0.015461321400538195,0.1243435619585437,0.10556751854045388,0.09398751259578428
CBOE,0.00753846834745951,0.08682435342379181,0.07745065683919661,0.0712242095990211
CBRE,0.03626886958119007,0.19044387514748293,0.16357311341497655,0.22230140394354303
CCI,0.010974590205712112,0.10475967833910198,0.07844968328822532,0.07089468418196657
CCL,0.0025629644109331612,0.05062572874471202,0.03939685642022067,0.04189678045187884
CDNS,0.031858231579199994,0.1784887435644052,0.15574436361245697,0.1369319639608257
CDW,0.0445767627202807,0.21113209779728118,0.20239489405556493,0.18791069558277076
CE,0.007695462322844421,0.08772378424831216,0.07390405597082582,0.07834412587484559
CF,0.1168974365448548,0.3419026711578235,0.3016401136924275,0.6108171803469435
CFG,0.014491293499511131,0.1203797885839277,0.09956549244658083,0.12985291641102198
CHD,0.011208442636732836,0.10586993263780248,0.08033040193323175,0.07179346861960906
CHRW,0.012859234457391783,0.11339856461786359,0.098606584747685,0.08898893736847387
CHTR,0.014677941685583552,0.12115255542324954,0.08460132551546581,0.07645151296841066
CI,0.0038957446312360973,0.06241590046803857,0.05375236625449194,0.06801350760036094
CINF,0.05291657103978228,0.23003602117881947,0.18862263605234053,0.15079739954281354
CL,0.003440434462228817,0.058655216837284106,0.04629478384492864,0.045578848799816565
CLX,0.025351648251558986,0.15922200931893488,0.14371868361906817,0.12257937332057825
CMA,0.015341895491832588,0.12386240548218248,0.0991296327491774,0.13573053435305854
CMCSA,0.0030595523485226314,0.05531322037743447,0.043523534207195125,0.047504575385408095
CME,0.001941030101139563,0.04405712316004715,0.03484083755967527,0.0356882925358823
CMG,0.09424884959890117,0.3069997550469726,0.26217249157553535,0.4153703562546489
CMI,0.017710524168564598,0.13308089332644488,0.1065184967229295,0.15251368549221686
CMS,0.04524828805914451,0.21271644990255106,0.17639971648979239,0.14625340606356238
CNC,0.011247214953969062,0.10605288753244327,0.09367455635157927,0.12821215034306468
CNP,0.023410967008740024,0.1530064279981074,0.10865308773762596,0.10078548438341044
COF,0.00827579919715164,0.09097141967206866,0.07471211449617314,0.10011762423865335
COO,0.01875742959842433,0.13695776574705185,0.11787498260942945,0.15251478451671469
COP,0.013904858447786522,0.11791886383351276,0.09719439380305507,0.15633689879653057
COST,0.006390344836045251,0.07993963244877507,0.06652459885295312,0.061739115388510304
CPB,0.05356199853900782,0.2314346528482885,0.18747367669655313,0.14716522027550846
CPRT,0.03356022937123491,0.18319451239388942,0.1293649605224291,0.10775305827975801
CRM,0.0059931914884928965,0.07741570569653743,0.06343254858323942,0.06477964432155979
CSCO,0.004248023122516018,0.06517686033030448,0.049091893139870564,0.05486752927803666
CSX,0.012535688265622378,0.11196288789425886,0.10079809746494875,0.14342282412879506
CTAS,0.008605300218504178,0.09276475741629564,0.07517159845243195,0.0702863010765547
CTLT,0.031408904761973666,0.17722557592507257,0.16059339407074327,0.20488485044850252
CTSH,0.0028709118198352226,0.05358089043525894,0.04208715463044674,0.044823803364970626
CVS,0.009598305783004748,0.09797094356494046,0.09084011855831688,0.1028544505057319
CVX,0.009717557861585898,0.09857767425530944,0.07914264508181931,0.09005951160568484
D,0.005272215714447208,0.07261002488945455,0.05634957787964781,0.05360791091354528
