,mse,rmse,mae,mape
A,0.0024633090802698206,0.049631734608714013,0.03888946545023787,0.04284903394010604
AAL,0.007380590427832659,0.08591036274997714,0.07765389321006742,0.0950974788172631
AAP,0.017878669557702603,0.13371114223467917,0.09471162903331494,0.08726850467077059
AAPL,0.014055041532391007,0.1185539604247408,0.1058392029559866,0.10170545621881982
ABBV,0.005108008725291112,0.0714703345821965,0.06161636431944193,0.06953073727207909
ABT,0.007368098077657257,0.08583762623498659,0.07195208439370827,0.06900791557580602
ACN,0.03206787026615439,0.17907504087994616,0.16309965539264693,0.14688562941425592
ADBE,0.027925527509981115,0.16710932801606593,0.14619621342003583,0.13016723511820383
ADI,0.02689158792380521,0.1639865479964903,0.1472386720879197,0.135547107173252
ADM,0.01565790093506538,0.125131534534926,0.08596129886113005,0.11403608100173937
ADP,0.003340329568130284,0.057795584330727935,0.04779580918759097,0.04745797735545771
ADSK,0.007615455459475589,0.0872665769895645,0.0704085242498515,0.08285813521070239
AEE,0.002680852124965244,0.05177694588294335,0.041737157073127654,0.047425698090053654
AEP,0.0016647253564067012,0.040801046020987025,0.03193042228184149,0.03477286599631587
AES,0.020518783416773455,0.14324379015082453,0.10205747237166493,0.1389513512414271
AFL,0.0055853371883423965,0.07473511348986095,0.06515414910046914,0.06351409930419195
AIG,0.014655181677421225,0.12105858778881086,0.10816262838709478,0.10064492950906645
AIZ,0.023483329738056436,0.15324271512230667,0.12226881595159873,0.10933295905908345
AJG,0.003236608923325549,0.05689120251256383,0.04407918972871053,0.0480978767178521
AKAM,0.030675474699208345,0.1751441540537632,0.16074647508354414,0.15107146645536673
ALB,0.012302075856015853,0.11091472335094134,0.08909980435084555,0.11020806479543255
ALGN,0.010971325927426178,0.1047440973393068,0.08756882828170026,0.08862860972110388
ALK,0.08903558608216405,0.29838831425202306,0.274176954204411,0.22614542572643234
ALL,0.003967985187042953,0.06299194541402062,0.05353384073839102,0.05854608479713469
ALLE,0.025618169751942702,0.16005677040332503,0.15212523887698684,0.1371373491091465
AMAT,0.03182714998979627,0.17840165355118284,0.15651207811985612,0.22431430565262722
AMCR,0.0021176188910894535,0.046017593277891594,0.035603448948419915,0.04031873160877589
AMD,0.03132892525422643,0.17699978885362105,0.1527376518707361,0.2081691013248678
AME,0.004841460323344456,0.06958060306827224,0.06072213240038832,0.06047914928043266
AMGN,0.0014873276476552381,0.03856588709799423,0.030186567569728158,0.032145221785413264
AMP,0.007236522333774102,0.08506775143245589,0.06266677631491045,0.07467737548212837
AMT,0.0013438037671107345,0.0366579291165054,0.029658267708497717,0.032638091144472865
AMZN,0.40132866312178583,0.633505061638647,0.5504756613052743,0.34913064426679546
ANET,0.006362673067170709,0.07976636551310777,0.063011873924298,0.07455977650319162
ANSS,0.01615145774378847,0.12708838555819515,0.11977383756746603,0.11161051439488434
AON,0.006761093193565827,0.08222586693714957,0.0716749299882073,0.07031993602179412
AOS,0.09197767105914381,0.30327820735942074,0.2860199570928379,0.22809409039740966
APA,0.0412055877792394,0.20299159534138206,0.1657641383445595,0.27648918436675035
APD,0.004755314560046306,0.06895878885280908,0.05762015328264933,0.05896513788238929
APH,0.007009137918857178,0.08372059435322457,0.07318596726736776,0.07243182492174687
APTV,0.029088713589106037,0.17055413682788828,0.15665001626487787,0.13961992132333004
ARE,0.0092830172951275,0.09634841615266698,0.08814887946801596,0.08953624362329153
ATO,0.01008815447801199,0.10043980524678445,0.0745569501295194,0.07092862029126525
AVB,0.009841600847687466,0.09920484286408333,0.08864612687359749,0.08897319821942289
AVGO,0.12205655255932821,0.3493659293052604,0.33518862367427094,0.26951393015770614
AVY,0.05088837626657619,0.22558452133640772,0.2082635945105407,0.18169701141690842
