,mse,rmse,mae,mape
A,0.028826499889096507,0.16978368557990636,0.14776474083140279,0.12882265000752527
AAL,0.02636990685487238,0.1623881364351238,0.13422710855253298,0.18135968523714077
AAP,0.029789924152929134,0.17259757864155897,0.16650637406947996,0.21999552043809026
AAPL,0.012888850522506753,0.11352907346801855,0.09742859631927588,0.11834037452423554
ABBV,0.0046010826469552795,0.06783128074093309,0.05829306442014523,0.05938927569987844
ABT,0.006946319909509728,0.08334458536407587,0.06786332395564178,0.07823899113235941
ACN,0.006808653399342789,0.08251456477097113,0.07308428522701219,0.06931184459602018
ADBE,0.010933183105773266,0.10456186257796514,0.09178093531370456,0.08569628112857443
ADI,0.004492588634744397,0.06702677550609455,0.05381854588550903,0.059024060518594774
ADM,0.014068368768337988,0.1186101545751374,0.08937469378909639,0.11461843437232591
ADP,0.0020466703535398025,0.04524014095402226,0.03838637893520812,0.03858192706899208
ADSK,0.015577819046819649,0.12481113350506697,0.1019778806675662,0.10345204511779914
AEE,0.020267013833043572,0.14236226267183158,0.12577635550003946,0.1100139594041615
AEP,0.021592414960875165,0.1469435774740603,0.1307716043337326,0.11505792508164807
AES,0.01566078320280464,0.12514305095691347,0.11342998813606296,0.11896018093484051
AFL,0.012174409293817304,0.11033770567588083,0.09393569583178484,0.08777689773862431
AIG,0.00604037373514573,0.07771984132218573,0.06432267981166727,0.07407210510627263
AIZ,0.004423586014794256,0.06651004446543586,0.05537409519968791,0.05665496019391012
AJG,0.013126251603186959,0.11456985468781462,0.10105366959059763,0.09433280187165169
AKAM,0.044976220824594244,0.2120759788957586,0.20069489570003995,0.2916237411260851
ALB,0.19363154399450253,0.440035843988308,0.376035358216272,0.2643189628936396
ALGN,0.06845048624543026,0.2616304383007265,0.21795338936707662,0.17486113568245187
ALK,0.016688151859228346,0.1291826298665124,0.10849141486799642,0.13192591054206243
ALL,0.007509083445754405,0.08665496780770508,0.07879038180040893,0.07389996765861534
ALLE,0.00490285600825331,0.0700203970872296,0.05921683078147396,0.058440686290708636
AMAT,0.19999484812382498,0.4472078354901946,0.37295354753840115,0.26356948136187613
AMCR,0.0291811782777149,0.17082499312956198,0.15150490391703686,0.13397173024039874
AMD,1.8502261735403174,1.3602301913795023,1.0548688049747734,0.4321110768869963
AME,0.018743895257183375,0.13690834619256553,0.1260602670668424,0.15012706609515566
AMGN,0.00476307361265757,0.06901502454290348,0.05579573354392354,0.05559007593824545
AMP,0.02339957406018877,0.15296919317362162,0.13859624888134975,0.17503079181445194
AMT,0.012902730585438964,0.11359018701207849,0.09686909134938783,0.09111233105860567
AMZN,0.02740178852563947,0.16553485592357722,0.14097038247584806,0.130299445014949
ANET,0.013477394538504321,0.11609218121176086,0.09379144579978983,0.09831097285330712
ANSS,0.0030035895202759374,0.05480501364178224,0.04742456917381557,0.05235866263425027
AON,0.01726134624752279,0.13138244269126217,0.11542144556257958,0.10168328857267583
AOS,0.0269721938605912,0.16423213406818776,0.13532780513950055,0.12076994725959125
APA,0.02465335880094671,0.15701388091804722,0.13577973961816334,0.13857567410665156
APD,0.004865514421346422,0.06975323950431565,0.05942077499307209,0.05851568777550632
APH,0.012531300802380015,0.1119432927976483,0.0939149358029342,0.08619965584739776
APTV,0.025132672423083816,0.1585328748969242,0.14745906169098816,0.18557889073306053
ARE,0.019857458980393723,0.14091649648069499,0.11626774771776606,0.10875071733656178
ATO,0.04245831669797879,0.20605415962309226,0.19041275285326384,0.16070039119846063
AVB,0.0018734971441560883,0.0432839132260022,0.03779832615559925,0.038729339774613486
AVGO,0.058751850513977584,0.2423878101596233,0.21390366714719763,0.17524203013158152
AVY,0.02653622593491137,0.1628994350355807,0.14225681595598808,0.12520042170671808
AWK,0.07585693308315195,0.2754213736861247,0.24820853235423138,0.19457498637753382
AXP,0.02844302796320815,0.1686506091397483,0.15715806872569849,0.19654442189660318
AZO,0.001491941657779157,0.0386256606128511,0.030677549946284403,0.03224387973224329
BA,0.006636953259956496,0.08146749818152325,0.07205242092849588,0.08341721822771664
BAC,0.018929085088693523,0.13758301162822947,0.1202933600662403,0.15301984697596463
BAX,0.03870410911255636,0.1967335993483481,0.16707468932249112,0.1405212186578319
BBY,0.0155904477367241,0.12486171445532894,0.11164358152939687,0.13161769946108556
BDX,0.020266536758965736,0.14236058709827568,0.12284758965036005,0.1097969936098644
BEN,0.012622465157468309,0.11234974480375248,0.10113010822939832,0.1192163515359375
BIIB,0.007263359389772809,0.08522534476183015,0.0685403889162918,0.0842019800791269
BIO,0.006206164386973833,0.07877921291161669,0.05996188557660586,0.05719094535431202
BK,0.0056184176873858545,0.07495610507080697,0.05914661310531445,0.0688852202545799
BKNG,0.005508097623026623,0.07421655895436424,0.056255260354735416,0.06669947243614542
BKR,0.0190768926269029,0.13811912476881288,0.12376460673844472,0.15474144952501606
BLK,0.004201989860731233,0.06482275727498202,0.056363496239848675,0.05775969834602428
BMY,0.013447005831875984,0.11596122555352709,0.09573732479684617,0.10303959085547003
BR,0.01453478968325777,0.12056031554063622,0.09794978908233933,0.0901154219348656
BSX,0.0459236392337321,0.21429801500184759,0.17486251702420813,0.14561678324089802
BWA,0.039665195900804674,0.19916123091807972,0.1829269255723023,0.24728824001577016
BXP,0.007408399434929466,0.0860720595485519,0.06975806976719252,0.06686119272725767
C,0.02553772493894511,0.15980527193727093,0.14314432937322388,0.18380273874377684
CAG,0.009621121249513476,0.09808731441686777,0.0844422079611772,0.07720622751667958
CAH,0.005818889050196831,0.07628164294374389,0.05711873682681414,0.064876352547383
CAT,0.018216820049652614,0.13496970048737833,0.11122065357177754,0.10429472570950431
CB,0.011521111357637727,0.10733644002685075,0.0985478429221667,0.09151440765680542
CBOE,0.0022450403245770872,0.047381856491457645,0.04044121422197428,0.04424107575758519
CBRE,0.034165704796067,0.18483967321997463,0.17086863564543628,0.23268734408222888
CCI,0.01169740686395057,0.10815455082404332,0.08924989332773844,0.08177476810329466
CCL,0.006312999462662015,0.0794543860505008,0.06870767587974586,0.07759366548133342
CDNS,0.00912526122322156,0.09552623316776163,0.08404224898691497,0.081092733990668
CDW,0.004147809359086544,0.06440348871828717,0.05310070660441443,0.059908881060977616
CE,0.0025722975206856342,0.050717822515222735,0.0420419395793027,0.0461754427249345
CF,0.14340503821485726,0.3786885768211886,0.36442007650930236,0.7458428467308525
CFG,0.011946878749016428,0.10930177834333908,0.09146496839948783,0.10760068636823396
CHD,0.010477826564429617,0.10236125519174537,0.08857315466062517,0.08100309029078114
CHRW,0.00273374635376845,0.05228524030516117,0.042555447583181964,0.04476633580801166
CHTR,0.04917294554778989,0.22174973629700193,0.17805292369865702,0.14497665485025454
CI,0.0037593780417149903,0.0613137671466612,0.04985082136637916,0.055249809548138004
CINF,0.04198051461862924,0.204891470341323,0.17797788630162012,0.1486390981139647
CL,0.006227825704791591,0.07891657433512678,0.06617822189784808,0.06258413047385847
CLX,0.005932469594449029,0.07702252653898747,0.0718934699289396,0.0693448175527723
CMA,0.012991751015389316,0.11398136257910464,0.08929276567079289,0.10122520080052895
CMCSA,0.0036480954728623904,0.06039946583259152,0.0493730551275975,0.049037393435250896
CME,0.009123254948958616,0.09551573142136648,0.07299362652451842,0.06670016401889649
CMG,0.10677162067840118,0.32675927022565276,0.32020404844536127,0.555439797980697
CMI,0.0182179124468205,0.13497374725042088,0.11461011486874138,0.12722128276187047
CMS,0.03088387428444237,0.17573808433132065,0.1570350279692265,0.13462363826142534
CNC,0.007625895599378838,0.08732637401941545,0.07015559317102134,0.06886233504104072
CNP,0.05120811289339807,0.22629209640064338,0.19452825369160226,0.15871181933390685
COF,0.011924354476933978,0.1091986926521283,0.09657751897326569,0.11541773216560598
COO,0.015758914948774398,0.12553451696156878,0.10910566163261075,0.11097113929700857
COP,0.04045714740968938,0.20113962168028798,0.18765028909666634,0.25742113585855375
COST,0.002750623173937292,0.05244638380229177,0.041418813880544386,0.04319422014853918
CPB,0.03643017321448092,0.19086689921115427,0.1670675549893934,0.13934829219379072
CPRT,0.08505378303781762,0.2916398173052123,0.24594581994401662,0.18757124826571367
CRM,0.00534018654858873,0.07307658002800028,0.05804535149437526,0.06587114209354338
CSCO,0.007320495478152265,0.08555989409853348,0.06739481767330383,0.06730810892011332
CSX,0.008414138936057748,0.09172861568811419,0.07573635588083574,0.08429344451026742
CTAS,0.017065877559286395,0.1306364327409716,0.09294383031539924,0.08121903613288542
CTSH,0.0203967445366018,0.14281717171475494,0.12761276616699868,0.15768788547967905
CVS,0.006432025749903028,0.08019991115894723,0.06142199150816514,0.07091507319669678
CVX,0.01624684410225687,0.12746310878939393,0.11328075040526918,0.10622421985034758
D,0.003266626250221566,0.05715440709360536,0.04766311673307875,0.046689287271715396
DAL,0.023250053437044647,0.15247968204664072,0.12651191080323027,0.1610902846910919
