,mse,rmse,mae,mape
A,0.022476888219541514,0.14992294093814165,0.12319946783216455,0.1100174289417563
AAL,0.031787288352961775,0.17828989975027126,0.1526438247991775,0.1623633586681389
AAP,0.006985468441523446,0.08357911486444114,0.06585899019652496,0.07191688867322142
AAPL,0.05146086687494479,0.2268498773968035,0.17337966681620473,0.1443043731418968
ABBV,0.0035756684215850526,0.05979689307635517,0.04609819684481543,0.04588869390125944
ABT,0.006377754271205996,0.07986084316613491,0.06612560397314508,0.06863721872571575
ACN,0.0021304679186147086,0.04615699208803265,0.032762819005844344,0.03263465957433171
ADBE,0.03630156468293256,0.19052969501611175,0.142907830774394,0.1172086222216839
ADI,0.05936902331993084,0.2436575944228516,0.1951376043677291,0.1494755059870256
ADM,0.01122047894166901,0.10592676215984802,0.09234349348386213,0.08978183961032413
ADP,0.008801926035075193,0.0938185804362611,0.07818117722754932,0.07054145810969444
ADSK,0.10879938012551284,0.3298475104127858,0.2666572496396855,0.1957315452903793
AEE,0.004807950037005456,0.06933938301575415,0.05537713207262947,0.05138790980185019
AEP,0.003389036837019891,0.058215434697508624,0.04645339867437996,0.047098550208980544
AES,0.003006033727497606,0.054827308227721756,0.04115028146890239,0.03909714659071862
AFL,0.005120427495745949,0.07155716243497885,0.06117848476805661,0.058623361646178665
AIG,0.010242026326210777,0.1012028968271698,0.08552307641154511,0.07840542571555216
AIZ,0.012710366386641221,0.11274026071746163,0.09330868132841624,0.08579009655895588
AJG,0.020980227332910842,0.14484552921271282,0.12155490224953605,0.10673405580597677
AKAM,0.017740246197481616,0.13319251554603814,0.11150042674335525,0.10442622422269424
ALB,0.08571971355864799,0.2927792915468032,0.2554323985211944,0.21361890503830835
ALGN,0.11559892531798964,0.33999841958160576,0.27292759669136657,0.19850167143034214
ALK,0.030874584920902358,0.17571165277494363,0.14754811275883714,0.1538979121288791
ALL,0.014793830203821863,0.12162989025655603,0.09364435335812155,0.07986342964319819
ALLE,0.005333338030867076,0.07302970649583002,0.05957581661153233,0.05588102221312175
AMAT,0.24648859960069625,0.49647618230958096,0.4346395718062935,0.3027480083952087
AMCR,0.003779688681205701,0.06147917274334212,0.05079008642820194,0.05249667961645988
AMD,2.122741353423557,1.456963058359256,1.282976966429382,0.585201961093153
AME,0.009197755546898199,0.09590492973199136,0.0789229833788598,0.07962849087556681
AMGN,0.007279746074163966,0.08532142798947967,0.0702390938843203,0.07013571447509624
AMP,0.040260479727296315,0.20065014260472458,0.1581388340928516,0.13160228373517333
AMT,0.01013988331147168,0.10069698759879404,0.08337940755623982,0.07496833974273742
AMZN,0.04840013568252099,0.22000030836914977,0.19937874751770127,0.1734969115418718
ANET,0.261940128997752,0.5118008685003885,0.3898579476496398,0.2534866133003715
ANSS,0.01564921109233109,0.12509680688303396,0.08163376650024606,0.06945414194306258
AON,0.005020362163988108,0.07085451406923986,0.05518347525245045,0.05083287023620374
AOS,0.0435072368536269,0.2085838844532983,0.19496966784083666,0.1632968026692665
APA,0.014343170669545694,0.11976297704025937,0.09929301547668305,0.09986385972658382
APD,0.0029680297153514253,0.054479626608039684,0.043222361601733074,0.04149587598532469
APH,0.01898922681662543,0.1378014035364859,0.11662027690151108,0.09978470780165885
APTV,0.012358310405660699,0.11116793784927693,0.09343176181968231,0.09973507521538193
ARE,0.03221413562675266,0.17948296751155152,0.16722701753866506,0.14440431990542563
ATO,0.003020300344561839,0.054957259252639584,0.044476002475646974,0.04244027780722329
AVB,0.00623135290157129,0.07893891880163605,0.06444832941264497,0.06933408950962264
AVGO,0.06552880945796402,0.25598595558734083,0.19376957813941273,0.15115796407169646
AVY,0.003975274450431122,0.06304977756052056,0.05204183866557049,0.05047721679041074
AWK,0.003824397439544052,0.0618417127798386,0.04867738417058638,0.04771423784422127
AXP,0.02115000544623404,0.145430414447027,0.11365606637147714,0.09785705087108944
AZO,0.012475001414406068,0.11169154585019435,0.09366943466920756,0.10464345976491767
BA,0.054159681832613105,0.23272232774835575,0.17738795995821285,0.13845826312360401
BAC,0.1916856887403353,0.4378192420855156,0.3521744162959204,0.2361345303507636
BAX,0.01668912886240459,0.12918641129160835,0.1044164223498855,0.0935084387674596
BBY,0.11894676132910618,0.34488659198221405,0.28716506527845176,0.20645887115645686
BDX,0.007168960129369877,0.0846697119953167,0.07083309600940099,0.06624804927094992
BEN,0.00896516294289775,0.0946845443718126,0.07956959510009304,0.08500527187730625
BIIB,0.006359419873118793,0.07974597088956152,0.06528306209086296,0.06805959103060458
BIO,0.0618474917566941,0.2486915594802005,0.19718114596459288,0.15194918757505857
BK,0.015422879369544932,0.12418888585354541,0.10236397317638166,0.09280360631967421
BKNG,0.03659074131122904,0.19128706519581778,0.1525121748480672,0.12421270870133835
BKR,0.05340031193983085,0.23108507511267545,0.19497383119135886,0.15694330706612059
BLK,0.004666370131436429,0.06831083465627125,0.05584473691315129,0.05323597405636598
BMY,0.04257379214192762,0.20633417589417324,0.19025267149638989,0.24991557116287744
BR,0.008040135939644078,0.08966680511562837,0.08043200599632548,0.07578316170595847
BSX,0.0194504823003063,0.13946498592946655,0.11776797945635373,0.11050231816596183
BWA,0.0141809623896285,0.11908384604818782,0.09956238890183469,0.10379639434584234
BXP,0.005329964797684582,0.07300660790424783,0.062819723913482,0.06365972611236607
C,0.04908019290905119,0.22154049947820192,0.183580245704441,0.14966592511028354
CAG,0.006314673917538311,0.07946492256044997,0.0657406542531517,0.06060406928636844
CAH,0.010321889398007858,0.10159669973974479,0.08762463125625845,0.10065640922743334
CAT,0.046238915070282896,0.21503235819355862,0.18047505053606028,0.148133022623226
CB,0.004218603186937966,0.06495077510652175,0.05241154459704517,0.049147303504990365
CBOE,0.023532935760377086,0.15340448415993935,0.11693113842754309,0.096447672149007
CBRE,0.010550983327729153,0.10271797957382706,0.0818817147234881,0.07997935536530426
CCI,0.0037267338880423557,0.06104698099040079,0.05201609545523141,0.05026312691842949
CCL,0.015041541783394868,0.12264396350165331,0.10260696266476878,0.09894685127151893
CDNS,0.028601303729355206,0.16911919976559495,0.11927482596069955,0.09846227932824372
CDW,0.05779559954869948,0.24040715369701351,0.1896858801349417,0.14548432166911748
CE,0.032889968233945195,0.18135591590556177,0.14368319053936193,0.12235299122654106
CF,0.038252663208008054,0.19558288066190266,0.1597596951568945,0.21854116705552765
CFG,0.1706630922060291,0.4131138973770177,0.3361465104175429,0.2313282904522303
CHD,0.003429418961198033,0.058561241117295604,0.04660527498784881,0.05087591839836074
CHRW,0.0053475436703182945,0.07312690113985615,0.055720742138554685,0.058272828798004904
CHTR,0.11469419214775395,0.3386653099267091,0.29885337305618226,0.2287378555432937
CI,0.00944043122478172,0.09716188154200041,0.0782177866076947,0.08262334245138947
CINF,0.006675771824655899,0.08170539654549079,0.06955465549644091,0.06369502868132126
CL,0.003283919812729756,0.05730549548454979,0.04395602164890817,0.04567975903916878
CLX,0.005733461608768069,0.0757196249909366,0.06145126059120562,0.06538448319388246
CMA,0.18114105172735556,0.4256066866572418,0.35004467661851324,0.24844621260728847
CMCSA,0.019103280465862092,0.13821461741025112,0.11359749991407762,0.09727472583283502
CME,0.03332677356461689,0.1825562202846479,0.14917548889253582,0.12051021093044756
CMG,0.03251194728897154,0.18031069654618814,0.16117781455960467,0.21083169430579496
CMI,0.057915312093687325,0.2406560036518668,0.20263190994100377,0.16081699204168098
CMS,0.0029443201124210697,0.05426158965991569,0.044554312994328715,0.04299260026266726
CNC,0.00915874452117909,0.0957013297774858,0.07871025443718228,0.077492239628031
CNP,0.031237306000017735,0.17674078759589631,0.14322800030377061,0.12177719378952898
COF,0.022241922802423503,0.1491372616163496,0.1261234418850603,0.11417701797416711
COO,0.020930087960528074,0.14467234691027886,0.12418573940831897,0.10885308667290453
COP,0.009407399599030943,0.09699175015964473,0.07624638738232757,0.07744725775828237
COST,0.005125119075093686,0.07158993696808012,0.05217560455490076,0.04873553081974304
CPB,0.013851928121766936,0.11769421447873696,0.10595393276566197,0.1204545891917776
CPRT,0.04789928816117288,0.21885906003904174,0.19767414538273936,0.1723080746310229
CRM,0.004793749754631607,0.06923691034868329,0.05937803136394321,0.06480067903958397
CSCO,0.013023823687632342,0.11412196847072145,0.09157741565374981,0.08057986635323557
CSX,0.28107762665802366,0.5301675458362419,0.4031325530959516,0.2462654397971427
CTAS,0.06661702370606146,0.2581027386643959,0.23241037222518274,0.1807143560038142
CTSH,0.01110037432093879,0.10535831396211118,0.09002030414595956,0.1022680786917567
CVS,0.043528731001601546,0.20863540208124207,0.1928537764564864,0.2480132488132125
CVX,0.01084125212117063,0.10412133365055708,0.08236104382546125,0.0746392391903868
D,0.0020241489809364405,0.04499054323895679,0.03761907503741856,0.036004372184948556
DAL,0.020729369197153524,0.14397697453813066,0.11235375687051238,0.13711916519904052
DD,0.015622230975787172,0.12498892341238552,0.09571696063522325,0.08300595012496571
DE,0.04906754530332118,0.22151195295812182,0.18032547551106645,0.14555496229218184
DFS,0.03757968950557975,0.19385481553363526,0.14872644145169064,0.12370935671931133
DG,0.02520261908979036,0.15875332780697973,0.14427726180758801,0.17750647049978593
DGX,0.047903405430311984,0.21886846604824547,0.18836313086837708,0.15233658735414934
DHI,0.0055171060256796025,0.07427722413822155,0.06123986168072817,0.06375212023965722
DHR,0.42923262938627454,0.6551584765430991,0.628806177670754,0.3748037902383626
DIS,0.005863513420863863,0.07657358174242512,0.0681408553291706,0.07080630647338244
DLR,0.018211570584377248,0.13495025225755322,0.1129182767560396,0.10216840859034279
DLTR,0.01099189601802039,0.10484224348048066,0.09413635123091948,0.10567262199783958
DOV,0.019695569940227625,0.14034090615436265,0.12041417906132272,0.1044367611136431
DPZ,0.07516322125305805,0.2741591166696049,0.2260379113021275,0.1768671394730148
DRI,0.025314410281160014,0.15910502908820956,0.13166632939797596,0.11717131381358706
DTE,0.007358309511611313,0.08578058936386082,0.06885370973756881,0.06179528349144044
DUK,0.0024001483319911732,0.04899130873931797,0.03923324345910376,0.03869473777990391
DVA,0.02525396334760211,0.15891495633703617,0.14149061740193458,0.17045002043615973
DVN,0.11708159504135894,0.34217187938426347,0.3096817186587024,0.26697248271496854
DXC,0.23709926591760477,0.48692839916932834,0.4273457714688642,0.3388693753630474
DXCM,0.03404340629408245,0.18450855344423048,0.15811533644529244,0.13506674527983684
EA,0.03971400512861957,0.1992837302155386,0.1671457889822549,0.14517294079448995
EBAY,0.05658471255514568,0.23787541393583675,0.21325495282550544,0.16942049020383287
ECL,0.0030499466343056362,0.05522632193352764,0.04693838201685781,0.04539709197490443
ED,0.002603666349252365,0.051026133983012714,0.040146000561246044,0.03967062740844203
EFX,0.007551633854311347,0.08690013725139534,0.07432235550391092,0.07096386409369071
EIX,0.003971313453377306,0.06301835806633894,0.05054550206723124,0.047166002083167693
EL,0.018412764880780315,0.13569364347964247,0.11940641784378385,0.13743378454678223
EMN,0.006882590344258122,0.08296137863040924,0.06810726043574167,0.07325469454945717
EMR,0.007327664517044556,0.08560177870257461,0.06610113657034815,0.06312144662237935
EOG,0.03449957970852557,0.18574062482000422,0.16322076772618635,0.14116007468742858
EQIX,0.011724575864788624,0.10828008064638954,0.08965377733240397,0.08365094622610948
EQR,0.012852103972889018,0.11336712033428836,0.1013336385466686,0.11398597822394725
ES,0.004994495638785904,0.07067174568939064,0.05932931647354256,0.06167461626191203
ESS,0.003900656070672539,0.06245523253237105,0.051354707630339745,0.05239538252647695
ETN,0.01585817976690424,0.12592926493434417,0.10059545404033748,0.08695876541260884
ETR,0.003069103856576938,0.055399493288088276,0.04177847014275599,0.04331193849537524
ETSY,0.11720911471229596,0.34235816729310836,0.2925632415904485,0.21150049021970196
EVRG,0.00564200519279314,0.07511328239927437,0.06606411673714321,0.06644922786860304
EW,0.015793723597173168,0.12567308222993964,0.10229791812194895,0.11075759325116454
EXC,0.002889393240808193,0.053753076570631685,0.04292267105396301,0.04408824055863388
EXPD,0.005179351771517211,0.0719677133964753,0.05828875741678956,0.0531706383525031
EXPE,0.010184874418487313,0.10092013881524001,0.08060987127721125,0.07388617269793987
EXR,0.02944410783074886,0.17159285483594258,0.1571293660647707,0.18957080326550285
F,0.013077188530575119,0.11435553563590667,0.10350832387003618,0.11740541705738897
FANG,0.021861650020645145,0.14785685652226327,0.12899121940909175,0.11771275044719477
FAST,0.01122785749469591,0.10596158499520432,0.08234170904203111,0.09326578726943914
