,mse,rmse,mae,mape
A,0.007544314635151241,0.08685801422523566,0.07441218412389,0.08155303166191952
AAL,0.020917338426222225,0.14462827671732187,0.1126434586471328,0.16775905388387216
AAP,0.009117705067577286,0.09548667481684178,0.07684794054974589,0.0777340065133728
AAPL,0.038898490377283275,0.19722700215052522,0.1839112307551715,0.23534351627432334
ABBV,0.017289899035384946,0.13149106066719876,0.11997770865515368,0.1457223880875193
ABT,0.0255573982556518,0.15986681411616296,0.14627276098653363,0.18320439160811444
ACN,0.011800682697372897,0.10863094723591844,0.08813263109702137,0.08008116765566914
ADBE,0.013656977880996915,0.11686307321389813,0.10139224852623815,0.09194968434270095
ADI,0.01735591551265026,0.13174185178845127,0.12275770217354623,0.14951568036048107
ADM,0.051735233594201555,0.22745380540716736,0.20940562297352855,0.2904037745421484
ADP,0.0028078350873923115,0.0529890091188004,0.041713588497411046,0.04231587200857555
ADSK,0.007844705800675618,0.08857034379901446,0.06732874106793135,0.0817824128889348
AEE,0.03177891305580423,0.17826641034082732,0.15043212696784786,0.12878828580809218
AEP,0.017501779584827647,0.13229429158065606,0.10238807920545283,0.08865410822859979
AES,0.04448714883641174,0.2109197687188466,0.19308258863080047,0.2581519842435249
AFL,0.005694991028553458,0.07546516433794773,0.06206395184716661,0.06203955820686252
AIG,0.008895110260410908,0.09431389219203556,0.07753347851601618,0.09017327572136408
AIZ,0.03406148523059054,0.1845575390781708,0.17158809057043745,0.15187005481779228
AJG,0.014350234069290558,0.11979246248946783,0.10011204469572621,0.11736220312234184
AKAM,0.0668363528649556,0.25852727682965215,0.22615656996511313,0.33434680808226597
ALB,0.03954170112845231,0.1988509520431127,0.16616741694706125,0.17582234294584181
ALGN,0.017161093826993472,0.1310003581178062,0.10472573485816286,0.09671020639072726
ALK,0.016823047206849434,0.12970369002788407,0.11319637688794115,0.11132280847018416
ALL,0.0065801010585637065,0.08111782207729511,0.06825714281051094,0.07771962723957557
ALLE,0.003192335453960267,0.05650075622467603,0.04761613571101519,0.04630397161048358
AMAT,0.021727133761852726,0.14740126784343724,0.12395133167495431,0.14204538498982172
AMCR,0.01136477535479905,0.10660570038604432,0.09299043300828715,0.09967439708740128
AMD,0.19313399767404568,0.43947013285779235,0.2940933610687998,0.23092588565147001
AME,0.012489794350216847,0.11175774850191304,0.09017336902697175,0.10452919625821512
AMGN,0.0036447892342617964,0.06037208986163885,0.049644024676660736,0.054125341170525934
AMP,0.0500780835774245,0.22378132982316576,0.20374045806708913,0.2712417891439598
AMT,0.0066227537100644685,0.08138030296124775,0.06522593694315239,0.0617473596561892
AMZN,0.10012119484920733,0.31641933387390747,0.28836107924996374,0.2502918152197922
ANET,0.01862529603373512,0.1364745252189401,0.11909265353633472,0.16072315602908796
ANSS,0.002376579023004618,0.048750169466419475,0.04064146975286383,0.04329063165264418
AON,0.006391091096850191,0.07994429996472663,0.06707469587132164,0.07427429463905506
AOS,0.010643016146240579,0.10316499477167912,0.08390602939871727,0.07955228987175711
APA,0.04537526729077581,0.21301471144213446,0.19187515300624639,0.29986516654138545
APD,0.004807333321672687,0.06933493579482632,0.05453263426361502,0.061985752811017356
APH,0.0063720208367124866,0.07982493868906188,0.06239035274165217,0.07001347165789715
APTV,0.027344035525121275,0.1653603202860991,0.140385214614303,0.18105874534225497
ARE,0.006895858963279604,0.0830413087762928,0.06065233289530119,0.06488449289774503
ATO,0.07554999171760936,0.2748635874713298,0.23381529074112312,0.1791513228643635
AVB,0.004869840335250413,0.069784241310273,0.06141424497530867,0.05723516736866356
AVGO,0.008562543124522988,0.09253401063675447,0.08392525635571743,0.08873430327676932
