,tune_method,shrinkage_strength,loss_factor_trend,loss_factor_seasonality
0,parametric,1,0,0
1,parametric,10,0,0
2,parametric,100,0,0
3,parametric,1000,0,0
4,parametric,10000,0,0
5,prior_from_idata,1,0,0
6,prior_from_idata,10,0,0
7,prior_from_idata,100,0,0
8,prior_from_idata,1000,0,0
9,prior_from_idata,10000,0,0
10,parametric,1,0,1
11,parametric,10,0,1
12,parametric,100,0,1
13,parametric,1000,0,1
14,parametric,10000,0,1
15,prior_from_idata,1,0,1
16,prior_from_idata,10,0,1
17,prior_from_idata,100,0,1
18,prior_from_idata,1000,0,1
19,prior_from_idata,10000,0,1
20,parametric,1,1,0
21,parametric,10,1,0
22,parametric,100,1,0
23,parametric,1000,1,0
24,parametric,10000,1,0
25,prior_from_idata,1,1,0
26,prior_from_idata,10,1,0
27,prior_from_idata,100,1,0
28,prior_from_idata,1000,1,0
29,prior_from_idata,10000,1,0
30,parametric,1,1,1
31,parametric,10,1,1
32,parametric,100,1,1
33,parametric,1000,1,1
34,parametric,10000,1,1
35,prior_from_idata,1,1,1
36,prior_from_idata,10,1,1
37,prior_from_idata,100,1,1
38,prior_from_idata,1000,1,1
39,prior_from_idata,10000,1,1
