,mse,rmse,mae,mape
A,0.33328626373284015,0.5773095042807109,0.4960538599184333,0.5453792376585946
AAL,2.7087113407934647,1.645816314414663,1.417763375424618,1.763173517503686
AAP,0.39848402117981957,0.631255907837558,0.5563788780209739,0.543175940135402
AAPL,0.4562730876251768,0.6754798943160165,0.554767084967293,0.5576837482488215
ABBV,0.8289171363977297,0.9104488653393609,0.791185564041616,0.8904516882137241
ABT,0.23758102797906006,0.48742284310345985,0.40272577948256105,0.4040227542207482
ACN,0.2932455509006388,0.5415215147163027,0.47081258288837985,0.4247054437668389
ADBE,0.3348885503586368,0.5786955593044039,0.5033114592132122,0.4551101139515502
ADI,0.7057456882118515,0.8400867146978647,0.7021556003868045,0.6674817315032662
ADM,0.7970550757579187,0.8927794104693044,0.7705332189228415,0.9396937391985386
ADP,0.39340180675588554,0.6272175115188395,0.5358728674179256,0.5413080174737344
ADSK,0.6387728372731999,0.7992326552845548,0.69357960936857,0.792415762234293
AEE,0.5837506227521366,0.7640357470381453,0.6788468745012509,0.7621778174632851
AEP,0.39123092494248657,0.6254845521213825,0.5464733841240964,0.5957393194685205
AES,0.260502573320119,0.5103945271259469,0.438287076785225,0.553999600289767
AFL,0.15817094837089826,0.39770711380474233,0.34000651432723833,0.33754574662724596
AIG,0.17573250841386323,0.4192046140178603,0.3661137567681079,0.3449147372588388
AIZ,0.1377942368832758,0.3712064612628339,0.34811642972521967,0.32970166069390217
AJG,0.18169127258662285,0.4262525924690932,0.3612271492411339,0.388221431179502
AKAM,0.40171685035701044,0.6338113681191041,0.5034795185951153,0.5027339554876598
ALB,0.44835737643597956,0.6695949345955207,0.5843590294080391,0.698311136171111
ALGN,0.6015938006878379,0.7756247808623947,0.6687561437149189,0.6300633847885775
ALK,0.6790789215184416,0.8240624500111879,0.696846263295955,0.5613689023690344
ALL,0.44725385891498287,0.668770408223168,0.5669180986623209,0.6289197930945112
ALLE,0.3715751976804392,0.6095696823829406,0.514330296120136,0.46024338242531
AMAT,1.2840966350862608,1.133179877639142,0.9801669111461977,1.3891208193087539
AMCR,0.11169976399693982,0.33421514627099086,0.2859444752908527,0.32106630333068553
AMD,1.5434561329121017,1.2423590998226326,1.0930461691666782,1.7527748109055625
AME,0.28243855639246424,0.5314494862096154,0.4656666611174191,0.46470142369319545
AMGN,0.8251980810266086,0.9084041397013823,0.787596433881302,0.8450165924674264
AMP,0.7259103602381277,0.8520037325259366,0.7281168813687223,0.838549583557287
AMT,0.24656569508705295,0.49655381892303774,0.4404897371894898,0.47914305437431026
AMZN,0.011670452256484127,0.10802986742787445,0.09042626322949389,0.06416969187407277
ANET,1.3772012786850127,1.1735421929717793,1.0342772898629593,1.2793613747294625
ANSS,0.21189436977533013,0.46031985594294117,0.3906895850362515,0.36251807293112165
