,mse,rmse,mae,mape
A,0.8998161943619074,0.9485864190267049,0.7304455611505944,0.8020086927210294
AAL,8.323966325021201,2.885128476345759,2.244936689566145,2.815838943061937
AAP,1.2281066465269612,1.1081997322355575,0.8544048865422713,0.8352629598533312
AAPL,1.4265519184962152,1.1943834888745806,0.8941162625305332,0.9071877111039718
ABBV,2.3197199867381832,1.5230626995426626,1.1769600106172002,1.332574520255592
ABT,0.7403874525362851,0.8604576994462221,0.6415433474033871,0.6460160254801696
ACN,1.045345882173498,1.022421577517561,0.7775277285174438,0.6918851005526592
ADBE,1.1743254190246861,1.0836629637598059,0.8305937954285428,0.736278845049973
ADI,2.2969050644327487,1.515554375280791,1.128759053057137,1.0815502500117387
ADM,2.125737728110995,1.4579909904080324,1.1180238144255359,1.411198751880215
ADP,1.1912917485267176,1.09146312284324,0.842074835399822,0.8503300565399099
ADSK,1.7142021662644928,1.3092754355995888,1.0249375096323874,1.160309793576002
AEE,1.460123094757631,1.2083555332589953,0.963796923275001,1.07415080453013
AEP,0.9994531957042423,0.9997265604675322,0.7931430663727006,0.8618490216320615
AES,0.6006332477351004,0.7750053211011524,0.5963056593636317,0.7752286267553613
AFL,0.4932613756309706,0.7023256905673967,0.5298566694759166,0.5263541752683469
AIG,0.6008612993609662,0.7751524362091409,0.5801969590145102,0.5392001638408007
AIZ,0.47305053670446146,0.6877866941897477,0.5542725021417672,0.5021499501392387
AJG,0.5025317431699019,0.7088947334900308,0.538182648459415,0.5841703385822088
AKAM,1.3205352595973747,1.149145447538028,0.8206293946994785,0.8417528027654421
ALB,1.1312973658736782,1.0636246357967074,0.8288870747349552,0.9989481359988683
ALGN,1.9498974160865743,1.3963872729606834,1.0756503017805843,1.001919658176425
ALK,2.8063531876842065,1.6752173553554794,1.27895840335221,1.0038892486384199
ALL,1.2235857422182652,1.1061581000102405,0.8549521390509836,0.955911598558235
ALLE,1.3048205289257806,1.1422874108234673,0.8596436864817882,0.7621343733974683
AMAT,3.1737959949587773,1.7815150841232799,1.4053740041655491,2.007307714282033
AMCR,0.7543497837510434,0.8685331218503088,0.675212265948591,0.7620796244003689
AMD,1.136223803750147,1.0659379924508494,0.8530391874214386,1.3656457112221672
AME,0.8643298521289408,0.9296934183530293,0.7113153587648277,0.7071638050716138
AMGN,2.3824928835856296,1.5435325988088588,1.1935296456320414,1.2794234802235098
AMP,1.9829034014927152,1.4081560288166632,1.086099501297051,1.2715167544968895
AMT,0.6637021618139862,0.8146791772311271,0.6449383230904259,0.7006568362496652
AMZN,0.16208829283717416,0.4026019036680951,0.28009510860788905,0.1743987891903274
ANET,3.6543643962845693,1.9116391909260935,1.4974097506587078,1.8392658484354838
ANSS,0.7408712919296403,0.8607388058694927,0.6479886773604386,0.5994504696967824
AON,1.4070737231905843,1.1862013839102465,0.8999072090204042,0.9166453101312357
AOS,1.106942519992785,1.0521133589080527,0.7697401654749971,0.6015103926575103
APA,4.827982806672026,2.197267122284413,1.7360110681730503,3.1336397682849526
APD,1.596035150292897,1.2633428474855497,0.9665246417416351,1.0279533541242571
APH,1.2471563385722912,1.116761540604032,0.844464852648181,0.86682081586301
APTV,1.3925861181681678,1.180078860995386,0.8751028248698013,0.7925082259496185
ARE,1.2245306862635639,1.1065851464137606,0.841472018771873,0.8196155198863273
ATO,0.9462098917915273,0.9727332068925822,0.7678010387530065,0.7458443725025629
