,mse,rmse,mae,mape
STE,0.005445270289367326,0.07379207470567098,0.06272020529527944,0.05774742649048507
REG,0.07436249709446079,0.27269487911301304,0.2333241263545706,0.21062266539446547
WFC,0.0071168951053191855,0.08436169216723421,0.06545680255512179,0.0568606329576684
JBHT,0.017542597198939164,0.1324484699758331,0.121709028114666,0.12329239438625551
SJM,0.0028655038176897294,0.05353040087361321,0.04365155404578633,0.04870923993174
PFE,0.02991284470656567,0.17295330209789483,0.14984629009689218,0.15790394724036508
EQR,0.10957194428129563,0.33101653173413503,0.29643196531653926,0.2460124396483685
TSN,0.04548880968566225,0.21328105796263822,0.178100144053063,0.15362347437882598
TDY,0.0035824208562463275,0.059853327862754026,0.04768518491485631,0.04629134266167961
GOOG,0.24087345791105985,0.4907886081716444,0.4182779572545805,0.42345014924849844
CMCSA,0.07653243412144771,0.27664496041216385,0.24328740258809917,0.2330129235803975
MRK,0.013031495296185238,0.1141555749676083,0.1087446813060268,0.09309152833962568
TXN,0.007575131243259566,0.08703522989720637,0.06892662107249986,0.06329012008559581
XRX,0.056794503451357566,0.23831597397438042,0.21743894704311664,0.20796751303075514
HRL,0.0015174106118507368,0.038953955021932454,0.030265438270047497,0.028146506708451896
BSX,0.003960329011369628,0.06293114500284917,0.05030862108042052,0.0482452265807133
EMN,0.005109127410959203,0.07147816037755311,0.05946586827030322,0.0584846341695032
LVS,0.21207904452845536,0.4605204062020003,0.3763188219445282,0.44926745974309057
ADI,0.042166809409795315,0.205345585318495,0.17099665448441062,0.1695582602541542
NTAP,0.012762266789266776,0.11297020310359178,0.09171240995454698,0.09465460698311702
NWSA,0.07984120464349372,0.282561859852836,0.24341734623633796,0.26807143196486605
CAH,0.18683368406813644,0.43224262176251943,0.3840431262708273,0.34576820601826636
MGM,0.05507983979076114,0.23469094526794412,0.17998366523324716,0.1841945433058913
ADM,0.09367157390464319,0.30605812177533076,0.28273375614237045,0.26048897743688687
MSFT,0.0026974491065032123,0.05193697244259827,0.04296549775740468,0.03983387845008304
V,0.06487305527834711,0.2547018949249242,0.222303740315986,0.22353137186396016
FMC,0.058323668298124305,0.2415029364171879,0.18643264801692783,0.23026812029571103
CDW,0.0860945417097719,0.29341871397334546,0.2620944418239217,0.19643324471486762
GS,0.04342357728570381,0.20838324617325601,0.19556478134824848,0.1974557684467234
TPR,0.09189151243145618,0.3031361285486377,0.27010550341430334,0.4068372370241614
MA,0.2281612510557037,0.4776622771956183,0.4323706601823394,0.46449662071012277
SNA,0.004891647705843029,0.06994031531129259,0.06144809487811006,0.05602318134950773
IPG,0.00467810925771965,0.06839670502092662,0.05789656413907437,0.053423278957533786
COP,0.010245963240422658,0.10122234555878784,0.08179514447464001,0.0780900178321268
EBAY,0.02219598753744143,0.1489831787063272,0.13137626685935672,0.13488902568381866
SWKS,0.25654513803498064,0.5065028509643166,0.422189388552672,0.22403298783076284
COST,0.005585460395698638,0.074735937778947,0.0655227135155683,0.06893029008899165
EXPD,0.007692598525527122,0.0877074599194796,0.07248638846587604,0.08120491959864752
GL,0.02195541288911186,0.1481735903901632,0.12708643537372605,0.12440359353290908
TRV,0.010207932679017232,0.10103431436406758,0.09437738136080914,0.09304502090571615
DPZ,0.027071688499697485,0.164534763802965,0.12406744180499439,0.1038462585496984
DLTR,0.02754834709843898,0.16597694749102654,0.11785777046583112,0.1170448105210132
WBA,0.012900396443940686,0.11357991214973133,0.09280019086456145,0.08058739718631493
F,0.07740753559868349,0.27822209761031474,0.2411023951368902,0.26181634816769084
J,0.06795892129580379,0.26068931948931817,0.2144883652655502,0.27527862130411346
WMB,0.07020125607104671,0.26495519634656484,0.21198581786564183,0.149841237120005
DUK,0.002116687197950698,0.04600746893658352,0.035769472861630944,0.033714741154482655
OMC,0.11733286210540644,0.34253884758579783,0.303045317449304,0.30993380762001266
GM,0.1482942630160192,0.3850899414630551,0.34649016791040105,0.4204374184788533
EFX,0.07435943798758647,0.2726892700265019,0.2446002431016712,0.2252567788632836
IP,0.03889925631153199,0.19722894389904336,0.17853387157008452,0.17517848797050528
FITB,0.1095728406209827,0.33101788565118756,0.2738890757288391,0.2802707214741396
STZ,0.041169954319085565,0.20290380558058926,0.16610713457471177,0.134610844753997
SWK,0.20997422916172098,0.4582294503430797,0.40441806536981584,0.4065150518069964
HSY,0.020262740688361446,0.14234725388415978,0.12119311533811376,0.12558374040230993
AME,0.09739000545195912,0.31207371797695355,0.2679124312737495,0.27329574832346215
MSCI,0.015057158029963184,0.1227076119479276,0.1102635603864615,0.10914931457025295
ROK,0.0572238402032539,0.23921505011862004,0.19006654819017532,0.19548878527333083
ETR,0.06117946527389321,0.24734483069976054,0.21112081873149624,0.16978244299684497
IFF,0.006084308454953068,0.07800197725027916,0.06380465673042643,0.056762011700659254
USB,0.020291911587878145,0.14244968089777577,0.11971646787784883,0.11309605396361003
DFS,0.001895806419915852,0.043540859200478024,0.034689149414553186,0.03187710449107027
ES,0.007022765524741819,0.08380194224922129,0.06494840036821804,0.057204292595559425
CHRW,0.030733168603253064,0.17530878073631412,0.14155341115778483,0.1269674380408957
PKG,0.031209039958070114,0.1766608048155281,0.1480238031201194,0.13560756584163025
ORLY,0.04075467096939,0.20187786151381235,0.17160394201328716,0.14186907774147328
MCK,0.10543116966686762,0.3247016625563651,0.28563173445308576,0.24570224830626805
CPRT,0.04916177803990358,0.22172455443613723,0.183636712872691,0.19603151763130422
PNW,0.0333473904809227,0.18261267886136137,0.14519629538305273,0.13749320802529466
VRSK,0.02769284156931121,0.16641166296059662,0.15391893230866516,0.1717951900888125
MSI,0.07113012375599145,0.2667023129933287,0.23387821823695032,0.2446039648992835
CVX,0.00664253034949959,0.08150171991743235,0.06196639848279609,0.06565805780785344
FTI,0.073701102768679,0.271479470252686,0.23881616390009622,0.25301241491126053
KMI,0.009286533680907113,0.09636666270504086,0.0793290162973422,0.07468675822899042
GIS,0.004239447779183658,0.06511104191443766,0.05181772805777324,0.05100246638037384
