,mse,rmse,mae,mape
STE,0.03537339417443794,0.18807815974864794,0.14473630509106516,0.11943323705371058
REG,0.6120049940913668,0.7823074805288307,0.6846130257090256,0.622471457659246
WFC,0.011399698428728762,0.10676937027410419,0.08550714737156495,0.07427559324733439
JBHT,0.08205343610247436,0.2864497095520859,0.24175268935054026,0.24083444471795207
SJM,0.07513133455701189,0.2741009568699312,0.22602776959526014,0.24463546979363757
PFE,0.0048780112758609,0.06984276108417321,0.05671200469960491,0.05852286674639113
EQR,0.9829087542628381,0.9914175478893028,0.8836725130276981,0.7348010526209233
TSN,0.01802203471759695,0.1342461720780036,0.12087009572698283,0.10408411747915776
TDY,0.06072117515057582,0.24641666979036914,0.21675114866022305,0.20498612839427816
GOOG,0.09154547189917074,0.3025648226399935,0.2555317411176753,0.2595755278138599
CMCSA,0.0068145862575374905,0.08255050731241748,0.07164751215314434,0.0691553420480415
MRK,0.0913694873517454,0.3022738615093032,0.28568287267042985,0.24247780717480386
TXN,0.0018403946631963763,0.042899821249002615,0.032516986958437306,0.029456256301565977
XRX,0.020577217392116997,0.1434476120125985,0.12906705273152205,0.12471921672337562
HRL,0.10501047547701182,0.3240531985292104,0.2836594083712027,0.2566600075169499
BSX,0.004078211628765726,0.06386087713745972,0.05196521748597512,0.04974001222695478
EMN,0.013216088967144766,0.11496124985030724,0.08622075615629436,0.08746839688288062
LVS,0.030728120004181007,0.1752943809829083,0.14604677829244708,0.17093748291419386
ADI,0.00954445611634606,0.09769573233435562,0.07695235420447231,0.07728300128268704
NTAP,0.20164293638289812,0.44904669732990815,0.377878592272299,0.39287413142798255
NWSA,0.04597545893341133,0.21441888660612743,0.18123173386985128,0.20022953494165496
CAH,0.207439301467163,0.45545504878875037,0.40503675251294274,0.3645249015691256
MGM,0.03458864365780886,0.18598022383524776,0.15574677177165105,0.1462857774315507
ADM,0.005943589291933935,0.0770946774552818,0.06456733186415582,0.06039169659579455
MSFT,0.03518209897824916,0.1875689179428435,0.17168296970405314,0.15078934529662094
V,0.01015213474027865,0.10075780237916392,0.08778254528065829,0.09047275851095458
FMC,0.00983066453950641,0.09914970771266252,0.07808697967630701,0.09334013674874826
CDW,0.012802314257199823,0.11314731219609162,0.09718373934443708,0.07447463681505705
GS,0.00896616243065776,0.09468982221262093,0.08061597897371682,0.08035921093034762
TPR,0.16694936625364082,0.4085943786368589,0.3653406738829305,0.5490803911905651
MA,0.032871211303098564,0.1813041954922681,0.16144842765860165,0.1754255077155411
SNA,0.07331951602236736,0.2707757670515723,0.2299067275877938,0.199971101983076
IPG,0.005757163654122278,0.0758759754739422,0.06027637174298393,0.058406786757193116
COP,0.09566135637427765,0.30929170110799553,0.25570879399843416,0.25914562165671645
EBAY,0.004247137368453037,0.06517006497198723,0.04836591569212761,0.051271892981139454
SWKS,0.4001693682954052,0.6325894152571676,0.5371577174103348,0.28780203009228744
COST,0.011572710517031282,0.10757653330086113,0.0766180932304426,0.07374896738400401
EXPD,0.08411376403226761,0.2900237301192225,0.24271041782228786,0.26001007416897937
GL,0.009146213629161501,0.09563583862319346,0.07972609214634012,0.07811133035520071
TRV,0.014217934921308647,0.11923898238960548,0.09229078456699433,0.08505631052016575
DPZ,0.06953218718082026,0.2636895659308882,0.21834328809715942,0.18637508953426848
DLTR,0.03005695091158485,0.1733694059272998,0.12361604674621848,0.12277801073195949
WBA,0.019439632165748153,0.13942608136840162,0.11303523184160665,0.09729497768732641
F,0.049362591142607624,0.22217693656769963,0.19224034537438328,0.20789755481965566
J,0.008963950346615408,0.09467814080671107,0.07292123085248972,0.08247586640249271
WMB,0.5812478518900864,0.7623961253115643,0.6771535008681818,0.49657206470185167
DUK,0.5258939475273737,0.7251854573330699,0.625793562565518,0.5802436767739424
