,mse,rmse,mae,mape
STE,0.02882925721612394,0.1697918055034575,0.12913383873656054,0.10635463193905213
REG,0.6127065093683843,0.7827557150020589,0.6850202270224739,0.6228473661973065
WFC,0.01140897281925052,0.10681279333137263,0.08554613137791899,0.07430922886142721
JBHT,0.06229035441235757,0.2495803566235884,0.2083086214222939,0.20734323504103971
SJM,0.06547145773458357,0.2558739098356524,0.2110003338432974,0.22837872276728202
PFE,0.004836885615464552,0.06954772185675497,0.0564810458754124,0.05828690544816298
EQR,0.9703869191984857,0.985082189057586,0.8783375962120408,0.7303816026756736
TSN,0.0163684927841665,0.1279394105980112,0.11470749898932255,0.09873017420703072
TDY,0.05635393792059688,0.23738984376042055,0.20843215446436048,0.19706847621916404
GOOG,0.09220130595057309,0.30364667946574536,0.2564189707672622,0.2604761223784142
CMCSA,0.004503704337448569,0.06710964414634135,0.05453671285657696,0.05329493875683799
MRK,0.09167890569530521,0.30278524682570845,0.28615238115231356,0.24287489499191117
TXN,0.0020379324674583586,0.045143465390445586,0.03425159467443244,0.03161166179621125
XRX,0.02249340575010599,0.14997801755626053,0.13530216548882004,0.13058966240222133
HRL,0.10453265942087937,0.32331510855646595,0.28298002813059825,0.2560419656573072
BSX,0.003921258239559157,0.06261995081089698,0.04969425852080623,0.04771147340338234
EMN,0.012136858029248543,0.11016740910654359,0.08335313096076288,0.08449482478738292
LVS,0.029348350235493547,0.17131360201540782,0.1425176280663761,0.16668030298456615
ADI,0.012334346999033916,0.11106010534406095,0.08828384506507277,0.08844011114309408
NTAP,0.16618226081675774,0.4076545851781355,0.3402812402073702,0.3531557149280569
NWSA,0.04799939991138988,0.2190876534891683,0.18553286246606276,0.20491900640219185
CAH,0.2076732218076466,0.4557117749275814,0.40527801619931286,0.36474393324828525
MGM,0.03434925928788249,0.1853355316389237,0.1549826797985112,0.14555899023331442
ADM,0.005602823102701437,0.07485200800714324,0.06270197767993296,0.058764026978638376
MSFT,0.04268936593137248,0.2066140506629994,0.18902580460921733,0.16575255856970836
V,0.010196031789632999,0.10097540190379536,0.08792179289151772,0.09062615156428092
FMC,0.010436507105917602,0.10215922428208625,0.0804549568286062,0.09648253876720282
CDW,0.01208063291946142,0.10991193256176246,0.09438916941436765,0.0725191055603754
GS,0.006495515261480694,0.08059475951624084,0.0688244193540272,0.06961929457596296
TPR,0.1675871727107721,0.40937412315725585,0.3660586623927085,0.5501553448576886
MA,0.037761949359872454,0.1943243406263674,0.17323428651239295,0.1880186958231234
SNA,0.06396599732671715,0.2529150002010896,0.213741013743599,0.18577501981504052
IPG,0.006096371198306315,0.07807926228075106,0.06224599285844516,0.06025129320235126
COP,0.09828413684599464,0.31350300930931213,0.2600225413409428,0.2633502316975835
EBAY,0.004668527742888417,0.06832662543173354,0.05076667063758873,0.05382855580409109
SWKS,0.4005133210534561,0.6328612178459477,0.5374082320442136,0.287941150285244
COST,0.011078857068848879,0.10525614979111139,0.07504553457995485,0.07229249627586586
EXPD,0.07543847187079383,0.27466064856617856,0.2292774751388602,0.245535339180839
GL,0.010898024761160648,0.10439360498210916,0.08761688738282718,0.08582075829299346
TRV,0.010468141656563531,0.10231393676603169,0.079576013500007,0.07360140594999533
DPZ,0.06730335950998706,0.25942891032031695,0.214301000389014,0.18282006459818342
DLTR,0.026773186741380583,0.1636251409208884,0.1159615402618197,0.11514661028395
WBA,0.02035571657221608,0.14267346134518527,0.1164640885614747,0.1003092136505713
F,0.044686796358786196,0.2113925172724574,0.18296262489377624,0.1977169561446574
J,0.008879752755432117,0.09423244003755882,0.07249553532570026,0.08196557336106408
WMB,0.5433379417529215,0.7371146055756334,0.6541155057781137,0.4793614662587863
DUK,0.5155948387803133,0.7180493289324302,0.6194222965184591,0.5743069925307825
OMC,0.05185597820678425,0.22771907738875163,0.19835582011341077,0.20351772704310525
GM,0.09097783051762964,0.30162531478247917,0.271845475928838,0.3299282009222229
EFX,0.01375429765523816,0.1172787178273968,0.10282687455731639,0.09569458395501156
IP,0.022093126768549732,0.1486375684964933,0.12117858375457279,0.11592412147209533
FITB,0.24160040254165924,0.49152863857730533,0.41784927912029735,0.4263434855546838
STZ,0.44805316462660094,0.6693677349757762,0.5773610573323334,0.46828871371753816
SWK,0.26161846436370406,0.5114865241271798,0.4524492456515396,0.4549955561095954
HSY,0.22068700152441137,0.4697733512284529,0.41355449941408007,0.42027820768014
AME,0.006687940327752742,0.0817798283671025,0.06493172575534441,0.06546518295469948
MSCI,0.005196304800464619,0.0720853993570447,0.06265979071322501,0.06271299236573916
ROK,0.03410536180217506,0.1846763704488884,0.14350943957487092,0.14795936433487117
ETR,0.363421267493317,0.6028443144737429,0.5249934597268975,0.4257676460004015
IFF,0.04598897244778363,0.2144503962406776,0.16849409077718522,0.15181501590257987
USB,0.0013293276964098078,0.03645994646745669,0.028917944013283344,0.027909228373461537
DFS,0.0025734227282824787,0.05072891412481129,0.044148647075934064,0.0398068077656987
ES,0.22031443365120804,0.4693766437001399,0.4131153466073187,0.37080370715791255
CHRW,0.5505644433936866,0.7420002987827475,0.6244002357662436,0.5627733723360796
PKG,0.00900173602644705,0.09487747902662175,0.07147527859437354,0.0629324570259952
ORLY,0.035563215485392444,0.18858211867881972,0.15884334933979616,0.131152857242658
MCK,0.02640881403864687,0.16250788915817863,0.14063895686274894,0.12186609269073646
CPRT,0.011304140190874619,0.10632093016370116,0.08582891438985149,0.09195269626838043
PNW,0.29819576588290125,0.5460730407948201,0.46863616152851706,0.45089644623662967
VRSK,0.013289686684887208,0.11528090338337572,0.09599173742303978,0.10565584077330853
MSI,0.03260631172759245,0.18057217871973646,0.1565639943053074,0.16391407423679782
CVX,0.090488052890556,0.3008123217066681,0.25818985696409963,0.26793871301250416
FTI,0.05719468524851801,0.23915410355776462,0.2074834679959418,0.21869286071102775
KMI,0.05736811502969113,0.2395164191233894,0.18320021400364772,0.1663526504333763
GIS,0.2326417344188735,0.4823294874034486,0.4262342009484099,0.412687043525251
NFLX,0.04011624649091155,0.2002904053890539,0.14276028232687157,0.14749397442963533
IT,0.07721186565832543,0.27787023168796876,0.24864513655241482,0.23715934169065722
RF,0.035332928348736185,0.18797055181260758,0.15060546382289572,0.1481865238955406
TSCO,0.023778001461247276,0.1542011720488767,0.1333002200312318,0.1574396090442429
JNJ,0.01755812288854716,0.1325070673154725,0.11512621905470685,0.10676585967286235
TFX,0.005857526177222424,0.0765344770493823,0.06879086543208297,0.06269890452114035
WAB,0.022673058238624665,0.15057575581289528,0.12757625583820537,0.11703655715414775
HD,0.03556739221258075,0.1885931923813284,0.1386872828401717,0.12184350616290915
SYY,0.018645517085125313,0.13654858873355416,0.12023140642243237,0.12528267738444118
AVB,0.8073394294975514,0.8985206895211436,0.7951717592348128,0.7018971340187757
K,0.08177121312646309,0.2859566630216248,0.25125459622863267,0.2436714487015798
NEE,0.214798021936951,0.4634630750523185,0.4156185844800179,0.3681008089028361
TGT,0.14494309441064784,0.38071392726120207,0.3037777258104358,0.3096519275526156
FANG,0.08533619251136988,0.2921235911585538,0.21240433815960263,0.18577356112046112
POOL,0.01550524806101331,0.12452007091635192,0.11119066363655943,0.10986171502983429
LKQ,0.005579315151632209,0.07469481341855141,0.06310487949064858,0.07779857762690703
LNC,0.2988554443286548,0.5466767274437927,0.49373870429995387,0.48438786795356686
NKE,0.0353051424896377,0.18789662713747074,0.1390255730012751,0.1262575985849107
HBI,0.06770040842518474,0.26019302147671974,0.20546859845590115,0.14045173513074868
CAT,0.01117139107935984,0.10569480157207278,0.0937977341056719,0.08214236582274353
TJX,0.030530477907578575,0.17472972817348104,0.15539412701011288,0.169587292844215
TER,0.07190195931866562,0.2681454070437635,0.24140108928675044,0.2189914657022486
ABT,0.07541227178421886,0.27461294904687006,0.2507315987621419,0.22789432945343416
HAL,0.09030423908453038,0.3005066373385626,0.20744345037645387,0.23166140792646642
PWR,0.021984884878046618,0.1482730079213564,0.12069947414804098,0.10966178100583981
STT,0.2638691476717887,0.5136819518649538,0.47397730105467606,0.4853738122572412
HAS,0.007385800697772581,0.0859406812736121,0.0700060623115404,0.07066672687110921
OXY,0.004987516491754432,0.07062235121938686,0.05831084850709143,0.0592990465663671
NWL,0.030703780675620563,0.17522494307495312,0.14696919146151632,0.14112287030045415
RHI,0.011578998583513299,0.10760575534567517,0.08071333947019722,0.06585429858127902
VTR,0.6478625826878072,0.8048991133600578,0.7129897744898536,0.6983005399243231
NOC,0.006548640900768173,0.08092367330249026,0.06842607964125033,0.06276254849035508
CE,0.00713006575493296,0.08443971669145367,0.07026026162163554,0.07038247270227511
EQIX,0.45350536445884143,0.6734280692537559,0.6052036190230317,0.5112433051964623
TFC,0.02274745337067723,0.15082258905972018,0.13926574395927546,0.13452132061892974
MTD,0.0510210461779533,0.22587838802761387,0.18143853763154655,0.17195238448317093
DE,0.02012266239745023,0.1418543703854422,0.12624694133065406,0.13066524393315757
ROP,0.13566247808096382,0.36832387660992577,0.319032730863295,0.2985743374042435
AZO,0.013375481353982168,0.11565241611822111,0.0976491325686727,0.08738557210973102
ADBE,0.010065853790985957,0.10032872864232835,0.08266933595731125,0.07329231044903058
TYL,0.1254443933295504,0.3541813000845053,0.329737965210369,0.37941729028035803
DHI,0.015534689862944952,0.12463823595889406,0.10488357265741864,0.09916913522642279
LYB,0.025499920855382243,0.1596869464151101,0.1176152879667268,0.10218719600850297
AFL,0.06480402589206953,0.25456634870318096,0.23064937296943114,0.2520926930796031
EOG,0.2189335193188545,0.46790332262002,0.425407782683993,0.3905465459247189
ROL,0.005892609829032279,0.07676333648970893,0.06048569267001514,0.06129051105027857
DOV,0.04937783854926868,0.22221124757596922,0.1972023973260329,0.18793504354255353
GOOGL,0.08585221812752,0.29300549163372347,0.24636390215645415,0.24722636696427142
GRMN,0.06258461897785327,0.25016918071148025,0.22864283886220063,0.19694504926275477
SLB,0.04358093654243762,0.20876047648546317,0.1560633445178136,0.1540056783403802
FRT,0.34283350899728326,0.5855198621714581,0.5207146608261193,0.4485722634390837
IEX,0.07735701182810899,0.2781312852379412,0.24371544060780553,0.23595033928350612
RMD,0.06769016831683927,0.26017334282520044,0.2119002008833035,0.22947280683609828
ULTA,0.1577828801416677,0.39721893225483057,0.3094668823589224,0.370574913673329
CCI,0.007501529724314578,0.08661137179559378,0.06888620494345457,0.06639760368262443
CSCO,0.035792343595170334,0.18918864552390646,0.15639560781487022,0.14345245535978443
PNC,0.16902357583420288,0.411124769181088,0.3476050772180341,0.31129906171921606
KR,0.29845927936920097,0.5463142679531635,0.4575890859928719,0.3725362139077672
DXC,0.035122008984119504,0.1874086683804127,0.17668153358633054,0.16001714849346194
PNR,0.031238389033175287,0.17674385147205343,0.1498897137271755,0.16753656394346303
BIIB,0.009239536465950968,0.09612250759292003,0.07364556667463165,0.06768888277642733
DG,0.05970591065588592,0.24434792951012685,0.19132912654021839,0.18726657841032612
DVA,0.011627967842647132,0.10783305542665075,0.09685826347379811,0.08556746474208245
RSG,0.09653025563763706,0.31069318569552995,0.26251418305366114,0.23661906690283344
