,mse,rmse,mae,mape
STE,0.060532540179918035,0.24603361595505202,0.22774531975306386,0.20029934356617884
REG,0.25910627664650043,0.509024829106106,0.4455203054367516,0.4038208672139434
WFC,0.011892918663707903,0.10905465906465392,0.08780711037839234,0.07651479706396937
JBHT,0.015434796996592125,0.12423685844624423,0.11484646795389433,0.11657535239629195
SJM,0.009832264453243667,0.09915777555614924,0.08265253029391811,0.08929932688470328
PFE,0.054768616132350185,0.23402695599513784,0.19892751473014914,0.20674129737810515
EQR,0.0739053295277535,0.27185534669701367,0.2384968999641957,0.196968008927655
TSN,0.019057951817533194,0.13805054080855023,0.11646303544901761,0.09746833751065398
TDY,0.012476615667694198,0.11169877200620515,0.09375089450085361,0.08793049220812273
GOOG,0.007446016089570321,0.08629030124857788,0.06769341996552435,0.06763562924612121
CMCSA,0.08896485927544123,0.2982697760005885,0.26149349283976225,0.25017739180940946
MRK,0.0029509908696998635,0.054323023385116034,0.04503466649563988,0.038780308087121754
TXN,0.011450603241915009,0.107007491522393,0.08827104383953045,0.0808744843822837
XRX,0.8775539541473557,0.9367784979104482,0.8512224081890127,0.8055673484599044
HRL,0.05467479222552314,0.2338264147300795,0.19936060856727308,0.1793377957235399
BSX,0.39852612533045173,0.6312892564668369,0.5347817470249788,0.519912718001197
EMN,0.5475826504751828,0.7399882772552433,0.6283260383459369,0.6248876577870791
LVS,0.3595806051124101,0.5996504024116136,0.5005194303224783,0.5943911149363283
ADI,0.22014703587002898,0.4691982905659706,0.4069675098023718,0.3991785974211011
NTAP,0.004903976134640751,0.07002839520252303,0.06185558151177775,0.06829407729178141
NWSA,0.010830554540785594,0.10406995022957201,0.0792658382967577,0.08905146298202815
CAH,0.11915226734575302,0.3451843961504532,0.30906237375908535,0.2786459691738708
MGM,1.4200048291676675,1.191639555053317,0.9965464530751333,1.0082298533932659
ADM,0.15951932696381782,0.39939870676282596,0.3599238400648546,0.328228969814488
MSFT,0.05121094791915523,0.22629836039873386,0.19187300054405337,0.16352977200589006
V,0.29462634302787766,0.5427949364427396,0.47775258215967076,0.47440736088296603
FMC,0.03551334398385409,0.18844984474351284,0.14409175463025856,0.1779963705368998
CDW,0.015337774443788222,0.12384576877628166,0.08919062111249133,0.06893134430382435
GS,0.13717175656147904,0.3703670565283568,0.33825261435306364,0.3386460775764534
TPR,0.26621277404550303,0.5159581126850348,0.47298359847100274,0.705874676477081
MA,0.40847484440823345,0.6391203676994135,0.5717208122224318,0.6125693313911572
SNA,0.0848776456776503,0.29133768324343196,0.262584411658591,0.23177577901662708
IPG,0.09891417765774324,0.3145062442269521,0.28170388047656425,0.26472781858773087
COP,0.06252090420591266,0.2500418049165232,0.2169921742192331,0.2046892003770509
EBAY,0.7865058997128404,0.8868516785307679,0.7681182190855661,0.803017636969865
