,mse,rmse,mae,mape
STE,0.007193117356859274,0.08481224768191958,0.07186029640411142,0.06651977467881373
REG,0.07461526517056233,0.273157949125707,0.23373766267482526,0.21099425620111217
WFC,0.00871216660587977,0.09333898759832233,0.07351811848023318,0.06385011494494908
JBHT,0.014326420306305572,0.11969302530350535,0.10979325653369137,0.11137379502000021
SJM,0.0033547608153361333,0.05792029709295467,0.04534168990025785,0.051075082738436556
PFE,0.035950432391548694,0.18960599249904708,0.1653268344176569,0.17410473193312068
EQR,0.09205706218005043,0.30340906739919693,0.27081370388705617,0.22457979741277662
TSN,0.0479726556196896,0.21902660938728336,0.18188606792288398,0.15691431718685123
TDY,0.008375382566929873,0.09151711625116841,0.07610853500053269,0.07334602948534728
GOOG,0.26499652181865424,0.5147781287298968,0.4398903233775216,0.44519688556235126
CMCSA,0.06758914481777946,0.25997912381146965,0.22817559650204816,0.2185564515601447
MRK,0.014187612928026772,0.11911176653893926,0.11391581426643481,0.09746977250181758
TXN,0.011674339007480092,0.10804785517297459,0.08976367615752982,0.08194316386127408
XRX,0.06368491559731464,0.2523587042234023,0.2306180503964701,0.22041208214487887
HRL,0.0031988434424801587,0.05655831895026724,0.04469406807894946,0.04144888796224315
BSX,0.003868029979020942,0.06219348823647811,0.048811814687060716,0.04694485840046066
EMN,0.005904062176324521,0.07683789544439984,0.06180029116529067,0.061748947308484035
LVS,0.23699306898814643,0.48681933916818304,0.3997892194389258,0.476678032666769
ADI,0.04187239309071675,0.20462744950450013,0.17031947138734813,0.1688952178252485
NTAP,0.007869279288904346,0.08870895833513291,0.07777476310805698,0.08191364861404493
NWSA,0.08480667782942773,0.2912158612257027,0.25136786078799583,0.27673201937463315
CAH,0.15609519949786005,0.39508885013103073,0.3498743132398509,0.31497885203764203
MGM,0.06165943498474526,0.24831317924094415,0.1909717192939554,0.1955482210588434
ADM,0.10043159122691846,0.3169094369483472,0.29280186400945546,0.2696633906534511
MSFT,0.003456150730639563,0.058789035802941716,0.04988144212501418,0.04586377987438649
V,0.07210783875414627,0.26852902776822146,0.2348482616556572,0.2359406674578806
FMC,0.06578433745829321,0.2564845754783184,0.20005558064292137,0.2464936846072659
CDW,0.08652646793074394,0.2941538167876527,0.2627925676253801,0.19696311321616095
GS,0.04035178147238128,0.20087752854010646,0.18871228477540963,0.19063498372663212
TPR,0.12596239812135518,0.3549118173875803,0.3178217857241534,0.4780814586414721
MA,0.236253848125884,0.48605951088923666,0.4399367228013054,0.472596296417706
SNA,0.004403931881735192,0.06636212686265557,0.057783363814429466,0.05280467663043532
IPG,0.0044128703789599825,0.06642943909864046,0.0563797046506928,0.0521412001987495
COP,0.010406509934214313,0.10201230285712755,0.0820890981459971,0.07823116172612772
EBAY,0.01719016596537625,0.13111127322002578,0.11418850313853576,0.1169852049733857
SWKS,0.2824528577854685,0.5314629411214563,0.4452774801044965,0.23678627907739572
COST,0.006947904694318959,0.08335409224698544,0.07335740604402277,0.07767849529071463
EXPD,0.005020161927204484,0.07085310104155275,0.05666052821046736,0.06372698984908037
GL,0.030697413913038145,0.17520677473499174,0.15204315056364898,0.14878199542366574
TRV,0.015370264493874554,0.12397687080207563,0.11804170868939262,0.11539309701563716
DPZ,0.021191086106231858,0.1455715841303922,0.10407402136834135,0.08621626528645537
DLTR,0.02670528170029389,0.16341750732493104,0.11586107117351341,0.11505797363240723
WBA,0.018091427876852247,0.13450437865308418,0.10821382876371817,0.09309037483064944
F,0.0708069642518815,0.26609578022186203,0.22982674865954728,0.24938603887156066
J,0.08505367558187366,0.29163963307800544,0.24126116653416166,0.3092543083419686
WMB,0.06505180085562592,0.25505254528356686,0.20236762380575166,0.14272922490765655
DUK,0.0021681644311861373,0.04656355260486615,0.0369213093381011,0.03538315726251068
OMC,0.14153108473931955,0.37620617318077004,0.33389527391219515,0.3413923111735601
GM,0.1706555247705175,0.41310473825716104,0.3718406986511339,0.4511456052836724
EFX,0.06901219456454213,0.2627017216626913,0.23541788635684133,0.21680048284520717
IP,0.027026829979255908,0.16439838800686554,0.1480568642968276,0.14561345862375558
FITB,0.12136318083372968,0.34837218722758234,0.28955103534412896,0.29617857314486473
STZ,0.04287040659454223,0.2070517002937726,0.16961824350286575,0.1374491443936187
SWK,0.2096838835252396,0.45791252824665063,0.4041749994134067,0.40627414584964067
HSY,0.030090429703293706,0.17346593239968966,0.14753948982896084,0.1528761709422247
AME,0.10875011672980199,0.32977282594204455,0.2839025540987607,0.2895783331857592
MSCI,0.015073085426896306,0.12277249458610959,0.1103433633981811,0.10922688846640627
ROK,0.06227662143479755,0.24955284297077754,0.1996608277657047,0.2052160597442212
ETR,0.050037559544900245,0.2236907676791786,0.19029297488762587,0.1530990125934008
IFF,0.0033944095137413946,0.058261561202403375,0.044317292664000724,0.03951047365053852
USB,0.02731637489106032,0.16527666166479865,0.140243390249392,0.13243885369190292
DFS,0.006421759542780637,0.08013588174332792,0.06732471492147443,0.06078870653832858
ES,0.005445125695552092,0.07379109496105944,0.05608214405914375,0.04939871798927736
CHRW,0.03068273847378347,0.17516488938649624,0.1414825095093886,0.12691219405426626
PKG,0.02201816157154892,0.14838517975710688,0.12338750592724954,0.11328066733583331
ORLY,0.036996344087664126,0.19234433729035053,0.16220825635612116,0.13394167093347495
MCK,0.09779469810662794,0.3127214385145795,0.2747073818849666,0.23627859643411087
CPRT,0.0612787774485172,0.24754550581361237,0.2072204365694621,0.22099614761678216
PNW,0.02667793944084385,0.16333382821952055,0.12747232452485888,0.12042163668852827
VRSK,0.019276210462912814,0.13883879307640504,0.1275436341628012,0.14256083897137106
MSI,0.07180467785015127,0.26796394878817426,0.23507705198320503,0.24584931771832838
CVX,0.011056459158990343,0.10514969880598966,0.08118432304664626,0.0859389479232331
FTI,0.058382988611428335,0.24162572009500216,0.2106659174452851,0.2224019929602172
