,mse,rmse,mae,mape
STE,0.014170335059672185,0.11903921647789935,0.08862227175088876,0.07311268267549861
REG,0.24964392949332675,0.4996438026167509,0.433831873671085,0.39326049830154414
WFC,0.0024117082906239813,0.04910914671040397,0.040780113857760716,0.03580388408230248
JBHT,0.02556238104927615,0.15988239755919395,0.12916720212085817,0.1280780391842011
SJM,0.008068174780521142,0.08982301921290077,0.07862192267133193,0.0858137656275644
PFE,0.003123053224573766,0.05588428423603335,0.04500007629053287,0.04693674185727091
EQR,0.5202867357733987,0.721309043180105,0.6436542788629652,0.5349281486142327
TSN,0.10694160694122765,0.32701927610039694,0.25410906672973543,0.21927819849196117
TDY,0.0024569837158842835,0.04956797066538314,0.037663975380625735,0.035423794986502936
GOOG,0.08528156618399696,0.29203007753311466,0.24784018618859935,0.25173465244294685
CMCSA,0.017783964382840363,0.13335653108430934,0.1176361959646259,0.11323512143771058
MRK,0.20246592294393145,0.44996213501130455,0.4181180576215815,0.35430429819559156
TXN,0.025518931267182146,0.15974645932596487,0.13394258914214965,0.1180836463076075
XRX,0.014843779616683955,0.12183505085435782,0.10755209093739417,0.10449273427159128
HRL,0.05000137980807836,0.22360988307335247,0.1929732908114622,0.17428332206871894
BSX,0.008049195777633113,0.08971731035665922,0.08127475147936745,0.07718059550017196
EMN,0.007592070581489965,0.08713248866806207,0.07155120335942569,0.06872874099248517
LVS,0.16323842274785383,0.4040277499725159,0.32965234671475935,0.3935088393123503
ADI,0.009491741059825943,0.09742556676676786,0.07717259203829743,0.07748786825133593
NTAP,0.131007319651277,0.36194933298913123,0.29743358025904376,0.3076858707151841
NWSA,0.020611431866710158,0.143566820215223,0.11823541756638759,0.13109745010227655
CAH,0.13800282530310568,0.37148731513082067,0.3284636608092195,0.29584864715954706
MGM,0.031315581581462026,0.17696209080326222,0.1336647113471659,0.1350536610424952
ADM,0.005570361061446398,0.07463485152022745,0.06279188082873392,0.05971928715955674
MSFT,0.04560812327163381,0.21356058454601076,0.19568776549668657,0.17153324031359252
V,0.028744913129902235,0.1695432485529938,0.14783897841249333,0.15030204541343464
FMC,0.05812575652698172,0.2410928379835903,0.18737093329492419,0.23104623180832806
CDW,0.010588601276633434,0.10290092942550827,0.0880411112522399,0.06852966425752374
