,mse,rmse,mae,mape
STE,0.2238616518362316,0.47314020314937477,0.4340696882256052,0.37689946202445784
REG,0.120331056659234,0.34688767152960914,0.3057022667892195,0.27748609017913634
WFC,0.15579997810838087,0.3947150593888975,0.3378946239910235,0.2921511742899818
JBHT,0.03513347298445125,0.18743925145084006,0.17203447718128878,0.1735978487360743
SJM,0.0011101522163748313,0.03331894680770734,0.028302164771517407,0.031356935526008066
PFE,0.017490546653665874,0.13225183043597497,0.10707805423791315,0.1107070727009106
EQR,0.11345972941234139,0.3368378384509991,0.29418418889659464,0.24272730658739375
TSN,0.07261042064706218,0.26946320833661536,0.2433657207172425,0.20597857167691902
TDY,0.13511279152621025,0.3675769191967992,0.3204912638904728,0.30562503053293516
GOOG,0.18980915561987535,0.4356709258372371,0.3644481921493353,0.3694911046932521
CMCSA,0.4375709869839068,0.6614914867055409,0.5781447334888088,0.5518554491342575
MRK,0.020923955140600727,0.14465114980739258,0.1068469615756565,0.08990908832114701
TXN,0.008465213065241528,0.09200659250967579,0.07267531099749669,0.06710818516139941
XRX,0.9894494270734062,0.9947107253234009,0.9028831401525468,0.8540982861350825
HRL,0.04021763632693658,0.20054335273684984,0.17068891952412724,0.15345595773778123
BSX,0.25257881966935264,0.5025722034388219,0.42207089608964937,0.41074955013375053
EMN,0.5053922610355006,0.7109094605049933,0.6019583004253485,0.5987912032329272
LVS,0.2406758903575669,0.49058729127196815,0.40233775046759196,0.47964885576716293
ADI,0.23238079694531202,0.48205891439253773,0.4139117740149099,0.4051874138117444
NTAP,0.006183946057292277,0.07863807002522555,0.06534791646837777,0.07342140570247287
NWSA,0.05390993726607966,0.2321851357561023,0.19892295157576428,0.21954368247876824
CAH,0.0980854959602147,0.3131860404938488,0.2777959067070357,0.2504720980294943
MGM,1.6901343640268451,1.3000516774447257,1.0892439881030491,1.1013782698470678
ADM,0.32486920381275924,0.5699729851604892,0.5080522958067313,0.4612817838479256
MSFT,0.16838788464050355,0.41035092864584033,0.3466886440867037,0.2944449514805686
V,0.8056847845522812,0.8975994566354646,0.7896332496040508,0.7810792002016885
FMC,0.12505002252322214,0.35362412604801463,0.28791867772344126,0.3511988930968386
CDW,0.014126314728750072,0.11885417421676897,0.10183850174079492,0.07680319846696491
GS,0.3326164493939939,0.576729095324654,0.5220960359164821,0.5205910305564296
TPR,0.23190830292043363,0.4815685858945054,0.4433343772462616,0.6606366065674933
MA,0.638462948331318,0.7990387652243901,0.7125199681047266,0.7626069385685288
SNA,0.1355124192340728,0.3681201152260941,0.3293957816306655,0.2898439126633389
IPG,0.10223622264142694,0.31974399547360843,0.28639783421607967,0.2691350809806037
COP,0.009736721819517817,0.09867482870275386,0.08811410204949555,0.08676892415078598
EBAY,0.311860666653313,0.5584448644703549,0.48292412830444004,0.5055636464777946
SWKS,0.49121242184493213,0.7008654805630907,0.5946127193923704,0.31769589818820215
COST,0.017088924640795405,0.13072461375271072,0.09712061929018705,0.09411401466883741
EXPD,0.06003431764943,0.24501901487319305,0.22267302133635772,0.24368502691376664
GL,0.09952614377533864,0.3154776438598124,0.27849981484194414,0.2723641890790771
TRV,0.1203266192920929,0.34688127549940323,0.32213415233331594,0.3067851329354655
DPZ,0.0063193934570240345,0.07949461275472719,0.0656900848768443,0.056751746693535006
DLTR,0.02040428776145321,0.14284357794963415,0.13126001976563612,0.1434868179033733
WBA,0.009607937597413688,0.09802008772396446,0.08874539518214616,0.07979492663715446
F,0.9948423070680354,0.9974178197064836,0.8764522223928167,0.9619179132703606
J,1.192940496613412,1.0922181543141516,0.9324791360816226,1.1845437747920624
WMB,0.4559623907682801,0.6752498728384035,0.5605583519929878,0.42356420555536495
DUK,0.005733938374942226,0.075722773159349,0.055467562197136416,0.05017968712331937
OMC,0.43326242355524003,0.6582267265579848,0.5761149740892098,0.5874800293473591
GM,0.14440593838059543,0.3800078135783466,0.34282042756568065,0.41580958731098305
EFX,0.05299683606635285,0.23021041693709876,0.20834792632452612,0.19246893432013226
IP,0.25839813743984413,0.5083287690460222,0.4597024319689006,0.447034172440542
FITB,0.3006667635903298,0.5483308887800593,0.4714116801557463,0.4806077935498149
STZ,0.08239961714520927,0.2870533350184409,0.2624708861158179,0.2132219793465513
SWK,0.001590937758981984,0.03988656113256674,0.032289333039932554,0.03409754787153384
HSY,0.0140245644400762,0.11842535387355277,0.10235779241906276,0.10567608713108971
AME,0.8205670560977726,0.9058515640532794,0.7861796375010209,0.8002471957481297
MSCI,0.013046551303881267,0.1142215010577311,0.09210405264856732,0.08919896728508338
ROK,0.7013522419944335,0.8374677557938774,0.718031697138127,0.730758777704433
ETR,0.0020672877445982755,0.04546743609000045,0.038315224732516764,0.03335699525853652
IFF,0.005594549438221601,0.07479672077184668,0.06225553049298972,0.05677831730004136
USB,0.12252612304235876,0.3500373166426099,0.3070154838612127,0.2896028378675885
DFS,0.06454422567973596,0.25405555628589577,0.22482239868123327,0.20039620247232498
ES,0.034231868550154185,0.18501856271778294,0.15586390539754777,0.14079730758517484
CHRW,0.009542651894391645,0.09768649801478015,0.07995399534014488,0.07608619713507804
PKG,0.15711062131630937,0.3963718220513529,0.33095062677744125,0.2994921852487309
ORLY,0.03084030043571939,0.17561406673646446,0.14775063932029767,0.12613580404554003
MCK,0.012468134859724663,0.11166080270052094,0.10220170175918496,0.08820403477212373
CPRT,0.09892998937371143,0.31453138058659813,0.27480144298302855,0.29265152343880807
PNW,0.01717149389749172,0.13104004692265536,0.10013219858770901,0.09410543103566932
VRSK,0.023413377106070023,0.15301430359959825,0.14341674495599163,0.1598041316866796
MSI,0.19553623615752092,0.44219479435823406,0.39125707273160965,0.408661995386582
CVX,0.1072646053891868,0.32751275607094577,0.2896382401364849,0.2998846957520711
FTI,0.09341367000706817,0.30563649979521124,0.24370341221090872,0.2729462965695258
KMI,1.432964860700913,1.1970651029500914,1.0632893070099043,1.0020964807090909
GIS,0.07708306424512942,0.27763836954774357,0.24551126518689148,0.23622561669095676
NFLX,0.09618610949412017,0.31013885518283607,0.24554096504127693,0.2492883454629706
IT,0.5140714902946315,0.716987789501768,0.64236799063906,0.6085143842037474
RF,0.09200024891222669,0.30331542808143913,0.2505756203794589,0.24583490598656244
TSCO,0.5015737611180033,0.7082187240662332,0.6395759783592401,0.7281836471419666
JNJ,0.04457324301364075,0.211123762314053,0.1824441699526172,0.1652774186741296
TFX,0.1142548087737885,0.33801598893216356,0.2921629869120405,0.2614242327989765
WAB,0.8541193626732253,0.9241857836351007,0.8110320749888592,0.7469199076141245
HD,0.08347547832913262,0.28892123204972775,0.2721603754993734,0.2563215406616143
SYY,0.05148426022353369,0.22690143283711034,0.1996625001248705,0.20765689677750376
