,mse,rmse,mae,mape
STE,0.06880621194902628,0.2623093821216204,0.20911150830889186,0.17400761879870877
REG,0.6795038431368565,0.8243202309399281,0.72187485913118,0.6565374433063551
WFC,0.0010645976733396811,0.032628173000333334,0.024901558826187754,0.022028037010579343
JBHT,0.1687996682429961,0.4108523679413277,0.3530124302087527,0.35227934034235825
SJM,0.08655315259782392,0.294199171647073,0.2432458464184951,0.26330278281579655
PFE,0.01527811846894098,0.12360468627419019,0.10197800718698777,0.10546750045375454
EQR,0.9727328749514194,0.9862722113855887,0.8790661262796958,0.7309607081194525
TSN,0.026610183909847325,0.16312628209411054,0.14424659202723628,0.12434806224518147
TDY,0.10053856855715537,0.317078174204967,0.27969411930534405,0.2647806951839674
GOOG,0.0666774267597107,0.25821972573703716,0.22012187093406715,0.22357123174168622
CMCSA,0.03415951605213326,0.18482293161870703,0.15618187997747232,0.15131018209739366
MRK,0.18305839175406108,0.4278532362318428,0.398222038998476,0.33749591646583776
TXN,0.006873380357052139,0.08290585236913096,0.06679718549151008,0.0585777955182412
XRX,0.020844639159325565,0.1443767265154795,0.1299985864751378,0.1255935534212537
HRL,0.10265356918057687,0.3203959568730181,0.2802051879495964,0.25351241775059835
BSX,0.004081076404868404,0.06388330302096475,0.05192691057810952,0.04971772917434058
EMN,0.010652696296113907,0.10321189997337471,0.07892734778757211,0.07990818495939883
LVS,0.01628502741065706,0.12761280269101946,0.0995837418352506,0.11314406530164026
ADI,0.004871711402328565,0.06979764610879485,0.054879792070470494,0.055185764632986606
NTAP,0.2836823434913428,0.5326183844849357,0.4529740017061999,0.47209838021809625
NWSA,0.018933840267001553,0.13760029166757443,0.11252066018449527,0.12489462898096819
CAH,0.12636098557302955,0.3554729041333946,0.3140684039128486,0.283250145735642
MGM,0.03827086667233739,0.1956294115728445,0.16639329467436365,0.15646840111463947
ADM,0.0069740262517708545,0.08351063556081258,0.06944827110175576,0.06441873367251251
MSFT,0.026427000108715376,0.16256383395059115,0.1489830024697433,0.13122195302137354
V,0.013389898155117961,0.11571472747717967,0.09207383568636614,0.08835606983091165
FMC,0.01574020518265112,0.1254599744247189,0.10717299209489946,0.11746962644504835
CDW,0.018368038849647297,0.13552873809508925,0.11358915615588495,0.08566699391766529
GS,0.013804742068725393,0.11749358309595206,0.09815016879841064,0.09674806586857862
TPR,0.1421463407779651,0.3770229976778142,0.3369358152477881,0.5066519348315915
MA,0.01019658060272565,0.10097811942557482,0.0789426946983838,0.0867909591914382
SNA,0.1493173873063837,0.386416080548395,0.3327280649770545,0.2902850683106648
IPG,0.0039927654244138015,0.06318833297701247,0.04870658508733658,0.04748714655848791
COP,0.07208628381086515,0.26848888954827377,0.21850748061874364,0.22251787583854798
EBAY,0.004194002427852172,0.064761118179446,0.048114895403811274,0.050993599644893056
SWKS,0.39432061830535353,0.6279495348396665,0.5329366178958438,0.285455976868431
COST,0.030006150608725458,0.17322283512494954,0.12360632704868403,0.11852936837438927
EXPD,0.1790385793798908,0.42312950662875165,0.36084239274617314,0.38782556169574417
GL,0.0041302968753896465,0.06426738578306765,0.05526723416456428,0.053919898289664606
TRV,0.06164486865386629,0.24828384694511701,0.19575067679083064,0.18078270825717124
DPZ,0.0969413940535964,0.3113541296556004,0.26237953036030603,0.2249781858417323
DLTR,0.025778391291895356,0.16055650498156515,0.11307996104967843,0.11218385993520648
WBA,0.0433384546961733,0.20817890069882994,0.18513596149104017,0.161694567708463
F,0.07386689157637452,0.27178464190673934,0.23543711444092255,0.2554603466946687
J,0.015526788247187773,0.12460653372591572,0.10417954748120975,0.12163206376078957
WMB,0.5723965137623613,0.7565689087996951,0.6720889390201666,0.49281758187302516
DUK,0.708020630670298,0.84143961795859,0.7285975645059877,0.6759983954339484
OMC,0.02297593189080825,0.1515781379052014,0.13374951406858668,0.13762655139135643
GM,0.053601624420502356,0.23152024624317924,0.208609558700194,0.2532292218218
EFX,0.022959441781371253,0.1515237333930604,0.12756894194577992,0.11668287983749005
IP,0.13166395416618532,0.36285527992050126,0.3051904974089024,0.29276172048322613
FITB,0.18731390656377003,0.43279776635718675,0.36537842744580257,0.37310816103541894
STZ,0.4469079759711464,0.668511762029021,0.5762376251475537,0.4673511299014293
SWK,0.35156364714427424,0.5929280286377717,0.5268939467665472,0.5303578165519143
HSY,0.23761274276879374,0.4874553751563252,0.4292364564726785,0.4363103774398239
AME,0.04912040005182475,0.2216312253537952,0.1910225883223173,0.19388023880411687
MSCI,0.0071864036237332014,0.08477265846800607,0.07309383485139695,0.07118371200204045
ROK,0.005702406482028862,0.07551427998748887,0.055579450569707416,0.05437866686999916
ETR,0.5295416212598769,0.7276961050190367,0.6359924891105107,0.5168716440725376
IFF,0.028196437995196052,0.1679179501875724,0.13038844877681033,0.11756575931380141
USB,0.010388035484000758,0.10192171252486272,0.0899065023242058,0.08458036298671211
DFS,0.028476867896961054,0.16875090487745853,0.14715992054848456,0.13030245021118747
ES,0.3762148575804978,0.6133635606885184,0.5409286501961392,0.486058017055992
CHRW,0.7897063857672502,0.8886542554712998,0.7556270973175713,0.6832819052834447
PKG,0.028101755658423162,0.1676357827506501,0.1396462785960548,0.12313228257009996
ORLY,0.043561148652373316,0.20871307733913877,0.17832929092355052,0.147551711926133
MCK,0.008095646031611017,0.08997580803533257,0.07272310382953655,0.06479846562366291
CPRT,0.0064140789602663,0.08008794516196742,0.06575524074951267,0.0704631775345431
PNW,0.6287811387288251,0.7929572111588525,0.688257507972949,0.6642211417815921
VRSK,0.031877449492309716,0.1785425705323795,0.14762603645955974,0.16227943740258113
MSI,0.005886806862778482,0.0767255294069613,0.06574576637099717,0.06896457193625878
CVX,0.09091785639840376,0.3015258801469681,0.25873563110054487,0.2685067655004948
FTI,0.07987612008442627,0.2826236368112658,0.24921653757190865,0.2642314949663257
KMI,0.08163012049608162,0.28570985369091073,0.2231086657450864,0.20346150677124789
GIS,0.2598651090631462,0.509769662752842,0.450483828589055,0.43621111725884204
NFLX,0.02772105068328666,0.16649639840935498,0.12491808000795239,0.12691056978132315
IT,0.03395052100810132,0.18425667154299005,0.16269397034609012,0.15614321502684098
RF,0.00904338633785578,0.0950967209626903,0.07741836163963316,0.07600509713549047
TSCO,0.010228342034099301,0.10113526602575039,0.08813360725414258,0.10077767924285891
JNJ,0.00374368414676282,0.061185653112170175,0.05137702904557686,0.0484331498905661
TFX,0.004203843588240123,0.06483705412987333,0.05795629788378722,0.05307619036754711
WAB,0.059402356077161045,0.24372598564199313,0.20949712446616786,0.19173474409071717
HD,0.0643706750755799,0.2537137660348368,0.19507264428207216,0.17297543206044444
SYY,0.00963725020679683,0.09816949733393174,0.0866711318571084,0.09041682635789547
AVB,0.8416647914527308,0.9174229076346038,0.8117730426587805,0.7165944036584071
K,0.09903923675335058,0.31470499956840625,0.2767623592991203,0.2685590301812459
NEE,0.43797070151546574,0.6617935490131841,0.5914501732594998,0.5239224650746297
TGT,0.12761751608691346,0.35723593896319206,0.281978815865389,0.2868827271032074
FANG,0.07380861834666519,0.27167741596729233,0.2022569513828999,0.1755741398042331
POOL,0.01801219226912996,0.13420950886256144,0.12062552395014031,0.11929055159802353
LKQ,0.013819443213751205,0.11755612792939041,0.09045906749456484,0.11020993807931258
LNC,0.19217894188703932,0.43838218700928,0.3967957748858026,0.3897440060202442
NKE,0.052176368502970354,0.2284214711951798,0.16917000487851852,0.15346302517479218
HBI,0.1394402831650164,0.37341703652219244,0.30438670155749864,0.2104435634447087
CAT,0.03169374138956515,0.17802736135090344,0.1634534216988271,0.1427914750450447
TJX,0.012075721137968282,0.10988958612156241,0.08221988646390205,0.0922550355331905
TER,0.10805140543648238,0.32871173607962706,0.29803376214656,0.27104695265955464
ABT,0.05430554709609435,0.23303550608457577,0.21328910999662987,0.19412481959899952
HAL,0.07086990601196246,0.26621402294387586,0.18439528627176965,0.20587340042352936
PWR,0.03616309899579309,0.19016597749280256,0.1594588422542501,0.1440645769015633
STT,0.2579718995090707,0.5079093418210288,0.4685606919082916,0.4797841687448438
HAS,0.005996439233452663,0.07743667886378304,0.062010129253343274,0.06273741466418677
OXY,0.025601064218281407,0.1600033256475671,0.13665589065048497,0.1379856415408513
NWL,0.05725260591133102,0.23927516776993601,0.19538462122969594,0.18616429153537908
RHI,0.026996191994906264,0.1643051794524636,0.12777342099968125,0.10390949320614408
VTR,0.7699434819620263,0.8774642340073049,0.7775842007610916,0.761783036279525
NOC,0.00639134481415583,0.07994588678697503,0.06554365657489074,0.05836973703821038
CE,0.0060808103772749915,0.07797955101996286,0.06360727701515542,0.06371476798614624
EQIX,0.5116740073039006,0.7153139222075162,0.6425452213760439,0.5428373683524564
TFC,0.08082826595430911,0.2843031233636189,0.2609310475166353,0.25233749193861366
MTD,0.10354895464431169,0.3217902339169287,0.26788803874173756,0.255620441546996
DE,0.019684253011836,0.14030058093905384,0.12468275602507892,0.12906053728619687
ROP,0.24343444038262266,0.49339075830686435,0.42977324141780954,0.4026052348916489
AZO,0.01230889404341372,0.11094545526254655,0.09440103601136977,0.08453345615268869
ADBE,0.00725890640823539,0.085199216007164,0.0667445845007963,0.05844997566542071
TYL,0.08330064759422974,0.28861851568156494,0.2671232751857561,0.3102156260478874
DHI,0.015421253298237831,0.12418233891434736,0.10362724077991735,0.09796135457396164
LYB,0.02274574704255643,0.15081693221437847,0.12496931428265061,0.1037427428699064
AFL,0.006817730499740354,0.08256954947037289,0.07552266500728792,0.08243220496883039
EOG,0.2882692033338542,0.5369070714135308,0.48837495671759534,0.44954542227546584
ROL,0.0053951653395796755,0.07345178921973021,0.05489065472020202,0.055706656967467925
DOV,0.1277891249125088,0.35747604802631017,0.3217418348700625,0.30952326725016
GOOGL,0.06139327791889995,0.247776669440244,0.21006019998362763,0.21084605836973938
GRMN,0.07316211316516186,0.27048495922169474,0.24726874895916068,0.2131062246218516
SLB,0.03158939699254227,0.17773406255566845,0.1339666573197639,0.1319541957342627
FRT,0.43223619764258564,0.6574467260870539,0.5844602223929578,0.5035942922248166
IEX,0.15420264134246944,0.39268644150577625,0.3465952454561636,0.33581562344492594
RMD,0.07024395664263787,0.26503576483681945,0.21612916839099308,0.23408516682909708
ULTA,0.13841475587322424,0.37204133624266034,0.28976246830616154,0.3474678365900972
CCI,0.014242143621646252,0.11934045257852113,0.09672871771887064,0.09321987331123249
CSCO,0.02603103730353258,0.16134136885353545,0.13150634422782567,0.12051565695604274
PNC,0.187894971372076,0.4334685356194565,0.3668316512467071,0.32851269902188085
KR,0.3291474381863354,0.5737137249415735,0.4809312996209454,0.39163616338335777
DXC,0.04947990934096565,0.22244079963209457,0.20998210894255337,0.19035688935372871
PNR,0.0153874427479526,0.12404613153159029,0.10540434341150332,0.11610494677256475
BIIB,0.01212800286876671,0.11012721220827626,0.08664638554316349,0.07889576685580482
DG,0.10056186184515616,0.31711490322146035,0.2559929095485235,0.25185130006126505
DVA,0.026620504870238086,0.16315791390624632,0.150408410284098,0.13235088830900207
RSG,0.21854130166731928,0.4674840122050371,0.40254535058452456,0.36428849669756697
ZBH,0.004556641742086717,0.06750290173086426,0.05561785911220866,0.049937807887742804
PAYX,0.007010761917892897,0.0837302927135269,0.06977173761995942,0.07303075402021095
LHX,0.026540632250732287,0.162912959124596,0.13159418508828172,0.12988239665416823
JKHY,0.002985498409972879,0.054639714585389985,0.03906543402282593,0.040243743922573405
ALK,0.01662083267650897,0.12892180838209247,0.10893956139549875,0.08663604782715857
AXP,0.009282899274276368,0.09634780368164272,0.08148944255293736,0.08106036188958565
ESS,0.5263145752337708,0.7254754132524208,0.6441956777732699,0.5499008786752354
UAA,0.3865805404453752,0.6217560135980795,0.554957362357515,0.3812913546637384
WHR,0.01698674430627562,0.1303332049259728,0.09473139722047537,0.09020064784611485
GD,0.5639520136624984,0.7509673852188911,0.668862864744165,0.5048972071096882
WYNN,0.030878645789370884,0.1757232078849316,0.12275661835873297,0.11787064945547748
NCLH,0.012385091742581575,0.11128832707243638,0.09446195014284874,0.09707280774280055
CMG,0.034055786402974735,0.1845420992699897,0.15274565699637221,0.14261790411181793
PPG,0.005535196696924747,0.07439890252500199,0.06035761440082589,0.05742378862348928
LEG,0.2660742662598989,0.515823871355232,0.44595706238379246,0.3768997559115509
IDXX,0.006902982371108124,0.08308418845429089,0.0697407985271822,0.060563402352064186
NVDA,0.10378652165058679,0.3221591557764373,0.29160993074760194,0.24445644115461104
WST,0.015893755112520856,0.12607043710767746,0.10828762567330552,0.11961600708941143
