,mse,rmse,mae,mape
STE,0.11680626168580426,0.34176931062604826,0.3116153290977589,0.2703391349912515
REG,0.26670049037659654,0.5164305281222215,0.45281059160808446,0.4106154794653061
WFC,0.0017649392644770948,0.042011180231898926,0.0327413762315651,0.028713470983610483
JBHT,0.011023867291758948,0.104994606012685,0.09697909290317741,0.09867741397354325
SJM,0.017417995075818805,0.13197725211497172,0.10852874491769397,0.11712488015380758
PFE,0.1229531171394771,0.3506467127173405,0.30935006437602564,0.32220665107336893
EQR,0.03250035706662793,0.18027855409512228,0.16129920538839554,0.13387309158231242
TSN,0.013270679489979445,0.11519843527574254,0.09197960931693912,0.07689002754962139
TDY,0.016211429720840734,0.1273241128806352,0.10944677129108189,0.10290458628326207
GOOG,0.14016254412495482,0.37438288439104,0.3123833214281279,0.316833868364952
CMCSA,0.07903903722776551,0.2811388219861595,0.24613390410170263,0.23545646534657894
MRK,0.017218858777863708,0.1312206492053126,0.12533396502678754,0.10653278265586727
TXN,0.015806195379188044,0.12572269237964975,0.106216740279167,0.0964730976804174
XRX,0.44942126846537034,0.6703888934531734,0.6045523609399165,0.5710819879821628
HRL,0.09932205349649056,0.31515401551700173,0.27401328205835185,0.24717238086807458
BSX,0.32137934755707426,0.5669032964775159,0.4739048637313358,0.4606086004250916
EMN,0.3976492836442332,0.6305943891632982,0.5266420867175304,0.5240625342521767
LVS,0.39024542713608745,0.6246962679063222,0.522787551787941,0.6204158487929262
ADI,0.2893947950344384,0.537954268534453,0.46650259229589097,0.45688424571857833
NTAP,0.01092368931811185,0.1045164547720207,0.08528914794331399,0.0885831711152786
NWSA,0.01345481949025466,0.11599491148431754,0.09039990709958433,0.10123614248491715
CAH,0.19407801961589163,0.4405428692146675,0.39054125656236494,0.35139181744800096
MGM,1.5139432133563004,1.2304239973912654,1.0316336279903455,1.0432768675741404
ADM,0.15778786690167929,0.3972252092977978,0.36246345136270075,0.3317052308584205
MSFT,0.1516337903806821,0.3894018366426667,0.33060390753420416,0.2810501298331786
V,0.25732331501779143,0.5072704554946912,0.4479005330678056,0.4452231942694265
FMC,0.06817618337220503,0.26110569387166765,0.2009361872793959,0.24830510522624497
CDW,0.011977803022718204,0.10944314972952032,0.0933527366291214,0.07069605806872646
GS,0.10256977125932117,0.32026515773546327,0.296876567360897,0.29794133025115394
TPR,0.07047268342824423,0.2654669158826467,0.242825729595407,0.36352305206480684
MA,0.38945636458469735,0.6240643913769615,0.5611487639724063,0.6015816526493267
SNA,0.06810524628941088,0.2609698187327624,0.23472103695230537,0.20715644939853772
IPG,0.1495014790862735,0.38665421126152694,0.34074700422010035,0.31686021614546866
COP,0.046003140577893856,0.21448342728027697,0.18261408928415634,0.1711201987081142
EBAY,0.46073810643258334,0.6787769194901837,0.5942827163758627,0.6214441820627022
SWKS,0.23809363231413833,0.48794839103550525,0.40224140857625607,0.21213070844089033
COST,0.004741929036586272,0.0688616659440234,0.05466158388379644,0.05408438690858997
EXPD,0.03131855177339714,0.17697048277438002,0.14481967328778508,0.15339449513964307
GL,0.029395296326391086,0.17145056525538516,0.147950179263699,0.14475991153452086
TRV,0.0040459704597518124,0.06360794336992678,0.053387902806336894,0.05394053251662764
DPZ,0.014211465957968496,0.11921185326119418,0.07581703657610277,0.06146613229621601
DLTR,0.006299013215594555,0.0793663229310427,0.06362457313343137,0.06608763432244341
WBA,0.07725170383380402,0.2779419073004357,0.2532145100630857,0.22207330933830408
F,1.4616311453040574,1.2089793816703647,1.0661398732923608,1.1713612430809066
J,0.8413917396610854,0.9172740809927452,0.782474237701796,0.9943988418399035
WMB,0.06825795906433517,0.26126224194156944,0.18606336800733264,0.1446764970666633
DUK,0.01397777523865322,0.11822764160150205,0.092885283711714,0.08457166459098342
OMC,0.23013719776137426,0.4797261695606925,0.4203167584257835,0.429040890089982
GM,0.19234547025109405,0.4385720810210039,0.4003707801747588,0.48518918568901753
EFX,0.0016488274534496683,0.04060575640780095,0.031453535549559604,0.029998307146836073
IP,0.0710179991523654,0.2664920245567687,0.24295039481668107,0.23756590628069066
FITB,0.07490394596123753,0.2736858526874152,0.22287191896838446,0.22833248291218494
STZ,0.0892303006577257,0.2987144132072065,0.27692556948048347,0.22546128303573354
SWK,0.0026182092331840778,0.0511684398158091,0.0422026865800812,0.04260634621523736
HSY,0.00354599157137506,0.0595482289524639,0.04578735559986345,0.04505982106754947
AME,0.4785078966832592,0.6917426520630771,0.6017439844173399,0.6127846877844375
MSCI,0.12058195823321963,0.3472491299243522,0.2966164000238452,0.2879543437243284
ROK,0.22032453362281723,0.4693874024969324,0.39067183205364037,0.3988937951022414
ETR,0.002540285884163402,0.05040124883535528,0.04317354498859045,0.037587897309439657
IFF,0.032990385535737875,0.18163255637615708,0.1661107007378079,0.14778126478235945
USB,0.04098420009377098,0.2024455484661764,0.17331119658072092,0.16350419947883943
DFS,0.013842419165090474,0.11765381066965266,0.1002232216256072,0.08949748331926034
ES,0.0127617364698264,0.11296785591408912,0.09089020543334231,0.08271913687288397
CHRW,0.023927229796746965,0.15468429072387074,0.1263360733479038,0.11378061602809768
PKG,0.013389968131299291,0.11571502984184592,0.09347733598293174,0.0858918624543428
ORLY,0.005645278804697892,0.07513507040455802,0.05801196345071583,0.05051521404676275
MCK,0.11840307823770652,0.3440974836259436,0.30707126206550617,0.2631239985973445
CPRT,0.013288137470669953,0.11527418388637567,0.09456461851639482,0.10188648706195137
PNW,0.05379260100536595,0.2319323198809643,0.19124606979887637,0.1820350248086643
VRSK,0.0016922852058110004,0.041137394251593046,0.03431711137709851,0.03823356691248646
MSI,0.059358984498868284,0.24363699328892624,0.21322721728170746,0.223132577083535
CVX,0.01687116035845288,0.12988903093969437,0.1046838505291901,0.11015300128489229
FTI,0.1668797403504712,0.40850916801275244,0.34164972490195844,0.38028997870827036
KMI,0.45607629871326494,0.6753342126038521,0.6078854618861722,0.5756369329975006
GIS,0.11044116159542833,0.33232688966652746,0.2928806424089833,0.281875299742607
NFLX,0.021412959566175387,0.146331676564493,0.12244278651087057,0.12296646980257482
IT,0.1485438796305135,0.3854139068981729,0.3476968972973631,0.33088216635410345
RF,0.012139050830069924,0.11017736078736831,0.0896899257665557,0.08800168875407366
TSCO,0.08898387953495673,0.2983016586191849,0.27259358769774156,0.314773985344554
JNJ,0.09247271564197578,0.30409326799844777,0.2655272884524384,0.24074187186853077
TFX,0.1822687975480184,0.42692949950550196,0.37602135964404365,0.33748249570203154
WAB,0.3815351660422839,0.6176853293079607,0.5369821752465759,0.4945686929172316
HD,0.013703529225143913,0.1170620742390289,0.10600749505601409,0.103570510703773
SYY,0.0964805486840959,0.31061318176165015,0.2790768302063668,0.2908471656493741
AVB,0.0294023927614185,0.17147125928685106,0.1502406395465316,0.1319154021780258
K,0.013576476124029128,0.1165181364596479,0.10228964657252308,0.09805643115308314
NEE,0.003018789832660886,0.0549435149281595,0.04847978287405092,0.04342738560679394
TGT,0.020417326185303626,0.14288920947819547,0.0967494551600859,0.09580031156804462
FANG,0.5845351796275315,0.7645490040720291,0.5768141442971463,0.4882303409364975
POOL,0.05690675678764258,0.2385513713807627,0.20679985858095487,0.20757366584978246
LKQ,0.26734635988820515,0.5170554708038637,0.4237562563440981,0.5181268432084483
LNC,0.004100141729513457,0.06403234908632868,0.05034538649505429,0.04898053754117014
NKE,0.028492544622057817,0.1687973477933164,0.11626979929933266,0.10376974383960988
HBI,0.2306690868510767,0.4802802170099001,0.40276545275911607,0.2804818718454284
CAT,0.3289632293312687,0.5735531617306879,0.47290589744947376,0.42059957232091655
TJX,0.029950977078567732,0.17306350591204298,0.15784466208221065,0.17176616711635298
TER,0.0865061555237673,0.29411928791523906,0.2414751175932802,0.2239580919222782
ABT,0.008955859033007618,0.09463540052753841,0.08550475228332682,0.07817947320832706
HAL,0.05208711547900152,0.22822601840938628,0.14754902037711864,0.16628317578052398
PWR,0.6452328443806401,0.8032638697094748,0.6679343098532655,0.639298662039638
STT,0.012564086913692636,0.11208963785155449,0.10461088238647508,0.11031922628017811
HAS,0.002770455578081536,0.05263511734651625,0.04074722489852938,0.041518000108620945
OXY,0.07928986906129584,0.28158456822293343,0.2282938038261544,0.24157084800945203
NWL,0.03883367731811403,0.19706262283374296,0.1844221932196874,0.1826390672398703
RHI,0.2591242587346472,0.509042492071779,0.4601511990164199,0.3898155251594375
VTR,0.0017643062814347691,0.04200364604929874,0.03401304735496952,0.03440636463602449
NOC,0.028456334892859717,0.16869005570234338,0.14586736232202976,0.12959935198764058
CE,0.0463200769670802,0.21522099564652192,0.18593808585355803,0.17618281603654334
EQIX,0.046135433846670106,0.2147916056243123,0.18244192278268848,0.1551441964528891
TFC,0.15629918990455555,0.39534692347931016,0.3338658839393862,0.3236217007721
