,mse,rmse,mae,mape
STE,0.006587517572606294,0.08116352365814519,0.06890704902497462,0.06371535463226438
REG,0.07491939655402882,0.2737140781071168,0.23420635203794785,0.21141449317483588
WFC,0.008465481644498824,0.09200805206338641,0.07231981700730633,0.06280992441094146
JBHT,0.010094004416336224,0.10046892263947207,0.09166731874645981,0.09324471478417724
SJM,0.0029495243582041367,0.054309523641845145,0.04335032483399393,0.048670862806062004
PFE,0.03591036996393332,0.1895003165272642,0.165239237245385,0.17401382057784492
EQR,0.08683163310394769,0.2946720772383221,0.26271776355137066,0.21781250529123883
TSN,0.052820263825724766,0.2298265951227681,0.18891658630527938,0.1630226387907684
TDY,0.008448212066554977,0.09191415596389371,0.07646260123579011,0.07368377854913766
GOOG,0.27086442497671404,0.5204463708939798,0.44506236365263646,0.4503998492279721
CMCSA,0.060940402348507165,0.24686109930182837,0.21646785450831557,0.20736130822174315
MRK,0.10583526884654595,0.3253233296991563,0.26038129647967195,0.21845148047635973
TXN,0.010400235408571084,0.10198154445080287,0.08385122884201121,0.07665104011713016
XRX,0.059732351486890364,0.24440202840175113,0.22313183280533014,0.21334332329327535
HRL,0.0036627431292163897,0.06052060086628676,0.04836519963686579,0.0447914593237326
BSX,0.003978653775667172,0.0630765707348392,0.05049176713627718,0.04840461923267648
EMN,0.006492847725189642,0.08057820874895173,0.06377340600879958,0.06398894645331522
LVS,0.24603603607482313,0.49602019724485324,0.40805936383530944,0.486322047097347
ADI,0.03893469238927969,0.19731875833098,0.16333671076787323,0.16207193804256825
NTAP,0.009841466926075132,0.09920416788661215,0.08412899344587371,0.08766582740554839
NWSA,0.08107972305476292,0.28474501409991876,0.2453955532335781,0.2702279604507289
CAH,0.1563255741038793,0.3953802904848436,0.35010085087515785,0.315179943504459
MGM,0.061969764094515045,0.24893726939635827,0.19149315265858102,0.19608371755555667
ADM,0.11507642707461874,0.3392291660140955,0.31346569644527084,0.28848935708965306
MSFT,0.003282494805395393,0.05729306070891477,0.04845625858760061,0.044621438552880324
V,0.07308788852175287,0.2703477178038551,0.2364707361953681,0.2375466411125828
FMC,0.06590968769841296,0.25672882132400515,0.20020074729445383,0.24668217460105926
CDW,0.09070483731767218,0.3011724378452852,0.2693932201627387,0.2019673737259946
GS,0.0563544262860683,0.23739087237311443,0.22207313917712124,0.22381996900776716
TPR,0.1262022068296373,0.35524949940800377,0.3181401970283298,0.4785515704910148
