,mse,rmse,mae,mape
STE,0.0065875175700892425,0.08116352364263914,0.06890704901261892,0.06371535462036376
REG,0.07491939656275716,0.27371407812306103,0.23420635205225682,0.21141449318784858
WFC,0.008465481652609269,0.09200805210746106,0.07231981704772562,0.06280992444597468
JBHT,0.010094004419474455,0.10046892265509,0.09166731876139671,0.0932447147991073
SJM,0.0029495243582037703,0.05430952364184177,0.04335032483451325,0.048670862806596334
PFE,0.036275372430845415,0.19046094725913082,0.1661192961176631,0.1749342304289019
EQR,0.08683157657037811,0.29467198131206523,0.2627176755648609,0.217812431904695
TSN,0.05282026381798507,0.22982659510592995,0.18891658629468264,0.16302263878153728
TDY,0.008448212066265589,0.09191415596231947,0.07646260123440268,0.07368377854781948
GOOG,0.27086442493448104,0.5204463708534061,0.4450623636150125,0.4503998491901822
CMCSA,0.06094042471333194,0.24686114460022246,0.2164678951344713,0.20736134704163806
MRK,0.10583526844335489,0.32532332907947886,0.2603812959332871,0.21845148001786158
TXN,0.01040023054108973,0.1019815205862794,0.08385120487009477,0.07665101863238145
XRX,0.0597323514862588,0.24440202840045908,0.22313183280408652,0.2133433232921006
HRL,0.0036627431294500683,0.06052060086821733,0.048365199638736166,0.04479145932544613
BSX,0.003978653653206014,0.06307656976410507,0.050491765725003426,0.048404617953600945
EMN,0.006492847722787804,0.08057820873404796,0.06377340600129415,0.06398894644477506
LVS,0.24603603602198187,0.496020197191588,0.4080593637890411,0.4863220470429674
ADI,0.0389346923945343,0.19731875834429502,0.1633367107805592,0.1620719380549351
NTAP,0.009841466917044059,0.09920416784109455,0.08412899342104535,0.08766582738340326
NWSA,0.08107972232754938,0.28474501282296305,0.2453955520485398,0.27022795916231585
CAH,0.15632556942022766,0.39538028456187296,0.35010084549634585,0.3151799386722423
MGM,0.061969762522785285,0.24893726623947907,0.19149315010969248,0.1960837149190819
ADM,0.11507642710769585,0.3392291660628488,0.31346569649026707,0.2884893571306063
MSFT,0.003282494799600957,0.05729306065834637,0.04845625853779327,0.04462143850950524
V,0.07308788854463077,0.27034771784616707,0.2364707362343421,0.23754664115103083
FMC,0.0659096877131685,0.2567288213527428,0.20020074732153484,0.24668217463307757
CDW,0.09070483731467824,0.3011724378403147,0.2693932201581838,0.20196737372257298
