,mse,rmse,mae,mape
STE,0.03569693766187405,0.18893633229708373,0.145365942092842,0.12004571156109976
REG,0.2769600089032324,0.5262699011944655,0.4575409596850183,0.41493181755914693
WFC,0.017775177662839998,0.1333235825457747,0.1195617069090443,0.10427146063608977
JBHT,0.07344886073229558,0.2710145028080519,0.22939740116492685,0.22841551680090805
SJM,0.010945366077659224,0.10462010360183756,0.0903004809018282,0.09825451284944414
PFE,0.006057780653228705,0.07783174579327323,0.062902083548344,0.06488534129091411
EQR,0.5099550883077196,0.7141113976878675,0.6369151412636572,0.5292869026953518
TSN,0.16324422591170606,0.40403493154887743,0.31432764781890116,0.2712972299991522
TDY,0.007037827174063153,0.08389175867785317,0.06697318544948509,0.06271679525285964
GOOG,0.06423307454025913,0.2534424481815529,0.21678137775787118,0.22014389395404727
CMCSA,0.013164987542141533,0.11473877959147698,0.09926969688408023,0.09497767387664235
MRK,0.03389745240239606,0.18411260793980422,0.16856609933355826,0.1441936912945367
TXN,0.0575585831529597,0.23991369938575766,0.20662055917981112,0.18301191541712794
XRX,0.014066998890927255,0.11860437972911142,0.10442796714296076,0.10154744419175686
HRL,0.04647173798910303,0.21557304559963666,0.18549731665323047,0.16748343075939895
BSX,0.009117581619287291,0.09548602839833319,0.08752045578941228,0.08315493235983877
EMN,0.008235814567415747,0.09075138879056203,0.07432126994158302,0.07132551639021131
LVS,0.138316213075994,0.371908877382611,0.3036330861020792,0.362248275691082
ADI,0.0038704111485281583,0.06221262852932802,0.0501807383560449,0.05006787294334579
NTAP,0.20134346791022803,0.4487131242901505,0.37601054776334053,0.3906191718154766
NWSA,0.005997110501654902,0.07744101304641425,0.0617998001340715,0.06818274877857056
CAH,0.08686706675685317,0.29473219497851466,0.2583882490510546,0.2332495583659879
MGM,0.02958024166944693,0.1719890742734751,0.13042978579962813,0.13139196944910217
ADM,0.006341417145404814,0.07963301542328291,0.06669858457059481,0.062740337986353
MSFT,0.03555629215486074,0.18856376151016063,0.1730356465726293,0.15199402020389866
V,0.009629875343089277,0.09813192825522832,0.08622487816171814,0.08856070065969723
FMC,0.022645097578638206,0.1504828813474749,0.11633004847741589,0.14293559634252123
CDW,0.013994886240677797,0.11829998411106317,0.10121722734302768,0.07721625071470854
GS,0.041844276291146135,0.20455873555325407,0.1659240271350052,0.1618884309589803
TPR,0.1770735544643726,0.4208010865769866,0.37742913207629164,0.5670510401978948
MA,0.019304738985847836,0.13894149483091017,0.12011458688676388,0.13138329438388235
SNA,0.14459701402141928,0.3802591406152116,0.32738482286993986,0.28559360680801155
IPG,0.004712871303779445,0.06865035545268097,0.058095089419421056,0.05359099130477161
COP,0.07665072628216373,0.27685867564908223,0.22597347761829203,0.22989158685730404
EBAY,0.012337099469525869,0.11107249645851068,0.09671588838472446,0.09901944743996767
SWKS,0.4038185253908172,0.6354671709780272,0.5402128562669546,0.28951976662998974
COST,0.05144456475169471,0.226813943027528,0.16626283249176324,0.16029767562467614
EXPD,0.13566514167798993,0.3683274924275813,0.3131328739911399,0.33607745703782593
GL,0.0016531596493257437,0.040659066016397176,0.032083959683781076,0.03137390453851876
TRV,0.06985737016712658,0.26430544861414906,0.2099851977658346,0.1941222567634418
DPZ,0.022996884460163836,0.1516472369025029,0.11049762188726171,0.09186933687038304
DLTR,0.010278596893753378,0.1013834152795879,0.0928975179313869,0.09946242865505583
