,mse,rmse,mae,mape
STE,121.76190781450056,11.03457782674537,8.614972703911251,8.140187922683971
REG,440.5411155420062,20.989071335864438,16.70685316309136,16.33268894101052
WFC,159.75085178175428,12.639258355685048,8.714632766004081,7.849487630273224
JBHT,33.101225094484825,5.75336641406445,4.6483855222002655,4.765434173560058
SJM,232.36433604825626,15.243501436620665,12.090612746043263,13.467977630843784
PFE,46.78287104591537,6.839800512143272,5.240461445923132,5.499167130391594
EQR,63.07865688183408,7.942207305392757,6.143446086978957,5.4888328650916
TSN,178.40479971361287,13.35682595954641,10.60631494851986,9.249091243216084
TDY,28.544221453383415,5.342679239237876,4.339627906264423,4.222892614386002
GOOG,9.80077837618648,3.130619487607282,2.1387848869715813,2.095439195486786
CMCSA,56.42327996991123,7.511543115093677,4.80529118894464,4.647472156807625
MRK,22.065977896959843,4.6974437619794704,3.495796462879968,3.018976800798862
TXN,188.88234838838466,13.743447471009036,10.709012153016399,9.969952233318606
XRX,105.53272076022276,10.272911990288964,7.678277777445099,7.616535058765879
HRL,394.4512505961366,19.860796826817815,15.652587184304453,14.879770087982132
BSX,188.869791627994,13.742990636247775,9.797920028167137,9.4063930032713
EMN,105.60883262176772,10.276615815615942,7.0792889619082295,6.91578514777736
LVS,30.09625804744996,5.486005655069083,4.307900348885287,4.645087436033452
ADI,81.0250331313879,9.001390622086562,7.184231349063341,7.050907803636806
NTAP,200.60072652175583,14.1633585890408,11.165510639872117,11.911581600831013
NWSA,57.86257659438395,7.606745466648924,5.803631961990245,6.047586873629946
CAH,322.48562943976384,17.95788488212807,13.407995069221673,12.630194856713423
MGM,193.60823709935002,13.914317701538586,10.998119678978384,10.485417239428847
ADM,44.718177181350065,6.687165107977376,5.350853370557426,5.23520216223854
MSFT,34.90640566862664,5.908164323089418,4.50911676709545,4.116157823701343
V,31.422411983103068,5.605569728680847,4.479779691747385,4.545018240912392
FMC,92.7736947154634,9.631910231904333,7.605640747267679,8.267673904701084
CDW,911.5805502436864,30.1923922577143,23.10122142529207,18.796547797150918
GS,72.44853143137782,8.511670307958234,6.876905052659767,7.133613066664198
TPR,81.0527138938392,9.00292807334587,6.333087853023352,9.158173009937428
MA,19.49107856185243,4.414870163646087,3.1225037233105093,3.431249202781836
SNA,35.139070653794285,5.927821746121781,4.743228021689073,4.403868255328263
IPG,118.54758995901325,10.887956188330906,8.260325661929242,7.844512364939641
COP,14.324877390881811,3.784821976114836,2.4127185072072397,2.2607494294979857
EBAY,328.2835323352085,18.11859631249641,14.372161101244798,14.877414776570756
SWKS,56.7329930494124,7.532130711121018,5.816851235402096,3.8668661574239183
COST,87.82776950525904,9.37164710737974,6.265104317998874,6.586915924386526
EXPD,424.57145776083365,20.605131830707457,16.302767349219856,17.953873253369157
GL,81.66991375072448,9.037140795114595,7.180571070467485,7.089800310213677
TRV,127.96106948250971,11.31198786608745,8.570553892181143,8.488163612399537
DPZ,17.652238792773524,4.2014567465075165,3.339812023834294,3.1174266481254276
DLTR,56.61804884825559,7.524496584373973,5.9768785685570345,6.583004895993954
WBA,79.82474495181137,8.934469483512235,6.587562525890392,6.051343515270751
F,53.65627611180313,7.325044444356848,5.5377596524849455,6.117727989697584
J,350.0819837300105,18.71047791292383,14.79262947456775,16.952651317586405
WMB,746.0957724818636,27.31475375107496,21.408259631639993,17.142813960844254
DUK,127.58123917613231,11.295186548974405,8.808463340687503,8.648687135370828
OMC,31.195094495623508,5.58525688716495,3.395364163415946,3.4824363595918317
GM,56.87792343678243,7.5417453839799204,6.000049338751911,7.067610405222343
EFX,195.30999473966483,13.975335228167689,11.237295264631957,10.684005477292274
IP,12.300321921133378,3.507181478214861,2.8810332413401794,2.889960677470345
FITB,81.3964731311942,9.021999397649846,5.914251079182032,5.919007823071012
STZ,227.9104743442241,15.096704088781236,11.12903229180562,9.332504828520348
SWK,213.17934071807875,14.60066233833516,11.064349535381163,11.637337305958537
HSY,214.21030801519072,14.635925253129393,11.641770146056317,11.809421388542944
AME,47.385382223933476,6.883704106361159,5.495912516929164,5.608461415553847
MSCI,19.264545117477372,4.3891394506756525,3.422280194123795,3.4586888737346198
ROK,9.692074457905964,3.113209671369078,2.1134335105234583,2.151648174684055
ETR,239.21578667681655,15.466602299044757,11.501328167862221,10.26688013776175
IFF,34.51314536973262,5.874788963846499,4.1144907551060035,3.7172266680307313
USB,217.3208273145005,14.741805429271562,11.655800224759618,11.194517410184824
DFS,333.5191505539269,18.26250668867576,12.773018575680704,11.82100611144032
ES,184.83748888323177,13.595495168739966,10.74388476338831,10.11993541941399
CHRW,108.86969143083077,10.434063993997293,7.9158595346498295,7.803978832000724
PKG,46.054351277414966,6.786335629587956,4.996906405205345,4.604276018378994
ORLY,354.446603113567,18.82675232517725,14.356538030620863,12.830082081708941
MCK,109.03926643741218,10.442186860874124,8.25073280345272,7.423239298957139
CPRT,320.65512057129376,17.906845634318003,13.997098343280003,14.682774654539045
PNW,163.4744234133687,12.785711689748393,9.629831486290103,9.848685233765167
VRSK,141.72462176995157,11.904815066600218,9.385563307200187,10.365117049855664
MSI,75.05139749485282,8.66322096537153,7.027891660601351,7.316556604141127
CVX,93.41770450629745,9.665283467456993,7.563324112670596,7.661694393404838
FTI,193.5389747812103,13.911828592288302,10.275585313742651,10.908820351012833
KMI,63.18851278384466,7.949120252194242,6.356729123748154,6.365093725048999
GIS,188.62079146663353,13.733928479012606,10.97682629602165,10.85921645185902
NFLX,334.60908658783427,18.292323159944292,13.458160878324529,12.218939983681166
IT,263.67927421374293,16.238204156055648,12.527251124470512,12.47405451340869
RF,90.44896817745682,9.510466243957591,6.323947777815724,6.107816577987467
TSCO,528.4473292027028,22.987982277762065,18.105360378076547,20.78742221564418
JNJ,204.67165769283048,14.306350257589477,9.440338152923458,8.899936500609302
TFX,225.1690904701549,15.005635290455213,10.728828979227943,10.078852487034865
WAB,21.477918525459817,4.634427529421495,3.630195319671331,3.4501186177997165
HD,220.34417392247553,14.843994540637487,11.88832656040914,11.78906256857163
SYY,28.61922297887209,5.34969372757657,4.005091363940267,4.320069571032014
AVB,9.043641061661438,3.007264714264682,2.324368981621022,2.217548985192049
K,144.139651929778,12.00581742030829,9.67440807153709,9.63048767926703
NEE,71.70172568418454,8.467687150821323,6.580308589076872,6.013112842641065
TGT,60.4599619267749,7.775600422268039,5.968974613106318,6.560229144497455
FANG,85.90732405749348,9.268620396666027,7.1629744127849735,6.215797963877318
POOL,90.192152961478,9.496954931001726,7.708794514107325,7.806450921461149
LKQ,71.70494707678834,8.46787736547881,6.730120697743153,8.326293010678246
LNC,77.29835831595068,8.791948493704378,6.6310276892481905,6.623983109009511
NKE,39.586027998948005,6.291742842722357,5.0224778695160195,5.125170982663185
HBI,90.74904185878675,9.526229152124504,6.552538419364362,5.239081779846092
CAT,64.58758041491495,8.036639870923354,5.380611444124982,4.651498798233675
TJX,88.41215138309273,9.402773600544295,7.045860455264081,7.704540803700183
TER,201.29908017040967,14.187990702365493,11.294708444898733,10.377055654383906
ABT,29.913860866275503,5.469356531281856,3.482918082286086,3.2211144417149122
HAL,48.38718406211259,6.956089710614188,5.550977061304662,5.276441032340352
PWR,89.66086151581288,9.468941942783939,7.515612136514399,7.043927207340638
STT,325.5432177563181,18.042816236838362,12.219168131357373,12.921206712558178
HAS,59.290003650295006,7.70000023703214,5.879473280874681,6.002424583477416
OXY,90.74342533202763,9.525934354803608,7.123106243188196,7.119292599126445
NWL,72.36478171788391,8.506749186256988,6.7901277562908176,6.917524232022725
RHI,43.305423497598454,6.5806856403872125,5.178376680825174,4.726284370642326
VTR,144.38935706450917,12.016212259464675,9.701341491424051,9.901953716939909
NOC,98.54263855089847,9.926864487384648,7.042296164784352,6.543605020762292
CE,77.36307135536346,8.795627968221682,6.483493198393738,6.365538481968168
EQIX,526.7551537615647,22.95114711210672,17.500869315582904,15.533225497469473
TFC,86.63236474940412,9.307650871697119,7.4717303492681895,7.2626030709227525
MTD,50.31348109501414,7.093199637329697,5.284381358647768,5.3287393815957165
DE,95.122237446772,9.753062977689215,7.808405576079408,8.055095594626932
ROP,94.02505461860177,9.696651722043118,7.548407184095772,7.413818679176513
AZO,56.43609499120764,7.512396088546426,5.464050243564026,4.941225240778843
ADBE,21.26920219034796,4.611854528315909,3.2453026828402716,2.8588562544705924
TYL,84.91150829430372,9.21474407101487,7.408850851683299,8.484225840903543
DHI,457.47428215963515,21.388648441629854,16.780275458018334,16.41039370728072
LYB,12.334278141178117,3.5120190974962133,2.6412700896494505,2.203498125921926
AFL,60.97527612374925,7.808666731507323,6.199674537847701,6.671710232233398
EOG,95.68919261572735,9.78208528973896,7.832753287968002,7.506716900155081
ROL,209.47104544186794,14.4731145729545,11.500818605869192,11.646824970687964
DOV,190.63091776058468,13.806915577368635,11.107947836031343,10.931266944520596
GOOGL,9.821884646725952,3.1339886162406447,2.138265925018893,2.0714687405923717
GRMN,116.43271155404261,10.790399045171712,7.576433030347401,6.701848038480677
SLB,127.22574432306702,11.279439007462518,7.782582644901273,7.066311778398711
FRT,82.22795651854814,9.067963195698809,7.2813733967020955,6.619548932165254
IEX,44.97863340026999,6.706611171096025,5.1492273693476545,5.060127210643558
RMD,185.21908260241707,13.609521762443274,10.450839905257025,12.161266660881566
ULTA,96.3416655902951,9.815379034469077,7.652688254834096,10.780184543606616
CCI,117.6614126511397,10.847184549510517,8.540374620955198,8.614766511391116
CSCO,60.16923908651868,7.756883335884244,5.03288974784292,4.888866445914416
PNC,71.54194886653637,8.458247387404578,5.960393368792601,5.415618497522797
KR,29.943833401168515,5.472095887424535,4.2282370345466775,3.966259579356894
DXC,268.8052048847064,16.39527995749711,12.988329658638701,11.952937403832973
PNR,161.34743419265143,12.702260987424697,10.22281979032931,10.82580912909535
BIIB,80.3588881214417,8.964311915671034,6.2263892963297645,5.692198437089707
DG,175.25688473799224,13.238462325285072,10.44531952880645,10.948535056604124
DVA,25.650398516302484,5.064622248134849,3.5059283022189978,3.113488310932768
RSG,64.4250075090014,8.026519015675563,6.362858953865021,6.15390171419303
ZBH,64.59676134108581,8.03721104246279,6.341551456489983,5.952041559736409
PAYX,252.2425034476201,15.882144170344887,12.659329546527477,13.506455442947292
LHX,46.8878808140975,6.847472585859508,5.303792760060317,5.133223749788906
JKHY,47.93718749419743,6.923668644165276,5.57302039426207,5.692470510658829
ALK,18.700842647395095,4.3244470915245445,3.090943453611434,2.616893631721092
AXP,145.71914759277814,12.071418623872596,9.460699860027816,9.49261526442939
ESS,271.9171351243407,16.489910100553633,13.051100518931841,11.882168537386773
UAA,11.461867566685077,3.385538002546283,2.382430210106744,1.7137076106626905
WHR,221.83675080829656,14.894185134081575,11.246125420819226,11.958872957761495
GD,52.90692304494825,7.273714528694967,5.030666196005047,4.0552538144961074
WYNN,65.93292362984427,8.119909089998746,5.973501877692937,5.573462783640711
NCLH,237.6237883012128,15.41505070705941,12.161910363367879,12.592627430665345
CMG,19.59826645086037,4.426992935487967,3.2722993578710997,3.0218310207253127
PPG,59.96588361364325,7.743764176009187,6.124373820435902,5.850383866845677
LEG,186.5894797598723,13.659775977660551,10.90819663946973,10.131894156685991
IDXX,225.22115108237534,15.00736989223546,11.282479695399045,9.83085436244461
NVDA,363.2487166998264,19.05908488621178,14.85501417867126,13.160510333167114
WST,127.60992834137657,11.296456450647547,9.03807474144612,10.044185007518601
AES,1244.3725599806255,35.27566526630824,27.645769440115508,29.062814244106256
ABBV,112.08997093739924,10.587255118178613,7.845394885569016,7.702325387751242
PVH,104.74139818634681,10.234324510506143,6.710377915170214,7.610106512723203
ETN,111.73103908344429,10.570290397309067,8.507468482986141,9.02467381266531
AVY,187.52877622303563,13.694114656414836,10.92836103858875,11.191402617130223
BIO,11.192758975402915,3.345558096252838,2.7467969010250615,2.811208608061009
CF,244.2476989796114,15.628425991750142,12.27814375846252,11.681466660701146
LDOS,118.82386678616976,10.90063607254961,8.1848568072329,9.995168287629934
CMI,46.262613885528566,6.80166258245207,5.0929344945289685,4.906873317081814
AMP,31.549556704750557,5.6168992072807,3.9528171034613293,3.796416535688278
CHD,156.3693677955545,12.504773800255425,10.038652056018737,9.782930333505645
MCD,70.3270184828206,8.3861205859933,5.493162080067619,5.484449690644944
OKE,58.78851366779505,7.667366801438096,6.218493466011506,5.423558522989462
ARE,191.04836034644805,13.822024466280185,10.961687334203269,9.586397429677115
APD,32.597059477453776,5.709383458610375,4.525264561334035,4.085369736279263
RTX,70.16732716782452,8.376594007579962,6.753267839428039,6.763825452402941
EW,402.5535381042397,20.06373689281834,14.962853606624769,14.364565166982965
LYV,14.711864969104553,3.835604902633293,2.6935125357713283,2.385042712797603
NRG,171.2515275397764,13.08631069246701,10.52594096979929,10.161858066312076
