,mse,rmse,mae,mape
STE,34.79243630669327,5.898511363614829,3.848684914482236,3.5565764464046157
REG,26.875209865222452,5.184130579491845,3.563457459962454,3.4932809245972485
WFC,11.273500872466673,3.357603441811834,2.434189635489026,2.232855673576115
JBHT,75.34385907026747,8.680084047419557,5.707775837087071,5.8553759965366785
SJM,65.78329588703164,8.11069022260323,5.6615804577293005,6.320125134069907
PFE,90.11004566473636,9.4926311244426,6.476569515709981,6.792288670789749
EQR,2.205721059696624,1.4851670140750581,1.106201126804605,0.9760651061528424
TSN,7.399422741798411,2.720187997510174,1.818155395678581,1.6063577993228086
TDY,196.1067034342764,14.00381031841964,9.673069893471034,9.399758160588638
GOOG,31.85245249473193,5.643797701435792,3.74616132879997,3.653857084946259
CMCSA,117.18168829441144,10.825049112794428,7.659619596411936,7.445690768621824
MRK,135.33477494569465,11.633347538249454,8.359792086793565,7.309869872633873
TXN,175.48372901769878,13.247027176604522,9.367420545550333,8.778584080535198
XRX,81.51680491466692,9.02866573280166,5.972002832818454,5.876552494268419
HRL,57.85324896837104,7.606132326509383,5.400949397269382,5.171415534207114
BSX,60.17772002716655,7.757429988544309,5.585001630601579,5.356625831416146
EMN,65.71181280058212,8.106282304520496,5.70920490759067,5.647158439482325
LVS,340.27574728820906,18.44656464733228,13.129420380169694,14.365628502430832
ADI,95.06985001799072,9.750376916714078,6.9289421487801555,6.869590629221253
NTAP,79.8628610202639,8.936602319688614,6.137626196729404,6.4904750489016605
NWSA,18.062071135543654,4.249949545058583,2.919374924213637,3.0765636391964657
CAH,98.84669583234238,9.942167562073292,7.136773821232269,6.721120088723511
MGM,39.46674008566346,6.2822559710396595,4.1571499111434544,3.9421814926997722
ADM,101.61920584183481,10.080635190395236,6.4761782520555515,6.174480053990734
MSFT,2.3834604460594226,1.5438459916906941,1.1164000725449839,1.0481926194604976
V,1.160087146494068,1.0770734174113055,0.7805133538259453,0.7997217952889916
FMC,22.775084457479032,4.772324848276679,3.299734949802693,3.5400316906184033
CDW,17.254345080535618,4.153834984750311,2.9872320394209453,2.478057367675761
GS,30.214608277778158,5.496781629078797,3.902836080205419,4.032526734352014
TPR,6.322636943986838,2.514485423299733,1.9123108455623747,2.6175279486560026
MA,60.28351193242099,7.764245741372499,5.493268361738183,5.962575957542547
SNA,108.5463539887737,10.418558153063874,6.917769433704549,6.383874807948827
IPG,79.91835959024164,8.939706907401474,6.381614335970078,6.179318988547886
COP,9.21836842194538,3.0361766124429224,1.989583522737666,1.9384418682420892
EBAY,28.092488991443698,5.30023480531228,3.750496199284856,3.8774169842431343
SWKS,54.21190174197907,7.362873198825243,4.965829675974926,3.3819565526721846
COST,39.00255801529967,6.24520280017388,4.2112015037930375,4.410635555532527
EXPD,5.940924173994885,2.4374011106083637,1.6630324482326178,1.8222702449586243
GL,69.62685783168493,8.344270958668883,5.85228150922791,5.784733448748195
TRV,14.073738430777873,3.751498158173328,2.608980098797973,2.634976433156717
DPZ,130.11599991156712,11.40684004935491,8.043873881782998,7.5441361759044465
DLTR,7.966354619015844,2.822473138758958,1.8717382338174409,2.064076391614495
WBA,67.31804058040471,8.204757192044426,5.869015997182673,5.5052672859775456
F,39.2242148459394,6.26292382565359,4.5674272022507445,5.0208720467440715
J,71.10704789231306,8.432499504435981,5.750138012977425,6.488768178977842
WMB,90.76568200100154,9.52710249766431,6.52126488894611,5.096611997933563
DUK,35.96321844486178,5.996934087086649,3.8330552104993107,3.7453796481341297
OMC,31.277874998398936,5.592662603661957,3.6967857148265577,3.764156300701539
GM,84.21276479827984,9.176751320498983,6.22264559320979,7.332900201358457
EFX,4.553391479507516,2.133867727744041,1.5047938398026608,1.4368193914468887
IP,10.380399772632279,3.2218627799197592,2.145154268175143,2.1486365288708202
FITB,8.60723102545469,2.9338082802825904,2.193516435703274,2.1967753262234164
STZ,70.9161227693156,8.421171104384213,5.85262456229075,4.949165156315349
SWK,149.05384772742798,12.208761105346765,8.121423100841612,8.528365714109345
HSY,64.43781441553715,8.027316763124347,5.530483764671813,5.6878585485513575
AME,175.76962175399387,13.25781361137627,9.194707883640039,9.345460189399622
MSCI,1.5181642637283124,1.2321380863070146,0.9110589755081352,0.9070772820130403
ROK,54.2549040394811,7.365792831697148,4.7327604586579195,4.697970807592285
ETR,15.305582182523152,3.9122349344745584,2.6498251538815336,2.3967429188180636
IFF,21.295195262447486,4.614671739403301,3.3091499763850956,3.0976259949401332
USB,63.63485587857267,7.977145847894012,5.545292764930463,5.33890290401823
DFS,46.20632170142082,6.797523203448504,4.893377081114958,4.556389135990135
ES,43.092282190182054,6.564471204155142,4.478444773180265,4.222251236528114
CHRW,26.906452415033225,5.187142991573803,3.681229689889576,3.668262364022452
PKG,6.30337686179909,2.51065267645668,1.8824491932155671,1.7392592299379646
ORLY,14.687617235649434,3.832442724379509,2.761030861387286,2.4783393350114022
MCK,47.365794951215065,6.882281231627712,4.843373136438864,4.376815372782362
CPRT,112.54732309151997,10.608832315175878,7.474051322980395,7.900828961292346
PNW,36.421764423938484,6.035044691130173,4.149469103647565,4.234471337441127
VRSK,46.32581930170874,6.806307317606864,4.339279313015397,4.743156166923092
MSI,19.28741225498447,4.391743646319132,3.0201422359682093,3.159304335913287
CVX,103.9284710784788,10.194531430059882,7.139571962961094,7.2579081228935065
