,mse,rmse,mae,mape
STE,36.40260488324315,6.033457125333961,3.933478832184053,3.635197921913767
REG,26.914525504894492,5.187921115909001,3.564180295099341,3.493703856717154
WFC,11.298325425138124,3.361298175577127,2.436932415044371,2.235397051083528
JBHT,91.4506164624699,9.562981567611113,6.333881533125372,6.498186750127777
SJM,66.57627657288563,8.159428691574284,5.6883226401124425,6.349386773108426
PFE,90.966215147918,9.537621042373093,6.50695942423643,6.824270185948838
EQR,1.6739665433588737,1.293818589818091,0.979901361311168,0.8658421901899903
TSN,9.643122408848324,3.1053377286292587,2.077685586680178,1.8377588191322103
TDY,201.53043072337135,14.196141402626678,9.811079486140354,9.534318653234951
GOOG,32.79455089823552,5.726652678330992,3.810791529106925,3.7175406989781488
CMCSA,122.68353290790432,11.076259879034273,7.838306592877521,7.619551601518324
MRK,135.23728834555533,11.629156820060315,8.354735598600199,7.305354265708436
TXN,202.60596317420394,14.23397215025391,10.073411081640723,9.442527079137339
XRX,84.42496693002546,9.188305988049455,6.082702352478557,5.986704420249487
HRL,57.883715118988796,7.608134798949661,5.4027865168846825,5.173231637539296
BSX,64.86401931526684,8.053820169041947,5.793010638598351,5.556575158997486
EMN,65.15411824022337,8.071810096888019,5.689656500500424,5.628258798117511
LVS,340.3770054783545,18.4493090786174,13.134885759877383,14.371224905176845
ADI,112.64569778614087,10.613467754986626,7.538395230770684,7.47439628912914
NTAP,104.96070210743565,10.24503304569759,7.075178057562561,7.480611407877324
NWSA,17.99233472938674,4.241737230120076,2.912384189199771,3.069011739101724
CAH,98.82054048266212,9.940852100431941,7.135897865974381,6.720301499359229
MGM,39.69192799579738,6.300153013681285,4.169177418017168,3.9536391570056932
ADM,100.85138714242777,10.042479133283164,6.451066600808621,6.152224325874196
MSFT,2.342470487036864,1.5305131450062308,1.106547656105186,1.0385854415832003
V,1.1508348838348015,1.072769725446613,0.7786870439253727,0.7979850206530086
FMC,22.883198468783327,4.783638622302413,3.3082730432578575,3.5504533203794804
CDW,18.832962207562243,4.3396960962217435,3.117372677731087,2.5838017043219974
GS,28.791926131347118,5.365810854973097,3.810544932268619,3.936628466602571
TPR,6.288280439500811,2.507644400528275,1.9065214428835402,2.6090672808854416
MA,59.45236311428257,7.7105358513064814,5.452613778085193,5.917827270683147
SNA,118.61400251481913,10.891005578679094,7.258527783083426,6.70217154204787
IPG,79.65530607562692,8.92498213307046,6.37080374893467,6.168989823528058
COP,8.381914008694608,2.8951535380173894,1.9087910498127618,1.8604123495387452
