,mse,rmse,mae,mape
STE,36.40096185952509,6.033320964404686,3.9333753483554563,3.635101893488719
REG,26.91444935598689,5.187913776845842,3.5641689953421083,3.4936929528369944
WFC,11.298293536076878,3.361293432010493,2.4369231796087663,2.2353887556680507
JBHT,91.45056857496117,9.56297906381485,6.33388290283914,6.498188375932194
SJM,66.57476118239451,8.159335829734827,5.68828102825705,6.3493360859220545
PFE,90.96625496741629,9.537623129869218,6.506962263852399,6.824273091677102
EQR,1.673960226756759,1.2938161487463198,0.979902404584915,0.8658432351835967
TSN,9.643072837069882,3.105329746914147,2.077688263254407,1.8377611003700216
TDY,201.5337364944027,14.196257834175974,9.81116373052255,9.534400873448952
GOOG,32.595432313771795,5.709240957760654,3.7959324182192824,3.7028164882483905
CMCSA,122.68340158878961,11.07625395107884,7.838285723048932,7.619530057153567
MRK,135.23660952871876,11.629127634036818,8.354703988440663,7.305326986392807
TXN,202.60675634575892,14.234000012145529,10.073427746585073,9.442542665445647
XRX,84.425047491426,9.18831037195773,6.082707833883615,5.986710231153464
HRL,57.88330093010303,7.608107578767734,5.402767386616261,5.173215627184813
BSX,64.85690256115909,8.053378332175827,5.792694169152876,5.556272104131116
EMN,65.15373166995262,8.07178615115345,5.689640867518985,5.628243658809581
LVS,340.3771704868294,18.449313550558713,13.134896346937046,14.371238765072444
ADI,112.64547759877046,10.613457381964205,7.538387546341667,7.474388537490287
NTAP,104.96070056501418,10.245032970421041,7.075178123913611,7.480611466747295
NWSA,17.99283855469381,4.241796618732894,2.91241206286214,3.069041567197475
CAH,98.82049996737516,9.94085006261412,7.135890149717644,6.720293083688341
MGM,39.69195969639296,6.300155529539962,4.169179405970068,3.9536407843353816
ADM,100.85128813354928,10.042474203778134,6.451071089276226,6.152229641473776
MSFT,2.342468180207995,1.5305123913931553,1.1065450750268206,1.0385830518459653
V,1.1508317937921555,1.0727682852285276,0.778685888439272,0.7979837844472252
FMC,22.883228766475835,4.783641789105434,3.308275148454384,3.5504547469008236
CDW,18.833409668592243,4.339747650335471,3.11740843274429,2.5838314388789363
GS,28.791921363806306,5.365810410721414,3.8105330955327843,3.936615296995903
TPR,6.288255195622467,2.507639367138438,1.9065234603007766,2.6090705062020234
MA,59.45221215486002,7.710526062134802,5.45259867184242,5.917809600520347
SNA,118.61486196899774,10.891045035670256,7.2586026205338126,6.702239076011718
IPG,79.65565699920253,8.92500179267223,6.370810939253831,6.168996263935151
COP,8.381935889060856,2.8951573168069564,1.9087988684278197,1.860419746992067
EBAY,28.439988294022115,5.332915552868067,3.7739463800653787,3.9018155573070143
SWKS,55.02240760900814,7.417709053947057,5.007151357014936,3.4087386405139406
COST,39.48323234764556,6.2835684405953245,4.236345026724195,4.437256707162767
EXPD,5.773628025041063,2.402837494513739,1.642609314566831,1.7992195752571205
GL,72.62592275829792,8.522084413938758,5.9773487123130185,5.908664750748313
TRV,14.17156533548178,3.764513957402971,2.5967449738155124,2.622007430885866
DPZ,134.00929544265907,11.57623839779827,8.162061734795559,7.65522439892338
DLTR,8.038216307741418,2.83517482842618,1.8569695097208614,2.0469740660230973
WBA,69.78666523055166,8.353841345785282,5.975072319941389,5.6044459854337125
F,43.742325984231485,6.613798151155771,4.824591288915963,5.2993308308190095
J,71.13038154409584,8.433882945837928,5.750318824769961,6.4889869123098585
WMB,106.02380905403841,10.296786345944952,7.0726855238820745,5.536211836838855
DUK,38.08468534631791,6.171279068906049,3.95374363651441,3.8625117025731974
OMC,32.924584641991245,5.737994827637198,3.764536764375296,3.8338138768288346
GM,84.297383105564,9.181360634762365,6.223881496079938,7.334198778179149
EFX,4.384812893639512,2.093994482714678,1.476537888774778,1.4065384227375102
IP,11.904348187815534,3.4502678429095233,2.302356505599494,2.303987453560364
FITB,8.321170518859908,2.8846439154356482,2.1593391698324105,2.1624505556678977
STZ,81.84855100298705,9.047018901438587,6.302256774683425,5.331789040599625
SWK,154.6472285601483,12.4357238856509,8.263853991093296,8.676100427128466
HSY,65.17868984563694,8.073332016313769,5.562132949528793,5.720444402507419
AME,187.06621911076843,13.677215327352583,9.494702746969326,9.65132531039448
MSCI,1.996197802063847,1.4128686428907136,1.0118906168029282,1.0045190945252378
ROK,61.20247248794508,7.823200910621245,5.051700044671786,5.0171899444762555
ETR,15.408342767559304,3.925346197160106,2.649186397427708,2.3944224582588705
IFF,21.517509833364546,4.63869699736516,3.326212197502456,3.11367950009746
USB,65.1120940020828,8.069206528654648,5.609396018722708,5.400799958844101
DFS,49.675483320550356,7.0480836629931085,5.067770509344222,4.71839172071123
ES,44.799851036085485,6.69326908439258,4.567214086720431,4.306122456953316
CHRW,26.38213369273793,5.13635412454573,3.654472400429378,3.6405484440095766
PKG,6.806118871070528,2.6088539382400326,1.9529948842162692,1.8048609821042902
ORLY,16.208254795731698,4.025947689144966,2.898108415824392,2.60067712459801
MCK,47.34562334675368,6.880815601856635,4.841666438030342,4.3751521870843675
CPRT,114.00354118698168,10.677244082017685,7.5215554518272745,7.9510602935012376
PNW,42.496469091161266,6.518931591231899,4.488336345753807,4.581685245778262
VRSK,51.68015418264916,7.18889102592668,4.607334261801104,5.0384037267455986
MSI,19.4439416103683,4.40952850204739,3.022275122777221,3.162450692449415
CVX,102.54198478817557,10.126301634267842,7.0932872630673085,7.2113490129339395
FTI,167.83999797537422,12.955307714422464,9.286562271876882,10.241491056549695
KMI,256.93320512753763,16.029136131667784,11.370984956500854,11.312802446834928
GIS,163.44700372389727,12.784639366204166,8.770756670801116,8.622074976568012
NFLX,5.0136671199668,2.2391219529018067,1.512413007120753,1.3792227427569268
IT,162.96112241582122,12.765622680301233,9.186302670112825,9.139142810456548
RF,102.31648168668806,10.11516098174854,7.329972511550856,7.097209114605726
TSCO,39.81554413298676,6.309955953331747,4.421611224894901,5.057672195340978
JNJ,16.74922221430476,4.092581363186902,2.9517990093660016,2.8422136619666833
TFX,365.409802413384,19.11569518519753,13.499009463856991,12.778593243868878
WAB,84.97031512187718,9.21793442816107,6.282442431803379,5.941864073813129
HD,94.46502729920653,9.719312079525306,6.243496180405101,6.109997592020955
SYY,197.10738016814003,14.039493586598486,9.622348795781711,10.308039126125637
AVB,44.81550542567437,6.694438395091433,4.635089746434976,4.342968969430778
K,90.66638035643918,9.521889537084494,6.465298598922419,6.421585792345994
NEE,34.170798767402175,5.845579421015694,3.6291157982208486,3.341437146323121
TGT,80.52377804051994,8.973504223017892,6.314117563132864,6.936494327484546
FANG,47.23334916668039,6.872652265805422,4.643030122307753,3.8134925574630785
POOL,33.65867115012716,5.8016093586286175,4.1343418394599905,4.216651404182213
LKQ,12.603305725979295,3.55011348071851,2.291843564749202,2.8173832821053946
LNC,24.811333052758993,4.981097575109224,3.4597378955117715,3.460085270901107
NKE,220.98790441507288,14.865661923206543,10.05544705788086,10.232782126871074
HBI,64.85969529753902,8.053551719430317,5.196321016153948,4.120612610518474
CAT,100.25753022126561,10.012868231494192,7.070099520427141,6.299498075047678
TJX,60.90585745743752,7.8042204900577685,5.541373314518015,6.000908066793254
TER,49.316859448878795,7.022596346713856,5.0076816011298035,4.5544389761992345
ABT,24.659565907443316,4.965839899497698,3.4928053413030895,3.310882928363229
HAL,7.134951341808323,2.6711329696981245,2.007493622209516,1.9735911745179078
PWR,161.40118350646628,12.70437654930246,8.207653214330996,7.448451599408586
STT,5.496668771616701,2.3444975520602918,1.7517735064563635,1.8142159098380102
HAS,41.438001071466125,6.437235514680671,4.1534477567064165,4.241466948226579
OXY,6.032712201075177,2.4561580163082297,1.7000925980130221,1.735844814477226
NWL,65.78166635849823,8.110589766379398,5.351388172671014,5.337009488282122
RHI,25.954082060964435,5.0945148994741825,3.6356727616610205,3.323657301593424
VTR,42.75418597164744,6.5386685167278085,4.545020033644368,4.682348333878441
NOC,49.05665062294548,7.004045304175686,5.030072445601122,4.698917369638859
CE,30.753809901561773,5.545611769819609,3.8040216820570842,3.760728504843829
EQIX,36.20637551936055,6.017173382856817,4.23172400045854,3.828401351212664
TFC,4.974885857644122,2.2304452151183005,1.578705816280516,1.5340695605524426
MTD,50.63665306245798,7.1159435820176355,4.640340481318969,4.587008589453239
DE,41.08777232888819,6.409974440579946,4.632969737018792,4.833703128976438
ROP,59.37991452073181,7.70583639332758,5.255401880816979,5.106515176699081
AZO,6.673569080519531,2.583325198367316,1.9105341775479032,1.7359413274563382
ADBE,5.836879199321153,2.415963410178464,1.7592121841818842,1.5645156303534817
TYL,20.671434733209153,4.54658495281999,3.168721347572309,3.54155264172658
DHI,61.723339018934624,7.856420242001737,5.260657056960028,5.227753574806836
LYB,19.86278209925405,4.456768122670738,2.8823532103677647,2.3329583541871752
AFL,6.42120482569671,2.5340096340970586,1.7224859607767065,1.84450585262765
EOG,8.09566247819497,2.845287767202989,1.9839460698311242,1.9123719797474121
ROL,151.29082112476806,12.300033379010321,8.889819914885496,9.038183570504568
DOV,113.23521493879029,10.641203641449133,6.989008227439776,6.723837895578535
GOOGL,32.262672108552024,5.680023953167101,3.766045735014081,3.635355181774656
GRMN,34.961729111101114,5.912844417968489,3.8253926409382473,3.5177958978283144
SLB,92.07383516275505,9.595511198615478,6.92436172261765,6.583801261662468
FRT,53.64694734728317,7.324407644805357,5.193684691732891,4.795562050793001
IEX,127.72626377884153,11.301604478074852,7.853515092226722,7.663404232589193
RMD,76.1753623531416,8.727849812705395,5.801762735376137,6.655400342689396
ULTA,89.18258862955345,9.443653351831243,6.413440713993198,8.877025665701494
CCI,106.00213375468068,10.295733764753276,7.28635065823789,7.338867530459424
