,mse,rmse,mae,mape
STE,10.952196700331225,3.3094103251684013,2.2746906199979815,2.1159758475391572
REG,16.434676200034247,4.0539704241686625,2.7515380036635295,2.694492055652982
WFC,13.294992698621616,3.646229929478065,2.615016894686948,2.4072289507160716
JBHT,110.86419933381332,10.52920696604513,7.004370849819642,7.185956313556123
SJM,37.07384757931278,6.088829738078803,4.251926445927721,4.745302127792788
PFE,44.183814265296206,6.647090661732861,4.566871680925015,4.784036199939224
EQR,6.2209699834752925,2.4941872390571027,1.7841497424937574,1.6143404653865716
TSN,11.87227192944744,3.445616335207308,2.487453063610215,2.209942937994562
TDY,23.11611778608343,4.807922398092905,3.197824420650927,3.1008033778029467
GOOG,23.673349816009466,4.865526674062066,3.1580461083617157,3.071890649120322
CMCSA,42.50034918122342,6.519229186124953,4.643460462100044,4.512981252427887
MRK,69.03918680869462,8.308982296809557,5.9669007057072125,5.221842162123904
TXN,61.806809167685174,7.8617306725482,5.526770344298058,5.173385254131929
XRX,70.2246923171463,8.380017441339028,5.329984599475662,5.217510085606761
HRL,54.989128914111426,7.415465522414046,5.274925915705694,5.055506310661412
BSX,36.49214041725747,6.040872488081293,4.30828174465966,4.140481819196893
EMN,16.929295748279774,4.114522541957909,2.814428881886769,2.7685263710095263
LVS,111.29952399707969,10.549858956264757,7.485889348283017,8.207632560686559
ADI,94.14692240048811,9.702933700715887,6.97001788286915,6.915525332930121
NTAP,25.00577608690949,5.000577575331622,3.318034000841781,3.510367224260796
NWSA,18.790414958738147,4.334791224354196,2.983363264148848,3.1583605595885933
CAH,8.127180697469388,2.850821056725481,2.037314221745321,1.918655580438551
MGM,22.287735141001992,4.720988788485098,3.1099001555255112,2.924711911164642
ADM,89.98227508609955,9.485898749517599,6.046896157587201,5.775709122027745
MSFT,4.745720495430043,2.1784674648546036,1.484241006690654,1.3825192336428462
V,3.437965362786663,1.8541751165374492,1.3114269107277932,1.33505633970474
FMC,16.844092671371424,4.104155536937096,2.8529527052315493,3.037903778409583
CDW,20.136817509616993,4.487406546059427,3.214049031495593,2.6756769177345565
GS,11.695455791375197,3.4198619550173657,2.3863027968334696,2.4510502457739283
TPR,3.455958016172267,1.8590207142934871,1.3409824971751059,1.8744294172093137
MA,54.16022206329825,7.359362884333008,5.158245458185715,5.5877878205730545
SNA,108.97991628511633,10.439344629099871,7.090702255281476,6.5646579058616155
IPG,83.98731078045256,9.16445911008678,6.541059177898118,6.329077305656701
COP,7.993796269546899,2.8273302370870828,1.8724275098185263,1.8350136413424405
EBAY,34.363232434213984,5.862016072497071,4.113599263611012,4.245616249411407
SWKS,49.8746839900347,7.062201072614309,4.771660761604458,3.246157721304263
COST,6.473280136428905,2.5442641640421115,1.6472891342016447,1.7231446315281387
EXPD,6.223708953428727,2.4947362492713987,1.7203735376569864,1.8886305630226627
GL,9.74218809392425,3.121247842438061,2.0929708359036816,2.061215090902831
TRV,30.83189046267764,5.552647158128963,3.9591010479331237,4.014099877794407
DPZ,45.59224605651811,6.752203052079973,4.816614291739696,4.513251734883307
DLTR,3.749451569655333,1.9363500638199007,1.346610972348204,1.4941022968851045
WBA,12.088939583324837,3.4769152395945513,2.4374391379015066,2.2828467530394274
F,18.83775939999538,4.340248771671432,3.168700782129139,3.497024936293608
J,53.10280180409227,7.287166925773848,5.037864806885332,5.668822668300223
WMB,45.4070098310657,6.7384723662760315,4.46179599322517,3.453701000793088
DUK,16.17129332657956,4.021354663117835,2.6639765887294473,2.612120026778809
OMC,33.230859892259275,5.764621400600327,4.04444178419383,4.114985033745726
GM,34.42611577584081,5.867377248468077,4.028193314843751,4.7461309404238765
EFX,1.6271211458217463,1.275586588915761,0.9268833833292833,0.8686221769960141
IP,36.00032498087247,6.000027081678255,4.247355262905899,4.250757796882502
FITB,1.1227692804930158,1.0596080787220414,0.8344698542243272,0.832340763062286
STZ,42.48335721777784,6.517925837087887,4.3525465968535215,3.6681029188713707
SWK,130.59697449380397,11.42790332886151,7.672815054996952,8.071701603059564
HSY,10.497840112533883,3.2400370541914922,2.146636371235321,2.2026068278869486
AME,74.97331892762838,8.658713468387113,5.9680434496691825,6.058990682037316
MSCI,2.244823569273129,1.498273529524275,1.0412783152058105,1.0475713554787525
ROK,33.195830330806,5.761582276667235,3.6146632866430544,3.5831806123539374
ETR,12.602707760768322,3.550029261959445,2.557142179247747,2.3610689993735168
IFF,53.87721048689896,7.340109705372186,5.237404070140743,4.902010824951874
USB,11.0680522781606,3.326868238773607,2.192804697340022,2.109011763859179
DFS,9.082720592768704,3.013755231064511,2.14693856460542,1.9852476284000833
ES,18.48289520305358,4.299173781443776,2.9489359429673967,2.7776362104384384
CHRW,14.97077793864417,3.869208955154034,2.7749368687087745,2.76779999882426
PKG,28.371635816527274,5.326503150898089,3.8700489552477775,3.577954856015888
ORLY,8.46670128966462,2.909759661838864,2.1014375379620884,1.882484372168623
MCK,10.976985783557938,3.3131534500469395,2.3389565400603347,2.108920586028202
CPRT,22.359633666972446,4.728597431265686,3.0956738455679256,3.2570019315442376
PNW,12.843589089351669,3.583795347024111,2.4240820646868766,2.469692541889714
VRSK,74.13529234473134,8.610185383877129,5.532733803749459,6.054155590492212
MSI,7.37380621717591,2.715475320671486,1.9379347571720436,2.019254198458813
CVX,147.9345091841504,12.16283310681152,8.605483045051855,8.774642900545263
