,mse,rmse,mae,mape
STE,10.729768834831871,3.2756325854454236,2.258283596314006,2.1011116901346583
REG,16.410082071897914,4.0509359501105315,2.7511091611375784,2.6939155472555307
WFC,13.269624069556361,3.6427495205622304,2.612390694580186,2.40485811911387
JBHT,97.51459983634118,9.874948092842876,6.52713335032883,6.696165123943672
SJM,36.72143617536881,6.059821463984629,4.231980839516306,4.722927157250327
PFE,44.07986711623351,6.639267061674317,4.5619167841727775,4.778820429700617
EQR,5.9681364652713995,2.4429769678143507,1.7456249674888997,1.5808095569146776
TSN,10.769865947452848,3.281747392389129,2.3752792255982698,2.1104469293425017
TDY,23.020023065696908,4.79791861807773,3.190465142504734,3.0936356176639914
GOOG,23.56895812514604,4.854787134895416,3.1504880969282727,3.064505725870994
CMCSA,40.486046810395685,6.36286467013056,4.533379255130597,4.40555899312841
MRK,68.66853619670758,8.286648067627077,5.951173682954709,5.208155264557076
TXN,57.243525843825005,7.565945138832624,5.3205908334115835,4.979822305436925
XRX,68.72929730626758,8.290313462485456,5.26932503966441,5.1574954606694545
HRL,55.00153606139665,7.416302047610834,5.275262926818101,5.055796209754612
BSX,34.594566557381434,5.881714593329179,4.200040756665116,4.036174971419927
EMN,17.002717825852223,4.123435197241764,2.8155516589312817,2.7691533864833993
LVS,110.15681955111437,10.495561897826832,7.4426483665303715,8.160651111523194
ADI,84.6878579374366,9.202600607297732,6.618085526046869,6.5665316089192
NTAP,22.002194331971797,4.690649670565027,3.1058212880005907,3.284735053415935
NWSA,18.794114294388713,4.335217906217485,2.9838055571005415,3.158793488448048
CAH,8.101044362665844,2.8462333640560544,2.0339536924050083,1.9155994136816958
MGM,22.294987082755185,4.7217567792883175,3.110696948019883,2.9254924860537384
ADM,88.9703940006494,9.43241188671537,6.025579480283156,5.753712824565838
MSFT,4.784775778076193,2.1874130332601096,1.489358371909727,1.3872600643217565
V,3.426943342376847,1.851200513822543,1.3095921481902573,1.3331176136473508
FMC,16.79373693291992,4.098016219211427,2.848577490361546,3.0331200025704907
CDW,19.41298209521189,4.40601657908954,3.155113622561974,2.6283011536434806
GS,11.84384208513744,3.441488353189277,2.405549900768644,2.471644245828927
TPR,3.4293021036655174,1.8518374938599547,1.3359398886942435,1.8672898947016303
MA,53.963084862949344,7.34595704200272,5.151101526232619,5.5804789053025114
SNA,102.6346394676743,10.130875552866806,6.869702302136142,6.357714866702721
IPG,83.84003081599334,9.156420196561173,6.534704089019644,6.322905518340746
COP,8.177234252725636,2.859586377909511,1.892376560298248,1.8535505441759086
EBAY,33.787879779901,5.8127342774206525,4.078946031931528,4.20984825349022
SWKS,50.40908549493765,7.0999355979429595,4.806693268225918,3.2700430683363666
COST,6.503259264881398,2.5501488711213307,1.6513825974058332,1.7274026991541287
EXPD,5.819425692187642,2.412348584302783,1.6620533189222473,1.8240446742496845
GL,9.63003596967652,3.1032299253643,2.08269540898437,2.0511622540518784
TRV,30.774561629761113,5.547482458715946,3.9566356224949426,4.0112362511906925
DPZ,45.56835302333676,6.750433543361253,4.817645964126112,4.514100882102811
DLTR,3.706359651361837,1.9251908090788914,1.341168004669633,1.4884704153005934
WBA,11.893684486180312,3.448722152650212,2.417248912608996,2.264035068974856
F,18.37985388384951,4.287173180995784,3.128893650963987,3.4537784967031744
J,53.123156411772435,7.288563398350353,5.0396992391313775,5.67079765945302
