,mse,rmse,mae,mape
STE,65.4861498929101,8.092351320408062,6.147539662146784,5.844331770314704
REG,112.6793862490701,10.615054698355072,7.62998703416943,7.386981338834838
WFC,115.94980931245311,10.767999318000216,7.804732543647395,6.97752633689637
JBHT,8.999243929928335,2.9998739856747876,2.3657204541729864,2.418029092813536
SJM,19.620935355563102,4.429552500599028,3.497923806561364,3.8649859451938933
PFE,35.06929551450568,5.921933427057897,4.44565723484618,4.6756158875409275
EQR,31.719469835610987,5.6320040692111535,4.4052526870807185,3.907207224032075
TSN,160.35585526050383,12.663169242354137,9.970498423179656,8.759676401978727
TDY,3.2443000172100183,1.8011940531797284,1.237240716267722,1.2013244085816541
GOOG,82.74717500901399,9.096547422457268,7.2593312307924585,7.154934098452201
CMCSA,97.38579684099534,9.868424232925708,6.8536349983563225,6.696771765919505
MRK,97.55289529364381,9.87688692319821,7.897802296481315,6.884015431284921
TXN,15.458484823216867,3.931727969127171,2.9406443291250213,2.7568489030453156
XRX,150.14070336989275,12.253191558524364,9.53154023729987,9.444887422149085
HRL,122.03689469856877,11.047031035466894,8.699056925468229,8.301984791882315
BSX,46.22704633559361,6.799047457960094,4.569920484077549,4.4173289019705555
EMN,354.8826368736392,18.8383289299672,14.802099490105395,14.49662624595292
LVS,15.634764122001712,3.954081956915121,3.0672589312375638,3.3186771886730915
ADI,6.737926142749254,2.5957515564377984,2.0018841469349633,1.9707673143837023
NTAP,120.1925886263031,10.963238053891883,8.574665334504743,9.335426526680584
NWSA,18.792316818989374,4.3350105904125975,3.178247427972761,3.288770546831715
CAH,102.50645598648906,10.124547199084464,7.8012925568041025,7.358962928472692
MGM,98.04995015120042,9.902017478837351,7.875221613908041,7.488863907424595
ADM,35.65564935407985,5.971235161512219,4.6272422943260905,4.551285113824699
MSFT,44.8671670958854,6.69829583520207,5.2609296759852215,4.835250753548545
V,48.811110825169116,6.986494888366349,5.676722875647037,5.753363799694328
FMC,100.38440092663969,10.019201611238277,7.6350606106383365,8.105981533788633
CDW,70.30772279301526,8.384970053197284,5.910726564660405,4.699722343745031
GS,12.62174667993784,3.552709765789747,2.7717281340501425,2.823673856938856
TPR,81.09004547371619,9.005001136797052,7.009763824482967,9.912828173673507
MA,57.429901218623776,7.57825185769276,5.792102280221814,6.349352792612001
SNA,40.372655579594266,6.353948030917019,5.062327699558144,4.70189212323724
IPG,84.52676392052147,9.193843805532127,7.17379432660619,6.904716847246709
COP,50.86181788817991,7.131747183417252,4.86184021524611,4.626542558922826
EBAY,110.34846718666361,10.504687867169762,8.072039149488006,8.358721364972093
SWKS,9.395150101305635,3.065150910037813,2.1136491552097256,1.3336387290870584
COST,151.59124069515283,12.31223946709748,8.319338761820902,8.858554864921782
EXPD,232.7075527582865,15.25475508680118,10.78796181869054,11.78489762898222
GL,49.43403874393716,7.030934414708842,5.647617483409462,5.572276236757183
TRV,54.46345234176655,7.3799357952333535,5.551685398726957,5.488664626913102
DPZ,61.95109477834476,7.870901776692729,6.192133177094141,5.821250638537493
DLTR,32.10491551509952,5.666119970058834,4.294451672591104,4.750636477999443
WBA,66.67891776728732,8.165715998446634,5.862034191154271,5.296290601821117
F,68.86318943071697,8.298384748293909,5.950343633866736,6.657906623994769
J,226.36510035335604,15.045434535212204,11.800448524759526,13.524616208369777
WMB,84.59090812374274,9.197331576263995,7.313855925503439,5.962003680802583
DUK,219.06552246142823,14.800862220202857,11.553544485991065,11.287588682777773
OMC,62.59882980201886,7.911942226913621,6.159946912497726,6.315479113485182
GM,24.088359626858836,4.9079893670278905,3.747475745938855,4.385309694300508
EFX,208.53699405354755,14.440810020686081,10.412630085699872,9.80115433445922
IP,66.65002317667154,8.16394654420713,6.372974733870774,6.422832474292755
FITB,30.353462361419375,5.509397640524722,4.110938166161743,4.115587339131587
STZ,145.98342964175725,12.082360267834975,7.766656193696618,6.504058876513124
SWK,209.55568924370777,14.47603845130662,10.957007816994958,11.495020008772613
HSY,32.75534112547502,5.723228208404328,4.016660898327294,4.138876611039881
AME,44.79391399045562,6.692825561035908,5.188050651142636,5.298649245734469
MSCI,10.174661068828938,3.1897744542253985,2.3801044179073534,2.416900265673888
ROK,45.16777104918095,6.720697214514351,5.392287137582916,5.37456475651235
ETR,101.0048537737599,10.050117102489896,7.945129138622787,7.143189132102005
IFF,70.58649939982787,8.401577197159344,6.746601521640539,6.173054389270994
USB,39.773081440551366,6.306590318115754,5.124269924853709,4.9277986665086235
DFS,134.2233986630231,11.585482236964635,7.980584502606961,7.394252702940376
ES,279.1205750695096,16.706902018911514,11.545982063151074,10.842143845102159
CHRW,75.61874811764281,8.695904100071642,6.943729602407987,6.9248304094789255
PKG,90.31376836493087,9.503355637085821,7.194742763220619,6.595727785922367
ORLY,224.22993638956183,14.974309212433202,10.270088538488992,9.151175390554032
MCK,40.82524942148138,6.389463938506999,3.959392918068722,3.4929196929370785
CPRT,35.48931443471158,5.957290863699,4.596229268905439,4.821236673901547
PNW,227.19749126866978,15.073071726382443,10.790812624676438,10.99829307587131
VRSK,42.84058999890603,6.545272339552116,4.725953410338934,5.231046326841503
MSI,86.30571591579891,9.290086970303287,7.171403007861686,7.469624951930908
CVX,7.7775063832474585,2.7888180979130675,2.2649193960044682,2.3095718902934657
FTI,84.77362196215928,9.207259199249215,6.507757990873855,6.771191241064111
KMI,57.67948875857459,7.594701360723448,5.949870668884685,5.975763539702983
GIS,74.71789503868014,8.643951355640553,6.045016579632272,5.8680028555667105
NFLX,455.98970256953913,21.353915392019776,16.58581315935577,15.319144195579506
IT,174.6116012457214,13.214068307895241,10.124466559293262,10.14238230440378
RF,91.08075525513526,9.543623801006369,6.8625228475150575,6.638345126751635
TSCO,158.94780041016458,12.607450194633511,9.862702073195289,11.32400993522859
JNJ,33.07875925561332,5.751413674533707,4.043422091169364,3.8396419290071755
TFX,110.62409419468118,10.517798923476393,8.076036788464474,7.633089741833874
WAB,43.64291045087526,6.606278108804932,5.325180397689584,5.077270211468024
HD,140.15782742838846,11.8388271137131,8.977421482875204,8.88103667840236
