,mse,rmse,mae,mape
STE,67.23725494117576,8.19983261665601,6.221654746372752,5.915540254237638
REG,112.27110290813,10.595805911214589,7.620557010647719,7.377379090529828
WFC,27.03115882925555,5.199149817927499,3.2945703141178466,2.9273818664490534
JBHT,10.704522789302946,3.271776702237325,2.5923703991853277,2.6494477807057137
SJM,19.350348042734435,4.398903049935795,3.4912125505130747,3.859972454163548
PFE,35.216575363881304,5.934355513775805,4.456568982720287,4.687000926441189
EQR,28.938662912732433,5.3794667870275426,4.2076590900436255,3.729776247434589
TSN,163.3970213707628,12.782684435233579,10.068072458824682,8.845812299483157
TDY,3.1339626995277685,1.7703001721537985,1.2197507679606978,1.1835714123328256
GOOG,82.9636361503659,9.108437634982517,7.269147633428098,7.164603777541569
CMCSA,94.3883554126297,9.715366972617643,6.675392774972887,6.524079212227704
MRK,97.40698701445514,9.869497809638297,7.891862183352891,6.8788042633917215
TXN,13.972066406813166,3.737922739545745,2.773277311571116,2.5994346193288367
XRX,152.37837615532754,12.34416364746221,9.60846923855899,9.522420954633576
HRL,121.95261670805236,11.043215868036464,8.698885889377319,8.301645063903868
BSX,47.272339711622934,6.8754883253208225,4.661593920573645,4.5049133925583265
EMN,350.3156851062196,18.716722071618726,14.704563740812805,14.400530556012182
LVS,14.820227354320652,3.8497048398962552,2.982607732316862,3.2252571852554586
ADI,6.9693825490149806,2.6399588157800835,1.9852878139153907,1.957236362232187
NTAP,121.28584172795593,11.01298514154795,8.629278998352696,9.389485984659729
NWSA,18.452016670389945,4.295581063184578,3.1421607845941666,3.250359496137947
CAH,101.99415655033094,10.099215640352025,7.775936035512994,7.3348404806118745
MGM,97.93556017672739,9.89623969883144,7.870517443379053,7.484368766092392
ADM,33.36702668988072,5.776419885178078,4.471980987010985,4.399491989195521
MSFT,46.133106161000654,6.792135611205113,5.338847449493264,4.907924160006042
V,48.10336363027555,6.935658846156978,5.636477028215771,5.712634380293953
FMC,100.50874030104916,10.025404744999035,7.6452581533248445,8.118541306439745
CDW,70.11890408308855,8.373703128430607,5.891353837040542,4.683353151555469
GS,12.373133460344192,3.5175465114684967,2.7630213189992494,2.813011166318744
TPR,81.03834677686598,9.002130124413108,7.0068752694903536,9.908831255070272
MA,56.17379763853914,7.494918120869577,5.714044441433085,6.265022577138868
SNA,42.99164742671379,6.556801615628903,5.2140708454054865,4.845395122066917
IPG,83.25376994588142,9.124350384870224,7.1156865555672395,6.848310382577351
COP,50.2837173088447,7.091101276166115,4.775724772006283,4.5323645113190505
EBAY,111.85565354641842,10.576183316604267,8.132418927591514,8.4208160666712
SWKS,9.428942131160829,3.070658256980224,2.1151349393978163,1.3359963718163017
COST,151.51024245554018,12.308949689373996,8.320958932601508,8.859858181327716
EXPD,265.3912957025772,16.2908347147277,11.792666362845885,12.885388677743286
GL,50.6063634010399,7.113814968147534,5.713407774155192,5.637428107089363
TRV,56.32568460406369,7.505043944179387,5.667247538013307,5.604518529064907
DPZ,60.66215761123417,7.788591503682432,6.1259985869643225,5.75941006662022
DLTR,30.851010629815843,5.554368607665127,4.211489241407857,4.658796925762381
WBA,66.56621360603313,8.158812021736567,5.8707177852147,5.305063465493067
F,64.90391091635269,8.056296352316782,5.772395250780543,6.458558000907663
J,225.76661423278466,15.025532078192262,11.785614813112396,13.507797890947716
WMB,84.7624335453675,9.206651592482878,7.31585338625743,5.970295950145571
