,mse,rmse,mae,mape
STE,58.84816431168251,7.671255719351461,5.262099284053252,4.8816870433121125
REG,17.517582828546267,4.185401155032366,2.8228237597413197,2.7609650079917447
WFC,5.615005545279627,2.3696002923024015,1.6574868774276477,1.5159216855315134
JBHT,252.69705609072435,15.8964479079675,11.093451226625904,11.370160955278463
SJM,55.01580349789464,7.417263882180183,5.118761721091167,5.700716461302658
PFE,92.65856848483766,9.625932083951021,6.643021857109381,6.966512792221538
EQR,1.5036209105067742,1.2262222109009338,0.96992505548533,0.8646011848276438
TSN,24.98525737781675,4.998525520372658,3.5425891699661096,3.145169456038722
TDY,201.35288482944054,14.189886709535088,9.93561771881516,9.659921406357723
GOOG,27.751212273435055,5.2679419390721325,3.6852913506744986,3.6065328946782547
CMCSA,153.068115567037,12.372069979071288,8.849807760983865,8.59476650548621
MRK,141.11167654724517,11.879043587227264,8.528510616934904,7.44263355920511
TXN,272.78307127576943,16.516145775445597,11.765525640545656,11.04415342614208
XRX,108.1770668476165,10.40082048915452,6.842979139570892,6.729373716928762
HRL,74.0024374860011,8.602466941872029,6.100375947495514,5.846419362401318
BSX,87.41889889719155,9.349807425674154,6.69805049087211,6.427794096635711
EMN,54.35884060586758,7.372844810917125,5.210509887131636,5.153806442390162
LVS,368.57960551465646,19.198427162521842,13.771955853295115,15.042360768258279
ADI,112.27725763554714,10.596096339480269,7.576376796227352,7.515520370736798
NTAP,199.5268044712493,14.125395727952165,10.053536248510959,10.613498940993487
NWSA,2.7488496970031555,1.657965529497871,1.196442767256568,1.2555253077711495
CAH,158.8992275270516,12.605523691106674,9.048794749270991,8.507436783061925
MGM,50.08936915936756,7.077384344471307,4.79611958093435,4.564962158232457
ADM,89.85095361706503,9.478974291402263,6.419349367857881,6.158059551776514
MSFT,1.7433966204909697,1.320377453795304,0.9477877150772095,0.900448923772945
V,2.1699965423638896,1.4730908126669888,1.125659423300709,1.1263409989386157
FMC,19.83559521675028,4.453717011300817,3.2759076520390176,3.582502000588393
CDW,45.82038636424458,6.769075739290009,4.818122668431904,4.036359164388882
GS,11.120997676944203,3.33481598846836,2.3658377668990265,2.439070744067418
TPR,16.12011005612128,4.014985685668291,2.9796567076545366,4.053208950443956
MA,51.78553143997483,7.196216467003674,5.107421847834903,5.556081500571744
SNA,162.21918888722243,12.736529703464065,8.821759707529235,8.19708784471582
IPG,87.35016083145565,9.346130794690156,6.676984758071319,6.455276273545128
COP,10.548415213750818,3.247832386954539,2.4215234647251735,2.4091582708598858
EBAY,15.829437930951986,3.9786226173076513,2.666205444441373,2.7625700878637023
SWKS,49.200388439988664,7.014298855907742,4.68905396177502,3.1795127598990702
COST,56.02293916921378,7.484847304335191,5.2692846836887615,5.529713745789471
EXPD,3.482637175716785,1.8661825140421784,1.4517209390944872,1.5991176316649247
GL,119.85214263650406,10.947700335527276,7.8928671905642425,7.8280465538017765
TRV,13.059984790065277,3.6138600955301627,2.618657176078253,2.6201386690257573
DPZ,225.86634628217266,15.028850464429162,10.714293892839315,10.051410397977065
DLTR,19.677042123577163,4.435881211617052,2.731284972811936,2.989854495884526
WBA,72.36948027316812,8.50702534809719,6.020820552281532,5.628262157339633
F,106.69490554089585,10.329322608036591,7.4564228636352,8.19569150029721
J,48.860595843825614,6.990035467994824,4.728499005575066,5.325492954687704
WMB,150.3563019470858,12.261986052311665,8.452175138310947,6.623826185987065
DUK,67.56255681495294,8.219644567434345,5.589433063159196,5.456435046320291
OMC,22.638035626660713,4.757944474945112,3.1795189500198457,3.237990316518473
GM,100.30195579902475,10.01508640996296,7.070529213015571,8.336538074764565
EFX,4.400001369590293,2.0976180228035544,1.5669092615531148,1.4767244034798355
IP,25.01640221196351,5.001639952252012,3.6239886460213513,3.6326023763074957
FITB,27.73255889519541,5.266171179822719,3.82925398570417,3.823749848034624
STZ,137.9274130375889,11.744250211809561,8.353258446538213,7.087221580409028
SWK,155.0891640439493,12.453479997332042,8.090984408448863,8.47313668517176
HSY,78.52829580719342,8.861619254244307,6.205452585174122,6.3756325846516955
AME,217.109512282902,14.734636482889627,10.425825970166942,10.61295730750525
MSCI,20.608625049501544,4.539672350456754,3.3408861532561867,3.3513921275487144
ROK,70.88996132241684,8.419617647044124,5.783498414180553,5.774190095061373
ETR,10.655362714965166,3.264255307871179,1.7314581731034195,1.4968295232717375
IFF,15.144384767202732,3.8915786985750054,2.796387231810756,2.615093617283746
USB,108.14975854505343,10.399507610702221,7.40744398867185,7.143571366269799
DFS,180.60618076135714,13.438979900325663,9.705911452165045,9.10533006602218
ES,92.29315365651301,9.60693258311481,6.860559947169205,6.483675822821039
CHRW,11.264466930665098,3.3562578760674957,2.335631747733346,2.3290336839452
PKG,22.392063272109105,4.73202528227704,3.441480161479192,3.1864024660233605
ORLY,24.96678612486345,4.9966775085914295,3.590379067902245,3.2248715103341303
MCK,37.41689742690523,6.116935296936304,4.306009611100446,3.908052107352329
CPRT,154.96374217389388,12.448443363485005,8.843388922978296,9.346904758417876
PNW,150.4152727895018,12.264390436931704,8.789214871469763,9.00756513724311
VRSK,47.95990290768477,6.925308867313051,4.612204405034422,5.0559404292923205
MSI,16.524248860633087,4.065002934886159,2.8865780273192674,3.0262881246874276
CVX,99.8141248412374,9.990701919346678,6.999347319338034,7.115674289357736
FTI,276.86576537394507,16.63928379990993,11.890530022527917,13.11319249199034
KMI,209.6104401766042,14.477929416066518,10.273582734796415,10.222854386046404
GIS,175.81835631875342,13.259651440318988,9.153818641197896,9.00578648653182
NFLX,5.595979349946284,2.3655822433274825,1.6528013629138134,1.5103589432412077
IT,360.8070765020956,18.994922387366987,13.650554495825702,13.583546413127396
RF,504.31798640496373,22.45702532404868,16.18023372596915,15.667254575157532
TSCO,24.362157008333067,4.935803582835633,3.456208558133235,3.9624415826462434
JNJ,12.551629718069412,3.542827926680805,2.5206740215216605,2.4259074039267565
TFX,296.64517871372675,17.223390453500343,12.136884316655076,11.484498099478056
WAB,61.51658013610411,7.843250610308465,5.330252420658772,5.03986487037692
HD,69.94853283145507,8.363523948160552,5.465330166569392,5.363519099065523
SYY,185.2154869954703,13.609389662856682,9.172452618849475,9.81222187131948
AVB,67.05780821135195,8.18888320904334,5.810107263348977,5.481471923145516
K,93.01210056020152,9.644278125406874,6.6103788765867,6.57136918228955
