,mse,rmse,mae,mape
STE,8.910591967773527,2.985061468005898,1.928888386081124,1.7962196594701758
REG,12.801551409152236,3.5779255734506603,2.3911510911408453,2.341723280385455
WFC,7.080590807214086,2.6609379562879862,1.9161259205759444,1.762335124555271
JBHT,200.12134838357682,14.146425286395742,9.736058789033411,9.982856825989886
SJM,36.10570433771254,6.008802238192945,4.180383258464236,4.66013394568437
PFE,40.71958571627194,6.381189992177943,4.434095470490028,4.644158616964899
EQR,8.365760506397416,2.8923624438160265,2.0725493083868405,1.8697405127937363
TSN,26.306173486919633,5.128954424336371,3.7092095798142286,3.300897390069131
TDY,15.806850105297551,3.9757829550036496,2.6905363283470263,2.6080879648170114
GOOG,17.19279686378723,4.146419764542325,2.7989769607552413,2.7324581949289577
CMCSA,26.268247856879544,5.125255882088186,3.662209193551941,3.5659344316852257
MRK,68.84662450274922,8.297386606802725,5.95734367918565,5.200711215581355
TXN,77.791101861926,8.819926409099228,6.284761662527148,5.895618589951201
XRX,87.39824450160097,9.348702824542075,5.935689375799267,5.809989345264507
HRL,69.78436018250932,8.35370338128601,5.930589760009162,5.68574283397145
BSX,50.335393309918196,7.094744062326575,5.041765502377716,4.845978663921854
EMN,11.914200820583767,3.4516953545444546,2.389943543811901,2.351303243835642
LVS,100.0534412549485,10.002671705846819,7.169570944302732,7.8500337400667926
ADI,95.46724811257846,9.770734266808123,7.049279365245093,6.99749896614899
NTAP,35.0212378896859,5.917874440175789,4.104610180383552,4.343637690626397
NWSA,7.748313841865427,2.7835793219999005,1.8680129677870478,1.9628824736300095
CAH,6.7064897230243075,2.5896891170610243,1.8325385010481403,1.7374008065573796
MGM,24.553197410449712,4.955118304384842,3.2753733640823692,3.088038829972601
ADM,78.81536611242491,8.877801873911409,5.934088355247829,5.685553920111631
MSFT,7.456653239579966,2.7306873199947237,1.8140871140946286,1.6805172522214247
V,2.213746672313588,1.4878664833625321,1.0244546903924099,1.0579446413440832
FMC,10.300554711670319,3.209447726894819,2.277796809969838,2.419720547955985
CDW,42.14985679748334,6.492292106604826,4.607723572231667,3.8648128006621536
GS,10.263478910385675,3.2036664792680396,2.046494593374138,2.092165849012184
TPR,6.5579472599607,2.560848933451698,1.8539172927066905,2.607822796676741
MA,44.92432167459918,6.7025608296082755,4.716032783102758,5.11571648812068
SNA,143.38158884198558,11.974205144475585,8.38488288917887,7.808386056063969
IPG,92.61124984547688,9.623473896960332,6.859582826600294,6.626201326020104
COP,8.626141279223146,2.9370293289688387,2.196259057650482,2.175831188634624
EBAY,19.20126186760621,4.381924447957337,3.062827677820411,3.162392518841213
SWKS,45.56861956252067,6.75045328570761,4.5158616701694845,3.05782151367528
COST,7.14159040835698,2.6723754242914635,1.84681622580207,1.9291156779404626
EXPD,15.033328135122963,3.8772836026170387,2.859619610628545,3.1564613502573344
GL,6.297250275729573,2.509432261634008,1.793563551406669,1.7669057989033208
TRV,22.337751790168557,4.726283084006771,3.3806155564711533,3.4192460532854088
DPZ,73.10759035350038,8.55029767630931,6.14003805750752,5.755458076952532
DLTR,6.980140529490296,2.641995558188979,1.7497989856604697,1.914562255668983
WBA,8.57354792180055,2.928062144456731,2.013963758959652,1.8710773172759043
F,41.6911258719155,6.456866567609672,4.652280719876378,5.131902332105835
J,39.389962464251745,6.276142323454093,4.342361902286289,4.876299574040049
WMB,58.75605124809363,7.665249588114769,5.041276553228566,3.8941487487296356
DUK,20.244916989775188,4.4994351856399915,3.087943743403222,3.015152722223987
OMC,30.67883374100971,5.5388476907213935,3.9092282812288817,3.979817771370533
GM,37.163180006306646,6.096161087627741,4.3804511951943095,5.166858949071136
EFX,11.509382943607498,3.392548149047777,2.474404799342806,2.348449977474322
IP,76.48917087826543,8.745808760673047,6.328200856047804,6.35102529018017
