,mse,rmse,mae,mape
STE,8.910573931459131,2.9850584469083903,1.9288838785978983,1.796215620895531
REG,12.80155265087171,3.5779257469757124,2.3911493078240493,2.341721816012996
WFC,7.08063936433414,2.6609470803332673,1.9161296657809759,1.762338636050592
JBHT,200.12141618029855,14.146427682644779,9.736061754243257,9.982859979115482
SJM,36.10537680199692,6.008774983471833,4.180356279783344,4.660104096459435
PFE,40.71960371060024,6.381191402128621,4.4340956518171994,4.644158597465706
EQR,8.35829592331719,2.8910717603195515,2.071380897142567,1.868746259034908
TSN,26.306116417504885,5.128948860878308,3.70920381307427,3.3008926026165035
TDY,15.806882014059328,3.9757869678919326,2.6905370541490576,2.6080886148402773
GOOG,17.192808238885533,4.146421136219225,2.798977063955403,2.732458302148127
CMCSA,26.268587527259186,5.1252890189002205,3.662228799473163,3.5659529865856374
MRK,68.84432690671902,8.297248152653928,5.957242069712543,5.200621916277022
TXN,77.82393155948364,8.821787322276798,6.285951184385693,5.896709290948314
XRX,87.77298725049992,9.368723885914235,5.952150944032516,5.82624107134476
HRL,69.78419487003492,8.353693486718011,5.930569791704274,5.685723876836285
BSX,50.3355515426334,7.094755213721852,5.041775146358171,4.845987999893981
EMN,11.91426000399328,3.4517039276266552,2.389950113602141,2.3513098858148624
LVS,100.05346963737229,10.002673124588862,7.169572062359413,7.850035541833863
ADI,95.46701393552198,9.770722283205167,7.0492722899548115,6.997491774449106
NTAP,35.02126385353214,5.917876633855435,4.1046106796156545,4.343638183865726
NWSA,7.747423505363149,2.783419390850604,1.867889501562844,1.9627530404076206
CAH,6.713459461221424,2.591034438447591,1.833414647773579,1.7382235547376397
MGM,24.553199659406175,4.955118531317508,3.2753730815278526,3.0880379665782605
ADM,78.81526473398362,8.877796164250654,5.934086839276684,5.6855535500233305
MSFT,7.456659214730064,2.730688414068889,1.814094669051599,1.6805245180896604
V,2.213755473234,1.4878694409234972,1.0244581606039793,1.0579484243255917
FMC,10.300546598219944,3.2094464628997854,2.2777955033339774,2.419718352049001
CDW,42.149829202778534,6.492289981414765,4.607729233610832,3.864817634790562
GS,10.263503402497053,3.203670301778423,2.0464940258533866,2.0921652624597034
TPR,6.557965073407128,2.560852411484724,1.8539259523585472,2.60783386728644
MA,44.924191435668476,6.7025511139914835,4.716017112493818,5.115698711411003
SNA,143.38727111240573,11.974442413423922,8.385064316917402,7.80855826767869
IPG,92.61105764464669,9.623463910913092,6.859570065165262,6.626188575970971
COP,8.626193394460449,2.937038201055691,2.196275617847514,2.1758468904727732
EBAY,19.201710562928856,4.38197564609034,3.062865795855185,3.1624315808416585
SWKS,45.568642717316564,6.750455000762287,4.515865931927282,3.057823263970988
COST,7.141601806456628,2.672377556868907,1.8468168960220959,1.9291166572643181
EXPD,15.03330762141578,3.877280957245139,2.85961909668404,3.1564604546888724
GL,6.297252551188708,2.50943271501523,1.793563379997063,1.7669056285731821
TRV,22.337653732557918,4.72627271034564,3.3806020027588124,3.419232989251243
DPZ,73.10683901395834,8.550253739741198,6.140005082135768,5.755427401287595
DLTR,6.980128767053683,2.641993332136492,1.749795971968002,1.9145589482955934
WBA,8.573553426194263,2.9280630843945734,2.013966648441439,1.8710794459537812
F,41.691066935370806,6.456862003742283,4.652283076156051,5.131905336250822
J,39.38992831113993,6.276139602585329,4.342352709730462,4.876288352179216
WMB,58.75609977371631,7.6652527534137,5.041279307567605,3.8941512983282522
DUK,20.249945416180804,4.499993935127113,3.0881546407067773,3.015377359096659
OMC,30.678636407263866,5.538829877082692,3.9092101900268355,3.979798670485705
GM,38.83076419436901,6.231433558529611,4.475709595972532,5.279026181320132
EFX,11.509361583522047,3.3925450009575475,2.474409897757924,2.348454557011696
IP,76.48871930030421,8.74578294381379,6.328180907747088,6.351004988887183
FITB,6.11133163840909,2.4721107658050214,1.899686949615821,1.8924242024142783
STZ,61.093275085877295,7.816218720447714,5.390626631767374,4.55623613799677
SWK,122.96366867933587,11.088898443007578,7.340594678476331,7.705419043693705
HSY,9.369531559783923,3.06096905567239,2.0485936972996064,2.101718427752308
AME,74.8583268167524,8.652070666421558,6.118261620297174,6.223186178318525
MSCI,2.4786367946252135,1.5743686971688726,1.113843109897806,1.1229382848866083
ROK,24.634767659109695,4.963342387858176,3.292234070053939,3.2753775963521683
ETR,5.452029288828572,2.3349580914501598,1.7021640893918681,1.56628065538068
IFF,57.46459002481508,7.580540219853403,5.4205572879852175,5.058227073455358
USB,10.052704854992834,3.170600078059804,2.150697292151082,2.0637112729623306
DFS,28.75179591890915,5.362070115068354,3.884301441227365,3.6465252565184354
ES,31.210462702636814,5.586632501125952,4.027612340760474,3.8043784916568595
CHRW,10.814065922666881,3.2884747106625105,2.3159876565815507,2.3164107275281527
PKG,48.93747504590682,6.995532506243311,5.0514331567858495,4.678828700293579
ORLY,13.710698463258344,3.7027960331698457,2.6666977236097216,2.392171726986036
MCK,3.4752576890213462,1.8642043045281669,1.3505566996489835,1.231184241001874
CPRT,23.62552740863821,4.860609777449555,3.1697701058557777,3.3370372912008315
PNW,31.555202750016537,5.617401779294101,4.038111313940089,4.133657402464095
VRSK,74.3522936084818,8.622777604025387,5.657917701757821,6.200055323198814
MSI,4.89101054881765,2.211562919931886,1.6798684452527273,1.7492100027888258
CVX,152.57340771164752,12.352060869006738,8.737191903978728,8.90838456603241
FTI,122.01544135602258,11.046059992414607,7.939936767396167,8.7517238593795
KMI,162.13486689685936,12.733219031213567,9.024662039345023,8.98276497775671
GIS,22.935742591316643,4.7891275396795026,3.2336885546572165,3.1772158867835696
NFLX,7.218562575172005,2.686738278130567,1.8119464290558265,1.653859309485737
IT,100.61283741998602,10.030595068089731,7.156442759369839,7.124677694535466
