,mse,rmse,mae,mape
STE,0.0057611638066800515,0.07590233070650763,0.06399897017918108,0.0588398257506012
REG,0.07660519072561216,0.27677642733009644,0.23716474507963878,0.21409027933450067
WFC,0.0072363165818663585,0.08506654208245659,0.06599823410346885,0.05734315474192931
JBHT,0.01750690274950361,0.13231365292177377,0.12141075540432049,0.12299481046409787
SJM,0.0028329450493547706,0.05322541732438338,0.043365439147303,0.04839371584652758
PFE,0.03258003334441954,0.18049939984503977,0.15611217772799896,0.1644802534885937
EQR,0.110349580583275,0.3321890735458874,0.29762559188991666,0.24701834636984518
TSN,0.04551330517605515,0.21333847561107008,0.17739848403326147,0.1530576111372949
TDY,0.0037910879504506473,0.06157181132994747,0.04914119414800028,0.04766581493079534
GOOG,0.26011235714767367,0.5100121147067721,0.4351191299629764,0.44042855715081713
CMCSA,0.07623021760351625,0.27609820282558206,0.24271962321435114,0.23251559369383773
MRK,0.013681949967144218,0.11696986777432988,0.11142486931420861,0.09538991966342487
TXN,0.00759398136774471,0.08714345281055089,0.06906119461119804,0.06338426501392393
XRX,0.05212613863772642,0.22831149475601623,0.2059962555763304,0.19711443822472585
HRL,0.0018172424296000447,0.0426291265404306,0.03330657164776105,0.03093210579414691
BSX,0.0040423067683587255,0.0635791378390642,0.05113014920930198,0.04902818572016066
EMN,0.005198851620322631,0.07210306248920798,0.06005439662384005,0.058948352772766284
LVS,0.2123800934755341,0.46084714762655754,0.3765754030738081,0.4495104672155027
ADI,0.042461901757968046,0.20606285875423558,0.17109467721546517,0.16972368265564045
NTAP,0.012258111648753282,0.11071635673536807,0.09031221397366598,0.09329853601817056
NWSA,0.08372906942591475,0.28935975778590006,0.24943173024929757,0.2746269526534087
CAH,0.19952106073863773,0.44667780417056513,0.3961001894927319,0.35661153625923225
MGM,0.050376853982080395,0.2244478870073862,0.17023362604395187,0.17400745581484797
ADM,0.1010099584720495,0.31782063883903056,0.2929098583676387,0.26983936546562737
MSFT,0.003200296979678998,0.05657116738833483,0.046978844245343744,0.04326640798093901
V,0.06130613482689443,0.24760075691906605,0.21506262397948198,0.21644851116554464
FMC,0.05836013014727419,0.24157841407558373,0.18659019937713714,0.23042158321255263
CDW,0.08694503904092217,0.2948644418049117,0.2633152258079683,0.1973491816047591
GS,0.042726738455383134,0.20670447129992892,0.19392227551801366,0.19577820569158672
TPR,0.0899277305768268,0.2998795267717135,0.2668920826728514,0.4020149605224679
MA,0.22676942944284012,0.47620313884186033,0.4309098085063115,0.4630009587869999
SNA,0.005102431635154178,0.07143130710797736,0.06301494671080558,0.057373111382060776
IPG,0.004928439754151505,0.07020284719405265,0.05926970190428338,0.054633081892473956
COP,0.010276387391428046,0.10137251792980209,0.08186750012251047,0.07815580353250433
EBAY,0.020413859828715998,0.14287707943794203,0.1257464911358622,0.12900338219827429
SWKS,0.26101037318976694,0.5108917431215413,0.4264102090195431,0.22649269317147058
COST,0.005818455302302736,0.07627879982211791,0.0661156328445487,0.06970404197599323
EXPD,0.007659712258248037,0.08751978209666679,0.07205205916033598,0.08072809274050438
GL,0.0224072656513701,0.14969056634060177,0.1283853186887302,0.1256702363410146
TRV,0.01053953630194425,0.10266224379948186,0.09587708153501162,0.09445595432881973
