,mse,rmse,mae,mape
STE,0.10803339179686447,0.3286843345778202,0.2998482888552311,0.2603180551024798
REG,0.2595718646420902,0.509481957131055,0.44669241244676505,0.40505323250802894
WFC,0.0019303865904145184,0.04393616494887234,0.034117583022789257,0.02988271163994515
JBHT,0.012502612634998054,0.11181508232344174,0.10338007597536487,0.10506322165707764
SJM,0.01036404104751984,0.10180393434204711,0.08390511015985576,0.09057417407894035
PFE,0.11002159037778224,0.3316950261577376,0.2925627300451119,0.304644838724978
EQR,0.03263307206328996,0.18064626224555536,0.16160509191387304,0.13412620442758655
TSN,0.0082992108501189,0.09110000466585554,0.06959314632544933,0.05884486964315663
TDY,0.01837209017029417,0.13554368362374608,0.11709468347410787,0.11017009464464252
GOOG,0.12536814711802882,0.3540736464607735,0.2946060883155482,0.2989067717416294
CMCSA,0.07291741864608804,0.27003225482539683,0.23653598992312969,0.22629076008812973
MRK,0.01863203018156869,0.13649919480190603,0.13042605138016417,0.11082823658968391
TXN,0.011431656083634865,0.10691892294460725,0.08833653614821128,0.0805916182818807
XRX,0.22048685812771174,0.4695602816760716,0.4268862853987454,0.4047783904044444
HRL,0.09465692346092781,0.3076636531359007,0.2673547430297789,0.24113529997670835
BSX,0.32286169317820385,0.568209198428012,0.47499917784222817,0.46167521559575686
EMN,0.3926674837250984,0.6266318566152685,0.5230921893616273,0.5205513047199299
LVS,0.4098690023092295,0.6402101235604054,0.5363377426004312,0.636344880634922
ADI,0.2767379687330768,0.5260589023418165,0.45600810129489644,0.4466676799601534
NTAP,0.009356014594812612,0.09672649375849728,0.08084862711493362,0.08447445509985535
NWSA,0.014245476861752171,0.1193544170181907,0.09354864202333597,0.10467804382393103
CAH,0.19562768115925902,0.4422981812750975,0.39208795195761353,0.3528058153461354
MGM,1.5016304240795824,1.2254103084598165,1.026540811285272,1.0383375250667044
ADM,0.150651802672726,0.3881388961090166,0.35424772587231573,0.32425090243663307
MSFT,0.14229834254299936,0.37722452537315143,0.3199450417090427,0.2719204151784987
V,0.2386919984250564,0.48856115116232524,0.43103160898210513,0.4285955147012173
FMC,0.15350631331098072,0.3917988173935454,0.31657521379478215,0.38623053921343925
CDW,0.009870554460972543,0.09935066411943376,0.08467745137859825,0.06436394076448729
GS,0.09348578924812093,0.3057544590813369,0.283860194745607,0.2850542500313042
TPR,0.06574609043318348,0.2564100045497123,0.23459442046836868,0.3511540551424637
MA,0.3898918228153711,0.6244131827687266,0.5612579969762631,0.6016909521100995
