,mse,rmse,mae,mape
STE,0.05229382554321882,0.22867843261492504,0.21005282356676935,0.18552906308281455
REG,0.25761827751944133,0.5075611071776889,0.44367835977960174,0.40203308170402935
WFC,0.01242893510392132,0.1114851340041412,0.0891461020900937,0.07773022956478365
JBHT,0.014413699624220178,0.1200570681976708,0.11088633740421344,0.11261635552603232
SJM,0.012113094721953587,0.11005950536847595,0.09036391523813558,0.09751679204393751
PFE,0.04860770543362712,0.22047155243619782,0.1869302892780218,0.1942804391516259
EQR,0.09346556391162235,0.30572138281713684,0.2662267052563348,0.21952019925392618
TSN,0.00947985541017921,0.09736454904213962,0.0748243048636432,0.06280617193114686
TDY,0.015060000522296783,0.12271919378115545,0.10401676482990597,0.09767544431030999
GOOG,0.007468724246241372,0.08642178108695384,0.06929300956370159,0.06837499159393977
CMCSA,0.08508726460994069,0.29169721392214343,0.2555953637152063,0.24453289194301922
MRK,0.0032804715119548918,0.05727540058310279,0.04575583527823657,0.03934016527314391
TXN,0.011705994240762376,0.10819424310360684,0.08917401807454038,0.08161366693665287
XRX,1.0934975213794162,1.045704318332585,0.9413771655187504,0.8906661449197539
HRL,0.06182734371543427,0.24865104808834865,0.21288701493376985,0.19159041999644016
BSX,0.4590535574671733,0.6775349123603693,0.5731809048295293,0.5575990636559329
EMN,0.5623015020327606,0.7498676563452784,0.635774285310847,0.632461142698749
LVS,0.33603949475789124,0.5796891363117747,0.48516909143111425,0.5759702814407862
ADI,0.20900837301599134,0.4571743354738883,0.39610740508594267,0.388786482519162
NTAP,0.012102699747492023,0.11001227089507798,0.09783927192440249,0.10877921496751983
NWSA,0.005459014469891507,0.0738851437698507,0.053607308434089423,0.06051309297965224
CAH,0.13613779597777223,0.3689685568958041,0.33176450853961276,0.29904991888629107
MGM,1.3989060571095013,1.1827535910364007,0.9881674098305782,0.9999615318302564
ADM,0.1277506502638648,0.3574222296722251,0.3232792299520489,0.29526355885401134
MSFT,0.019353358639955687,0.1391163492906412,0.11990546831827666,0.10348427912989229
V,0.28583633374214107,0.5346366371117313,0.4701299786754817,0.4666908147204101
FMC,0.07526103047579148,0.27433743907055685,0.21603740271335328,0.2656283938719479
CDW,0.020006806800791355,0.14144541986501843,0.10180157351121218,0.07862270953994549
GS,0.11545809503544799,0.3397912521467379,0.31164761210322306,0.31242861482276707
TPR,0.2613431843434517,0.5112173552838868,0.46803412584653653,0.6987317350620166
MA,0.3675963916041065,0.6062972798917264,0.543379770146434,0.5822629242255362
SNA,0.08199360903289082,0.28634526193546633,0.2581883740532431,0.22804061054967084
IPG,0.11225806878776431,0.33504935276428205,0.29664258769189583,0.2789120207120673
COP,0.06056530433916127,0.24610019166827415,0.21361449497229973,0.2014624962404972
EBAY,0.7382563503914034,0.8592184532419002,0.7426182160566042,0.7764297031404086
SWKS,0.18915871274520205,0.4349238010792259,0.35384924226828635,0.1859108002400165
COST,0.049163497667458304,0.22172843224868186,0.17114000440877475,0.16595387721893484
EXPD,0.004030815798965911,0.06348870607411929,0.053641977970818384,0.05711650721263624
GL,0.04861896325720525,0.22049708219657976,0.19396446226976913,0.19034483543645353
TRV,0.016364808077494845,0.12792500958567424,0.11532787515910645,0.11388591376627402
DPZ,0.014841588302855743,0.12182605756920702,0.07695983164035658,0.06230113122330942
DLTR,0.012099726004481937,0.10999875455877642,0.10342187704089693,0.11285977040553068
WBA,0.05037183050692026,0.22443669599002802,0.19734245631531921,0.1715595151249465
F,1.4572927956561992,1.2071838284437872,1.0634523717128397,1.1683680402766186
J,0.9631799846929545,0.9814173346201679,0.8346139801159607,1.061297525572778
WMB,0.09753451842705806,0.3123051687485464,0.23248000554752363,0.18000436553283958
DUK,0.01355684353369732,0.11643385905181242,0.09161136689473172,0.08342414437502184
OMC,0.21404558030357376,0.4626506028349836,0.4083665548154414,0.41706003463334296
GM,0.12946648376393627,0.3598145129979282,0.32466853372379023,0.3936534126442365
EFX,0.0010816263458093723,0.032888088205448675,0.026969064144115564,0.025409800669674038
IP,0.07401972283131156,0.27206565904448793,0.2479000333295916,0.24237606770196002
FITB,0.1592343211657788,0.39904175366216854,0.3368279550313871,0.3440897212955783
STZ,0.1241910582640483,0.35240751732057063,0.3190153026997329,0.2588224709765768
SWK,0.02776059052443857,0.16661509692833532,0.15068140261750929,0.15508568842196702
HSY,0.0027004557989764415,0.05196590996967571,0.03963724116236387,0.0391849237358826
AME,0.49445039657930834,0.7031716693520212,0.6079752158518207,0.6188175680228885
MSCI,0.08084715354838051,0.2843363387757191,0.2359669466533203,0.2287993131154361
ROK,0.3558684421117005,0.5965470996591137,0.5041648367139953,0.5140324102589484
ETR,0.008726751337273759,0.09341708268445209,0.0764140703292129,0.06347023486207633
IFF,0.02866336605851222,0.16930258727648617,0.15098039960875556,0.13390209362897507
USB,0.05560420931239214,0.23580544801253456,0.20486653840324817,0.19365911275123884
DFS,0.044510263577374864,0.21097455670619353,0.18555232133628688,0.1654440850651132
ES,0.0033602780945231865,0.057967905728283704,0.044833230429950445,0.04139025268452283
CHRW,0.03028334921375965,0.17402111714892435,0.1432629889530219,0.12923124022752785
PKG,0.00998553843404295,0.09992766600918361,0.0802398062486027,0.07384279352505621
ORLY,0.02556273377036166,0.15988350061955003,0.12823406294313375,0.11027987118875504
MCK,0.15163887940754991,0.38940837100343634,0.34856579267780075,0.2988555880231371
CPRT,0.00446556515866391,0.06682488427722048,0.05262101466043098,0.05472285018861548
PNW,0.062101997758856164,0.2492027242203748,0.20803365437032126,0.19845559367826912
VRSK,0.0017886209495502636,0.04229209086283467,0.03499047039166831,0.03895854004966369
MSI,0.042361462980694216,0.20581900539234518,0.1794509265315347,0.18793568267710284
CVX,0.041307734985306134,0.20324304412526922,0.1747180811994607,0.18235072539813893
FTI,0.3622513417322142,0.6018731940635121,0.5171236988563581,0.5722080552399709
KMI,0.264501607377315,0.5142971975203783,0.46887273204517765,0.445925411259305
GIS,0.19035177965764058,0.4362932266923709,0.38095615598887034,0.366539636994692
NFLX,0.02327965834754859,0.15257672937754496,0.13472135408514382,0.13025160194439545
IT,0.12144614171191247,0.34849123620532046,0.31630019444320523,0.30170415061986366
RF,0.08856345195739915,0.2975961222149898,0.243343192272842,0.2389717792262319
TSCO,0.026706067742827307,0.16341991232046144,0.1435031582913736,0.16882030239630477
JNJ,0.10711976372358534,0.327291557672338,0.2811773695837155,0.2543639454599972
TFX,0.17387248446036974,0.41698019672446046,0.3644349874191557,0.3266638039208295
WAB,0.4054075071963596,0.6367161904619354,0.5529068040333537,0.5090854522852143
HD,0.011161169987293688,0.10564643859257011,0.09399808248584622,0.09261729837268935
SYY,0.037198058649622855,0.19286798243778788,0.1690455388844059,0.17580626385826542
AVB,0.0410848502074172,0.20269398167537486,0.17464602988602065,0.15275665692631535
K,0.030936536017047923,0.17588785068061957,0.15410376679961146,0.14794859179273895
