,mse,rmse,mae,mape
STE,0.05728707204441042,0.23934717889377852,0.2200165443045883,0.19401301456264886
REG,0.2577665893184732,0.5077071885629286,0.44387340227683814,0.4022242506029804
WFC,0.01225014969666731,0.11068039436443707,0.08839953634011623,0.07707995443369474
JBHT,0.01574154757839149,0.1254653242070951,0.11591261760387642,0.11763960724953708
SJM,0.011082554096347216,0.1052737103760821,0.08676194048714786,0.09365728891652775
PFE,0.048250414148305616,0.21965976907095577,0.18620705486484296,0.19352433855896464
EQR,0.0887941953678619,0.29798354882083994,0.26086412428549693,0.21533264636239435
TSN,0.010350854591417852,0.10173914974786182,0.0778776647974554,0.06512561097885575
TDY,0.015069176072286635,0.12275657241991826,0.1040487943326526,0.0977057412693018
GOOG,0.007472666147977427,0.086444584260539,0.06900209584674816,0.06823727258195729
CMCSA,0.08971311019170089,0.29952146866577173,0.2624436116051138,0.25107277441427917
MRK,0.003187933596481333,0.05646178881758293,0.0455035258892659,0.0391744231167729
TXN,0.012395548160387335,0.11133529611218239,0.09208301764696696,0.08426206338841394
XRX,1.1255384873828775,1.060913986797647,0.9550258242743803,0.903496568527618
HRL,0.06263608178215824,0.2502720155793656,0.21431439541553718,0.192880895267352
BSX,0.45749399403397123,0.676383023171022,0.5721779149256286,0.5566285374469467
EMN,0.5596996367437982,0.7481307617948871,0.6342082570953702,0.6309083044187479
LVS,0.3371609542003364,0.580655624445623,0.4859667739363023,0.576916918114389
ADI,0.21245603045483902,0.46092952872954346,0.3994843649318082,0.39209058423754667
NTAP,0.010183726851200994,0.10091445313333959,0.08731948271505306,0.09759913183299092
NWSA,0.005530750344475351,0.07436901468000871,0.05396788702486075,0.060922310057157834
CAH,0.12331537954147262,0.35116289602045464,0.3154654785697208,0.2844221632448705
MGM,1.4010119492007134,1.1836435059597603,0.9889580132210382,1.0007532403952213
ADM,0.07336710435030804,0.2708636268499483,0.24741394569838435,0.22716425678404542
MSFT,0.018414522115476097,0.13570011833257956,0.11718129130314422,0.10135982708270112
V,0.23269648635567675,0.4823862418805876,0.4255281879111097,0.4231734794617523
FMC,0.07135613316562109,0.26712568795535385,0.20953604579560337,0.2578299843996553
CDW,0.02107345928885017,0.1451670048215164,0.10462010939821015,0.08078326136388843
GS,0.1182796727593907,0.3439181192658955,0.3154547626209988,0.31620161087151455
TPR,0.2598722003907331,0.5097766181286987,0.46673096094604066,0.6967888757950408
MA,0.36432826482461167,0.6035961106771743,0.5411113043274456,0.5798639047196799
SNA,0.08825771650211095,0.2970820029926265,0.2675675420207857,0.2361714309160267
IPG,0.11179267502390734,0.3343541162060179,0.2960147436915433,0.27832804999794886
COP,0.05937732254382607,0.24367462433299467,0.21158946689930466,0.1995397642512891
EBAY,0.7423078444611896,0.8615728898132703,0.7449296116699876,0.7788348275086535
SWKS,0.1894694255657029,0.4352808582578642,0.3541711686280124,0.1860845384622853
COST,0.04827840317555037,0.21972346978770924,0.169659254872454,0.16452865829301702
EXPD,0.0038852357881125838,0.06233165959697033,0.05256719999570302,0.056005108802949094
GL,0.04227800131272009,0.20561615041800604,0.1805075812517808,0.17722298077811907
TRV,0.016732315474377247,0.1293534517296591,0.11692160920429646,0.11537615364617684
DPZ,0.01448683515257867,0.12036126932106803,0.07561413178257101,0.06116316664511451
DLTR,0.01453491639931356,0.12056084106920273,0.11175155090585365,0.12233251480122549
WBA,0.07716526523697592,0.27778636618267627,0.2518717945187515,0.22068052207470806
F,1.4477746591561498,1.2032350805873928,1.0597555288918874,1.1642990263198474
J,0.9607620458448441,0.9801846998626556,0.833523586667722,1.0599248964736818
WMB,0.09506910356248308,0.30833278055127883,0.22940364854508696,0.17767225301702125
DUK,0.01349676223723456,0.11617556643819113,0.09138685461733323,0.08321717641281351
OMC,0.21707473871494593,0.46591280162166177,0.4112656646312791,0.4200110917030192
GM,0.12852187415768934,0.3584994758122937,0.3234823931845519,0.3922175445272281
EFX,0.0013252514259325335,0.03640400288337168,0.028487706512635363,0.027129716538126736
IP,0.10348490445546481,0.32169069687428764,0.29235267921735225,0.28532115961488763
FITB,0.15738127272662844,0.396713086155005,0.3346374294364321,0.3418677544644596
STZ,0.11888497210540491,0.34479700129990243,0.3120878528147918,0.25319580878744086
SWK,0.03467895254601816,0.18622285720613935,0.16883045189619494,0.17341777750453446
HSY,0.002893188686058023,0.05378836943111422,0.0408878783638573,0.0403263048612327
AME,0.49433792658039877,0.703091691446001,0.607888996830521,0.6187288710928033
MSCI,0.07259359218151483,0.26943198062129675,0.22338962439922322,0.21656657045664007
ROK,0.2879267051410753,0.5365880218017127,0.4522309449090102,0.46148422179503057
ETR,0.008567883305523619,0.09256286137281852,0.07563600056740964,0.06286545955412012
IFF,0.028305470528199338,0.1682422970842925,0.14993373870034787,0.13297098462967258
USB,0.05520177727499115,0.2349505847513284,0.20412043225940435,0.19296107771170093
