,mse,rmse,mae,mape
STE,0.007592983686304524,0.08713772825994791,0.07333154984152604,0.06777640049983001
REG,0.07648206428296522,0.27655390845722144,0.23695014349302232,0.21388975264452156
WFC,0.008848228506405133,0.0940650227576921,0.07396398681720541,0.06425114551493141
JBHT,0.014646440913702739,0.1210224810260587,0.11087420257341786,0.11245268348625452
SJM,0.003382963358734427,0.05816324749130181,0.04559504085527382,0.0513613109023204
PFE,0.03893550138262297,0.1973208082859559,0.17171204151414032,0.1808128297081829
EQR,0.0926407433168928,0.3043694191552312,0.2717999327461213,0.2254117203566846
TSN,0.046735073770239964,0.2161829636447793,0.1793836779706532,0.1547863782370198
TDY,0.008720750052882436,0.09338495624501002,0.0776614923909521,0.07482044690401429
GOOG,0.28989766450781895,0.5384214562104848,0.4608538207001369,0.4663211941617501
CMCSA,0.0669425046290626,0.25873249627571443,0.22696829624431478,0.21743548050370243
MRK,0.01460602646293524,0.12085539484414934,0.11547417331083826,0.09881975170836024
TXN,0.011890720054859489,0.1090445782919054,0.09058982086874827,0.08266617192038668
XRX,0.06124139666880504,0.24746999145109502,0.2241060021106951,0.21422893806509272
HRL,0.003694850072323565,0.06078527841775149,0.0484089059903789,0.04482482916145926
BSX,0.003933349942254973,0.06271642482041664,0.04924807127354006,0.047374290355747625
EMN,0.006041775762928735,0.0777288605533925,0.06237392246410666,0.062305814413421666
LVS,0.23284529756877478,0.4825404621052775,0.3960273779755373,0.472191784258361
ADI,0.04204693969947413,0.20505350447986528,0.17015264551846748,0.16879995444695922
NTAP,0.007662560379276594,0.08753605188307612,0.07697896392954422,0.08117387325305941
NWSA,0.08933013757517308,0.29888147747087485,0.25818565326806003,0.2841632472061704
CAH,0.16987055871310167,0.4121535620531523,0.36417133679260044,0.3277946316352202
MGM,0.055364189171591145,0.23529596080594148,0.17909255472828284,0.18318800090481746
ADM,0.10653759144568373,0.32640096728668516,0.30088263715530855,0.2771199994430751
MSFT,0.004015157045679094,0.06336526687136332,0.05377349950748923,0.04918112124036428
V,0.0687116210763066,0.2621290160899907,0.22824183366918063,0.22950242599095516
FMC,0.06602453156381087,0.2569523916288986,0.20057368459225708,0.24707382670312358
CDW,0.08781628383096446,0.2963381241605009,0.264708274440947,0.19840458605614533
GS,0.0404315919251213,0.20107608491593748,0.18878504579018013,0.1906670307603512
TPR,0.12487321105191555,0.35337403845205656,0.31604826450143425,0.47542107582646165
