,mse,rmse,mae,mape
STE,0.005100537156210775,0.07141804503212598,0.05996418294044331,0.054746490624809935
REG,0.13320722547608085,0.3649756505249095,0.31465487356393373,0.2844254668512034
WFC,0.006137418497470322,0.07834167790818833,0.06104995175353155,0.053086994990600926
JBHT,0.021394483302591822,0.14626853148436209,0.1183298745213973,0.1171626775477749
SJM,0.006684193602886855,0.0817569177677758,0.07201850692589619,0.08056087956642699
PFE,0.08189484659626786,0.2861727565584604,0.2520543338848668,0.2648044361533721
EQR,0.34109912089722305,0.5840369174095273,0.523209376160087,0.43464420033340734
TSN,0.13023678261283378,0.36088333656852845,0.2792215596980555,0.24096907877485338
TDY,0.04156430759131518,0.20387326355193114,0.177138041365914,0.16720833451912434
GOOG,0.10197258504536251,0.31933146579277544,0.2701647288235786,0.2744578186176062
CMCSA,0.04921317872806305,0.22184043528640818,0.19427212288444876,0.1862325426101381
MRK,0.051361610430759645,0.22663100059515168,0.21706387662581464,0.18455328970529686
TXN,0.005874329777001646,0.07664417640631052,0.05974761296299566,0.05514843449756593
XRX,0.013061407052987393,0.114286512996886,0.09691012716391799,0.09451291704150272
HRL,0.025224509769536295,0.15882225841970732,0.13510809960036313,0.12178045385688847
BSX,0.007479869374411637,0.08648623806370374,0.07789082940770536,0.07394600202101245
EMN,0.007552454512269369,0.08690485896812312,0.07115010930410032,0.06836902525339775
LVS,0.4507253946744582,0.6713608528015751,0.5622976959870436,0.667189950754206
ADI,0.03953705503908592,0.19883926935866042,0.16424046123155264,0.16301434055148023
NTAP,0.009918554578334737,0.09959194032819492,0.08867718280301705,0.09813145461728522
NWSA,0.004511690887553988,0.06716912153329078,0.05508096819111326,0.05796376117505711
CAH,0.18312398683901984,0.42792988542402577,0.3783765981034381,0.34045318859121393
MGM,0.06332414178129242,0.25164288541759416,0.19161330351962713,0.19629847175453913
ADM,0.32299790211427315,0.5683290438771128,0.514717283025684,0.47121956407725063
MSFT,0.031006296729671493,0.1760860492193277,0.15952250706197232,0.14019915054742238
V,0.013588633142667013,0.11657029271073747,0.1001313600845045,0.10324068263135582
FMC,0.04844633621735436,0.22010528439216165,0.17030455091027855,0.21014219873665857
CDW,0.022921630291938975,0.1513989111319463,0.1263017145201368,0.09491550683830377
GS,0.09956494208896713,0.315539129251773,0.25731924209153323,0.25036393497965
TPR,0.19918727638210962,0.4463040178870336,0.3993725370429206,0.599835524477167
MA,0.04017459006470111,0.20043599992192299,0.17786304353189236,0.19293392431419593
SNA,0.010082942854101237,0.10041385787878701,0.08046303756723543,0.06963431733695298
IPG,0.039816114988018105,0.1995397579130989,0.16958751088510196,0.15446738846910668
COP,0.14126983529045775,0.37585879701086916,0.3108685741631236,0.3136762141505374
EBAY,0.05196121367952587,0.2279500245218804,0.20369073201833532,0.209973574506446
SWKS,0.3352155245905136,0.5789780000919842,0.4891343662165207,0.2612624820485702
COST,0.013716250875316988,0.11711639883174768,0.08389030238586027,0.0806865036381197
EXPD,0.06560600802293869,0.25613669792307914,0.21394753072166733,0.22837480569255225
GL,0.03575103173198722,0.18907943233463342,0.16434706961965595,0.16081994624427523
TRV,0.015502450661082953,0.12450883768264386,0.11827440756560607,0.11561658988203465
DPZ,0.00915535484869581,0.09568361849708554,0.06638094679208144,0.0548871356825063
DLTR,0.010899871915912502,0.10440245167577485,0.09649888837701859,0.10347792068640374
WBA,0.030996905585170983,0.1760593808496752,0.15272821396166306,0.1325760567303433
F,0.017015408930096478,0.13044312526958435,0.10347079482032036,0.1176312937656659
J,0.0465536793556604,0.21576301665406053,0.17837721654436126,0.22830335691124232
WMB,0.055784785966230446,0.23618803095464097,0.1862431576757879,0.13131835588965962
DUK,0.1420043453378775,0.37683463924893834,0.32039863157933746,0.2958873114521771
OMC,0.09187820494702552,0.3031141780699569,0.2670529510235531,0.27346272912727043
GM,0.0994439575707479,0.3153473601772305,0.28412418943375445,0.3446597173346794
EFX,0.04954128708520364,0.22257872109706184,0.19867306746434138,0.18312047618660987
IP,0.01262133064261162,0.11234469565854732,0.09156397833830565,0.08753755304423867
FITB,0.09293315163464481,0.30484939172424935,0.2513362922048774,0.25727563915305174
STZ,1.9101969558661562,1.3820987504032252,1.1185939544046117,0.9080750247362409
SWK,0.6009671136202338,0.7752206870435243,0.689092982345226,0.69337535709375
HSY,0.004589324348442503,0.06774455216799727,0.05204352123269026,0.05232074766251785
AME,0.01499828730602912,0.12246749489570333,0.10537455330635428,0.10736186475545728
MSCI,0.03735273803859505,0.19326856453804134,0.17342571526483452,0.1706581025583897
