,mse,rmse,mae,mape
STE,0.2465217542637659,0.49650957117035105,0.4527058708723273,0.39313001259946156
REG,0.1154858066637529,0.33983202713068833,0.2997835898435496,0.2721692936841633
WFC,0.15027902112665675,0.38765838198942215,0.3322374631154525,0.28726641865951036
JBHT,0.03879669658323336,0.19696877057857004,0.18053986771248584,0.18209606239372236
SJM,0.0010635467200532027,0.032612064026264924,0.027411340428676736,0.030449421880723426
PFE,0.018684448113559304,0.13669106815574786,0.11045989724114855,0.1143028896124967
EQR,0.11340378329716384,0.3367547821444617,0.2938724858524745,0.24241764437098273
TSN,0.08020297145842126,0.2832012914137597,0.2556753604313744,0.21654724803280512
TDY,0.13482268089538899,0.3671820813920377,0.3205500674475193,0.3057556342953368
GOOG,0.2059339020560214,0.4537994072891914,0.3820028549527814,0.38700362892875934
CMCSA,0.4315912840883172,0.6569560747023481,0.5751890326631102,0.5491207662205756
MRK,0.02248341544736387,0.14994470796718326,0.11063131908538151,0.09315008393969107
TXN,0.007860705277217831,0.08866061852489994,0.06855413843049421,0.06344622433227515
XRX,1.1047286192439216,1.0510607114928812,0.94635562902163,0.8953899247943753
HRL,0.044027921665078504,0.2098283147363065,0.1784198733945027,0.16040041161212887
BSX,0.2664191487396282,0.5161580656539508,0.43117466758631784,0.41997515309205
EMN,0.5288222498701197,0.7272016569495148,0.6155711936983063,0.612482812222085
LVS,0.2638487642299349,0.5136621109542098,0.4224527944660027,0.5032171263062799
ADI,0.22998842429271746,0.4795710836703121,0.4127434952963408,0.403962204667796
NTAP,0.007755499240534245,0.08806531235699017,0.07292738037016432,0.08211811305378765
NWSA,0.05976999258741225,0.24447902279625597,0.20992271851752678,0.23156446368443348
CAH,0.0921085899617987,0.30349397022313096,0.26846535475098615,0.2420881047123761
MGM,1.6221712084982631,1.273644851792784,1.0666027062219332,1.078462422408197
ADM,0.2913564456547252,0.5397744396085509,0.48115059542824934,0.43693400048978237
MSFT,0.1679325050244174,0.4097956869275437,0.3463758121904915,0.2941829285398681
V,0.7852598010122803,0.8861488593979459,0.7803036970099434,0.7716541918250923
FMC,0.12999375071224142,0.36054646123938233,0.2944184841883597,0.35880315992783235
CDW,0.013784236858093756,0.1174062896871107,0.10048186693366502,0.07579843145107158
GS,0.32877673469372776,0.5733905603458499,0.5188370274873498,0.5174349430603759
TPR,0.2614001397968394,0.5112730579610463,0.46864007962790094,0.6992233327291703
MA,0.6238021413867203,0.789811459391873,0.7048095651343778,0.7541687271527953
SNA,0.1347318810347067,0.36705841637906456,0.32867326252177553,0.2892809781856374
IPG,0.1391640778429323,0.37304701827374565,0.330667950267508,0.3105624760164897
COP,0.010062929844774152,0.10031415575467977,0.08980572443792385,0.08827244406704568
EBAY,0.28565923575306845,0.5344709868206772,0.462975011697449,0.484709938450897
SWKS,0.46956443473150866,0.6852477177864285,0.5812733409806901,0.3105762974984811
COST,0.019794568695425986,0.14069317217059962,0.10632824452783313,0.10317438320779856
EXPD,0.07006042996719646,0.26468930837341437,0.23970665524249007,0.26245233227807757
GL,0.10462573706169347,0.32345901913796354,0.2851878192261333,0.27897535995953887
TRV,0.12195240521871269,0.3492168455540378,0.3238563104385503,0.3086637266456042
DPZ,0.006247538344204796,0.07904137109264234,0.06607977962914965,0.057348566348952655
DLTR,0.02142182332742668,0.146361959973986,0.13478820908930994,0.1471951680791323
WBA,0.00980554364209531,0.0990229450283888,0.08963163636623367,0.08055534284022385
F,0.9942254723524452,0.9971085559518809,0.8770460410862775,0.9628367991403275
J,1.1697406840002682,1.081545507133319,0.9232899005691706,1.1729008736884547
WMB,0.46384886922963703,0.6810645117972577,0.5672771495886155,0.4287323049474471
DUK,0.005581216443918815,0.07470753940479377,0.05446789451348551,0.04926192260682367
OMC,0.42826621732438647,0.6544205202500808,0.5737804813737378,0.5851226209656333
GM,0.13292554718719185,0.3645895598987879,0.32877959508525956,0.39865024116058867
EFX,0.062347459367149194,0.24969473235763143,0.22496066601281936,0.2077461355420421
IP,0.25691974417151436,0.5068725127401509,0.45969909420279126,0.4474120487797811
FITB,0.30723227968387523,0.5542853774761474,0.4749682214656759,0.4844020863935915
STZ,0.08267511107913293,0.2875328000057262,0.26214762028072564,0.21287286948728817
SWK,0.003252913957378669,0.057034322625754655,0.04387526746689303,0.04687074818432344
HSY,0.01509557213600052,0.12286403923036439,0.10670984493722228,0.11009877924834431
AME,0.7959299379509666,0.8921490559043184,0.774131309659224,0.7877795497682655
MSCI,0.012685618010284666,0.11263044885946547,0.09226600811897384,0.08958122804310585
ROK,0.7111638978039507,0.8433053407894147,0.7229290683791011,0.7358962968977245
ETR,0.0021805384424241937,0.046696235848558434,0.03933222700740477,0.034269019333008806
IFF,0.0063131766410767926,0.07945550101205576,0.0657819505538707,0.060143823247643204
USB,0.12403716201406546,0.35218909979450735,0.3086360589344611,0.2912967282077337
DFS,0.06601824985768812,0.2569401678556471,0.22717028606169923,0.20247624184196597
ES,0.03380485416276283,0.18386096421688544,0.15511963281181684,0.14011033046080973
CHRW,0.010245198142901866,0.10121856619663147,0.08118329605784068,0.07829209206516728
PKG,0.1585628580710579,0.398199520430472,0.33259055096927614,0.3010420899280719
ORLY,0.030270094555977494,0.17398302950568914,0.14471973299923527,0.12376207078520182
MCK,0.00531778927344853,0.07292317377520352,0.06713767487604284,0.05871027369565906
CPRT,0.09293131531291436,0.30484637985863366,0.26643673875323604,0.2840383734353297
PNW,0.016449380018450938,0.1282551364213182,0.09748629947748672,0.09154993369656336
VRSK,0.0218892281860853,0.1479500868066163,0.13960467176966995,0.15554999930106284
MSI,0.19616444306010755,0.44290455299094356,0.3923020251913245,0.4099767570696951
CVX,0.1201758769337358,0.346663925053842,0.3060436836783782,0.31682079964251303
FTI,0.07173283826747176,0.2678298681392196,0.21570958678472668,0.24283680777183286
KMI,1.3951807787088208,1.181177708352482,1.0494835520747894,0.9892924633476938
GIS,0.07676407898126454,0.2770633122253189,0.24541691849165795,0.23617357361533792
NFLX,0.09337959679538776,0.3055807533130772,0.24131431512906767,0.24536506840381048
IT,0.5230864466592989,0.7232471546154184,0.6478879254456714,0.6137723581612436
RF,0.11482508008184755,0.3388584956613122,0.28060299783813136,0.27530396348317915
TSCO,0.46683610962116395,0.68325405935213,0.6205848430155357,0.7075018074988165
JNJ,0.04488625665362431,0.21186376909142418,0.18362359252224958,0.16642824759742084
TFX,0.11538102018901586,0.3396778182175219,0.2931625879574649,0.26229616217548074
