,mse,rmse,mae,mape
STE,0.24656268412353202,0.4965507870535823,0.4527488896431462,0.39318246824882547
REG,0.11817576144824546,0.34376701623082667,0.30309765810733436,0.27514403403656273
WFC,0.1501243405790032,0.38745882436589724,0.33181829788276473,0.2868550543891408
JBHT,0.0384390836525869,0.19605887802542096,0.17980239445389182,0.1814080444558393
SJM,0.0010646270307881458,0.03262862287606,0.027401584833983937,0.03045850122306303
PFE,0.01875488720472937,0.1369484837620679,0.11070895601253493,0.11456396917335485
EQR,0.11489294041710087,0.3389586116579735,0.29592673106518114,0.2441349498850899
TSN,0.08142175327645436,0.28534497240437645,0.2576951748006947,0.21826977243899018
TDY,0.13276332639930305,0.36436702155834993,0.31818861261789905,0.3035247015713785
GOOG,0.18257630765983532,0.4272894892924881,0.3601931087188371,0.3648560156614987
CMCSA,0.434008651552454,0.6587933299240771,0.5767307025942882,0.5505829155834289
MRK,0.022215515465526872,0.14904870165662923,0.10984037314645691,0.09248366370425347
TXN,0.010491415290888909,0.1024276100028157,0.08227448873872256,0.0757427938672758
XRX,1.1038029020010216,1.0506202463311953,0.9460536183832421,0.895064901322082
HRL,0.03841382928335022,0.1959944623792984,0.1665288404327681,0.1496816830318124
BSX,0.2440988865927065,0.49406364629742444,0.4119891779316265,0.4014598070611521
EMN,0.5248203131487262,0.7244448309904118,0.6131163360496179,0.610049970504507
LVS,0.24232739792826252,0.49226760804288405,0.4044421471182877,0.48163934747189546
ADI,0.23270748085526763,0.48239763769660776,0.4153127102726212,0.406483792377217
NTAP,0.007765598200150736,0.088122631600235,0.07291646172367418,0.08212915668139456
NWSA,0.060091000734923086,0.2451346583715226,0.21055948361393645,0.232256248908604
CAH,0.0906244346709906,0.30103892550796585,0.26582323026221083,0.23970301833257068
MGM,1.6091731027310232,1.2685318690245915,1.0628375957133074,1.074643477938067
ADM,0.302365417783757,0.5498776389195663,0.48992185200519034,0.4448159278515174
MSFT,0.1587236016889323,0.39840130733838247,0.3360462043910997,0.285301417841252
V,0.7819576751340231,0.8842837073779112,0.7786243258427625,0.7699973517052247
FMC,0.12717612731345668,0.3566176205874531,0.29107161694947586,0.35474970020566987
CDW,0.013876152792308187,0.11779708312309005,0.10080783702526827,0.07603407380079312
GS,0.33040629809045713,0.5748097929667318,0.5201191692574075,0.518703626138753
TPR,0.23468618632446148,0.484444203520345,0.44553451625693496,0.6639060801355495
MA,0.6267041332127846,0.7916464698416741,0.7065026576206579,0.7559824607864589
SNA,0.1351311096490136,0.36760183575305166,0.3294026709612919,0.2900035606188587
IPG,0.13837836952761698,0.3719924320837952,0.32971766797798446,0.30968156265166585
COP,0.009990602658226148,0.0999530022471869,0.08943116263308573,0.08807758866444884
EBAY,0.29999652767668517,0.5477193877129831,0.475073603180166,0.4973058004325882
SWKS,0.48260542203343354,0.6946980797680626,0.5897703028181309,0.3152614994084947
COST,0.01986669161817837,0.14094925192486255,0.10653682191513386,0.1033726289479617
EXPD,0.07387944998130004,0.2718077445204607,0.24617755448885492,0.26946623590170277
GL,0.10447965396919619,0.3232331263487642,0.2849349952476645,0.2787174487486811
TRV,0.12285644954016281,0.3505088437403011,0.3249996919698902,0.3097143008826003
DPZ,0.006229523723318321,0.0789273319156192,0.06614179402684993,0.05744752372627204
DLTR,0.021994431470410823,0.14830519704450962,0.1368299627438685,0.14931438267853897
WBA,0.0097615793226039,0.09880070507139056,0.08947232317639162,0.08035383445848653
F,0.9930375435923916,0.9965126911346346,0.8764265572136165,0.9621542954275164
J,1.1660856435140405,1.0798544547826991,0.9217865370830464,1.171011109602435
WMB,0.4627230618312115,0.6802375039875496,0.5655222565504776,0.4273438853846317
DUK,0.005662891311700216,0.07525218476363471,0.05497961009256144,0.04973490663027462
OMC,0.43064350515487065,0.6562343370739379,0.5753832692203158,0.5867535431809783
GM,0.13169483566533569,0.36289783089092126,0.3272814325228653,0.3968372560011945
EFX,0.06400778236966652,0.2529975936044976,0.22794579990949612,0.21048594295656128
IP,0.24834221231096912,0.4983394549009431,0.4498634787980841,0.4374032049866572
FITB,0.30477817634746107,0.5520671846319622,0.47296922284635057,0.4823725836930658
STZ,0.08120293173482897,0.2849612811152227,0.25990743963424157,0.21106544150388581
SWK,0.0034428969468401076,0.05867620426408058,0.0457211334049499,0.048752217775804574
HSY,0.015842886319840602,0.12586852791639616,0.11022567820225974,0.11361577806347975
AME,0.789940358204371,0.8887858899669656,0.7713739222162758,0.7849903696438721
MSCI,0.012078796731853443,0.10990357924951054,0.09005351101173363,0.08745405682598195
ROK,0.7144630081999792,0.8452591367148771,0.724749703947669,0.7377568456478434
ETR,0.0020424943538663335,0.04519396368837694,0.03809623295686069,0.03317084769660658
IFF,0.006230208300852539,0.07893166855484901,0.06532164850781692,0.059719960424664244
USB,0.12325245140079105,0.351073284943174,0.3076207099676014,0.29033561645428774
DFS,0.0676683844650484,0.2601314753447733,0.23002169468684144,0.2050087002614592
ES,0.03424354140682292,0.1850501051251334,0.15618588498238695,0.14106935889316471
CHRW,0.010193616912248163,0.10096344344488337,0.08112145162744117,0.07808327828197252
PKG,0.15914744017199992,0.3989328767750283,0.3330309194024539,0.3015236449668038
ORLY,0.036401135644115006,0.19079081645644008,0.15993913373666946,0.13642173097665153
MCK,0.005206598696406987,0.07215676473073739,0.06640305656111806,0.058094372470663964
CPRT,0.09604657052983298,0.3099138114538185,0.27107854838346207,0.2889980893629341
PNW,0.016483120058515193,0.1283866038904184,0.09770297486117537,0.09176765152817887
VRSK,0.023021215507359097,0.15172743821523876,0.14309106793106893,0.15940745739801238
MSI,0.19599989488444808,0.44271875370764235,0.3921532909597839,0.4098241742045859
CVX,0.11895042452978011,0.344891902673548,0.30442720185877065,0.31516005324125523
FTI,0.06553708094954613,0.25600211122087674,0.2042958408910369,0.2303312614457075
KMI,1.3961392090502374,1.1815833483297897,1.0498216532620637,0.9896073749749208
