,mse,rmse,mae,mape
STE,0.2720841135680194,0.5216168263850577,0.47200809082918915,0.40704373372646463
REG,0.12734088224451096,0.35684854244414527,0.3122458280933436,0.28292526322949985
WFC,0.1418392693694148,0.37661554584139884,0.3245233254584386,0.28103174854789903
JBHT,0.03348594433814495,0.18299165100666465,0.16793772825763642,0.16946269508367698
SJM,0.0015807208462433925,0.039758280222406406,0.03490104738753167,0.03843621166235671
PFE,0.006860251451502777,0.08282663491596635,0.06947465234349103,0.0714236727392606
EQR,0.11836150873599392,0.3440370746532907,0.3070933782564512,0.25462015544088507
TSN,0.07003164204954684,0.26463492220330037,0.2468113057650222,0.20951638972332093
TDY,0.1470708211374169,0.38349813707163805,0.33269021062291115,0.31708843394735264
GOOG,0.21412441140310023,0.46273579006070004,0.3901278640810855,0.3951591450509859
CMCSA,0.4448376284331993,0.6669614894678697,0.5833810415512666,0.5568762298584241
MRK,0.033480049569744506,0.18297554363833574,0.14076690124632457,0.11824918457451966
TXN,0.01141394771479645,0.10683607871312223,0.08800573510829958,0.08023586916917118
XRX,0.2862484044955249,0.5350218729131782,0.4862891328732182,0.46063851255544436
HRL,0.030393274549088873,0.17433667012160373,0.1500053975002438,0.13498090930686182
BSX,0.2683985767061623,0.518071980236494,0.4317737895499127,0.4197643562878756
EMN,0.4330779110946415,0.6580865528899991,0.5511084245066995,0.5482732003740841
LVS,0.2480068115412112,0.49800282282454106,0.4108376330098694,0.48935999924817863
ADI,0.22060778970741493,0.46968903511516524,0.4055097982217794,0.39749084113532535
NTAP,0.005190139731164242,0.07204262440503012,0.06378648945945575,0.06960048125613788
NWSA,0.05230599502869107,0.22870503936006978,0.1932945952437337,0.2135431767378738
CAH,0.08114422413392497,0.2848582527046127,0.25260178476570655,0.22794196882457737
MGM,1.9409774004816835,1.3931896498616703,1.1759297572377028,1.1877289320894857
ADM,0.34779738392862675,0.5897434899417091,0.5323272154008729,0.48485504563796267
MSFT,0.22159310731525084,0.47073677072781434,0.40213931769029604,0.34238493399036957
V,0.8235472164357297,0.9074950228159545,0.8020767671021232,0.7936641657548343
FMC,0.09842408266995496,0.31372612685263396,0.24675790158202382,0.30320655370939437
CDW,0.018939061919064866,0.137619264345748,0.11941293729805322,0.0898692698180261
GS,0.30861410567128555,0.5555304723156828,0.5056247746446365,0.5044322600407022
TPR,0.08194112476647306,0.2862536021895149,0.2619395623860275,0.3921392730020393
MA,0.585898997739648,0.7654403946354335,0.6866262560274753,0.7353277936313816
SNA,0.1320721468459384,0.3634173177573386,0.3253121744489808,0.2862934795390604
IPG,0.10625117809295799,0.32596192736722795,0.28674725450053157,0.26705510528127346
COP,0.009641541365724685,0.09819135076840875,0.08213264832471044,0.08180307449373006
EBAY,0.29124493944384927,0.5396711400879699,0.47161857310576727,0.4935788937858554
SWKS,0.44752844674013853,0.6689756697669494,0.5632407637073479,0.2995040285119152
COST,0.007382001414765361,0.08591857432921801,0.05977781856361247,0.057429299143221396
EXPD,0.0794841253897919,0.2819292914718013,0.2541830624745339,0.27678073587782637
GL,0.10464255026629991,0.32348500779216943,0.2824350829113126,0.27583847339595324
TRV,0.13431031384105516,0.36648371565603727,0.3377498030157892,0.32061147465744877
DPZ,0.009084342264474646,0.09531181597511741,0.0640521499262357,0.052790095860962664
DLTR,0.016523003189667835,0.1285418343951409,0.11655212792798907,0.12796833191685628
WBA,0.009705437755916174,0.09851618017318868,0.08919310149960354,0.08016052065971108
F,0.9808215635468883,0.9903643589845549,0.872839663009694,0.9581837680802892
J,1.1906751316655109,1.0911806136774567,0.9355716833284667,1.1872734673342118
WMB,0.46504774268087296,0.6819440905828519,0.5672288670929085,0.42862655162066865
DUK,0.010094249018587449,0.10047013993514416,0.07676742246335216,0.06965120250341292
OMC,0.42489262248450016,0.6518378805228338,0.5716611242231324,0.5829730916452818
GM,0.18796090846507021,0.433544586478796,0.3956312704901387,0.479501240872533
EFX,0.06625049657421306,0.25739171815389295,0.22814440313839088,0.20989016215309364
IP,0.2792074545971106,0.5284008465143774,0.4760367609424056,0.46260133266025993
FITB,0.3034956140237989,0.5509043601423017,0.4665468236068645,0.4759525175867082
STZ,0.11093229183567038,0.3330649964131181,0.307542725014167,0.2502375868258029
SWK,0.009858084581079271,0.09928788738350348,0.08030651884390613,0.07958620249884372
HSY,0.013133555124777159,0.11460172391712596,0.09798546381968004,0.1012819106372249
AME,0.7807965806140635,0.8836269465187577,0.7708986790714146,0.7848437146800208
MSCI,0.016303627302569276,0.1276856581710306,0.10366021801978309,0.09985691514559122
ROK,0.7317868273138849,0.8554453970382241,0.7319067973010487,0.7447619713363266
ETR,0.002205277204236014,0.046960379089568835,0.04011695979838841,0.03497199834048151
IFF,0.010311489602521949,0.10154550508280487,0.07096084106560129,0.06374381316665592
USB,0.14180125294639437,0.3765650713308317,0.32681745414373403,0.30780858904088176
DFS,0.04875319237136945,0.22080125083742042,0.19198651946262854,0.1708373155720381
ES,0.04559581732339668,0.21353177122713304,0.1829688123455484,0.16543136140546152
CHRW,0.006196394316077356,0.07871717929446759,0.06579412689468485,0.0636312570200715
PKG,0.15832826188327895,0.3979048402360531,0.3319703416385881,0.3006434200117865
ORLY,0.025273227740933314,0.1589755570549552,0.13371321172875184,0.11440905016856169
MCK,0.004154470358519942,0.06445518100602886,0.05874924536665855,0.05094922222246691
CPRT,0.10394135786267449,0.32239937633729143,0.2803264495063993,0.2983247206222483
PNW,0.01626394359291634,0.12753016738370707,0.09685194511811764,0.09094198116945057
VRSK,0.014119870313156339,0.11882706052560729,0.11140220226097636,0.12439397603066757
MSI,0.21621239508849946,0.46498644613418516,0.40868160633180234,0.4266473487360939
CVX,0.10689717232163452,0.3269513302031887,0.28435313105327015,0.29387934366585383
FTI,0.05546947068483161,0.23551957601191373,0.1849116401843128,0.20915002304863778
KMI,1.343813709626392,1.1592297915540266,1.0345263962566835,0.9758935340534174
GIS,0.07415787578620338,0.2723194370334284,0.24023287895028306,0.23106222011527416
NFLX,0.15143365483126822,0.38914477361422734,0.3145723870969557,0.315845946903068
IT,0.5196241255650978,0.7208495859505628,0.6443280903134705,0.6101411021393283
RF,0.1142323518348561,0.33798276854723835,0.2770995408010082,0.2714692269921393
TSCO,0.5057171003762311,0.7111378912533286,0.6419905320740604,0.7308855821878442
JNJ,0.020039886098617853,0.1415623046528201,0.12364517971586178,0.1120430753513698
TFX,0.11948138542176294,0.34566079532073485,0.3046514330009676,0.2733485744275083
WAB,0.8228440056567379,0.9071074939921607,0.7928295398205727,0.7298144102208176
HD,0.09602318747545893,0.309876084065,0.287944929069037,0.2702780126902516
SYY,0.030435394125402502,0.1744574278309826,0.15877236435323103,0.16590106674510127
AVB,0.1199191048820752,0.3462933797837828,0.3052423913471342,0.2683339652155062
K,0.015354891924648267,0.12391485756215138,0.10883199455821654,0.10433894658177005
NEE,0.0188586327027774,0.13732673702807258,0.10368828562734052,0.09127787616126837
TGT,0.028740664010486063,0.16953071701165562,0.12062632565424253,0.12028234798967499
FANG,0.9066347719435978,0.952173708912191,0.7503915613619594,0.6294436309418696
POOL,0.18849340512189078,0.4341582719722046,0.38073748229390453,0.38093088326769714
LKQ,0.009044775012724255,0.09510402206386571,0.07627215879900645,0.09330248927889626
LNC,0.026169896826858448,0.16177112482411207,0.14920151438719473,0.14863580747676897
NKE,0.008258079637968083,0.09087397668182065,0.08113053924173619,0.08251132398086099
HBI,0.052004745223392636,0.2280454893730473,0.18299186544755078,0.1255333340628376
CAT,0.3428377314411909,0.5855234678825357,0.4838640654539335,0.4303052739090425
TJX,0.21616123557582223,0.4649314310474419,0.4221868492289431,0.4510789449341029
TER,0.10461139412765962,0.3234368472015203,0.2654045677326294,0.2460337767213744
ABT,0.2225108418803272,0.47171054883299696,0.4171951512069498,0.37655656371533086
HAL,0.08150443623411874,0.285489818091852,0.1675363580629311,0.1946563628811948
PWR,0.722282001942142,0.8498717561739194,0.708854517427241,0.6780877120513416
STT,0.12916679544094808,0.359397823367015,0.3310136988717145,0.33992768744664814
HAS,0.36923762998447246,0.6076492656002083,0.5346409788102341,0.5290819123748078
OXY,0.16037368100543303,0.40046682884532775,0.33451759727571745,0.3519297380870891
NWL,0.20789318528497774,0.4559530516237146,0.41692302438757,0.4069552412403791
RHI,0.312708218057347,0.5592031992552859,0.5047477944843006,0.42719357385829976
VTR,0.01025973513276282,0.10129035063994409,0.08099109298458972,0.0797116307649949
NOC,0.31315299202363084,0.5596007434087547,0.4906706841011191,0.43247312756305256
CE,0.06085988146130362,0.2466979559325606,0.21320370498386965,0.20218486368708127
EQIX,0.14654042472303905,0.38280598835838375,0.33195943179176374,0.28110795854783505
TFC,0.5071039720206144,0.7121123310409773,0.6122892558769664,0.592983120455009
MTD,0.005878399909763736,0.0766707239418263,0.0537948251456953,0.05045748745336674
DE,0.3712517012848362,0.6093042764373447,0.5328040639846698,0.5508919734303475
ROP,0.5797579635132873,0.761418389266563,0.6728982039273018,0.6321005738755112
AZO,0.046715646583581516,0.2161380266949375,0.17789111582934616,0.15820562821473785
ADBE,0.21845918783218324,0.46739617866664596,0.39577591944584445,0.3443091125312577
TYL,0.07119512392218698,0.2668241441889901,0.24615419527813365,0.28767448927844186
DHI,1.3969119235582375,1.1819102857485577,1.018036269263864,0.9877759048507685
LYB,0.09271392198022338,0.3044896089856325,0.20131887588469818,0.17990123058824145
AFL,0.0478945192882532,0.21884816491863304,0.19732288024668557,0.21574237437768568
EOG,0.2527424319851907,0.5027349520226246,0.39538846601968836,0.37631474046893904
ROL,0.2502923234738599,0.5002922380707698,0.4440023701418975,0.43913976872675353
DOV,0.6090664887100599,0.7804271194096601,0.6693353005252248,0.6566443754771725
GOOGL,0.20422496106063504,0.4519125590870816,0.38006795638594887,0.38014681736580025
GRMN,0.23725616001004862,0.4870894784431795,0.44107722755222595,0.381495964855203
SLB,0.06992716176958472,0.2644374439628108,0.19028201202462544,0.18709109964177773
FRT,0.06438115034304115,0.2537344090639682,0.2298303099512811,0.19799128077510672
IEX,0.25314041603603477,0.5031306152839785,0.4364844527127465,0.42354401565776806
RMD,0.028638482506871794,0.16922908292274055,0.13972365347331026,0.15148634778639505
ULTA,3.3488026826898003,1.829973410377812,1.5730844193520197,1.9434374373264902
CCI,0.1031932196135379,0.32123701470026444,0.27648422401214123,0.2677254228668857
CSCO,0.1888797527342234,0.43460298288693716,0.3772667278833379,0.35209624286330526
PNC,0.0548247033217061,0.23414675594956702,0.19054221538841368,0.17018572424719505
KR,0.14958566238322987,0.38676305715932835,0.3259161779331963,0.2657838523593019
DXC,0.3268638603031761,0.5717200891198211,0.4776867950811358,0.43497394536502404
PNR,1.5587943210458004,1.2485168485229987,1.076453451972874,1.2040828768240184
BIIB,0.12673191051471283,0.35599425629455433,0.3241732434048531,0.2947736904541696
DG,0.03436045870946536,0.18536574308503004,0.17348655146665515,0.178726128243173
DVA,0.20645089639879594,0.4543686789368254,0.38867017112861973,0.33756133028165547
RSG,0.12617374542946716,0.35520943882372713,0.30196882613111814,0.27218448664397943
ZBH,0.03203106415983712,0.17897224410460166,0.15529279341824173,0.14032779043415444
PAYX,0.6207379601840545,0.7878692532292744,0.7104578468165369,0.7310774531214285
LHX,0.5720564342473564,0.7563441242234624,0.6464996361930003,0.6340025559641715
JKHY,0.09323268502153946,0.3053402774308353,0.2740331375295247,0.2756050844448201
ALK,0.14175332956199943,0.3765014336785445,0.33929663643651253,0.2675502366473518
AXP,0.5079167138028466,0.7126827581770494,0.6192059894095759,0.6169611489528672
ESS,0.5733045041225477,0.7571687421721447,0.6769204141791588,0.5772057813505331
UAA,0.019662133703391146,0.14022173049635048,0.12202247096371954,0.09079902281304866
WHR,0.23433272554570864,0.48407925543831004,0.4449405359324848,0.4527776484885521
GD,0.11670931313735926,0.34162744786881405,0.29069516719862515,0.21803752058938322
WYNN,0.6023015214846998,0.7760808730310906,0.6248291875445062,0.6477476373789836
NCLH,0.4243465640994465,0.6514188852800067,0.5867876947794112,0.5891261031593764
CMG,0.03063256573846048,0.17502161506071323,0.14898668390019165,0.13569822211100158
PPG,0.018628164561191513,0.1364850342022579,0.11381271407469493,0.10651712369220331
LEG,0.43395401615064383,0.6587518623507973,0.5887305947245506,0.503973385796585
IDXX,0.04284606927498392,0.20699292083301765,0.16263953651508797,0.13861887559862326
NVDA,0.007866092931713916,0.08869099690337186,0.07092938813245114,0.06077952949501909
WST,0.04877398480017849,0.2208483298559862,0.20104830661985243,0.22687214376410564
AES,0.023128397237912754,0.15208023289669423,0.13165248299203144,0.13816602615735035
ABBV,0.012954333772214234,0.11381710667651956,0.07763863739151688,0.06801351214504316
PVH,0.31283499115963764,0.5593165393224463,0.5026203798224353,0.5679083921091237
ETN,0.7766767398859326,0.8812926528037849,0.7658691772610529,0.8350465789651278
AVY,0.10364751737404565,0.32194334497554944,0.278046598153892,0.28791790058196176
BIO,0.1402291885905813,0.3744718795725272,0.3165864328383186,0.33449559776520876
CF,0.010867399178489487,0.10424681855332318,0.09032603303563902,0.0837070440539206
LDOS,1.3412530596248708,1.158124803129987,1.0229478341352078,1.2769524374048136
CMI,0.5618070244101264,0.7495378738997293,0.644890149164391,0.6245015075982554
AMP,0.4463113886056655,0.6680654074307886,0.5989804038601736,0.5619647364968411
CHD,0.0013743138257278165,0.03707173890887527,0.028213140231085596,0.026697503984312903
MCD,0.07175662254550888,0.2678742662995251,0.2270703326199056,0.22902802654480725
OKE,0.09098809216271161,0.30164232488613335,0.20499773589483933,0.1904702705774209
ARE,0.01951727447213217,0.13970423927759734,0.11143150208560694,0.091459948141403
APD,0.26409887638014956,0.5139055130859655,0.45298269903801186,0.3879901867665244
RTX,0.1872117065407971,0.4326796812201806,0.3652798452029824,0.3715898710483442
EW,0.04924162136353588,0.22190453209327626,0.20269854283533503,0.17322665172479518
LYV,0.34339726366148393,0.5860010782084654,0.49635244955673946,0.41480271557828835
NRG,0.020199772969790003,0.14212590534378314,0.11486220069391707,0.1111051187569195
SPGI,0.4257861114404949,0.6525228819286684,0.5743256133183982,0.5331097080808593
ITW,0.44789670654077035,0.6692508547179976,0.5932950522081719,0.561568205979949
AEE,0.019528875744920515,0.13974575394236677,0.11392000374747784,0.10108056712686479
TEL,0.0483881173704859,0.2199729923660764,0.1734197182123435,0.15638853192333838
XRAY,0.04269925584797398,0.20663798258784366,0.19181706538321686,0.19712380983765962
LUV,0.12169975686006172,0.34885492236753907,0.2775178392328594,0.16178393329356117
TROW,0.575588286342267,0.7586753497658053,0.6686446333352708,0.6815152978747918
MAA,0.05243493920905562,0.22898676644962612,0.21295821338445564,0.19525162023138434
LH,0.21592829184269413,0.4646808494469017,0.4110488509447511,0.4280904566065528
AWK,0.05679192944898501,0.23831057351486737,0.2075640422136969,0.17924547684402173
ECL,0.011064990716577558,0.10519025960885142,0.0877713429275422,0.08622919680066599
FFIV,0.38872645678607093,0.6234793154436408,0.5197764747334129,0.4028179051591957
NWS,0.10049550461802642,0.3170102594838634,0.27421451548204795,0.31203324540029254
CPB,0.43863290975783736,0.6622936733487927,0.574285728054536,0.5541690990697896
WELL,0.23470582583333557,0.484464473241677,0.42634287520419906,0.40390446314582873
VRTX,0.22822029307488137,0.47772407629810887,0.4276893182290096,0.3739788189547323
FTNT,0.08255880686772143,0.2873304837077358,0.2415206671717931,0.20950291197601031
MCO,0.4844322009707144,0.6960116385310768,0.6167675423859024,0.5294497192793308
EL,0.09666645751858798,0.31091229875736337,0.2827923749981263,0.28793535022882877
IQV,0.3161920120236251,0.5623095339967349,0.4802807817244422,0.40560474820908954
UNP,0.002811841512324152,0.05302679994421832,0.03912860659685576,0.031349441114546024
ALB,0.952190357279519,0.9758024171314186,0.8661421248537676,0.9429764795249779
REGN,0.22319778027882783,0.47243812322761153,0.4021253519849878,0.35746083484367436
ILMN,0.23872408082954646,0.488593983619883,0.41165777282733945,0.2679792999112547
HES,0.21374691330650647,0.4623277120252543,0.38063439654130204,0.3789174979944201
HPQ,0.03047810553786346,0.17457979704955398,0.1444533912181251,0.1151993641818902
KLAC,0.08648805884822587,0.29408852212935116,0.2660329391979264,0.2341378834082528
