,mse,rmse,mae,mape
STE,0.006429183780547078,0.08018219116828298,0.05929194126179564,0.04993306646554425
REG,0.3146242965174233,0.560913804891111,0.4912748776578225,0.44579087975366855
WFC,0.05452446541296516,0.2335047438767897,0.19696642182647686,0.17129009517254323
JBHT,0.16031469782189753,0.40039317904017485,0.34816119370646503,0.34695979599974136
SJM,0.002742371689170491,0.05236765880933089,0.04261542705671331,0.047602640467639325
PFE,0.2809730355463399,0.5300688969807037,0.4648846715155782,0.48734104416385565
EQR,0.6408274792053471,0.8005170074429069,0.7185946670630524,0.5972887560857085
TSN,0.08524866900505217,0.2919737471161614,0.2740698021555635,0.23469148551849175
TDY,0.3300594016455888,0.5745079648234555,0.5148110783686778,0.48817803745936433
GOOG,0.07207448871645007,0.2684669229466641,0.23638205386186573,0.23335149378573034
CMCSA,0.004594624214444229,0.06778365742894248,0.057312202021270804,0.05607052778283904
MRK,0.017863081848878158,0.13365284078117515,0.1286374650592558,0.10991667348505879
TXN,0.024400964072999284,0.15620807941012296,0.1318798513507587,0.1194852026128546
XRX,0.1270519704043536,0.3564435024016479,0.3009634747088157,0.2805723988929877
HRL,0.04779566361870639,0.21862219379263942,0.19054672693017868,0.17218327788832416
BSX,0.06574773816914656,0.25641321761786495,0.24181150483457695,0.23231217007978017
EMN,0.724402991927773,0.8511186708842504,0.7783175423139558,0.76696287602189
LVS,0.23504459416124593,0.4848139789251605,0.3973623239414421,0.47398065409961737
ADI,0.01546872199456815,0.12437331705220436,0.09876768969611861,0.09873786180747725
NTAP,0.05862693483333092,0.24212999573231508,0.19309330606549233,0.19845180664569465
NWSA,0.003804814913229264,0.06168318176966282,0.05363412066549097,0.05752546965704876
CAH,0.2989540927804231,0.5467669455814087,0.48580125063257984,0.4366166505425027
MGM,0.03384891575935901,0.18398074833894718,0.1393677202169598,0.14098334947457875
ADM,0.6106226234813493,0.7814234597715565,0.6970102863109121,0.6366572246912321
MSFT,0.11436678875553749,0.3381815913906869,0.2875748694971264,0.24529182662362534
V,0.11890831384356584,0.34483084816119025,0.29190339338366544,0.2825714171592176
FMC,0.011505520300670771,0.10726378839417695,0.08867080863214429,0.0950454619421386
CDW,0.2227659345328201,0.471980862464592,0.4261845666829717,0.32085428258547544
GS,0.030076730701386566,0.173426441759573,0.14036314700525687,0.1368069848757054
TPR,0.5239056364882019,0.7238132607849913,0.6429812936296229,0.9539497584710002
MA,0.019832447478798122,0.1408277226926507,0.1206384657473168,0.13185794280619537
SNA,0.051170133002877795,0.22620816298904378,0.19127878867109505,0.16614328382527335
IPG,0.011963950230633773,0.10937984380421181,0.0890748749557349,0.08525142361857206
COP,0.11091531779604703,0.33303951386591807,0.27359737429036285,0.2769166508356104
EBAY,0.12001538811718503,0.3464323716357711,0.31187346409620254,0.3225443651406525
SWKS,0.41380993866768834,0.6432806064756564,0.5468638329641303,0.2932453887776361
COST,0.007655273921944025,0.08749442223332883,0.06578763571047216,0.0641978143165325
EXPD,0.09999281237049233,0.3162164011725077,0.26811079793034603,0.2868651583099138
GL,0.028518215359446507,0.16887337078250825,0.1499001778141007,0.14631496112314857
TRV,0.002806894686687251,0.052980134830776446,0.04517239216727221,0.04502440885698253
DPZ,0.14133683602297153,0.3759479166360302,0.3212394594493844,0.27648940324802573
DLTR,0.025910242446978506,0.1609665879832784,0.11346457658223671,0.11255278776952216
WBA,0.027198059281770652,0.1649183412533932,0.12407327850869634,0.11538536152935332
F,0.08666255248211464,0.29438504119964154,0.2394567812935963,0.27016749845277915
J,0.07495223769651609,0.27377406322826875,0.2253525854049368,0.2890884134423462
WMB,0.04096993449990848,0.20241031223707076,0.15695080238752407,0.11096028934967324
DUK,0.09433801265701205,0.30714493754091415,0.2636685634087086,0.2472240882182969
OMC,0.19157042723198633,0.43768759090473003,0.38753273775242036,0.39580279730874357
GM,0.07104204401759398,0.26653713440643495,0.24002238320827218,0.29120817226014556
EFX,0.15392041322947075,0.39232692136720715,0.3398758362626743,0.310092390313661
IP,0.09869743542707855,0.3141614798588117,0.26519213289761734,0.25403191349090004
FITB,0.006750735543399855,0.08216285987841378,0.0661773900656802,0.06531227441636969
STZ,4.35712642939987,2.087373093004667,1.8875596765084,1.5331342462229993
SWK,2.2411213194379065,1.4970375143722707,1.3381427191282251,1.3480843012791979
HSY,0.015615203109310995,0.1249608062926572,0.10347396481063463,0.1033445425142981
AME,0.02007292878708904,0.14167896381287182,0.11936772610835526,0.12088519828257335
MSCI,0.3192704495868731,0.5650402194418315,0.49934656844623326,0.4864099819002013
ROK,0.018910234437523994,0.1375144881004325,0.12285000507587883,0.12220926397922018
ETR,0.5969105056172326,0.7725998353722531,0.6803340181587052,0.5529562591287766
IFF,0.20172443976405363,0.44913743972647574,0.36398456565811715,0.3277342845918584
USB,0.01726410831680184,0.13139295383239483,0.11610412956635649,0.10917392442479154
DFS,0.4567363637867054,0.6758227310372931,0.6041137257964566,0.5365863809596021
ES,0.3110228765161401,0.5576942500296557,0.4956860873823841,0.4449932978099683
CHRW,0.46063336474123134,0.6786997603810033,0.5751468213847322,0.5178179092462507
PKG,0.011914106141408665,0.10915175739038133,0.08418249964669232,0.07383257416050443
ORLY,0.2898416297233319,0.538369417522329,0.47970190095706183,0.401022495098758
MCK,0.05458413931592171,0.23363248771504727,0.2015841319732795,0.17372283690937176
CPRT,0.005691057074596128,0.07543909513373108,0.06468700538815625,0.06734814635567171
PNW,0.3966067293591414,0.6297672025114847,0.548239242894308,0.5280157802775015
