,mse,rmse,mae,mape
STE,0.04328483198430364,0.2080500708586845,0.19046375195196316,0.16891868180959935
REG,0.2513875375990227,0.5013856176627155,0.43876694622389695,0.39768312598232064
WFC,0.011128241097778435,0.10549047870674602,0.0836311592133469,0.0729157708527761
JBHT,0.011943610092201658,0.10928682487931314,0.10081710710754362,0.1025512156948074
SJM,0.011914773204486626,0.10915481301567341,0.09041507721661814,0.09762823986676411
PFE,0.046464314324286604,0.21555582646796306,0.18251027353550933,0.189659557905005
EQR,0.07874889426302262,0.28062233386354446,0.24551997658269478,0.20264634222294442
TSN,0.008816156441959528,0.09389438983219141,0.07259465880237014,0.06126705287754141
TDY,0.012705807168495493,0.11272003889502298,0.0946372244202096,0.08876643575813394
GOOG,0.007769232822505355,0.08814325171279623,0.06964999146358852,0.06937510923508741
CMCSA,0.09851914618631533,0.3138775974584923,0.2753210404822903,0.26342811046820214
MRK,0.004822684099753362,0.06944554773168228,0.05252396104318325,0.04489162001533556
TXN,0.01190779790036752,0.10912285691076604,0.08988142389414049,0.08230430810685016
XRX,1.0959863590094792,1.04689367130071,0.94241638186495,0.8916432271924501
HRL,0.05266064546521867,0.22947907413360955,0.19546356323733108,0.17580106342326984
BSX,0.4663899394990257,0.6829274774813396,0.5780403974704821,0.5623191672236716
EMN,0.5461735354164808,0.7390355440819344,0.6257115859914041,0.6224332023474605
LVS,0.3649688027822199,0.6041264791268629,0.5067074084725323,0.601186601814263
ADI,0.207298440010738,0.4553003843735891,0.39446080907243175,0.38720773006101067
NTAP,0.004909053973732532,0.07006464139444754,0.06273870547990963,0.06861793930776604
NWSA,0.005551046698319471,0.07450534677672115,0.05398522457433554,0.060946372215220215
CAH,0.18256819449541434,0.42727999543088174,0.3841817222734021,0.3460328159634436
MGM,1.4041125386361843,1.1849525469976359,0.9901496730188372,1.0019457283058473
ADM,0.090441053565718,0.3007341908824436,0.27437800174714777,0.25155792803721144
MSFT,0.015936320024691766,0.12623913824441202,0.1089052464624951,0.09453770947014468
V,0.24509572772587443,0.49507143699255607,0.43649581972566304,0.43390888030685937
FMC,0.08975049694958293,0.29958387297981,0.23886686555480463,0.29288738167094125
CDW,0.02681836803952327,0.1637631461578681,0.11950343144882251,0.092077338845011
GS,0.11068254845356168,0.3326898682760894,0.3053692222121531,0.3062187374655634
TPR,0.26386701902190285,0.5136798799076161,0.4702553171997643,0.7020467285636127
MA,0.402357922417612,0.6343168943182989,0.5677025811476049,0.6081302437076893
SNA,0.08325651690644156,0.2885420539651743,0.2600796902728286,0.22967142993560657
IPG,0.10692832119905811,0.32699896207642326,0.2893648391187558,0.2721501007304511
COP,0.06252913020560515,0.25005825362424083,0.21721005233440233,0.2049370261350431
EBAY,0.7178270528619316,0.8472467485106872,0.7318075320933881,0.7651682952361544
SWKS,0.18676367221059065,0.432161627415705,0.3513265691745636,0.1845510347865439
COST,0.05019960352248557,0.22405268023945968,0.17284366625833347,0.16759211358135342
EXPD,0.0049507378324827,0.0703614797490978,0.05989437948014009,0.06365351368783215
GL,0.025898636636197712,0.16093053357333317,0.13964985221740528,0.13738995863652012
TRV,0.010601903984837348,0.10296554756246067,0.08796675549534397,0.08805920904797572
DPZ,0.014937333262868419,0.12221838348983519,0.07726940319144354,0.0625610954383329
DLTR,0.011272977724740476,0.10617427995866266,0.10031404733737961,0.10927725945941967
WBA,0.048954789456505755,0.22125729243689518,0.1941233747140083,0.1686796191204021
F,1.7216016933139986,1.3120982026182333,1.1539119873298453,1.2681687981578957
J,0.9665204082516728,0.9831176980665504,0.8361615051196843,1.0632306312147766
WMB,0.09094570837840965,0.3015720616675385,0.22360925938114812,0.17325780940058802
DUK,0.014924409481435738,0.12216550037320577,0.09686808439578146,0.08830263372686703
OMC,0.23095890345620174,0.48058183845855196,0.4246065617905173,0.433608326161984
GM,0.13093080364854123,0.3618436176700388,0.32629381516298667,0.3956190639172472
EFX,0.00111333094577204,0.03336661423896707,0.027057247561361603,0.025615486747141137
IP,0.07624796334410718,0.2761303376018419,0.2510634780585912,0.24532660205711682
FITB,0.17177539085123292,0.4144579482302552,0.35058945845488676,0.35806709440403833
STZ,0.12626914397788527,0.3553436983793089,0.3216643954116789,0.26097243026731803
SWK,0.002255474272700472,0.04749183374750308,0.033948487125618626,0.03647327220605119
HSY,0.00266359073564791,0.05160998678209393,0.03941596617715129,0.03899067200600519
AME,0.5006852323133394,0.7075911477070211,0.6118637733802845,0.6227694192665258
MSCI,0.09403780979907866,0.30665584911929966,0.2547563444269469,0.24706555298985028
ROK,0.15672136597963485,0.3958804945682912,0.32862014279511326,0.33626363335427584
ETR,0.008274960463849792,0.09096680968270676,0.07426621338434675,0.0618780190060719
IFF,0.0252293659493249,0.15883754577972078,0.1412195332729875,0.12523649152062427
USB,0.05490257690786241,0.23431298920004928,0.20350002349283933,0.1923646168848871
DFS,0.03730420516911802,0.19314296562162966,0.1693977333081654,0.1510735372427678
ES,0.004963122522162987,0.0704494323764428,0.05500490278959727,0.05051859448131669
CHRW,0.029954137081655938,0.17307263527679914,0.1425692683476321,0.12865760906554638
PKG,0.012202610884846971,0.11046542845998006,0.09040063380181913,0.08296453906634807
ORLY,0.024736904124938036,0.15727970029516852,0.12591385380241277,0.10833848297222425
MCK,0.15338626545237063,0.3916455865350338,0.35076238271235033,0.30077053558262384
CPRT,0.004627366791097237,0.06802475131227778,0.053698602041944606,0.05579463764155533
PNW,0.07053157023137259,0.2655778044780335,0.22229946463445888,0.2121908519405906
VRSK,0.0021324195403314037,0.04617812837622811,0.038165617846742037,0.042300379314653844
MSI,0.05199745318309303,0.22802950068597053,0.1998430583939465,0.20924356315937614
CVX,0.041625614156053495,0.20402356274718245,0.17544712406265178,0.18310042387589986
FTI,0.34519384165371825,0.5875319920257264,0.5041304628570807,0.5580037807638352
KMI,0.26271192253998965,0.5125543117953352,0.4672447047458017,0.44437577070886985
GIS,0.1567005529010713,0.39585420662293247,0.346489525192276,0.3333769323723643
NFLX,0.023723914095879182,0.15402569297321528,0.13548393889388735,0.13110915195470046
IT,0.1353391685213234,0.3678847217829566,0.3331133231208995,0.31740942239932773
RF,0.08654257349495569,0.2941811916063902,0.2402661061809643,0.2359700747586058
TSCO,0.020056790621815323,0.14162199907435047,0.12128485851963687,0.1436074436843145
JNJ,0.11193016380938113,0.3345596565776889,0.28774860134897295,0.2603497000498876
TFX,0.33669854705195973,0.5802573110715278,0.5036548758043161,0.4511945355490998
WAB,0.40018110300380605,0.6325986903272928,0.5493566749186434,0.5058316244569243
HD,0.013885701736202547,0.11783760747826878,0.107599645847776,0.10513462242647312
SYY,0.028407457631671688,0.16854512046236073,0.1477070941246069,0.15366332643117397
AVB,0.035781391456569785,0.18915969828842977,0.16250776428874542,0.14208678885370166
K,0.030338954997001726,0.17418081121926643,0.15262863330224083,0.14652839460488853
NEE,0.0031048390209675223,0.05572108237433586,0.048765501929096705,0.04355829798729045
TGT,0.013279188529895989,0.11523536145600442,0.0740542686876685,0.07331714007430125
FANG,0.7026035898928883,0.8382145249832458,0.6452785347477875,0.5440985136541389
POOL,0.02356866976726872,0.1535209098698569,0.13090343320975345,0.13161018156913104
LKQ,0.14426497807976568,0.3798222980286514,0.3063263183258857,0.3740631761852525
LNC,0.022036736669614844,0.14844775737482477,0.13760891844700712,0.13782608817902514
NKE,0.010908061425269832,0.10444166517855713,0.07950077583298278,0.07484254305383975
HBI,0.1142472837452933,0.33800485757647525,0.2778103743807104,0.19213212968065924
CAT,0.3645192150191599,0.6037542670815337,0.5023356240971215,0.4471130927908418
TJX,0.010485570076729886,0.1023990726360834,0.0886219913505059,0.09803000878052812
TER,0.10621336465717568,0.3259039193645509,0.26599197505308747,0.24664288719677385
ABT,0.02310659890936616,0.15200854880356618,0.13602678714834748,0.124545589303391
HAL,0.05936502674901144,0.24364939308155775,0.15575746882271174,0.17662664742941991
PWR,0.7366771319930527,0.8582989758779005,0.7143614936140573,0.6835552964476298
STT,0.05277883302789805,0.22973644253339096,0.21665211614541655,0.224414691889693
HAS,0.0062966108047288125,0.07935118653636386,0.0671128411658244,0.0657578468127236
OXY,0.06993817893135017,0.26445827446187076,0.21982798522989133,0.23252252318938127
NWL,0.034568196832119355,0.18592524527916954,0.17049305438625675,0.16899684156653383
RHI,0.2676337161946719,0.5173332738135755,0.4692404643091555,0.39863111298045
VTR,0.0015744975535449495,0.03967993893071094,0.03181551625757641,0.03217349769879958
NOC,0.010836936886334863,0.10410060944266783,0.08872529209088799,0.07962859991379735
CE,0.03127991635176566,0.17686129127586303,0.15301770801271836,0.14489180912445232
EQIX,0.013447389317561557,0.11596287904998547,0.10209501537591192,0.08829223813552091
TFC,0.1210558926803455,0.3479308734222151,0.2911843120298738,0.2822419458293604
MTD,0.11127735803745727,0.33358261051418325,0.2749847191309867,0.26197275125381503
DE,0.270397005730538,0.5199971208867776,0.4547981725546523,0.4707037811286087
ROP,0.24637039933460783,0.4963571288242044,0.439581030648616,0.4133277555448484
AZO,0.09647240848240717,0.31060007804636364,0.25743830306563537,0.22927333615435155
