,mse,rmse,mae,mape
STE,0.04328510407879326,0.20805072477353512,0.19046440301961454,0.1689192402328415
REG,0.2513875307663721,0.5013856108489474,0.438766939814678,0.39768312007944034
WFC,0.011128238807329415,0.10549046785055707,0.08363114865666828,0.07291576163719346
JBHT,0.011943740470829328,0.10928742137514878,0.1008176826328113,0.10255179133172489
SJM,0.011914643883890578,0.10915422064167092,0.09041461530819603,0.09762774431663115
PFE,0.04649187038924842,0.2156197356209501,0.1825634515444086,0.18971522470295585
EQR,0.07874891424772607,0.2806223694713699,0.24552000888660516,0.20264636907964115
TSN,0.008816156754954481,0.09389439149893077,0.07259466003223812,0.0612670536382603
TDY,0.012705097910220436,0.11271689274558822,0.09463430807759658,0.08876366934787987
GOOG,0.007769236588543958,0.088143273075964,0.06965003500241947,0.06937513919500098
CMCSA,0.11897502531315848,0.3449275653135865,0.30309272840862245,0.28998271882327165
MRK,0.004822684102440541,0.06944554775102967,0.052523961158542395,0.044891620110436944
TXN,0.011907818712805055,0.10912295227313572,0.0898814799388696,0.08230434641142213
XRX,1.0959864413024791,1.0468937106041276,0.9424164183304242,0.8916432617360741
HRL,0.052660645521609324,0.2294790742564762,0.19546356334605913,0.17580106352158134
BSX,0.4663904127674423,0.6829278239810136,0.5780407240310739,0.5623194830837632
EMN,0.5461735892990836,0.7390355805366096,0.6257116179624583,0.6224332339851838
LVS,0.36496559005360907,0.6041238201342578,0.5067049998621826,0.6011837981304717
ADI,0.2072986628341838,0.45530062907290586,0.3944610340267529,0.38720794934178826
NTAP,0.004909056482778385,0.07006465929966679,0.06273872551184101,0.06861795308116184
NWSA,0.005551046661068103,0.0745053465267299,0.05398522437908147,0.06094637199477443
CAH,0.18256818726853732,0.4272799869740418,0.3841817140913766,0.3460328085434793
MGM,1.4041124533302938,1.1849525110021473,0.9901496411056953,1.0019456963586295
ADM,0.09044122633043652,0.30073447812054493,0.27437826361520196,0.25155816557163646
MSFT,0.01593566170481525,0.12623653078572483,0.10890290943424143,0.09453577468074985
V,0.24509505436233034,0.49507075692503827,0.4364953238262695,0.4339084033657685
FMC,0.08971688171277181,0.29952776451069074,0.23881675688836412,0.29282750073460717
CDW,0.02681836463150249,0.16376313575253282,0.11950342240562972,0.09207733197589135
GS,0.1106825202945252,0.3326898259558371,0.30536918271633895,0.3062186978467322
TPR,0.2638642521631462,0.5136771867263974,0.4702528825603181,0.7020430949092362
MA,0.4023581381379518,0.6343170643597347,0.5677027361349246,0.6081304093677312
SNA,0.08325651151037049,0.2885420446145942,0.2600796809648056,0.2296714216065765
IPG,0.10691317494906943,0.32697580177907576,0.28934370604505005,0.27213056597770047
COP,0.062531311208948,0.2500626145767256,0.21721359292861175,0.20494038607950513
EBAY,0.7178271111515673,0.8472467829101313,0.7318075605063398,0.7651683248548732
SWKS,0.18676368828203926,0.4321616460099615,0.35132658639435954,0.18455104417342955
COST,0.0501966199237615,0.22404602188782888,0.1728381961997986,0.16758674919052374
EXPD,0.004950737118346492,0.07036147467433078,0.05989437499119252,0.06365350899716558
GL,0.025898634598919477,0.16093052724365095,0.13964984574848613,0.13738995230046488
TRV,0.010601919645697944,0.10296562361146532,0.08796680356455365,0.08805925484903412
DPZ,0.01493733758894804,0.12221840118798821,0.07726942053760726,0.06256111028358449
DLTR,0.011156320960842736,0.10562348678604933,0.09985006708802434,0.10874619945405178
WBA,0.048954763917128365,0.22125723472268283,0.19412331793406193,0.16867956852657012
F,1.7212938797480637,1.3119808991551911,1.1538117165731734,1.2680581149849903
J,0.9665204097435852,0.9831176988253163,0.8361615061589661,1.0632306324129166
WMB,0.09094571321996162,0.30157206969472755,0.22360926607037415,0.1732578145141
DUK,0.01492487109953469,0.12216738967308212,0.09686987212489699,0.08830429844274973
OMC,0.23095863267116026,0.48058155673221614,0.4246063286811495,0.4336080900900574
GM,0.13093080360197787,0.361843617605697,0.32629381510347605,0.3956190638454903
EFX,0.0011133228641941322,0.033366493135990966,0.027057222713389676,0.025615445833707787
IP,0.07624946554340686,0.27613305767945795,0.25106596072976367,0.24532900701548963
FITB,0.17177544649048432,0.41445801535316495,0.3505895216907881,0.35806715843175707
STZ,0.12594731075021975,0.3548905616527717,0.3212540720600558,0.26063935563773616
SWK,0.0022553600024239726,0.04749063068041919,0.033947427596244,0.036472154789154776
HSY,0.0026635611839935635,0.05160970048347077,0.03941576950839493,0.03899049569977726
AME,0.5006846013885382,0.707590701881065,0.6118633657731016,0.6227690049596013
MSCI,0.08112025975144566,0.28481618590144353,0.2364443032339307,0.22927234357571033
ROK,0.15672247098726075,0.39588189019865605,0.3286213276405914,0.33626483112193967
ETR,0.008275220828045762,0.09096824076591656,0.07426738592046865,0.0618794494350744
