,mse,rmse,mae,mape
STE,0.2720838724554805,0.521616595264645,0.4720078786711321,0.40704355117802055
REG,0.12734103422053966,0.35684875538600336,0.3122460178044854,0.2829254359410098
WFC,0.14184183596478736,0.3766189532734477,0.3245264776898259,0.2810344959133366
JBHT,0.033485943252032385,0.18299164803900855,0.16793772534556606,0.16946269214830015
SJM,0.0015807223872304182,0.0397582996018494,0.03490106594702688,0.038436230717407774
PFE,0.00686021380742551,0.08282640766944749,0.069474427696228,0.07142343797077502
EQR,0.11836151165064625,0.3440370788892474,0.3070933819945658,0.25462015853421355
TSN,0.07003164206260291,0.26463492222796847,0.24681130578989274,0.20951638974481035
TDY,0.14707269611028687,0.38350058162965917,0.3326923891313482,0.3170905042745786
GOOG,0.2141243066744771,0.46273567689824513,0.39012776154249923,0.39515904191794604
CMCSA,0.4448389103459631,0.666962450476759,0.5833818421566291,0.5568769898123146
MRK,0.033480158771453154,0.18297584204329587,0.14076714805736293,0.11824939097580227
TXN,0.01143074584150557,0.10691466616655346,0.08808013197501662,0.08030177161454398
XRX,0.2862484141800369,0.5350218819637538,0.486289141165824,0.4606385203812234
HRL,0.03039327733512247,0.17433667811198672,0.15000540492028835,0.13498091605442944
BSX,0.26839851875941484,0.5180719243111084,0.431773740211724,0.4197643084779996
EMN,0.43307790601713,0.6580865490322151,0.5511084207758011,0.5482731966909749
LVS,0.24800681372243358,0.49800282501451093,0.41083763506420806,0.48936000162418114
ADI,0.22060778560782854,0.46968903075101565,0.4055097939920599,0.39749083700727117
NTAP,0.005190139466203176,0.07204262256611135,0.06378648696397551,0.06960047983868588
NWSA,0.052306031439770265,0.22870511896276013,0.19329467102071296,0.21354325900635437
CAH,0.08114422445318407,0.2848582532649951,0.2526017852756865,0.22794196928249993
MGM,1.9409864780684118,1.3931929077010161,1.1759328075731428,1.1877319673417945
ADM,0.3477973838252879,0.5897434898540957,0.5323272153209438,0.4848550455653748
MSFT,0.22159334590685015,0.47073702415133034,0.4021395440947393,0.3423851288325174
V,0.8235472289863586,0.9074950297309394,0.8020767735442871,0.7936641721194473
FMC,0.09842408555372315,0.3137261314486301,0.24675790588317587,0.3032065587851345
CDW,0.01893906728405314,0.13761928383788785,0.11941295545006973,0.08986928333553965
GS,0.30861391731241344,0.5555303027850177,0.505624624809637,0.5044321118755338
TPR,0.08194112486632686,0.2862536023639298,0.2619395625447517,0.3921392732399282
MA,0.5858990010357872,0.7654403967885333,0.6866262582673954,0.7353277960371022
SNA,0.13207230963322175,0.3634175417246968,0.32531237867051843,0.2862936591281451
IPG,0.10625117816020027,0.32596192747037234,0.2867472545935162,0.2670551053671921
COP,0.009641547541041268,0.09819138221372213,0.08213266269263624,0.08180309909553261
EBAY,0.2912449379183127,0.5396711386745753,0.47161857163777227,0.4935788922569796
SWKS,0.44752844678130616,0.6689756697977185,0.5632407637355178,0.29950402852754926
COST,0.0073816693272546734,0.08591664173636371,0.05977695956656593,0.057428598372548406
EXPD,0.07948429975148774,0.2819296007011107,0.254183356530929,0.2767810535098698
