,mse,rmse,mae,mape
STE,2643.075823770228,51.410853171001044,33.513575528367504,30.515346190662036
REG,11.952644442033426,3.4572596723464994,2.2515235525735,1.9791869463941285
WFC,315.9379623854322,17.77464380474141,11.376633267652776,10.049752017637568
JBHT,454.61318086677306,21.321659899425587,12.655325767243152,12.709556482804716
SJM,31.029766081827248,5.570436794527629,3.8136645681679586,4.2057369346126965
PFE,3663.6591263210075,60.528168040351325,40.724032793682035,42.86689227574595
EQR,24.299781874498855,4.929480893004745,3.891183971830273,3.2056192432514856
TSN,894.8982477456118,29.914849953586796,16.375152122009318,14.430001664508424
TDY,1671.1536130686907,40.87974575592038,21.706964464065866,20.898583304653208
GOOG,136.74361858691833,11.69374271082267,7.117720691390951,7.084691082510654
CMCSA,6429.410639700337,80.18360580380715,41.94755722933874,39.80772032131578
MRK,560.0804012178536,23.6660178572115,16.215185387470203,13.815376379599652
TXN,8840.680741886019,94.02489426681649,59.93163120886397,55.49595381556508
XRX,354.0016465788641,18.814931479515522,11.137792956328877,10.280607557751207
HRL,357.15097959229234,18.89843854905194,14.147216156495473,13.271835220172342
BSX,13833.734319121008,117.61689640149925,72.77334923416949,70.78322132703637
EMN,874.4725619054294,29.571482240588303,16.393391240971827,16.147745465190326
LVS,14473.01231448256,120.30383333245271,77.44461050663708,83.37247934314456
ADI,2281.350863545328,47.7634888125368,25.514039783219186,24.96782533050682
NTAP,383.9198183171049,19.59387195827065,12.376321728092503,13.082408189990968
NWSA,1566.6659404249456,39.58113111603742,23.626811946167535,24.871841525736542
CAH,119.40620410607136,10.927314588043641,7.740360465372202,7.282645856471434
MGM,231.11231773056454,15.202378686592587,9.307116142765132,9.074154521841256
ADM,3483.3474130883806,59.01988997861975,37.39641745404505,34.63549699174913
MSFT,4.002489907764235,2.000622380101811,1.4196729682668887,1.3081481012027145
V,22.711222600938907,4.76562929747362,3.4777251666469726,3.3277058819995036
FMC,61.85470380202489,7.864776144431887,5.410664603340677,5.87813126562556
CDW,20.44044490211649,4.521111025192424,2.988389995408091,2.4953063717008988
GS,119.16998531481066,10.916500598397393,7.619894757666567,7.789840214918823
TPR,126.97279224591622,11.268220456039908,7.699091188378406,11.377929400342905
MA,22.079682858001643,4.698902303517455,2.8727707169665955,3.0879606752398807
SNA,223.31436385061465,14.943706496402244,9.319989014104351,8.670186104816016
IPG,533.9905930199463,23.10823647576652,16.54840173467933,15.60477092130113
COP,6.312411769372409,2.512451346667714,1.6048442805057819,1.559159056046891
EBAY,2373.067044077346,48.71413597794121,26.34752498225929,27.36050910525122
SWKS,401.6045310040154,20.04007312870927,11.99307702494468,6.569541370426108
COST,1310.332032669227,36.19850870780766,21.333576104765594,21.855554979778415
EXPD,466.90602008887953,21.60800823974481,12.774437000769202,13.847153126056893
GL,664.3896296185997,25.775756625530892,16.22392376436033,15.98147934289833
TRV,75.0674102223513,8.66414509471946,5.85008270890675,5.80589559694907
DPZ,1638.586314048058,40.47945545641712,21.847506347758436,20.178671131515976
DLTR,22.581935573468545,4.75204540944934,3.2994447214011164,3.633870526090092
WBA,909.5678046546182,30.159041839133717,21.343433241838863,19.957542302732236
F,4914.689478644961,70.10484632780363,42.77437098838758,45.54490914903872
J,239.95355443027492,15.490434287981564,10.437123077824731,11.976977862444963
WMB,415.8875925723937,20.393322254414404,12.522609136567553,9.45476879024671
DUK,124.63449259694195,11.163981932847346,7.594248836222637,7.123547939190268
OMC,4940.9098996989405,70.29160618238099,48.79857481214952,50.06683698826414
GM,18294.67950911965,135.25782605498156,86.0640398311774,101.23562304798742
EFX,92.879085842824,9.63737961495883,6.694815933139454,6.062433311464803
IP,62.45438779967048,7.902808855063526,5.5153001026567114,5.320309929393692
FITB,59.54009226494781,7.716222668180838,5.143990407077383,5.210422984174862
STZ,120.68409550690839,10.985631320361538,7.402811277641015,6.002119690810368
SWK,1048.1873189239227,32.37572113365079,18.342157993059356,18.58299888035414
HSY,236.36520768416602,15.374173398403116,9.261069528765962,9.608106168765302
AME,259.3701363434582,16.104972410515277,10.375981727536397,10.45961611646056
MSCI,1.9227499756357618,1.386632602975915,1.2333820753711635,1.2165724726410692
ROK,937.348930888055,30.61615473713273,17.017992350817156,16.993125267284125
ETR,285.91707985417054,16.90908276205929,9.933862254684326,8.204621712317794
IFF,211.20009446956885,14.532724949904228,8.828534475738925,7.998994636986936
USB,65.01899725001869,8.063435821659318,5.280511038540893,5.114202319946304
DFS,145.49049541981455,12.06194409785647,7.817489614509166,6.959955763590469
ES,1726.5585199828515,41.55187745436843,22.376967220138464,20.823133247364396
CHRW,553.6451129859151,23.529664531945947,13.319193775194448,12.172546636389503
PKG,159.54721124332335,12.631199913045608,8.884816480183376,8.041814375673326
ORLY,30.29420075988086,5.504016784120562,4.14348529767589,3.4064408904829295
MCK,722.837795095359,26.88564291764954,16.467303544634607,14.24778380924801
CPRT,246.82981766425573,15.71081849122622,9.801692005704552,10.366473102193513
PNW,413.3925236661094,20.33205655279636,11.66402117742398,11.532825595733645
VRSK,659.0727446284438,25.672412131088187,14.815951525299738,16.24641807102607
MSI,13.930169900888018,3.7323142821697126,2.7209379777659044,2.8484225268805234
CVX,134.22286135567657,11.585459048120475,7.362692842829653,7.425548617319223
FTI,71572.49054121932,267.5303544295849,138.2592398495641,140.60072977934863
KMI,779.4974043898096,27.91948073281109,20.902444720133577,20.339593808533046
GIS,83.90946515732938,9.160210977773895,5.989292538299769,5.92742400374491
NFLX,1085.9027781507837,32.953038982023855,19.00526395613226,16.785488920222946
IT,1076.4251980228958,32.80891948880511,22.20967892276486,21.787563973368393
RF,1221.134679135005,34.9447375027343,19.62403296747371,19.07338270098216
TSCO,23.22034874866177,4.818749708032341,3.444710673566715,3.7804114569938836
JNJ,2464.7468100062392,49.646216472217084,34.520226646010826,32.53540966542785
TFX,1.2947632437781347,1.1378766382073826,1.0727562877562717,1.0056061738545006
WAB,2813.5125924065565,53.04255454261754,34.95544985414879,32.78675656819821
HD,11330.399811894156,106.44435077491974,72.67150349078047,70.96890334912332
SYY,3329.084177984894,57.698216419443106,33.13958500040134,35.079556226552285
AVB,107.49170789598287,10.367820788187982,7.0959916132576,6.229053599744764
K,829.0292260759937,28.792867625090658,15.7465468998198,15.239655931634454
NEE,80.74069619483788,8.985582685326415,6.293317956183127,5.5303327758634895
TGT,677.301456726856,26.025015979377535,16.16394975594259,17.802825714227843
FANG,307.82473140096016,17.544934636554224,11.22132273627403,8.702008101214897
POOL,992.2462034558225,31.499939737336366,17.677230669474643,17.914180804735384
LKQ,31.023125859563105,5.569840739156112,4.058636966921941,5.001639368134683
LNC,115.39497176144238,10.742205162881707,6.748799849575286,6.7135220592449105
NKE,14351.248051713157,119.7966946610513,76.31195756422423,77.23203591523921
HBI,344.8321822760619,18.569657570242427,11.070123582317368,7.840039351450985
CAT,642.4803373283025,25.347195847436506,14.465897011939372,12.466772405797428
TJX,507.72498029566924,22.532753500086695,12.84175763443476,13.896901377157901
TER,1825.7635173004353,42.728954086198215,27.180029680563702,24.5364302120647
ABT,1872.6413573111317,43.27402635890416,25.12775612166369,22.780208283285443
HAL,3.359139356856016,1.8327955032834449,1.3028795768507928,1.271664160171797
PWR,2851.7311444307106,53.40160245189942,28.6656970630417,25.9794297512719
STT,328.7791124517448,18.13226716248536,10.252127779777092,10.377049107020472
HAS,403.8506767305262,20.09603634377999,11.951252020987589,12.06863972875066
OXY,47.14408632725085,6.866155134225474,5.02298773007097,5.223337792104011
NWL,206.07592578052626,14.355344850630592,9.58360826965308,9.291718525337293
RHI,29.47518920894811,5.429105746708947,3.6823784086447526,3.0131592059195405
VTR,301.7690683099495,17.371501613560916,11.616821681377877,11.527128286819394
NOC,1751.3013639612732,41.848552710473435,22.808980317663657,20.469677389946227
CE,585.5691317356622,24.198535735363453,13.64351004257263,12.922306795062383
EQIX,14.008048923562187,3.742732814877678,2.847690748868021,2.439216183829007
TFC,123.3457123105911,11.106111484700264,6.809388861925737,6.5998711602899425
MTD,6.557046115183852,2.5606729809141684,1.8492861621355998,1.8332379446030886
DE,68.63840889273965,8.284830046098692,5.338771709783797,5.5812759858957115
ROP,2327.5953141326477,48.24515845276755,25.916603454985037,24.455483676271186
AZO,46.415318312733106,6.812878856455112,4.638567278382275,4.2263677486175855
ADBE,1072.747743729735,32.75282802644277,18.727466876058838,16.27040698217352
TYL,159.86898786579803,12.643930870809047,8.656763478956162,9.645002228450856
DHI,173.74902173292801,13.181389218626693,8.955557634557076,8.749956763616765
LYB,94.20258487819791,9.705801609254019,6.161804285587429,4.91262578147749
AFL,43.03494887841267,6.560102810048991,4.328625088105648,4.690146204006492
EOG,89.34408222880127,9.452199861873492,6.514912917463913,5.933057427736569
ROL,2150.5537689374737,46.37406353704055,24.78226393763743,24.984054433741687
DOV,696.263511918891,26.386805640677522,15.64005629145682,14.699739781434948
GOOGL,127.81058352883213,11.305334295315292,6.863684963165873,6.756063386903047
GRMN,109.44980604295262,10.461826133278674,7.2276777887967745,6.312423872470328
SLB,460.2083905283322,21.452468168682415,13.985042066330106,12.936672583439194
FRT,1162.5283110400376,34.09586941317141,19.00785173580464,16.47162939606403
IEX,562.6792629741062,23.720861345535205,13.637187228116005,13.005873281541106
RMD,453.0359344994918,21.28464081208541,12.281206516070572,13.400914938791967
ULTA,994.6802116562566,31.538551197800075,22.219327336399797,29.67111427481144
CCI,708.622384978119,26.61996215207901,17.60374299686528,17.312307089318036
CSCO,12.507904385474621,3.5366515781844585,2.833567527497268,2.619234231392491
PNC,2749.5124611385604,52.43579370180793,29.20210945320747,26.380875002376467
KR,623.6695386709417,24.973376597307418,13.4501972003856,11.582861723990156
DXC,60.563918936083326,7.782282373191256,5.312394342876496,4.8074951255409495
PNR,150.57181869435902,12.27077090872285,8.088605038955125,8.629000984501742
BIIB,106.49755607809227,10.319765311192512,7.4065475961711975,6.739132366029628
DG,775.118909506946,27.840957410027155,16.491001372210672,16.94922703466425
DVA,492.6322294547264,22.195319989915134,16.990151072280064,15.329832537138053
RSG,247.9812282254972,15.74741973230844,11.739318583649608,10.926446294485121
ZBH,396.95304786429375,19.923680580261614,11.697642440318093,10.627927256135425
PAYX,277.0063282962133,16.643507091241716,12.838930614517379,13.535697919440258
LHX,744.4387004488373,27.284403978259032,15.812043197290274,15.381665586404152
JKHY,9927.69660350043,99.6378271717144,63.98051607642504,65.2155587073829
ALK,6610.9535785478765,81.30777071441497,44.28414173495106,36.851131509854945
AXP,152.53209635199667,12.350388510164231,7.503645345374524,7.430855233948202
ESS,245.7583976671185,15.67668324828688,8.453083230176276,7.1907961094908615
UAA,229.28859269883003,15.142278319289671,9.279989356270379,6.265099229700397
WHR,1959.7668291026675,44.269253767176465,25.132030096846027,26.072543693786148
GD,719.1994933365539,26.817895020611775,15.219805834332092,11.707175626465341
WYNN,1369.325691041003,37.00440096854701,19.691277388080934,19.386843998320536
NCLH,20867.50969578234,144.4559091757147,73.12311627612918,75.81357592807143
CMG,598.6197274830221,24.466706510746846,13.88946945997079,11.93537729653063
PPG,354.52373747040394,18.828800744349174,11.100260186961695,10.145353044950157
LEG,40.765522008565554,6.3847883291903695,4.311243675777423,4.040100351022335
IDXX,94.9816935594881,9.745855198980133,6.784966985667483,6.079889876649691
NVDA,9.957692839396127,3.15558122053547,2.030479977316644,1.7411673913000638
WST,29.658854334435837,5.4459943384505864,3.399873464903484,3.777368653582196
AES,1156.43049603068,34.00633023468836,18.455574883065683,19.04434562083139
