,mse,rmse,mae,mape
STE,2732.216294646473,52.27060641169636,33.81347528512922,30.759372423320826
REG,100.81339693502422,10.040587479576294,6.947499413918867,6.286204878689673
WFC,267.9675316952596,16.36971385502079,11.08315624237589,9.821574459266124
JBHT,498.7815801473231,22.333418460847483,13.106443081042327,13.16324333817641
SJM,61.790093351284625,7.860667487642804,5.11154714856326,5.720099043318945
PFE,3619.291339358912,60.160546368520556,40.51835986142356,42.65070106355624
EQR,21.328030018644117,4.6182280171775965,3.6980798790457277,3.052114405873197
TSN,911.2085511907183,30.186231152476093,16.46106128772418,14.508574094452582
TDY,1663.819551441538,40.78994424415824,21.643198648824406,20.83770607064754
GOOG,134.46498759678494,11.595903914606438,7.042360862797581,7.015878237859506
CMCSA,6168.5967067575,78.54041448042848,41.226261989491896,39.12186185246997
MRK,541.8959087784826,23.27865779589714,16.037342221859948,13.675594639577033
TXN,8736.24109318903,93.4678612849841,59.75284114810101,55.34457219414309
XRX,382.72048435611975,19.563243196262725,11.575014358416876,10.695545112108947
HRL,377.91265858128645,19.439975786540643,14.475931655284981,13.586208135824299
BSX,13205.124636206732,114.91355288305523,71.23306055184986,69.2835973291602
EMN,860.8583531632361,29.340387747322566,16.244592368966096,16.001270032053117
LVS,16322.687669215693,127.76027422174583,82.3306208807391,88.67281795854095
ADI,2268.779128144967,47.631702973387036,25.4375380457294,24.892945263016852
NTAP,397.73840454467364,19.943379967916012,12.56081186877679,13.278939204419913
NWSA,1683.1720225792228,41.026479529435896,24.355294340387008,25.62791417897323
CAH,119.40216780507491,10.927129897876885,7.739885117565838,7.2822268266244325
MGM,230.87916391222137,15.19470841813759,9.304955338226822,9.072720875045222
ADM,3399.2629878386842,58.30319877878644,36.996954971618166,34.26766835356046
MSFT,4.002334682670923,2.0005835855247147,1.4196475673081252,1.3081256986453496
V,22.87967424251713,4.783270245607824,3.480185773744545,3.3288222307287083
FMC,81.96149109312661,9.053258589763502,6.162480756427132,6.718846184336237
CDW,20.217440537759007,4.496380826593652,2.97409372293533,2.4835754520834357
GS,135.5644413925054,11.643214392619651,8.042407539135784,8.215879211415519
TPR,118.25504612678112,10.874513604147136,7.470796856501779,11.04195118603309
MA,22.005202276187664,4.690970291548185,2.8571251501141948,3.071095429287428
SNA,222.4829684532673,14.915862980507272,9.319647003607379,8.673852480611934
IPG,510.0175248436383,22.583567584499097,16.217639982131132,15.30206969017286
COP,591.9370572358921,24.329756620975314,15.178712841513063,14.420527142679669
EBAY,2518.8692566255827,50.18833785478039,27.127525436976818,28.173270463075095
SWKS,387.5108926582753,19.68529635688209,11.807878907381987,6.4594277834786435
COST,1402.1922486036485,37.44585756266838,21.928018337954285,22.463164671326442
EXPD,471.683225445117,21.718269393418918,12.835333433836151,13.91353340167674
GL,646.8040241938902,25.432342090218317,16.002971129257485,15.76296022744642
TRV,91.21587621856754,9.550700299903015,6.4131083143399525,6.356475339035831
DPZ,1695.3905187767048,41.17512014283267,22.231397031730513,20.534313400242834
DLTR,23.615740573752422,4.859602923465293,3.380930870913699,3.7225473820325448
WBA,960.3537631622123,30.989575072307982,21.75565932992526,20.353079093139332
F,5382.261830031361,73.3639000464899,44.50552197046114,47.36124282357989
J,261.59350876941465,16.173852626057116,10.87714654564887,12.496756044621476
WMB,1896.7447567435481,43.551633227050715,26.930452826825505,20.523560388464567
DUK,125.81159476562905,11.216576784635723,7.637103424934341,7.165691001775234
OMC,5018.798547911459,70.8434792194134,49.08743095730767,50.36639979598208
GM,17991.12083125379,134.13098386000823,85.23620395810087,100.27076263068342
EFX,89.28033136878756,9.448826983747113,6.5653314425481755,5.9427852321669326
IP,63.38186314437254,7.961272708830702,5.526889764049403,5.327145830468398
FITB,99.6671318920921,9.983342721358017,6.191790224472081,6.2806371697660035
STZ,123.20657670563764,11.099845796480132,7.4564240070658405,6.048277301931329
SWK,1196.4425567791486,34.58963076962731,19.31355778403953,19.5631122738771
HSY,274.7161138685745,16.574562252698396,9.99241500039565,10.378586604534812
AME,267.1306850600526,16.344133047061646,10.521678127891283,10.605931197488678
MSCI,2.1052904217628545,1.4509618953517884,1.2916563467651723,1.2736600896472534
ROK,184.89643943158484,13.597663013605862,8.554423808282095,8.521999606346533
ETR,294.05154864570704,17.1479313226321,10.076549899303076,8.32273838868187
IFF,239.50969484917636,15.476100763731683,9.062274665805496,8.202919699574991
USB,70.1575951754888,8.376013083531376,5.455224202419822,5.281391703863049
DFS,135.17371271547802,11.62642304044877,7.614009306457886,6.776766096997288
ES,1923.3309945524434,43.855797730202596,23.61063379170568,21.981732705938615
CHRW,535.4880603377999,23.140614951591065,13.126785898999046,11.9832034393807
PKG,164.7486987777428,12.835446964470805,9.02991191120921,8.174727394947864
ORLY,30.727931390879295,5.543278036584427,4.295944449528661,3.5501257123158334
MCK,732.1860903448137,27.05893734692502,16.55303835893241,14.322152742375877
CPRT,249.93639662085502,15.809376857449347,9.859700839944304,10.428086839923601
PNW,413.0053927871528,20.322534113322405,11.658000859707004,11.526939087176178
VRSK,580.7710482500438,24.099191858857917,14.148736895285516,15.527147644846051
MSI,23.951632070661244,4.894040464755195,3.3690124499579723,3.532156714929588
CVX,134.13203867265386,11.581538700563662,7.360250727063,7.423131696229677
FTI,73126.50183145335,270.4191225328811,139.691568368176,142.0399384674047
KMI,849.6703114926933,29.149104814602683,21.818654172749227,21.251343131486617
GIS,83.00273886389326,9.110583892588513,5.963550146685523,5.905332309692242
NFLX,1039.2927290790353,32.23806335807155,18.614485654183945,16.44614806557435
IT,1148.0966537433587,33.883574984693674,22.74118095637004,22.2976550937922
RF,1221.1398159577716,34.94481100188942,19.624036524401593,19.0733860363135
TSCO,23.311069437495807,4.828153833246804,3.3922106776571357,3.710010060947298
JNJ,42.64258629150508,6.530129117521726,4.5674071268031,4.325232599919372
TFX,1.2946951615245863,1.1378467214544261,1.0737510505569838,1.0064014130057761
WAB,2752.511290821875,52.46438116305075,34.764375793575695,32.61671769414647
HD,11095.736053349487,105.33629978952881,71.9337729610218,70.23201412798036
SYY,3218.0297697050687,56.72768080668439,32.51813735683868,34.4144727935431
AVB,111.67685936313079,10.567727256280358,7.163835801137646,6.292899901261432
K,832.1210004275788,28.846507594985894,15.776195652961514,15.268815023154406
NEE,75.41307175097764,8.684069999198396,6.07263556636827,5.32982414328736
TGT,689.8357529268541,26.26472449744817,16.323834242713037,17.992483212241
FANG,315.3816980106246,17.758989217031036,11.366696567130614,8.815063554733094
POOL,1078.3003666389448,32.83748417036458,18.469854480757434,18.722295226309377
LKQ,25.571116705144465,5.056789169536779,3.7285856377051116,4.58930112244313
LNC,113.57900065170578,10.65734491567697,6.695213854594283,6.660498015019415
NKE,14012.497534270537,118.37439560255645,75.43533199614956,76.33905241722769
HBI,344.82900651506543,18.56957206063364,11.070118598385651,7.840042092397678
