,mse,rmse,mae,mape
STE,6038.6253637476675,77.70859259919503,50.18294006884422,45.31922059219746
REG,38514.838407325755,196.2519768239947,131.89794651944862,126.18067102040541
WFC,22310.268008627834,149.36622110982066,94.10567908416539,83.59445109383992
JBHT,230.1477528608967,15.170621373592338,10.921830235844208,11.028998855720861
SJM,178.99169033059601,13.378777609729374,8.985866416984452,9.775574132697239
PFE,10489.913830238513,102.4202803659437,67.44558009831597,71.32991404543783
EQR,72.22687445540855,8.498639564977948,6.580953598269527,5.525250867367783
TSN,87783.0467580135,296.28203920928706,175.16045007405853,154.11324801829434
TDY,2123.6034507008876,46.08257209293865,31.49859378517771,30.62373974680332
GOOG,72.81858881100045,8.533380854678903,6.249477304073637,6.251195293248028
CMCSA,202.7865263520183,14.24031342183234,8.725436259377075,8.3034917052132
MRK,469.002214983131,21.65645896685631,16.948078109591783,14.611491762606786
TXN,45.75649907035553,6.764355037278538,5.4535135500979175,4.9176013150963565
XRX,386.9786090884232,19.671771884820725,14.006219155834781,13.376371487901778
HRL,18040.264362201306,134.3140512463283,90.85629189477481,85.77936763573248
BSX,2589.8125696225397,50.89020111595689,30.05299249812726,29.160930273924976
EMN,374.208383753245,19.34446648923782,12.901564080931301,12.593620542868692
LVS,15032.879225412087,122.60864253963538,83.9362396949165,92.18021229426427
ADI,50.54487338738879,7.109491781230835,4.80029955699211,4.731617273090996
NTAP,2793.7055217492343,52.855515528175815,39.32304668625414,42.56904413863277
NWSA,40379.307066638714,200.94603023358962,141.26520439265084,146.48242841419474
CAH,247.55261037973384,15.733804701334444,11.320432895136328,10.05113999402992
MGM,120.17414580565432,10.962396900571258,6.369862849412402,5.947825711990013
ADM,2489.6594746103674,49.89648759792985,32.482979087888026,30.035477342514262
MSFT,9.407742359396087,3.0672043230596957,2.3256443986223476,2.1703292023413843
V,136.41813706716383,11.679817510011183,7.859630755224503,7.975731407033095
FMC,5982.084407481947,77.3439358158217,55.44010740176482,60.51741351878599
CDW,7460.040710319068,86.37152719686661,48.99136003141403,36.715721946655734
GS,469.85876567398384,21.676225817101646,13.340798352068553,13.65987102061318
TPR,193.26259665987965,13.901891837439955,9.20584361228089,13.823101713384307
MA,28.35646379577863,5.325078759584559,3.6520121799178034,4.028124697752608
SNA,99.83648284006189,9.991820797035038,6.969253291219378,6.519233084319105
IPG,2300.229954945426,47.96071261924103,27.68181962503798,25.17958536726483
COP,3.0954337512097374,1.7593844807800645,1.3546186595670602,1.30426214659205
EBAY,17207.40199977929,131.17698731019587,73.56479615269879,77.21601461590154
SWKS,221.2659780841741,14.875011868370866,10.379463851106738,5.834825270049431
COST,5562.397395471338,74.58148158538646,48.46179192874573,50.5851778410069
EXPD,1508.1463376166068,38.83485982486105,27.518189114463407,29.905960208220097
GL,10354.476997863692,101.7569506120525,72.4337888572771,71.06464761887986
TRV,8633.04091639505,92.91415885856713,59.15202660408437,57.9775366676042
DPZ,1808.125859874058,42.52206321280822,28.93626265198436,27.19783885416869
DLTR,183.77481134637404,13.556356861132494,10.122612877267269,11.301140803263987
WBA,5452.239111634935,73.8392789214178,48.02561428687785,44.07986806618619
F,734.8514043545465,27.10814276844776,14.349316655624508,15.363246814541817
J,9954.875919709886,99.77412449984158,71.5891073584825,82.45423051604594
WMB,2106842.0609497763,1451.4964901610256,964.2791120178109,728.8447287322044
DUK,168.42665490382603,12.97792953070042,9.314701180335078,9.217033444169838
OMC,2546.2920819147535,50.46079747600857,25.64895481485398,26.39513029701386
GM,109.06596835651264,10.443465342333102,8.10735474935148,9.596012345522281
EFX,552.8227350447547,23.51218269418547,16.30821014273907,15.180066818375785
IP,208.92852395139423,14.454360032578206,9.334932371923204,9.135722757001384
FITB,23.262813106697045,4.823153854761119,3.5707146043825877,3.5447082827413507
STZ,1115.2586875797654,33.39548903040298,19.431781585603336,15.987008822235314
SWK,513.020488164314,22.649955588572663,15.491896003646438,15.812733148946123
HSY,11438.015238375041,106.94865701996936,78.7591546312851,81.0947163340014
AME,2056.9705553249355,45.3538372723294,30.85234808288032,31.19740381170795
MSCI,13.095264914417273,3.6187380278789556,2.3839368547468065,2.4458547081810877
ROK,182.00644936444132,13.490976590463765,11.162997880879086,11.13396807995583
ETR,127360.28005950167,356.8757207481362,212.1047610310635,183.3135727418223
IFF,2454.146667367572,49.53934464006939,32.637494983065906,29.446892884688808
USB,18.40081178235296,4.289616740730221,3.70069644188151,3.515232485251271
DFS,1948.798412452382,44.14519693525426,25.517438737394013,22.90122254475421
ES,4240.048640371304,65.11565587760984,40.09965759400416,37.61100219338195
CHRW,1203.6984417982271,34.69435749222382,19.966085350948315,18.480968436078914
PKG,175.24576130461918,13.238042200590659,9.397393749370064,8.485052915076965
ORLY,1067.5457803845304,32.673319090421934,22.18765846165058,19.452055878376893
MCK,516.6526339354461,22.72999414728139,16.75190933235498,14.792386967557054
CPRT,89609.35663278263,299.34821969202125,187.7222147128419,198.40286220251232
PNW,450.9780958011354,21.236244861112695,14.872728845031816,14.964205427085178
VRSK,1166.4108185302116,34.152757114619774,21.797268742120984,24.09011060758472
MSI,360.94535797757595,18.998561997624346,13.076278552016193,13.567741535250311
CVX,1961.7823141983688,44.29201185539407,26.696662099746934,26.31871524609427
FTI,496.34352724738864,22.278768530764637,14.100101467717217,14.649074486265985
KMI,3410.1227514305656,58.39625631348782,38.36034314620377,37.0678501917688
GIS,11455.830890767256,107.03191529056768,71.9697223406235,69.86168407511842
NFLX,1168.979132621821,34.190336831067064,23.40332843831606,21.532640827842403
IT,12858.751040332178,113.3964331023343,84.03997813240555,84.08220915373066
RF,440.27012966615126,20.98261493870941,13.271093109157833,12.882168055568263
TSCO,2781.13340946404,52.73645237844541,34.625042128287355,40.96524437047019
JNJ,64.86698222731789,8.054004111453997,6.404786199968243,5.841494077713023
TFX,7.149259677880973,2.6738099554532617,2.411183598542746,2.1849757529833873
WAB,182.41982662439935,13.506288410381268,10.868340385773662,10.308140410224937
