,mse,rmse,mae,mape
STE,131.02112924713353,11.446446140489787,7.3476939603485985,6.7253428631187635
REG,185.46759385384868,13.618648752862697,8.719634665457235,8.321277549345316
WFC,40.45499867299957,6.360424409817286,4.6954081759821085,4.230518105475716
JBHT,945.8137835416214,30.75408563982388,17.425721359861093,17.56375171915115
SJM,1677.8240622552485,40.96125074085566,28.14698847831385,31.055647112878074
PFE,211.39699510644056,14.539497759772878,9.155832255867294,9.644024886543184
EQR,6.137522487147681,2.4774023668245095,1.6229923753570406,1.47374151141098
TSN,31.305896011845206,5.595167201419919,3.7763559036770715,3.3443588988337463
TDY,3.6728380187529033,1.916464979787761,1.4223746052960855,1.3752108824072506
GOOG,12.334591169391492,3.5120636624912556,2.5539416077156996,2.5298072082986756
CMCSA,53.69119345736329,7.327427478819787,4.745985436346178,4.628313936984849
MRK,135.99816509343043,11.661825118455106,7.747023537372056,6.713484516292258
TXN,202.1831387952392,14.219111744241944,9.020696501587501,8.4898524264048
XRX,501.0599173449439,22.384367700360535,13.12922317083969,12.17966429415265
HRL,3067.2665201974573,55.38290819555666,38.073886414207486,35.85371574531395
BSX,123.8219554172502,11.127531416143034,7.4245890723254755,7.147682499158053
EMN,18.620346174108683,4.315129913931756,3.0551668255518503,3.013196573092839
LVS,275.80947202005717,16.60751251753426,10.580169401007316,12.073141844025645
ADI,853.817866478315,29.220161985832913,16.192935589063644,15.828070619261048
NTAP,42.492608088019125,6.518635446780187,4.195322509223607,4.410042036069965
NWSA,133.7771730933728,11.566208241829852,8.31352353986416,8.720839911636133
CAH,25.816065312901998,5.080951221267726,3.660094926410178,3.403859149970568
MGM,33.85469937331046,5.8184791288884465,3.7608169661731363,3.54091732917064
ADM,83.14721003009726,9.118509199978758,6.02051973054268,5.767104418935531
MSFT,2.362724700053347,1.5371157080888045,1.1584889015570052,1.063102679833528
V,6.681051288994863,2.5847729666248953,1.9596805785357148,1.9801916245498936
FMC,31.062554945756084,5.573379131707808,4.013184744970055,4.331098392461036
CDW,29.017024724796602,5.3867452812247025,3.471375677949917,2.9006512329372525
GS,20.871705711651632,4.568556195523005,3.169237190178139,3.2671061577125875
TPR,19.54563319508378,4.421044355701917,3.0377027555248395,4.407181818824457
MA,128.46113318476924,11.334069577374635,8.11965597908126,8.817088264434286
SNA,1321.9163873825883,36.35816809717712,19.860556117385887,17.58825810329425
IPG,94.85474168608079,9.73933989991523,6.220908082577504,6.01867256533679
COP,2.726586814293564,1.6512379641631196,1.2093363531147467,1.201208497422068
EBAY,36.653136453693556,6.054183384544405,3.852833891517114,3.9761096472555324
SWKS,358.2501805989484,18.92749800155711,11.756085386535975,6.446882200889023
COST,1.3922639006189703,1.1799423293614695,1.0101226515667712,1.023368983077432
EXPD,4.845754153739649,2.2013073737530724,1.559166373321728,1.7158515273431494
GL,120.39266162227428,10.972358981653594,7.115215597147412,6.9939617002554435
TRV,65.85356755263307,8.115021106111374,5.478918808172942,5.518856330757155
DPZ,15.175762457187098,3.895608098511335,2.6655742293287363,2.5071917773003682
DLTR,6.422654508607988,2.5342956632184785,1.771455933440628,1.9577765083370413
WBA,12.05311354871969,3.4717594312854816,2.2536540615492533,2.1225686642492616
F,1535.120715707888,39.18061658151755,24.64315014978252,26.35483032909385
J,5177.707449977853,71.95628846722052,49.526518630150214,57.29369118520523
WMB,51.7310881732455,7.192432702031038,4.663214636158843,3.6175792063770125
DUK,27.975653164537153,5.289201562101519,3.363730709929122,3.3080002562428747
OMC,90.56384409154171,9.51650377457718,6.66116147315529,6.805069772683661
GM,584.0626314390374,24.167387766141324,15.295043078395908,17.97912924303108
EFX,1.6081619667162448,1.2681332606300668,0.8232437175477261,0.7716202865105923
IP,72.02292832603584,8.486632331262845,5.422081925875059,5.4641004682525365
FITB,0.8481986957376904,0.9209770332303029,0.7187730033541379,0.7217738668007844
STZ,63.952669075776946,7.997041270105897,5.607929364688884,4.55030634255813
SWK,3147.428695906426,56.10194912751629,29.643026792604505,30.01263265213366
HSY,926.0047583764448,30.430326294281578,20.166890540054258,20.892353642515843
AME,747.4297533445103,27.339161533311703,15.305835802923545,15.411113718157425
MSCI,1.0406203738019937,1.020108020653692,0.8679219356240159,0.8640164373780748
ROK,6.084294543081128,2.4666362810680313,1.59106607342975,1.6016786171017583
ETR,29.054635095935403,5.390235161468876,3.9022495569271833,3.5401162264353805
IFF,176.44377425920354,13.283214003365433,10.153485094335156,9.29949047264186
USB,21.973638982063186,4.6876048235813546,3.1140941078728464,2.9978935056639724
DFS,3.009656958168109,1.73483629146041,1.4461711127508299,1.3267319746087358
ES,90.57916075631363,9.517308482775665,6.057171393449493,5.7065126125438566
CHRW,24.93914925516817,4.993911218190425,3.4915171571516534,3.4852182961113787
PKG,126.69708925223144,11.255980155110057,8.158288002484419,7.561936137861279
ORLY,2.8682992493332273,1.6936053995347402,1.3163565045570795,1.154458823880855
MCK,23.133871023449878,4.809768292074981,3.334468469140671,2.9893429464057863
CPRT,63.955821345396195,7.997238357420404,5.2419293857912255,5.5331911784564936
PNW,3.0170185242820824,1.7369566846303572,1.3163882990435347,1.3297529015561596
VRSK,1179.6062843228299,34.34539684328644,19.623439259266206,21.56584810940598
MSI,106.67201879875202,10.328214695616664,7.069619152554898,7.46239625770677
CVX,1939.335789652402,44.03789038603464,26.479494569583558,26.200631675297796
FTI,17123.884827076687,130.85826235693597,67.2291610112822,68.40513792736795
KMI,1660.7532086098374,40.75233991576235,27.863944592076333,26.97675380031502
GIS,69.78846520419822,8.353949078381925,5.373428718495433,5.255036623757058
NFLX,2074.9057295078806,45.551133130887976,24.534058401659795,21.432441422539178
IT,81.65569885377528,9.036354289965356,5.87331643251772,5.92052310283052
RF,4560.056925053823,67.52819355686796,40.846465854009686,39.57917608058371
TSCO,2.913743789513525,1.7069691823561213,1.25399311820118,1.4305815663999961
JNJ,20.742900066768655,4.554437403979624,3.170794437239576,3.045879495570452
TFX,368.0359382621111,19.184262776091007,11.518272852838818,10.46374312306826
WAB,253.87068751034067,15.933320040416582,10.367703674596216,9.74829731666178
HD,56.28035736130664,7.502023551103171,5.108523974022351,5.072830707195928
SYY,1351.0278403086738,36.75633061540112,23.379506992765887,24.867232566895986
AVB,4.409616986015411,2.0999088042139857,1.548478276719804,1.481191106214067
K,14.261519341341579,3.776442683444511,2.6113637621824326,2.611470942384817
NEE,1085.3009845158053,32.94390663712799,20.059287211296642,18.253779720342404
TGT,178.94258261502392,13.376942199733985,8.593658276384636,9.409486565736957
FANG,1743.007874549489,41.74934579786238,22.792839852240107,17.085971972506087
POOL,6332.729485211419,79.57844862279875,41.58254810221768,42.362461615082616
LKQ,7.406194012502407,2.721432345751481,1.8695550463496309,2.3026277006609166
LNC,12.664608780094474,3.5587369641622115,2.326803081749693,2.3141198717424993
NKE,237.64483632703778,15.415733402178367,9.781582616631606,9.68135925395451
HBI,170.29329656116553,13.049647373058228,8.44876303125766,6.005068845273513
CAT,193.37291944848943,13.905859176925725,8.20006554982966,7.0721930090853835
TJX,6.672716322148731,2.583160142567381,1.8152821589200232,1.9635142767817237
TER,35.57727495435535,5.964668888912054,3.8297764819695708,3.475706606731943
ABT,18.537424238942858,4.30551091497198,2.7751668359185078,2.6271965679874945
HAL,2.183345329492349,1.4776147432576425,1.1243969557342433,1.1102909604162536
PWR,7688.579928304607,87.68454783087273,45.26584783176208,40.695800809974294
STT,52.52780906718641,7.247607126989322,4.691961486457212,4.823681569233182
HAS,57.390486658557556,7.575650906592618,4.912446921224284,5.049818962490017
OXY,0.5597737460819803,0.7481802898245719,0.6202308576635507,0.6401037731667345
NWL,28.306563392623712,5.320391281909979,3.6263433614411364,3.5294683656639534
RHI,21.284441503785096,4.61350642177781,3.4822576148830304,2.9316308645895757
VTR,66.36824013301518,8.146670493705706,6.029769189928232,6.124724637497449
NOC,47.09532242913261,6.862603181674765,5.352518142073264,4.8916952988454145
CE,19.997151543608272,4.471817476553384,2.9744540948764095,2.927860050793332
EQIX,4.050053025604363,2.0124743540240115,1.425912558668398,1.2864072459002145
TFC,13.285186922493677,3.6448850355660984,2.608069588121288,2.533175012543662
MTD,34.60408339817439,5.88252355695873,3.7166415929570658,3.69773528385575
DE,32.15672468645425,5.670689965643885,3.785058462435381,3.955785229220648
ROP,689.6092021043033,26.260411308741972,14.763970958173863,13.894730230431662
AZO,21.003665968618858,4.582975667469647,3.299235881678734,2.9978202987109577
ADBE,20.411380963927996,4.517895634466117,3.1141876398189883,2.8025548275040943
