,mse,rmse,mae,mape
STE,489.1367444474079,22.116436070203715,16.420621074519612,15.743545013818714
REG,232703.2552425307,482.393257874248,336.8439190878278,325.4718135258799
WFC,151.9400796129069,12.326397673809932,7.585414382304614,6.729304419796469
JBHT,6.630910978030151,2.575055529115858,2.0816979656460886,2.072707951067174
SJM,20.518745979991074,4.529762243207813,3.276969742289447,3.6241205132548164
PFE,30.71746376912492,5.542333783626255,3.7832794690886957,3.9833843288445863
EQR,8.172033662067152,2.8586769076037872,2.1185365888723653,1.8887309412048743
TSN,61.71447906855843,7.855856354883179,5.6506909591821035,4.956742238408324
TDY,0.8715290923932426,0.9335572250233205,0.7708182705976939,0.7393325268215714
GOOG,26.561387763177024,5.153774128071293,3.4813701600735576,3.447031666252066
CMCSA,1681.3931496706064,41.00479422787787,25.50552318496063,24.494061363453024
MRK,153.38690941907163,12.384946888019812,9.137264163814768,7.962224200473839
TXN,24.477225896213916,4.947446401550391,3.6962855185727777,3.448691822876867
XRX,1538.7305126216722,39.22665563901251,23.265768490646636,21.871303474473944
HRL,1483.041620431221,38.510279412531155,29.494627537623487,28.200994674311183
BSX,3686.5508773192637,60.716973552041146,35.927220499507726,34.850389839288425
EMN,501.3870647537803,22.391674005169428,13.578801319500402,13.218097761982346
LVS,38.78386427162074,6.2276692487334895,4.373090335813942,4.710819461865885
ADI,6.77289222293471,2.6024780926906397,1.7246441003171222,1.6966103031178486
NTAP,2063.023056997001,45.420513614412165,35.16301378888817,38.67947186620283
NWSA,83.33626372572188,9.128869794543128,6.711097859982944,6.96403332878345
CAH,233381.8452203234,483.0961035035611,312.9104756411759,293.32682518962594
MGM,1369.4430774833456,37.00598704917011,29.030380311196446,27.23687390846507
ADM,406.3974994464916,20.15930304962182,15.728004107079782,15.419799883682554
MSFT,43.41649361094227,6.58911933500542,4.742049020421622,4.408799478263342
V,138.01091925133807,11.7478048694783,8.669757370354631,8.889471187926057
FMC,1883.112022011821,43.39483865636351,32.95216139937965,34.929326774979366
CDW,21671.769952379123,147.21334841779506,92.94626185388627,71.2122074382063
GS,7.991508507767102,2.8269256282695343,2.0154685485237223,2.089213708510078
TPR,2084.9407214709177,45.66115111854844,26.807705800687174,39.98525211095978
MA,110.3321047452164,10.503909022131541,7.581126273368348,8.311585391380897
SNA,51.305015873725814,7.162751976281589,4.92896789784558,4.639530894715931
IPG,157.60387687922446,12.554038269784924,9.317149487122432,8.92184468298362
COP,2.800038329440896,1.6733315061400404,1.3910341775988888,1.4087639493824349
EBAY,70701.08567178407,265.89675754281785,186.90943296924715,194.86265601217295
SWKS,6.965668495842596,2.6392552919038725,2.0917291309578325,1.2685059623860488
COST,802.4965977465274,28.32837089820958,17.24958712891961,17.947618822198688
EXPD,1973.3776832428691,44.4227158472202,28.061941417863174,30.300129911069245
GL,403.72286201488237,20.09285599447929,13.403517612304936,13.094497305688444
TRV,7.769812265728146,2.7874382981024253,2.2095977572296372,2.1946622277147174
DPZ,59.72933707981308,7.728475728098852,5.675138275476465,5.405544038312602
DLTR,65.35526175394563,8.084260124089626,6.086975911525742,6.758031800682695
WBA,1794.734274805635,42.36430425258551,26.691116126989506,23.98263658472473
F,5801.237827086413,76.16585735804733,56.29571354632415,60.530139427428686
J,4507.871627994086,67.1406853405153,49.69393772215521,55.599966388577165
WMB,58765.681788028916,242.41633977112375,168.61121329247328,130.86518284631543
DUK,1451.1934209699739,38.094532691319024,27.049662717553606,26.86285066698477
OMC,170.8918454492631,13.072560783919235,8.156420956936174,8.344068646202137
GM,53.77776546878838,7.333332494084008,5.629278923522169,6.592380356951643
EFX,1009.5777418406444,31.7738531160551,21.754505035039955,20.14713105287764
IP,39.42517118745411,6.278946662255868,4.631064492256673,4.70267479642416
FITB,12.12790478724063,3.4825141474573553,2.6310720990931964,2.61973456931661
STZ,17.4140730952966,4.173017265156783,3.3524742039370317,2.7169134567581668
SWK,6308.73596308643,79.4275516624202,45.83022983715485,46.571840470141886
HSY,220.49675000239773,14.849132971402664,10.610267514730403,10.778738877157561
AME,81.16265253517376,9.009031720178022,6.217350369291518,6.320805983692509
MSCI,7.78431419212946,2.7900383854222257,2.080835096636445,2.1165940587100667
ROK,145.86711620974836,12.07754595146499,9.207295908632465,9.087111181227518
ETR,1406.7084220561974,37.50611179602862,28.924158219730607,26.055882578649527
IFF,13.11066665516832,3.6208654566509813,2.448673041939545,2.3143180964271206
USB,4.504918866259687,2.1224794148023407,1.9366596760849881,1.850187483136662
DFS,17471.937067979157,132.18145508345395,78.29439885331477,70.87574411661744
ES,1373.2586452161513,37.05750457351589,22.434941018071925,20.838800995306038
CHRW,120.24545459104523,10.965648844963313,7.790444254458241,7.946312261571636
