,mse,rmse,mae,mape
STE,469.2394500691097,21.661935510685783,16.05603835482369,15.401796900894439
REG,235604.97890983103,485.3915727635071,339.3269939000768,327.9317666343376
WFC,162.34998120498366,12.741663204032026,7.895639825516667,7.005190417882063
JBHT,6.859614577186073,2.6190865921511786,2.114396468602541,2.1052142563480665
SJM,17.745337615325834,4.212521526986638,2.988033143471213,3.3079747661524554
PFE,45.17849360725532,6.721494893790765,4.507651558067801,4.75210771628383
EQR,40.1194078429157,6.3339883046083765,4.407186013441389,3.9740974366541417
TSN,49.07829980840663,7.00559061096255,4.738337855002787,4.154812283828733
TDY,0.852960780022766,0.9235587582946555,0.7689899362787901,0.7373636164088012
GOOG,47.599830241352436,6.899263021609803,4.567499341389583,4.537105020941686
CMCSA,1688.549393130815,41.091962634203966,25.562635911151112,24.549188137989244
MRK,2.7514038137471553,1.6587356069449872,1.4203074706323016,1.2206417201569728
TXN,24.47644955300358,4.947367941946867,3.696221648500376,3.4486334372213276
XRX,1370.4590289757984,37.019711357272875,21.930243499505174,20.602695331417237
HRL,1352.6756219046206,36.7787387209597,28.052471004793386,26.840270352466955
BSX,3778.981921645182,61.47342451535608,36.36867254876998,35.278334585412225
EMN,526.8308292144668,22.95279567317382,14.002935051035795,13.623109798806817
LVS,51.200629412614234,7.155461509407638,5.020721445039095,5.4164857058868545
ADI,8.215855834745131,2.8663314244422486,1.821854197339546,1.7917913442843494
NTAP,2064.7151525464596,45.439136793588624,35.1753790070179,38.69423475508991
NWSA,82.79919442605265,9.099406267776631,6.691042744269484,6.943189607375424
CAH,234303.43558015028,484.04900121800716,313.59241384603934,293.97142172793
MGM,1374.343054737712,37.07213312904603,29.09236211742245,27.29400579050059
ADM,9.818615079057006,3.1334669423909687,2.1779013612205445,2.164606039278062
MSFT,43.46212486317704,6.592581047145119,4.744165816240075,4.410739984464043
V,140.90374378004807,11.870288277040624,8.759154013293168,8.981205468114437
FMC,1743.9567985146064,41.760708788460555,31.60689785726013,33.474753912611476
CDW,21562.55773256138,146.8419481366322,92.68830393691182,71.01215527496302
GS,8.138150356038143,2.8527443551846954,2.0293006251247014,2.1035224798223533
TPR,2511.3761630623094,50.11363250715627,29.348741082513094,43.75909026483424
MA,107.15009267687752,10.351332893732938,7.469918263885549,8.189869605928134
SNA,51.29362668840843,7.161956903557046,4.928476052442644,4.639074281767547
IPG,157.5622217552799,12.552379127292161,9.316036541652114,8.920866588826055
COP,20.816976892211077,4.562562535704149,3.2644731350432044,3.1151984117491107
EBAY,71719.35729405672,267.8046999103203,188.0744940574108,196.0909969549583
SWKS,7.046313210061182,2.6544892559701916,2.0987083930981965,1.2738397163060788
COST,762.6566080306383,27.616238122355448,16.743803789414372,17.416502689099065
EXPD,1984.3534165208362,44.54608194354287,28.1679972903586,30.412710488523544
GL,425.9298818650482,20.638068753278446,13.72529437732462,13.405873835042756
TRV,24.823916918945955,4.9823605769701125,3.7884051885061143,3.7830093982598654
DPZ,59.75512466581392,7.730143896837492,5.673610265629629,5.404506247509448
DLTR,56.29865800344638,7.50324316568818,5.665754091862091,6.289621410603831
WBA,1668.6159433201492,40.848695735851216,25.679049355799098,23.06620195800374
F,5982.556517308951,77.34698777139903,57.24508602391314,61.5676068523786
J,4362.503292529642,66.0492489929268,49.07875523481434,54.93071783667147
WMB,57890.35899126406,240.604154143822,167.483845178296,130.04627642704648
DUK,1417.0104449044984,37.643199185304354,26.71301589663502,26.531600056987322
OMC,150.13568404783575,12.252986739886556,7.641199820109411,7.81537152215695
GM,53.58623373277977,7.320261862309283,5.620025539839786,6.58149529769606
EFX,1009.0617812570797,31.76573281473418,21.742957648554654,20.135659345628813
IP,45.74659030518779,6.763622572644617,4.982025624195438,5.059053451784366
FITB,13.199913494095396,3.6331685199141805,2.7185513665434557,2.7070108369923047
STZ,18.231559395319202,4.269843017643529,3.4192739601511715,2.7701387031713365
SWK,6109.010189403333,78.16015730155188,45.09841851973926,45.82019952765071
HSY,300.03057538341955,17.321390688493217,12.25393301413407,12.531206297879583
AME,83.43051961057337,9.134030852289332,6.330710444639084,6.435719709690801
MSCI,7.805207197758749,2.793780091159422,2.083350062513303,2.119148105621224
ROK,145.9115124632582,12.079383778291763,9.213049672089156,9.092238647863162
ETR,1448.3762927321925,38.057539236427154,29.273401535347343,26.380654035285446
IFF,13.495645299807284,3.6736419667418985,2.4989640453472033,2.360295616586731
USB,4.589878498915758,2.1424001724504596,1.9558688798354515,1.8682014082073661
DFS,18076.879407834997,134.4502860087512,79.52459631055841,71.98010590466738
ES,1350.8319278369038,36.7536655020544,22.199444606885834,20.624465703048603
CHRW,129.88981999476084,11.396921513933526,8.093341481441017,8.251458131219875
PKG,3280.1001792863826,57.27215884953511,39.82186893134119,36.66114781003454
ORLY,8115.708772633623,90.08722868772034,58.36097028208646,51.57978631036221
MCK,2.6729069649023467,1.6349027386674557,1.4818869148273475,1.3059181255413475
CPRT,478.5588124111201,21.87598711855353,17.05591397155378,17.832761603626018
PNW,5421.779714466014,73.63273534553782,44.194839967076945,44.747157452739515
VRSK,52.76086334771826,7.263667348365993,4.552383145364877,4.989447430316207
MSI,3336.531313489443,57.76271560002562,42.21021094769135,43.989380623812984
CVX,13.516167657641034,3.6764340953757126,2.7340644506163736,2.7759024397735264
FTI,12211.893193614202,110.50743501508937,65.43652823808553,66.33231481106877
KMI,108.93875394449609,10.43737294267557,7.741494147259949,7.898029310158495
GIS,6.3368880121388,2.517317622418514,2.3164323079403775,2.252021130746294
NFLX,12557.233371273252,112.05906197748244,70.39618860260885,62.88879945142881
IT,18.52724808692966,4.304328993807242,3.7595347412489177,3.5410823145565065
RF,1307.2779552043144,36.156298969948715,20.881782962889496,20.257733394721598
TSCO,8367.815680837011,91.47576553840373,67.90217066704042,79.50664081601064
JNJ,3.7102506452084287,1.9262010915811538,1.5213230673649445,1.3909538871730582
TFX,103.32123737251462,10.16470547396798,7.866871129871016,7.0454947667893
WAB,126.79621633154177,11.260382601472376,8.941687210852479,8.462849946611321
HD,596.4651415586914,24.422635843796453,17.701803033466483,17.217402049075183
SYY,301.46584451416487,17.36277179813652,12.639421176937182,13.637236901001089
AVB,7.11095655326188,2.6666376869124684,2.030190632428017,1.9196405115793835
K,419.98046986729423,20.49342503993157,14.97200318348228,14.43358294515472
NEE,577.0706110801704,24.02229404282968,18.468083996615,16.76879982271886
TGT,57.22101827834281,7.564457566695897,5.931992701926177,6.542340918428107
FANG,1922.3206459867354,43.844277231888945,32.086109885515576,25.807101023742696
POOL,417.4448421029752,20.431466959153354,14.903174858054461,15.003193677812709
LKQ,50.303619429584295,7.09250445397,5.119957731998065,6.336673406732192
LNC,51.67730305270699,7.188692722095373,4.539661549026908,4.4481612628675125
NKE,46.5552249969899,6.823138940179212,5.0752117145093,5.271442480111781
HBI,2790.7182884205977,52.82724948755706,30.339445651390122,22.292192009753784
CAT,704.0099964965673,26.533186700744547,16.630582662325953,14.259021896077385
TJX,3.7443839981609717,1.9350410843599606,1.777666407961782,1.903134971556735
TER,5.043849550863512,2.245851631533907,1.7965519223183783,1.658687665337861
ABT,96.14525000397703,9.805368427753086,6.436098203869638,6.275675644869604
HAL,2.2920307261501383,1.5139454171634255,1.3284591163571147,1.3206671341654832
PWR,400.2849322210286,20.007122037440283,14.275077138557943,13.25377139819713
STT,97576.64598175295,312.37260760468894,194.0323774528508,203.14689650153096
HAS,43.8892304032348,6.6248947465778505,4.698341534489532,4.784815202650865
OXY,39.16072662672909,6.2578531963229285,3.830767113319738,3.7420733009074154
NWL,13.516623990523463,3.6764961567399284,2.7343888333212467,2.8344553220733633
