,mse,rmse,mae,mape
STE,863.3176031748726,29.382266814779157,22.43839031195649,21.38725124302333
REG,278356.5696095822,527.5950811082133,369.49405456086635,357.3247769836668
WFC,146.70817643330182,12.112315073234424,8.386872354893626,7.5195412036768525
JBHT,14.547162444753665,3.814074257897146,3.001178322996991,2.9681885910283
SJM,78.93822835277236,8.884718811125783,6.923053257973396,7.64127955843383
PFE,31.749435504645913,5.634663743706976,3.877308804046636,4.076223456096627
EQR,30.252121459702106,5.500192856591677,3.756345432495163,3.394800972371904
TSN,1728.0064344629359,41.56929677614159,28.688521994652547,25.06993528582851
TDY,1.3154307779530465,1.1469223068512735,1.0005518498833723,0.9605224438074478
GOOG,77.36692038386332,8.795846769007706,6.3130966699605,6.292057240762628
CMCSA,1.6325443410513834,1.277710585794523,1.179023648262244,1.1495005892203674
MRK,5.396039612015415,2.322937711609034,2.125362614807559,1.8191618414268205
TXN,809.5116805753146,28.451918750328854,18.367668091890593,16.649772181058513
XRX,1989.659890634167,44.605603803044374,26.244719589050366,24.668343020895115
HRL,1304.0030517757777,36.11098242606781,27.51074675634673,26.326921181559058
BSX,4307.376889783375,65.6306093967089,38.58613871173006,37.43816472199
EMN,723.5939695120945,26.899702033890534,16.394901259467893,15.920683676503526
LVS,1.9289672869688017,1.3888726676584868,1.1734102697252595,1.279218021296911
ADI,2.5367557486427423,1.5927196076656878,1.41284968455481,1.3761510546723619
NTAP,2379.973231718849,48.7849693216963,37.315816663412605,41.09816156400456
NWSA,2.6409534659848313,1.6251010633141654,1.386293123999837,1.4856933460066257
CAH,11052.443441552768,105.13060183197264,64.43433573823752,60.26266853968414
MGM,1472.8720413784126,38.378015078667275,29.99225428404761,28.122064224511547
ADM,392.7012506077996,19.81669121240475,15.330860474531656,15.013018521818339
MSFT,47.310804716209134,6.878285012720041,5.080690644488606,4.418133906502761
V,57.00818985632273,7.550376802274356,5.34246599569313,5.4604406979467415
FMC,627.4088897964195,25.048131463173448,16.77025597978397,18.50153648251334
CDW,19356.587042059862,139.12795205155527,88.56771816876453,67.92582982495736
GS,6.862929745883519,2.619719402127548,2.1177943777445685,2.1145471153743682
TPR,1542.2570961929434,39.27158127950724,23.531374685431434,35.03972043996854
MA,274.45846822164845,16.56678810818948,11.665235250194547,12.648406662333796
SNA,32.79280187216159,5.726499967009656,4.476368362485884,3.954082112265832
IPG,2990.5256694374452,54.68569894805629,33.40230318016438,30.623048459267952
COP,5.1127008591496415,2.261128227047206,1.8581761001420254,1.8133118854276749
EBAY,79082.4205266511,281.21596776614786,199.0013380288687,207.3957003391882
SWKS,9.40416370281061,3.066620893232584,2.2211138168583493,1.3619444421633302
COST,421.2463599622937,20.524287075615895,12.4971289799802,12.970971957713342
EXPD,2697.2525891532146,51.93508052514422,31.829826721722455,34.37401375563959
GL,197.62921420690148,14.058065806038236,10.09443085801486,9.942293996885121
TRV,39.93048083515455,6.319056957739386,4.554051625934217,4.575148181794734
DPZ,98.6430356175851,9.931920036809856,6.721392586590574,6.207952832823568
DLTR,3.3612986911703335,1.8333844908175518,1.7481953913520214,1.8686353203916957
WBA,953.0270865071624,30.871136786765117,19.72233070955613,17.657628393435544
F,1668.4959127626548,40.84722650024913,30.764539737881996,33.15090868654185
J,5882.937378352505,76.70030885434885,55.70403143387169,62.15980836301608
WMB,63724.55382186351,252.43722748806982,175.06513223543476,135.61433049927274
DUK,7191.8516696577435,84.80478565303814,59.44641183328616,58.68928136001658
OMC,119.60092620646812,10.936220837495378,7.628501370627845,7.846324042359335
GM,278.8734765077318,16.69950527733477,12.453743762024459,14.63447441137929
EFX,2.486844423061671,1.5769731840020842,1.367869128892579,1.2573615190829392
IP,125.61969060876714,11.208019031424204,8.511568503345973,8.336967738175098
FITB,7.1780249066089015,2.6791836268925096,2.033279846469191,2.0164036247541817
STZ,2.31778822549239,1.5224283974927655,1.4049062214551493,1.1719599426690348
SWK,5659.613538185173,75.23040301756447,43.067211289714024,43.69835026873803
HSY,19806.55332527773,140.73575709562132,98.07233674529773,100.92727581309438
AME,103.01332757606939,10.149548146398901,6.982114356879831,7.087959360554037
MSCI,6.5252520916769265,2.5544572988556546,2.055227096582599,2.0387317232857054
ROK,110.19689586089267,10.497470926889612,7.506015340443142,7.379736283143382
ETR,2057.0409459790853,45.35461328221293,33.96680371068099,30.743343174634795
IFF,13.578372926400933,3.6848843844008097,2.4814954090944674,2.346957248783816
USB,3.713738530850896,1.9271062583186471,1.733590232584244,1.6595150885186978
DFS,12922.263052216327,113.67613228913238,68.58713364652712,62.148749527244874
ES,2677.9895787233227,51.74929544180599,30.89215985871231,28.781222120432652
CHRW,89.30995056072886,9.450394201340432,6.7657412273322795,6.93687553779096
PKG,124.0032368399021,11.135674063113651,8.34075176898266,7.666139565432211
ORLY,9068.695629137019,95.22969930193531,60.878938266909955,53.791949825723336
MCK,244.7552093180374,15.644654336802631,8.965303119664098,7.715977544582563
CPRT,556.2512738140385,23.58497983492966,18.219260644957668,19.04097570395058
PNW,1691.524113266523,41.128142594414875,23.65472236326679,23.749606366201892
VRSK,415.2591569255782,20.377908551310615,12.760795797278105,14.078353039674004
MSI,962.3252579161067,31.021367763464376,21.907862412460936,22.734448806481378
CVX,8.475134017573723,2.9112083432096925,2.0853301041257253,2.1162987249967795
FTI,10848.133978885435,104.15437570685849,61.869575223431596,62.757727701558245
KMI,285.52035712579686,16.897347635821337,13.152240043471977,13.193849629976123
GIS,2.1090351476565896,1.4522517507844808,1.2823425895409675,1.2490822908406702
NFLX,11622.832361662753,107.80924061351492,67.7477540724144,60.5023884924446
IT,1444.675408787341,38.00888591878669,23.699029405421886,23.262287552659
RF,493.79140527174116,22.221417715162577,12.868611761183558,12.490595786210742
TSCO,9754.345906325623,98.7640921910672,72.65747558591912,85.04459228444193
JNJ,2.2754863164100927,1.5084715166054985,1.3276871151982292,1.2232281432423182
TFX,136.79177411232916,11.695801559206156,8.89154638841975,7.960597071899268
WAB,117.01581269962237,10.817384743995305,8.57358683232771,8.150606011556143
HD,684.616172257443,26.165170977034396,18.549583809812148,17.94505876427056
SYY,1212.7064368547005,34.8239348272808,25.276305835523882,26.989942340156656
AVB,12.251011735944742,3.5001445307222303,2.538222259127822,2.415915435586339
K,433.48006949702784,20.820184184992886,14.693947587879551,14.164361012303537
NEE,20.791431073179467,4.559762172874751,4.098635786188692,3.659116956500025
TGT,98.6871725411766,9.934141761681106,7.767939796043695,8.560448909167834
FANG,2274.3617729562075,47.690269164224766,34.78401820967994,27.835770397050865
POOL,380.3526625333134,19.502632194996483,14.3562506692858,14.449588169556815
LKQ,1016.9695085081062,31.889959368241694,22.055563518098168,27.471720372842636
