,mse,rmse,mae,mape
STE,630.4183856145303,25.108133853684354,15.55915639531276,14.394818353175312
REG,4.6593104734656885,2.1585436000844846,1.6113806999915745,1.4411251272497307
WFC,302.7450426871866,17.399570186851932,12.185417819899042,10.860184941975815
JBHT,369.7030836068415,19.227664538545536,11.98214038269778,12.0464332938001
SJM,289.8077499283178,17.0237407736466,10.940545444899666,11.85347484865538
PFE,3165.2323801739685,56.26039797383208,37.61106352302791,39.59946531519333
EQR,36.672300701243884,6.055765905419717,4.540117714420515,3.7188743817886176
TSN,1586.9396828728266,39.83641152102968,21.156965360503882,18.68006978861442
TDY,2248.879528192399,47.42235262186387,25.069763438412807,24.14958724086937
GOOG,106.22574163462518,10.306587293310292,6.3780024630546945,6.369819561086708
CMCSA,2917.7261311299544,54.015980331101595,29.3417682397453,27.836387740984843
MRK,1406.2101937106577,37.49946924571943,23.96491903325708,20.407127022904945
TXN,778.6553083129736,27.904395860024877,16.114389227671,14.536031237995488
XRX,783.1935396890391,27.985595217701537,15.483971434517247,14.30931503412939
HRL,623.760233001571,24.97519235164308,18.501422451324462,17.49525751797364
BSX,23817.046508525214,154.32772436774027,96.67534293315848,93.87709206441629
EMN,474.8682282479632,21.791471456695238,12.69177971648848,12.538248507125676
LVS,8130.3448121124065,90.16842469574594,57.90093314771952,61.308787852251555
ADI,3029.5350439878594,55.0412122321798,29.24436200930799,28.61835460557098
NTAP,1038.7092284264368,32.22901221611418,17.517596794308517,18.362385179126974
NWSA,26.3380036415922,5.132056472954306,3.3993211085342248,3.5687039119914017
CAH,298.8465818272431,17.287179695579123,12.006100868700134,11.239817905089387
MGM,393.1490478810386,19.827986480755897,11.311017014953757,11.052832045629494
ADM,1178.435096180981,34.32834246189264,20.470965540739865,18.65534896477064
MSFT,35.13776503473847,5.927711618722563,4.288337946031194,3.679195737116347
V,27.07856366746988,5.203706723814274,3.798004319196723,3.700778017315046
FMC,1773.938188198913,42.11814559306847,28.940877201453628,32.104733190549304
CDW,46.82471597632078,6.842858757589607,4.414278056996229,3.749896151293627
GS,52.42561855220327,7.240553746240909,4.942149396713394,5.053962075578063
TPR,171.967658622757,13.113643987189716,8.979275417385942,13.184552444918593
MA,87.46805275357573,9.352435658884573,6.291776837071945,6.858241425675449
SNA,174.9716415842707,13.22768466453108,8.807759116358785,7.683375935591076
IPG,440.76030481055807,20.994292195988844,15.680539929795312,14.888771092325518
COP,5.715036802451446,2.3906143148679266,1.6785067938963163,1.7107277209009748
EBAY,240.10931102169928,15.495460981258327,9.229286325388673,9.524235932301695
SWKS,19499.092709259483,139.63915177792896,88.34197720599313,55.52458120109525
COST,8.01178570515134,2.8305097959822256,1.7649716556789472,1.8645162502217971
EXPD,17.63830482470947,4.19979818856924,3.296148884273738,3.534166446696991
GL,56.72633958154571,7.531689025812584,5.5009732533923295,5.347455677269185
TRV,1632.6606279949995,40.406195415987874,21.608422650022373,20.729180225771145
DPZ,4305.412726334408,65.615643914652,34.33017961459701,31.940132932889995
DLTR,87.10804120700648,9.333168872735909,5.754736747651443,6.2979877103629285
WBA,1172.9143135082493,34.24783662522714,22.704539060359384,21.23429657771746
F,7334.069317641279,85.63918097250392,54.29245154627912,57.85238270831916
J,710.5887378890473,26.656870369363453,18.85241695737887,22.30180268582111
WMB,613.6719651861721,24.772403298553254,15.218561845466983,11.556724793959111
DUK,438.36106826331854,20.93707401389503,11.943298249415081,11.326805847744
OMC,3212.6118836849705,56.67990723073716,39.212380312292446,40.248304555605024
GM,17692.48006989317,133.01308232611245,84.79556698716732,99.73720181571453
EFX,392.55991334727645,19.813124774938366,11.717148043725361,10.64318267607464
IP,165.6613727213826,12.870950731060336,8.315260058348676,8.085590985517419
FITB,49.366023765955916,7.0260959120948465,4.9303496530321445,5.00045908517233
STZ,585.5605972408205,24.1983593915129,14.18321902465965,11.650871856198405
SWK,341.5926878002803,18.48222626742461,11.479748220202122,11.513204441124904
HSY,891.9427969209893,29.86541138040776,16.481758682656473,17.253209935622245
AME,423.91188871901903,20.58912063977039,12.253191070440103,12.337809258399798
MSCI,139.9344718658029,11.82939017303102,6.774601056347436,6.631862042129612
ROK,139.1713465300756,11.797090595993387,7.606482712682936,7.593519131346167
ETR,421.60503695900513,20.533023083779096,11.218258497400727,9.324836362792697
IFF,6.0180627370666535,2.4531740127978394,1.6489519616379473,1.5631427330895937
USB,127.21215591259498,11.278836638261723,7.026317184187673,6.593037473303994
DFS,1215.1173136392056,34.85853286699263,19.596531952074447,17.564076589072773
ES,188.73833671895912,13.738207187219121,8.896543703975246,8.411112013022956
CHRW,74.57644848342508,8.635765657046576,5.824364317451032,5.222156992742623
PKG,186.12366293689448,13.642714646905668,9.304016792776483,8.443666720293932
ORLY,124.50807069548239,11.15831845286208,7.323602501271819,6.183667499277001
MCK,755.8526940847286,27.492775307064374,16.6443556971601,14.39049496548361
CPRT,75.63478620151756,8.69682621428746,5.678595012006035,5.986737280193005
PNW,1552.9868705964134,39.407954407662594,20.798052231781693,20.82912421357158
VRSK,223.1736659518426,14.938998157568752,10.025820093452833,11.00707966830929
MSI,120.43154731911605,10.974130822945208,7.543625795172457,7.912127255235723
CVX,127.39291637297666,11.286847051899686,7.178336206789043,7.242637179570221
FTI,194814.838177602,441.37833904440987,226.8079619302231,230.31911179262264
KMI,656.3018644573448,25.618389185453186,19.134957665470754,18.627478359066295
GIS,74.75355607688573,8.646013883685692,5.674005602023973,5.629818695083994
NFLX,1035.4086783596342,32.17776683301118,18.966640564282613,16.79795824709548
IT,1267.4818572665408,35.60171143732476,20.213712613204763,20.01153662281881
RF,58095.76369217694,241.0306281205294,121.41040939847038,118.03679911315896
TSCO,15.543678946781801,3.94254726627111,2.852063876584624,3.1153649829985426
JNJ,2295.7501362746016,47.91398685430593,33.13247987346758,31.178320085646206
TFX,3.2528572815989687,1.803567930963225,1.420519905639174,1.276453290879228
WAB,2102.7264935349795,45.85549578332983,30.164707699563003,28.264406641436015
HD,208.949236958264,14.455076511671047,9.205004996734994,8.991677337908019
SYY,8307.722080041804,91.14670635871492,57.05350604912946,60.72124362345511
AVB,188.76960649504818,13.739345198918622,8.25988539553297,7.255013452571243
K,1184.3429706816419,34.41428439880222,18.45917893557995,17.877101606722366
NEE,212.38783335102696,14.57353194496883,8.826232716727839,8.022107964685803
TGT,4660.436241339316,68.2673878315211,42.85073925488912,46.61371486475027
FANG,480.6923961714243,21.924698314262486,13.255128637851502,10.149421320720059
POOL,347.1060689855903,18.630782833407466,10.940278869300688,11.024896561533359
LKQ,337.42367515676426,18.3690956542984,10.997413076209606,13.526030512007107
LNC,37.6153948124946,6.133139066782572,4.380270883963523,4.220530257063535
NKE,14819.328437770151,121.73466407630224,77.61527510274222,78.5705499073074
HBI,99.61769477880685,9.980866434273471,6.610123053236943,4.6585859012709605
CAT,1608.4128887527672,40.10502323590858,21.468260536016977,18.395905824307317
TJX,975.6548892695042,31.235474852633573,22.282251867034102,24.14903329108816
TER,4124.775703607381,64.22441672454006,42.047492324408786,37.987546813537584
ABT,474.4435538707044,21.781725227141774,11.663631463430661,10.508045764762041
HAL,13.788623540438115,3.7133035885095786,2.3893258879521486,2.451275603841
PWR,1688.2950935451533,41.088868243663676,22.65048003092289,20.624764893700636
STT,10.477761707958978,3.236937087426782,2.564708914404473,2.597788139963303
HAS,1383.956323260377,37.201563451827894,19.918922421292233,20.239015210310782
OXY,92.89727143653953,9.638323061432395,6.508351304712892,6.622067783964528
NWL,130.02932170834904,11.403040020465992,7.7265195896474985,7.442309072901029
RHI,219.4961941052678,14.815403946746367,8.747105444760168,7.368013726408164
VTR,219.85607060280984,14.827544321390842,10.096050866423157,9.996263520372986
NOC,2011.93794720671,44.85463127935297,24.340056028859525,21.858979526738082
CE,257.8051805901407,16.056312795599762,9.550216582070355,9.063443574297972
EQIX,8.841951311738958,2.9735418799369477,2.280355664779163,1.9659216547100355
TFC,27.486647895117134,5.242771013034723,3.7855528482028866,3.6558064826484116
MTD,937.3001413950614,30.615357933479423,16.719717067452457,16.12681302619314
DE,108.74419895604329,10.428048664829067,6.771452697882857,7.0784857726673
ROP,1082.9116319379941,32.907622702620046,18.41568104038347,17.344784671613436
AZO,381.75647396633167,19.53858935456528,10.867876046029384,9.87166333579471
ADBE,342.8915891606315,18.517332128593242,13.276777708905398,11.74412808903707
TYL,534.0697055592074,23.109948194645686,14.53705093933356,16.51760222233727
DHI,383.45754856982705,19.58207212145403,12.35240293542281,12.175823742763692
LYB,101.08557959988156,10.05413246381216,6.695820323147068,5.5135121708563455
AFL,85.0460998098649,9.222044231615076,5.9319269489778215,6.433396554356645
EOG,22.642691723679473,4.758433746904487,3.4566803052897654,3.1481708399030537
ROL,5119.287428178469,71.5491958597612,37.92880667412515,38.29976264580627
DOV,520.2407503444307,22.80878669163335,13.662086252379137,12.845256472469286
GOOGL,96.8286682792077,9.840155907261211,6.123824060912104,6.052471014958992
GRMN,146.31893647698985,12.096236459204567,7.44803331233191,6.509306982604104
SLB,23039.143945086762,151.7865077834218,78.22748802358538,68.96382247501472
FRT,534.0695755052813,23.109945380837257,13.510695993093844,11.666789304576241
IEX,422.72874567316677,20.560368325328387,12.921337478532262,12.364871758499445
