,mse,rmse,mae,mape
STE,6799.306387016049,82.45790675863685,53.89887007759741,48.814324834845905
REG,41618.3120348828,204.00566667345984,140.3673516647609,134.85546083868232
WFC,31986.967664623066,178.84900800570034,115.04767720984928,102.25646094991592
JBHT,214.06032843028177,14.630800676322597,10.687049984307876,10.801609845709603
SJM,13131.55410272606,114.59299325319179,81.36802974916274,90.38132287548117
PFE,903.3666163898125,30.05605789836406,19.92023803009052,21.05330875910365
EQR,100.1544127621675,10.007717659994585,7.2978676914893095,6.121213393433522
TSN,332003.8179723978,576.197724719907,361.1867598733262,317.4916840931679
TDY,19.012663893960376,4.36035134982955,3.0645643427950535,3.0006835460216226
GOOG,124.78542036316892,11.170739472531302,7.896514762920836,7.860927792102265
CMCSA,7.215463849357213,2.686161545655289,2.0879508118373384,2.0045668930641263
MRK,239.25037934536104,15.46772056074718,12.378086523291374,10.566203876751581
TXN,2.2097819951097573,1.4865335499442174,1.3818122511600155,1.2638388954386208
XRX,270.57250972048115,16.449088416094103,11.935337961624782,11.409963025089747
HRL,18525.94951777327,136.11006398416419,92.05094571329911,86.90587266506056
BSX,3250.3805280943325,57.01210860943781,33.19812606748554,32.21953693710351
EMN,248.5021450426976,15.763950806910607,11.191670036378165,10.939120502606176
LVS,177.71601562030926,13.33101705123466,9.664124274258821,10.118224010207326
ADI,4572.757426004409,67.62216667635258,39.12713949980925,38.24793300453501
NTAP,303.22296713114804,17.41329857123997,8.941245783419445,9.402525901394784
NWSA,229.15653334943593,15.137917074334762,11.053931687791499,11.472513583751583
CAH,18.00399559541019,4.2431115464255935,3.493418659329875,3.1118597028710506
MGM,461.71265080960904,21.487499873405678,15.15574946280616,14.105429518986726
ADM,2433.9044293757975,49.334616947695025,32.46763268342584,30.07699461916699
MSFT,608.7346467883999,24.67254844535521,14.971922169254018,13.066045911118431
V,89.62872460907273,9.467244826720853,6.147718585213602,6.230324736310398
FMC,9029.077467586592,95.02145793233544,69.44541765508744,75.24671617115634
CDW,5844.63269311024,76.45019746939991,43.099443217223914,32.215925232035445
GS,83.1483939429499,9.118574117862392,6.324667740306834,6.69714519505076
TPR,93.61333197333353,9.67539828499755,7.47149587716553,11.046868407059863
MA,84.65436893291736,9.200780887126776,6.457614794111939,7.090224772565236
SNA,90.07406817496306,9.490735913245246,7.26257227527952,6.494305856855377
IPG,1899.520487861362,43.58348870686423,25.423792087572167,23.130084711588562
COP,14.291321204569305,3.780386382973215,2.8951041975768237,2.8325327146649832
EBAY,64753.876822915234,254.46783062484585,144.29358431655479,151.18925034139343
SWKS,135.0212843857365,11.619865936650754,8.499403067357196,4.745326737017502
COST,4.478506399736471,2.1162481895412153,1.7033773509656998,1.7570144616605183
EXPD,2041.0538728606955,45.17802422484515,31.2751261422472,33.966969753950245
GL,160.92185986253014,12.685498013973678,8.921457186921248,8.651688951184644
TRV,11544.786677110402,107.44666899029677,72.72613769409287,71.79173124496903
DPZ,257.88290747008494,16.05873305930717,10.728426378440156,9.840392031799817
DLTR,7100.560307742989,84.26482248093204,60.30375570488146,66.73347977679816
WBA,8932.923353759013,94.51414367045291,64.65870574568014,59.35452503411221
F,809.0104744610021,28.443109437278515,14.535541200031398,15.494972119169633
J,17520.173337526652,132.36379164079068,94.85083527718348,109.06434425335559
WMB,2010609.0914164844,1417.959481584888,939.3083122046153,709.007134117015
DUK,2515.219342212889,50.1519624961266,32.569649929101516,31.7903216782903
OMC,2044.8433702312611,45.21994438553923,23.562805381897228,24.26315434095993
GM,210.65891507069156,14.51409367031547,9.904480029401395,11.765466590647135
EFX,596.4704625026212,24.422744778231237,17.73780680575843,16.551624823772315
IP,925.991699853612,30.430111729233133,18.41606555546378,18.181904880237454
FITB,359.8296663100856,18.969176743076797,11.027939505427298,11.14578158807363
STZ,1115.6237636021556,33.40095453130278,19.90465531347231,16.39328348720491
SWK,1350.8390165490232,36.75376193737211,25.11346771924265,25.831135814144016
HSY,17075.590228164503,130.67360187950933,95.94862061749673,98.76993252557881
AME,114.78010349848527,10.713547661651825,7.646695304654444,7.78252940156218
