,mse,rmse,mae,mape
STE,6321.298452848932,79.50659376962977,52.26280366894788,47.35818830126468
REG,40182.797596230266,200.45647307141334,138.15301728378967,132.78282541614595
WFC,83172.37759377864,288.39621633055214,184.32682966080705,164.9564735223404
JBHT,247.06176415470173,15.718198502204435,11.104158987894271,11.21990903956001
SJM,10231.499631817525,101.1508755860152,71.75334188766386,79.77819095728789
PFE,10390.390959612096,101.93326718796025,68.11917083538884,72.01185328550329
EQR,105.76071527706075,10.284002882003717,7.476200884824343,6.271553411699113
TSN,194196.6904133256,440.6775356349874,270.25689823210985,237.64143926764976
TDY,18.276299964456438,4.2750789424824,2.996533510801281,2.933667926035371
GOOG,128.32879943730666,11.328230198813346,8.004290528291174,7.967108701322374
CMCSA,4.859118837932313,2.2043409078298923,1.7027095913843555,1.6632741729207048
MRK,256.43295190218623,16.01352403133633,12.824007376604321,10.949111783220786
TXN,2.1908836361802853,1.4801633815833593,1.3746238711380017,1.257629876577095
XRX,353.30325039238,18.796362690488284,13.476195560396443,12.878955682055377
HRL,17875.892367462548,133.70075679465148,90.66346857310153,85.62216188223438
BSX,3442.2142294666837,58.6703863074608,34.085535582704296,33.08051645839756
EMN,239.13596377699486,15.46402159132594,10.973138752843054,10.726309699792319
LVS,182.83470902082686,13.521638547928534,9.813755074220518,10.277784092488975
ADI,1933.7958792943648,43.97494604083517,26.456989366827145,26.237247662147574
NTAP,292.5415371344114,17.103845682606334,8.779979374300057,9.236856699573206
NWSA,228.63581665752045,15.120708206215754,11.058971172142058,11.479634505982057
CAH,18.02351627636794,4.245411202270981,3.495221666528799,3.1134300446225747
MGM,460.44345978548694,21.457946308663534,15.206215763210306,14.155399548006349
ADM,2630.297442483111,51.28642551868,33.63839530868371,31.15567414681164
MSFT,617.7663511268677,24.854905977027304,15.076437359145181,13.160111391577502
V,60.74554976100361,7.793943145866771,5.151976307511152,5.2041106552184875
FMC,9603.651187204257,97.99822032671949,72.04702765120645,77.92161319370219
CDW,5771.037356010179,75.96734401050348,42.85857620866021,32.03791052845331
GS,86.45621747947591,9.298183558065302,6.450367999144571,6.830317682258901
TPR,95.18326054519751,9.75619088298284,7.530404039985957,11.131370072964774
MA,79.48391071084069,8.915374961875731,6.254530824616761,6.867925613767297
SNA,90.14818821639157,9.494639972973781,7.265833997920782,6.497307572243608
IPG,2010.7532631426848,44.84142351824577,26.12807928869758,23.774840145820832
COP,13.695319569799699,3.700718790964763,2.859214416237403,2.794497318475349
EBAY,69231.62795548835,263.11903761508466,149.20957964891957,156.33473936772873
SWKS,130.4064700445859,11.419565230103373,8.369617186755768,4.66595881357318
COST,4.291684203858033,2.071638048467452,1.5702807350884995,1.6434737227887242
EXPD,2179.2367401760507,46.68229578947516,32.14840496428035,34.91298566014375
GL,168.24993486495399,12.971119260301094,9.151616138220929,8.876899229519802
TRV,11636.690559836388,107.8734933143281,72.82954028938723,71.8819798363012
DPZ,257.594634824506,16.049754977086284,10.722468725622962,9.835155832203666
DLTR,4109.755618070397,64.1073756916503,47.19103088827147,52.23537272352381
WBA,12046.898945137027,109.7583661737775,77.96058767756881,71.43397498789945
F,652.054546087171,25.535358742088803,13.485809800436055,14.43916495443813
J,16198.199830365635,127.27214868291348,91.35004028628958,105.02426174646656
WMB,2059323.0173479852,1435.0341519796611,950.994146901924,717.9592691044824
DUK,1948.6723864098444,44.143769508389795,28.82667813187951,28.147260664719763
OMC,2209.335703726745,47.00357118056824,24.58131147417385,25.311343863917834
GM,223.7597011336626,14.958599571272124,10.23858453951036,12.158560833038667
EFX,576.4704872754278,24.009799817479273,17.454985616333644,16.273560711886557
IP,910.3314533235293,30.17169954317339,18.24002433007903,18.0058233273047
FITB,400.6209615135978,20.015518017618177,11.671140652399878,11.793509343555066
STZ,1009.1634193158388,31.76733258106256,18.97929132126018,15.6224514412894
SWK,1020.9757732616383,31.95271151657772,21.186941078734794,21.678725493635305
HSY,17141.68101270544,130.92624264335032,96.17520690145376,98.99733603413513
AME,116.64157181675155,10.8000727690489,7.7188970342252965,7.855772443188675
MSCI,5.569559764886201,2.3599914755960882,1.7547467795475196,1.767207061694004
ROK,20.499633670573743,4.527652114570392,2.8317128959556306,2.829151385569501
ETR,83259.24710730118,288.54678495401953,172.82912549813125,149.5016842643662
IFF,3.6226806034202035,1.9033340756210413,1.7909081005382643,1.6160601521135778
USB,3.4262978755078684,1.851026168239625,1.7462978167107295,1.662777617717907
DFS,1615.5502822684523,40.19390852191974,23.395189995928177,20.98795319973588
ES,3827.5913200405344,61.86753041814853,42.65070568049437,40.266126963844954
CHRW,1503.2556817613213,38.77184135118322,22.147503538005484,20.506854837064
PKG,305.8021598288036,17.487199885310503,11.586350070549038,10.504258359453946
ORLY,1139.9428149103323,33.76303918355592,22.8516345327942,20.04122688994754
MCK,720.6870899546498,26.845615842342855,18.90992123180077,16.67324453590646
CPRT,87577.88816885668,295.93561490441914,186.10356026660844,196.75205369061663
PNW,85.45904902892133,9.244406364333047,6.202521739389639,6.280591253604916
VRSK,1299.0896906352864,36.04288682438307,22.36365055057804,24.70412380385401
MSI,395.1460011927064,19.878279633627916,13.597522361888192,14.110661232081357
CVX,2052.246692575331,45.30172946561015,27.27040881879,26.87866313381007
FTI,327.99193262384443,18.11054755174024,11.915289699299368,12.456775336425663
KMI,4828.38534373314,69.48658391181092,45.48309262576924,44.0189554045527
GIS,11846.405568112012,108.84119426077615,74.12076241317907,72.06539458865792
NFLX,7643.687446886106,87.42818451098081,53.5491419969164,48.079667207862734
IT,10204.72163136164,101.01842223753864,70.00536549638193,71.25128554299756
RF,305.5449335093452,17.479843635151465,11.45351374714756,11.116835745654774
TSCO,1879.4308296896884,43.35240281333537,28.925116453925725,34.180175000243636
JNJ,1.3324946696410185,1.1543373292244423,1.052714316882023,0.996916421713091
TFX,1.6153861504410243,1.2709784224923035,1.2309321747508037,1.1297937925396244
WAB,228.29280289320803,15.109361432344123,11.924600055022625,11.378242616546538
HD,483.07967555240396,21.979073582669585,15.814473608251697,15.406673500755701
SYY,58456.634389193416,241.7780684619542,160.73363025801004,171.63880702306005
AVB,33.08349871949644,5.751825685771122,3.589860434186611,3.102750434500403
K,1.3094478182037066,1.1443110670633692,1.011928280811899,0.9920383330368542
NEE,404.02352315887117,20.100336394171894,12.684428276637176,11.337488535157386
