,mse,rmse,mae,mape
STE,6285.959541820375,79.28404342501949,52.13908233637188,47.24806974914007
REG,41005.31273059761,202.49768574133782,139.42595455110992,133.97515266896534
WFC,77934.14169633373,279.16687069982663,179.2289347875964,160.49193324832612
JBHT,241.55218112113366,15.541949077291871,11.004786832051568,11.1194982958848
SJM,10630.395313267158,103.10380843241028,73.15559387013643,81.3250805751922
PFE,11101.831322845628,105.36522824369351,70.48056494530623,74.50463086609308
EQR,105.58063259599378,10.275243675747733,7.470615827849016,6.2668484300400875
TSN,341544.72016791225,584.4182750119235,366.7279975219322,322.35690601355174
TDY,18.27586050407576,4.275027544247611,2.996493581940553,2.9336285823739447
GOOG,128.32878755614703,11.3282296744084,8.004290403216444,7.967108545338945
CMCSA,4.7668163447937,2.1833039973383688,1.6945070207067638,1.6546085385362914
MRK,252.6768172358382,15.895811311029021,12.754223944635955,10.884561096524825
TXN,2.2108540530244696,1.4868940961024997,1.3820273997133834,1.2640439033745599
XRX,288.1703800765745,16.975581877407752,12.303586197272464,11.764715684326054
HRL,19173.339962327336,138.46783006289706,93.39173095495977,88.14519520756171
BSX,3440.79162182471,58.65826132630177,34.07906903788888,33.07424390695685
EMN,258.66583174798774,16.083091486029286,11.302835708494003,11.046278708857054
LVS,182.83184691602364,13.521532713269737,9.813667706012552,10.277690414898512
ADI,1779.755549508124,42.18714910382217,25.136678840447683,25.006250699541837
NTAP,293.5220569877387,17.132485429374768,8.79513121708353,9.2520070082026
NWSA,228.63581592990906,15.120708182155658,11.058971154131704,11.479634487229378
CAH,652.7224375124315,25.548433171379248,18.218222742352047,16.994515412813705
MGM,460.4902396573892,21.459036317071398,15.205709338519446,14.154874428314807
ADM,2635.1747899586176,51.333953578100896,33.669818240142284,31.1850510649891
MSFT,617.7665407779217,24.85490979219039,15.076440820914415,13.160114026555625
V,83.5087148833635,9.138310286008211,5.927241282196222,6.0029973195662905
FMC,9248.103054357041,96.1670580518976,70.40276636498484,76.24352730929483
CDW,5762.761414500822,75.91285407953532,42.831112845269004,32.01752030782183
GS,86.32896137593048,9.291337975551771,6.4455593132614375,6.825215350948463
TPR,97.00790097354385,9.849258904787906,7.624545282842092,11.257353318115195
MA,81.57975848363535,9.032151376257781,6.337535416587276,6.9587511391492525
SNA,90.14818819828821,9.494639972020435,7.26583399712646,6.497307571508483
IPG,1965.3277761334962,44.33201750578803,25.84353096835495,23.514819337160205
COP,13.378507303322332,3.6576641867894777,2.8382712621344424,2.772400946215
EBAY,69233.20577067947,263.1220358895839,149.21123047750007,156.33647058840327
SWKS,130.39526604593564,11.41907465804194,8.369296092123525,4.665760203868312
COST,4.3543811444017795,2.0867153961194083,1.5891101230702234,1.6637183814399885
EXPD,1532.4680936564625,39.14675074200236,27.172960652523496,29.52364848651136
GL,168.31278940133996,12.973541898854759,9.154306382933546,8.879556178326588
TRV,11625.866203337491,107.8233101112069,72.79963462869715,71.85286201467616
DPZ,257.59350492118216,16.04971977702982,10.722436959118912,9.83512738143694
DLTR,4379.099300461497,66.17476332002629,48.518045436475205,53.69927543474992
WBA,8906.99906076491,94.37689897832473,64.54166638707517,59.24804192921862
F,702.4524618525844,26.503819759660765,13.773680537656256,14.728332233478547
J,16198.0222370719,127.27145098988971,91.34954383414724,105.02368227954702
WMB,2010406.197339817,1417.8879353953953,939.250878837489,708.9607783925373
DUK,5624.29281639096,74.99528529441675,48.77452604882508,47.63089984579443
OMC,2105.1425647082697,45.881832621510114,23.950266996486867,24.661836661179127
GM,205.59531041125186,14.33859513380763,9.847687053475498,11.696036209412272
EFX,566.3127658776906,23.797326864118386,17.282668549516384,16.109540091165606
IP,910.348693704682,30.171985246328788,18.2402206659183,18.006019625143832
FITB,431.34753063325434,20.768907786237925,12.124125322939056,12.249575395875292
STZ,1207.0821607635544,34.74308795665052,20.747872262357,17.095744527095
SWK,995.0891771133573,31.5450341117799,20.87074435547187,21.346264197200934
HSY,17639.460084321992,132.8136291361771,97.9864387279761,100.79444815480805
AME,116.64157279190067,10.800072814194387,7.7188970242099,7.8557724357849406
MSCI,5.54768323866262,2.3553520413438456,1.752984894074693,1.765196408510691
ROK,20.49963573361319,4.527652342397016,2.831713088688072,2.8291515786384247
ETR,112420.07880891177,335.29103598055195,199.99532885073504,172.9669674980088
IFF,3.6318056483481898,1.905729689213082,1.7928865888632344,1.6178151150266717
USB,3.2438259518789625,1.8010624508547621,1.6967185235047049,1.6160641664277922
DFS,1615.321323525234,40.191060243855645,23.438813798542235,21.031473971379096
ES,3827.8719368802676,61.86979826118934,42.65216560248212,40.2674993106237
CHRW,1503.2472806955238,38.77173301124834,22.147420035121538,20.506773748342315
PKG,349.8890750907285,18.70532210604053,12.299955998555538,11.159886573202641
ORLY,935.0324385656273,30.578300125507752,21.130480987146814,18.517545789974367
MCK,720.6862577945623,26.845600343344202,18.90989574080549,16.67322152399297
CPRT,87521.96801478924,295.841119546944,185.99459445882542,196.64063017882728
PNW,71.82881009037399,8.475187908853348,5.727969608959495,5.808504627593803
VRSK,1255.763665697324,35.436755857404954,21.94323207982502,24.23815040109542
MSI,469.02626777647686,21.657014285826126,14.811197981054432,15.370256356805944
CVX,2018.084864399636,44.92309945228219,27.06867301366279,26.683062965414784
FTI,327.9247192232004,18.108691814242142,11.913476010266969,12.455044507141205
KMI,4824.727863351677,69.46026103716913,45.46816843667591,44.004765477496974
GIS,11940.381978762513,109.27205488487215,74.36668343417767,72.29996316358648
NFLX,1143.6666563825345,33.81814093622733,23.105287702299655,21.302949522947873
IT,8882.512634216944,94.24708289499969,65.20790255295012,66.3663403886392
RF,325.0441348174469,18.028980415360344,11.789071890256528,11.441227903037667
TSCO,1704.7566459506331,41.28869876795142,27.598880019638912,32.5806277130756
JNJ,1.3325980694737054,1.1543821158843832,1.052632741195094,0.9968497942939241
TFX,1.6159915256350497,1.2712165533987707,1.230984265994025,1.129798715216714
WAB,228.29278169851935,15.10936073096805,11.9246022470121,11.37824476540432
HD,465.82049072527576,21.58287494114896,15.541119538010848,15.133197338263273
SYY,60154.64821563929,245.26444547801722,163.02694946289682,174.0884846908631
AVB,33.08349872171416,5.751825685963906,3.5898604342982945,3.1027504345965977
K,1.307021022681751,1.143250201260315,1.0134185445408874,0.9934586734231704
NEE,405.00024492591405,20.124617882730444,12.702777499058017,11.35397753382035
TGT,44.312429934024635,6.656758215079217,4.306726265699709,4.861972141039315
FANG,2817.3368960710754,53.07859169261253,34.79831387917503,25.908658788996483
POOL,407.8416347293606,20.19508937166064,12.9503993713997,13.057164783576216
LKQ,486.9784653747995,22.067588571812724,14.995965971603315,18.64484502245152
