,mse,rmse,mae,mape
STE,2444.447564594999,49.44135480137047,34.51623395394474,31.809791881500825
REG,59.04068539632924,7.683793685174612,5.030387662832269,4.83805693111287
WFC,239.19186936575375,15.46582908756442,11.047593043418615,9.884284138655055
JBHT,239.0805103088494,15.4622285039657,10.104751486152038,10.128753309464093
SJM,2048.650587218679,45.26202146633178,30.773983186395743,33.95432208255424
PFE,109.96651816549213,10.486492176390165,6.6773128603426875,7.022798510773372
EQR,47.54873888328837,6.895559359710304,5.346692768666186,4.632846630235091
TSN,93.96080201343491,9.693338022241612,6.4192082632430765,5.714720248875855
TDY,20.815170529111175,4.5623645765229215,2.9533944145111044,2.8789329226440414
GOOG,40.29649533119792,6.347952058041862,4.51892988844416,4.543499690745269
CMCSA,27.179681307186197,5.213413594487416,3.456757217673983,3.373242438585556
MRK,129.43675665684944,11.377027584428607,7.997488594360087,6.7921147623356815
TXN,116.36348883175377,10.787190961123928,6.790894498431345,6.080903878566834
XRX,916.2002030360552,30.268799167394388,16.793410210372695,15.560746345122114
HRL,2321.4122705014915,48.18103641995979,33.17499736293194,31.223841991647152
BSX,3969.4598693503776,63.00364965103512,39.881314946103394,38.812792744873086
EMN,9.675368472574608,3.1105254335199715,2.399740444051276,2.370484964313553
LVS,193.32033285278447,13.903968241217486,9.285810193698415,10.591667415501957
ADI,656.6153783831994,25.624507378351673,14.632675297428554,14.291026768635824
NTAP,133.9783662335795,11.574902428685068,7.263373783481584,7.676561891256341
NWSA,20.306910642734376,4.506318968152873,3.347380600926099,3.539776751825092
CAH,422.7270120312282,20.560326165487457,12.530869443404722,11.351197370038083
MGM,11.798238893818192,3.4348564589831394,2.3653401443725066,2.222972646557579
ADM,4395.435020549007,66.29807705016042,42.50339878311259,39.48885048553711
MSFT,83.36462741457493,9.1304231782856,5.375600281569126,4.543542080467046
V,71.50029689299535,8.4557848182765,5.09243007420397,5.0801961861477265
FMC,5148.402367829889,71.75236837784443,37.46881154768979,42.15599538874619
CDW,16.879438942275726,4.108459436610726,2.937480524728452,2.4226776071036884
GS,14.682845594650203,3.831820141218818,2.485227594724181,2.561641419772074
TPR,37.07322405419498,6.088778535485996,3.752813070864206,5.66482676674345
MA,55.24303852120318,7.432566079168296,4.795505826588586,5.2248378903479376
SNA,1155.8655310305583,33.99802245764536,18.60561658686166,16.4081212884544
IPG,105.1405918356689,10.253808650236696,6.540328868424036,6.316442729214772
COP,5.389501250801001,2.321529937519868,1.6478142259454291,1.6509406568254708
EBAY,6.694297765759396,2.5873341040073266,1.7142321589298724,1.7663672680468199
SWKS,15.814518759540437,3.9767472586952817,2.9539070973233796,1.9623203696640346
COST,1.111355703050333,1.054208567148993,0.9193649030176348,0.9245806218591877
EXPD,2.3124198114687844,1.5206642665193342,1.2979871000340744,1.4122958125232232
GL,108.6079334301482,10.42151301060207,6.886031229942311,6.7926218122937785
TRV,39.092519459204844,6.252401095515614,4.1565243147340585,4.179483795146602
DPZ,125.97275815846938,11.223758646659745,7.564386719641952,6.770834719191477
DLTR,25.09043019396489,5.009034856533232,3.218728279401519,3.5352403343540946
WBA,21.23738210893279,4.608403422979892,3.220802542623372,2.988858632731557
F,5144.959771470986,71.72837493956618,46.06166121161846,49.136092615271934
J,264.3522142992647,16.25891184241014,10.827562463116037,12.571415068469085
WMB,11144.736463181012,105.56863389843127,69.73328629736287,53.01453057350645
DUK,35.34368669497435,5.945055651125089,3.736187068006856,3.682941837380741
OMC,128.26413498533807,11.325375710559808,7.9838402869810015,8.160260879711176
GM,274.82935178887243,16.577977916165544,9.810415590462188,11.61529843466459
EFX,23.496072498556188,4.8472747496460515,3.553052697209494,3.197731614727618
IP,87.53614203949255,9.356075140757076,6.13078525362173,5.907127238249238
FITB,5.056387133987337,2.2486411750182236,1.515028151022469,1.501781512162187
STZ,57.50982692676305,7.583523384731074,5.443786941720466,4.39208145635203
SWK,280.76045561346956,16.755908080837326,10.81088431424032,10.906861089564773
HSY,151.63764896355408,12.314123962489337,8.075971592296854,8.364995433361655
AME,12.050229863643613,3.4713441004376984,2.4861536417626424,2.5240080755632177
MSCI,1.4124198498411316,1.1884527124968547,1.1244739712421896,1.111045596698729
ROK,6.650749128412165,2.5789046373241806,2.0833029166539925,2.0980737995649044
ETR,8.014044494024168,2.8309087752918085,2.114726571382978,1.8974419796512163
IFF,24.701801067149958,4.970090649792009,3.2278957225804397,3.0374575034929587
USB,18.344024046103073,4.282992417236233,2.765841098219796,2.6682546324602665
DFS,51.601599651909545,7.183425342544429,4.817339968556849,4.283943193887481
ES,222.35214038692268,14.911476801005415,9.748320984636921,9.227391966258283
CHRW,2561.196829111321,50.60826838680929,26.974990061122234,24.7707783697109
PKG,119.03808988613939,10.91045782202284,6.749356019646805,6.1083392523028035
ORLY,6.868545723694204,2.6207910492242994,1.8545505718676782,1.6629095251862926
MCK,29.26783059047562,5.40997510072603,3.681686447009149,3.173474235748518
CPRT,66.59388172790933,8.160507443039883,5.315178484742844,5.611815938103628
PNW,3.451837442464146,1.8579121191445376,1.4723218785617083,1.4765112025992029
VRSK,457.05268882321576,21.378790630510785,13.081036792782946,14.363059630084754
MSI,65.47039033604915,8.091377530189105,5.667660044028696,5.971726135546734
CVX,2171.6037552196126,46.60046947424041,27.528382909994267,27.2128380666365
FTI,3919.917346519611,62.60924329936923,41.04314233903435,43.41992005086999
KMI,2013.8444727619694,44.875878517996384,30.326564965971432,29.399601214233183
GIS,43.600793836531224,6.6030897189521225,4.283668140992752,4.1991290185278825
NFLX,1313.0493850215264,36.236023305842025,20.58332127849232,18.14803454908995
IT,80.59270387120564,8.977343920737672,5.652984326686513,5.722014669619338
RF,37368.07013152804,193.30822572132837,94.33539340665966,91.7910407590575
TSCO,2323.8839250396854,48.20667925754361,25.644001939208003,29.97906412474673
JNJ,12.957353515873564,3.599632413993624,2.450240055263085,2.3678180150342945
TFX,164.3373196797141,12.819411830490278,8.35635763151781,7.559528208833319
WAB,596.5938741566811,24.425271219715885,15.068999130944327,14.080395352904672
HD,72.67977859203855,8.525243608955615,5.8737818836490385,5.823505365221249
SYY,1377.8155119146074,37.11893737588143,22.8235379889136,24.23480738990036
AVB,5.203541536757827,2.2811272513294445,1.6729356144123342,1.5964539197311676
K,12.233479474287556,3.4976391286534345,2.4373230343402073,2.438917996114413
NEE,6.2511149514765485,2.5002229803512623,1.8386855695417623,1.6853676916134384
TGT,455.4641700374849,21.34160654771531,13.67051030023102,14.968785478579244
FANG,686.9197093414368,26.209153159563108,14.240431250843091,10.674698511428502
POOL,3531.954103911172,59.43024569956927,31.731603534354754,32.280361850467294
LKQ,24.1587023760034,4.915150290276321,3.4497982914702185,4.211841060782345
LNC,4.456796187290727,2.111112547281818,1.7597059197019456,1.7125298053469107
NKE,1010.8021911705125,31.793115468140464,18.238211464202855,18.11199770711256
HBI,180.32486391751561,13.42850937064556,8.290477019392954,5.793891529088851
CAT,438.6637278238385,20.944300604790758,11.608035549765395,9.968145412973636
TJX,1.1447094643771367,1.0699109609575634,1.0338193647143923,1.1046589917179122
TER,55.86348015128297,7.474187591389647,4.823000537077098,4.376906454628759
ABT,1734.2824792143513,41.64471730261056,25.118161175123284,22.81578017492355
HAL,49.33073978618143,7.023584539690644,5.013184889063435,4.697412167793871
PWR,8128.2606263722755,90.15686677326512,46.5111631176592,41.78980025897878
STT,62.41579768796495,7.90036693375472,5.25972706308176,5.3473924936217445
HAS,142.01957903449966,11.91719677753538,7.618153968820071,7.679580464405798
OXY,5.02798816377967,2.2423175876266215,1.6824560472490366,1.7354283675343762
NWL,1541.085377178003,39.25666029068192,21.688592943845737,21.076754450162493
RHI,34.4937593041266,5.873138794897206,3.8334327757257385,3.20722714561856
VTR,12.651448273920442,3.5568874418401886,2.4717477841124307,2.5544327309927954
NOC,3171.6579789544244,56.317474898599855,30.455155575968696,27.414228743098644
CE,48.17127005687902,6.940552575759297,4.540298083498171,4.440016982157019
EQIX,8720.550064595089,93.38388546529369,48.96749977671913,41.36205982214793
TFC,9.765001708414205,3.124900271754957,2.343734738743358,2.2766330070075296
MTD,36.93187573208243,6.077160170020404,4.475644782306348,4.306686543005592
DE,16.98605979031196,4.12141478018313,2.7188429811894714,2.8417119790844505
ROP,54.86479543832177,7.407077388438828,4.975691239774444,4.680054736068532
AZO,3.5769173889405788,1.891274012125313,1.745990455284239,1.5646880095608453
ADBE,4349.9809525946785,65.95438539319943,42.87227556309506,37.67289775110392
TYL,5202.686693385244,72.12965197049854,38.68030224088493,44.714484369686055
DHI,887.1093905364277,29.78438165442465,18.889944637099827,18.884608029591973
LYB,1109.5439578583466,33.309817739794774,17.764720870769054,13.586999717805243
AFL,329.34775654383685,18.147940834812,9.898444343362566,10.732352221864305
EOG,68.28174815860119,8.263277083494247,5.906220339076522,5.424184778963971
ROL,17.817599929976502,4.2210898983528535,2.7160102747603854,2.7624143344583647
DOV,42.800357438523335,6.542198211497672,4.422161288329827,4.190938343278945
GOOGL,39.6011433012262,6.292943929610862,4.488385120903337,4.462239378183296
GRMN,582.8286650658204,24.141844690615926,15.83621295685201,14.24370160046931
SLB,730.7198841634953,27.03183094360231,17.555638522822118,16.31037381618223
FRT,3969.3373257424223,63.002677131550705,33.95554605483149,29.58103967713573
IEX,2352.087963516647,48.498329492021135,25.70465796405095,24.505204475773294
RMD,1583.4044673445321,39.79201512043003,21.32010332995709,23.33561288959898
