,mse,rmse,mae,mape
STE,2464.181615298219,49.64052392247909,34.59368005193254,31.86706177121465
REG,64.6790964056179,8.042331527959904,5.254032978953667,5.050693121691187
WFC,227.12244815771086,15.070582210309954,10.92489205285487,9.765253004695223
JBHT,240.2324312326003,15.499433255206473,10.102984607381643,10.125725048298502
SJM,391.01569598179236,19.774116819261295,12.999616420221143,14.27615670541935
PFE,134.1748121946112,11.583385178548246,7.36672204417991,7.751373994233674
EQR,47.50499598732155,6.892386813529951,5.34466953846585,4.631067577742036
TSN,93.96080210885697,9.693338027163655,6.419208266580135,5.714720251821794
TDY,20.81584481183284,4.562438472114757,2.953433108336003,2.87897084535359
GOOG,40.296495341284,6.347952058836299,4.5189298889854985,4.543499691288446
CMCSA,27.179796787887422,5.213424669819966,3.4567645960041973,3.373249558489607
MRK,139.59865717180529,11.81518756397059,8.192371473407333,6.979683258420915
TXN,116.36173518374247,10.78710967700535,6.790849674854212,6.080863503674332
XRX,916.7386564332985,30.277692389501855,16.798461955802733,15.565673136406781
HRL,2321.412488652029,48.1810386838228,33.174994579033026,31.223839720015615
BSX,3969.3918855007064,63.00311012561766,39.881032552469584,38.81251671468142
EMN,10.362893231444698,3.219144798148213,2.4716815775243055,2.4409816077907625
LVS,193.57606902027248,13.913161719044039,9.290473153216224,10.596952147476156
ADI,659.2232981936097,25.675344168941724,14.475435120423024,14.140451159641128
NTAP,133.80773107692514,11.567529169054433,7.257759622187334,7.670541023304187
NWSA,20.306444951002334,4.506267296888006,3.3473477414849055,3.5397422979098283
CAH,422.7272026429025,20.560330800911316,12.530859471884748,11.351188775667524
MGM,11.83427181441962,3.440097646058847,2.3681339473227228,2.2255451521614718
ADM,4395.435038997845,66.29807718929597,42.50339886992566,39.48885056535878
MSFT,83.364440725081,9.130412954794597,5.375598624607014,4.543540590641703
V,72.09243798532218,8.49072658759674,5.110741013335845,5.098595901802132
FMC,5148.402365620774,71.7523683624504,37.468811541541946,42.15599538159148
CDW,16.843806328767275,4.104120652316069,2.932996840674596,2.419893158492822
GS,14.648515391267432,3.8273378987577558,2.4825470263822247,2.5588953586100507
TPR,37.07322578764925,6.088778677834271,3.7528131449894437,5.664826882872804
MA,55.24140989599161,7.43245651827117,4.795384172751147,5.224707410375584
SNA,1355.4377344739194,36.81626996959251,19.955138975220276,17.607002291581445
IPG,105.14061198051662,10.253809632547146,6.540327856770193,6.316441757510189
COP,5.389501294370871,2.3215299469037376,1.6478142309047368,1.6509406612377624
EBAY,6.694422051838656,2.587358122069432,1.714246627332522,1.7663822988958875
SWKS,15.809768134330952,3.9761499134628906,2.953530680869573,1.962075865899187
