,mse,rmse,mae,mape
STE,888.0325268889143,29.79987461196631,22.79224394670399,21.715874450743208
REG,278768.1189496375,527.9849609123706,369.8118992121891,357.6399766398836
WFC,158.61110138516005,12.594089938743492,8.907141945897537,7.996946362408362
JBHT,14.931386437861825,3.8641152205727285,3.0314293809760815,2.9972462994681175
SJM,79.41578085554826,8.91155322351543,6.933773621133786,7.652963715671506
PFE,31.230784242094632,5.588450969821121,3.8516707366413345,4.048928323662427
EQR,172.91593657767848,13.149750437847803,10.057805330330952,9.001928298509531
TSN,570542.8438996554,755.3428651279202,517.4509655999219,453.1863934314342
TDY,1.2875186575158568,1.1346887932450276,0.9933157357134841,0.9533916383940191
GOOG,80.54584584376552,8.974733747792495,6.473727395569638,6.452489901972317
CMCSA,1.6330507919507662,1.277908757286985,1.1793120186391695,1.1497735904260546
MRK,5.396944477138409,2.323132470854473,2.125530077446671,1.819304011775489
TXN,713.1178104818844,26.70426577312854,17.3719308165287,15.744060584405945
XRX,1972.598787404447,44.41394811773039,26.124562642306,24.553689596007022
HRL,1305.3712289589819,36.12992151885999,27.526429460634613,26.341762781994017
BSX,4689.475128884263,68.47974247092539,40.2645529890036,39.06557255918591
EMN,763.523455607262,27.631928191989463,16.974338280099303,16.47797778189453
LVS,2.0407319563686173,1.428541898709526,1.2536432427891764,1.38932088375166
ADI,2.5548790752589294,1.598398909927972,1.4181726691989167,1.380958581932257
NTAP,2388.4602244914972,48.87187559825689,37.37017541082105,41.16127044681275
NWSA,15.127050364439116,3.88935089242911,3.004457852729843,3.1959097837733865
CAH,11249.847921257335,106.06530026949122,64.96799618674719,60.76246669560467
MGM,1444.7572981154033,38.00996314277881,29.795474077093868,27.944845069619294
ADM,417.70244478206246,20.437770054046073,15.822184941786633,15.504536175758291
MSFT,49.597021538327375,7.042515284919684,5.22681561467994,4.546197191316798
V,57.18508837974151,7.562082278033049,5.35251670152284,5.471075675222395
FMC,665.3640037349348,25.79465068061467,17.59178138073531,19.308972531925594
CDW,19078.408332094958,138.12461160884746,87.85640363007123,67.37220834060061
GS,5.695304212155035,2.3864836500917064,1.9537594904152278,1.963143281959794
TPR,1120.1081285178589,33.468016501099356,19.97219652681446,29.80890125389512
MA,267.4256458724584,16.353154003814016,11.48770909319317,12.454608182836118
SNA,33.93406959487009,5.825295665875689,4.56267567330349,4.030996236764214
IPG,3660.433036062106,60.5015126758175,36.605277057591074,33.54097504865551
COP,5.931365979021208,2.4354395864034912,1.9612495768583345,1.905932509993094
EBAY,85258.83301217455,291.9911522840625,205.62397844613042,214.3318698542572
SWKS,9.403157818224361,3.0664568834771444,2.221077745430542,1.3619088645165829
COST,437.71916160326305,20.921738971779163,12.768818507965737,13.255359598495808
EXPD,2760.486158255281,52.54032887463954,32.2387614817809,34.81239422835561
GL,213.83066199533292,14.62294983904865,10.48028349232263,10.317099037635794
TRV,46.79373045692838,6.840594305828141,4.857484668182556,4.8745096085033515
DPZ,191.85402953735422,13.851138203676774,10.736265007606393,9.745269877429104
DLTR,3.784312956281783,1.9453310659838297,1.84509513547539,1.96687186123611
WBA,1066.9992855850676,32.66495500662855,20.980030323980053,18.79550482985321
F,3351.0629644774335,57.888366400144974,42.744002584656656,45.91598300615974
J,5331.554681420829,73.01749572137372,53.388350536533565,59.588490787251054
WMB,2409.8601822242294,49.09032676835864,36.503040920382404,29.73465730530946
DUK,8638.397003236887,92.94297715931467,64.82973530530693,63.95862973020648
OMC,126.28221835315587,11.237536133563971,7.831361085269289,8.054668975164505
GM,271.8661889898513,16.48836526129414,12.33382607034267,14.495966221780913
EFX,2.503860602198045,1.5823591887425703,1.3698447442310777,1.2589283199284043
IP,126.16357839551249,11.23225615784792,8.57107981109964,8.3957659814271
FITB,7.576897676328708,2.7526165145782127,2.0960054645368724,2.0786620131381235
STZ,10126.83486319821,100.63217608299152,55.95646682096163,46.232505769538655
SWK,5920.529246752952,76.94497544838748,43.98764673279511,44.63779155439417
HSY,12617.43395962577,112.32735178764685,78.44869185915854,80.693050999232
AME,115.1155638623255,10.729192134654198,7.4772017826613615,7.589392069879952
MSCI,5.236455237464982,2.288330229111389,1.862698398267916,1.8571742651347598
ROK,107.48119299870133,10.36731368285446,7.402807028438818,7.27808860894772
ETR,2115.9225142648247,45.9991577560375,34.39198690595211,31.130227604010585
IFF,14.728320072765674,3.837749349914045,2.5473374758586727,2.412118728446022
USB,3.7138083914909394,1.92712438402168,1.7336170731549687,1.6595666997426664
DFS,12854.441667849076,113.3774301519005,68.42197487600104,62.000213343815325
ES,2638.6882703455485,51.36816397678185,30.63105965819248,28.536436768185187
CHRW,91.9390317605804,9.588484330726123,6.8630530456587655,7.035071994855793
PKG,2060.910869858624,45.3972561930633,29.2486478483833,26.80391199113939
ORLY,9226.262145796298,96.0534338053372,61.71400499865239,54.545763312917416
MCK,204.75387045128872,14.30922326512829,8.130902695517781,6.991154953851449
CPRT,577.7145103280413,24.035692424559798,18.529539241322095,19.365967635645976
PNW,1498.7098531638117,38.71317415510916,22.35560778266719,22.425482775211993
VRSK,144.25110491847497,12.010458147734205,7.2669458331933106,7.991554995098096
MSI,976.2426858652858,31.244882554832653,21.96721320395686,22.78533120545545
CVX,7.277731141741196,2.697727032474041,1.889859982542968,1.9179481980104087
FTI,10052.017096281445,100.2597481359366,59.65483731453752,60.53793480762034
KMI,241.44989109497814,15.538657956689121,12.003105123067819,12.077592242159696
GIS,2.0544525321786566,1.4333361546331889,1.2654021774200395,1.232857951025562
NFLX,11860.623643158815,108.90649036287422,68.81704568009744,61.51480567269641
IT,1316.747599772718,36.28701695886172,22.606629585341196,22.1746864686871
RF,549.6121647786385,23.443808666226538,13.571417058830582,13.171454235771701
TSCO,10681.171914814317,103.34975527215494,75.54727884206804,88.48844735102831
JNJ,2.264059036567967,1.5046790476935494,1.3263690308250984,1.222163248625508
TFX,134.6179152897585,11.60249608014407,8.82723610781508,7.903036872530485
