,mse,rmse,mae,mape
STE,0.005197926669655295,0.07209664811664475,0.060781679207421856,0.05564267987684632
REG,0.07706882605063081,0.277612726744706,0.2379016187716455,0.21475743840643308
WFC,0.006954656431218203,0.08339458274503328,0.06453010666633767,0.05606922318489678
JBHT,0.012165830678222469,0.11029882446437254,0.1008417984131211,0.10241409404384151
SJM,0.003342263393811665,0.05781231178401072,0.05021606448489021,0.055418690126665136
PFE,0.03260458638918944,0.18056740123618506,0.15616941042422255,0.16454085383979078
EQR,0.1054929978920672,0.3247968563457276,0.2907818282672113,0.24129526829444473
TSN,0.05041556440751548,0.22453410522126807,0.18498916745661387,0.15965524681395826
TDY,0.00355518168428452,0.059625344311664316,0.04745318376221062,0.046051486226935556
GOOG,0.2663962943338774,0.5161359262189346,0.44066510743275805,0.4460071005963559
CMCSA,0.07048785293660202,0.26549548571793463,0.2331323666371572,0.22333528476116282
MRK,0.013473958484460835,0.11607738145074102,0.11049557991570698,0.09460638504811346
TXN,0.006075321596777307,0.07794434935758529,0.06004205276260171,0.05533918292529294
XRX,0.046840381506709404,0.21642638819402177,0.1948139374834531,0.18655671175199262
HRL,0.0020059641929710877,0.04478799161573432,0.035075035352145505,0.03256440658978372
BSX,0.004346528671483991,0.06592820846560288,0.055082040575267416,0.05262509456993648
EMN,0.005240562101068929,0.07239172674462828,0.05975378452052931,0.05893847822436936
LVS,0.22174696674552907,0.47090016643183413,0.38552823010343773,0.45996452195705395
ADI,0.03878482151215446,0.1969386237185445,0.1623922340654862,0.16120952445104594
NTAP,0.017058272103133314,0.13060732025094654,0.1024874664086574,0.1050089204232023
NWSA,0.07985554917748434,0.2825872417103864,0.24317197031787005,0.26780869648153494
CAH,0.20437117723251932,0.45207430499036255,0.40110777930765995,0.36113529248973625
MGM,0.04994683915664925,0.22348789487721532,0.1694604432548163,0.173202926069685
ADM,0.11923575319375765,0.3453053043232288,0.318372630504621,0.2930815278667501
MSFT,0.0029992852510326465,0.05476573062630176,0.04519077589136294,0.04169266736545553
V,0.06220454536312136,0.24940839072316986,0.2166985869980557,0.21807109559952526
FMC,0.0718305448951089,0.26801221034704537,0.21050190062836643,0.25890545679041144
CDW,0.09232769034128382,0.30385471913610923,0.2718104809187324,0.20379424380499325
GS,0.038484799464421036,0.19617543032811482,0.18432928365890416,0.18622938295510166
TPR,0.08775932338431885,0.29624200138454176,0.26357823840192945,0.39704591943245
MA,0.22263262043327592,0.47183961303951144,0.4269631440974112,0.45876933762348515
SNA,0.0037962970627370644,0.061614097921961535,0.0528582822967667,0.04844801657911759
IPG,0.005267149345214333,0.07257512897139304,0.06103999070568793,0.05613875104640162
COP,0.011200426865958488,0.10583206917545593,0.08410099521611912,0.07964042189352066
EBAY,0.02797638293004187,0.16726142092557347,0.14930184426293308,0.15356068552213317
SWKS,0.2613474028724693,0.5112214812314417,0.42672670905948107,0.2266724450726015
COST,0.005588734105204952,0.07475783641334835,0.0651104939260278,0.0684693357608957
EXPD,0.005517723322789494,0.07428137938130588,0.05933969314033583,0.06674144693963528
GL,0.020934538313895447,0.1446877268944932,0.12379287773655993,0.12118585401583576
TRV,0.022731008063281898,0.1507680604878961,0.14406563946001988,0.13995429003020138
DPZ,0.03037694653433419,0.17428983485658076,0.1340626439572232,0.112658948975777
DLTR,0.030892548139529838,0.17576276095786,0.12536293970606646,0.12447648128186507
WBA,0.012970522610617145,0.11388820224508395,0.09295735292141366,0.08077258763152606
F,0.09702840109620885,0.311493821923018,0.2721532793648569,0.29595433964087
J,0.06898609295125384,0.2626520377824125,0.2161104922143903,0.2772482078728696
WMB,0.07718614629767824,0.2778239483876043,0.22480506891421032,0.15939611606868254
DUK,0.0021871127528426677,0.0467665773051938,0.03628497310917114,0.03437284908332452
OMC,0.11366991650663175,0.33714969450769455,0.29784485216070344,0.3046215803686172
GM,0.14640579383939611,0.38263010054019025,0.34369024013970717,0.41695996745664704
EFX,0.06819643301547224,0.2611444677098717,0.23371931612010316,0.21519845846701158
IP,0.032630526354051746,0.1806392159915774,0.16257485496385973,0.15968496115011122
FITB,0.11195678540795609,0.3345994402385576,0.27686671591944445,0.2833274401655139
STZ,0.04331414945730739,0.208120516665963,0.1702828931129148,0.13804047693257532
SWK,0.2595200443177118,0.5094310986951148,0.45131952162605804,0.4537187117946489
HSY,0.021742346103271998,0.1474528606140688,0.125206832379661,0.12977518393707443
AME,0.09701723199738908,0.31147589312399293,0.26727957042574874,0.27261599088129285
MSCI,0.011328885074016425,0.106437235373794,0.09463138689795242,0.09380621746519628
ROK,0.05131832882482094,0.22653549131387987,0.1783657859137736,0.18361325330376285
ETR,0.06528181310346894,0.2555030588925873,0.2182673855098194,0.17551290782060114
IFF,0.006207598224303168,0.07878831273928366,0.06433505984689722,0.05725620613983121
USB,0.07657223795084388,0.2767168913363329,0.24163774380316166,0.22819615849770986
DFS,0.0011373651797629478,0.03372484514068149,0.02774361159324109,0.025654186978183568
ES,0.00788731109368159,0.08881053481249615,0.06946358349213996,0.061215881345968365
CHRW,0.03887743650040442,0.1971736201939915,0.15779120223605442,0.1406533626939636
PKG,0.029514894277948036,0.17179899382111652,0.14322209878496192,0.13135150325776648
ORLY,0.04422094286354897,0.21028776203942293,0.17970492004048824,0.14869991520676437
MCK,0.13568029448217334,0.36834806159687244,0.3235123287311396,0.27842364415457055
CPRT,0.04469652749589399,0.21141553276874903,0.17339161245693438,0.18512632669650322
PNW,0.03889141155848908,0.1972090554677677,0.15873994364854654,0.1505635838220283
VRSK,0.02179536236460876,0.1476325247518607,0.13535963030395615,0.1512562091205097
MSI,0.06913160328725988,0.26292889397565244,0.23023641578688542,0.24079494616017535
CVX,0.006331103799984086,0.07956823361105916,0.06060269662446953,0.06416723970389625
FTI,0.08301229043729906,0.2881185353935062,0.2561432870867681,0.27205973261306426
KMI,0.011113509906076515,0.10542063320847829,0.08626433675838951,0.0805382209599316
GIS,0.004859358097820635,0.06970909623442721,0.055498128217339585,0.05459436041606245
NFLX,0.024913565237630785,0.15784031562826648,0.12405045355328591,0.12382893578190131
IT,0.06745285942165197,0.2597168832048698,0.23088626445524071,0.22028459321369476
RF,0.013012062221879919,0.11407042658761261,0.09119576739094043,0.0897062910321703
TSCO,0.10237515756226517,0.31996118133652585,0.29331318715029586,0.33781891002950487
JNJ,0.001985820779165867,0.04456254906494765,0.037005752627432546,0.03517601711649874
TFX,0.04821892341989986,0.21958807667972288,0.19142572965816754,0.17292503754306554
WAB,0.049625257312654394,0.22276727163713791,0.18702152953259915,0.17323902866374954
HD,0.004933210012455763,0.07023681379772123,0.05947615451763243,0.05903343529042096
SYY,0.042460431386353,0.2060592909488747,0.18119950834167933,0.18861578272153576
AVB,0.15014094307028922,0.38748024861957703,0.3401256729426376,0.29875609130888225
K,0.008865308183532481,0.09415576553526864,0.07643269990300253,0.07586980627219982
NEE,0.0029152887154012485,0.05399341362982386,0.04352715542919437,0.039089028345071455
TGT,0.009774448430062267,0.0988658102180034,0.0668484811475891,0.06749847808816724
FANG,0.07010432050924845,0.26477220494086695,0.20437090699601876,0.17527875763484316
POOL,0.0017997317894774992,0.04242324586211549,0.036103729450729836,0.035883712771141114
LKQ,0.00679071100256554,0.0824057704445844,0.06862077569681344,0.0854631676110834
LNC,0.1525694336909443,0.390601374409953,0.3533750773600484,0.34725423147017487
NKE,0.027520132401951593,0.16589192988795926,0.15442147232163417,0.1548920206453903
HBI,0.012183450490385698,0.11037866863839996,0.09254134853401347,0.06737414622838013
CAT,0.008500136261450185,0.09219618355143658,0.07925975527868614,0.07051444351737628
TJX,0.10560996797897125,0.32497687299094263,0.29885218259982793,0.3209062042127445
TER,0.007446416066474317,0.0862926188412098,0.0709894012671494,0.06636003366373626
ABT,0.04421017137590914,0.21026214917552122,0.19158144545710756,0.17459366373067853
HAL,0.03390056912030143,0.18412107190732252,0.16039613517426704,0.1560370070214021
PWR,0.051855874430303144,0.22771884952788415,0.17260110209865812,0.16867734343584861
STT,0.04760430308149594,0.2181841036407005,0.20585071123935575,0.21346400549867695
HAS,0.10070297400526472,0.31733731896085704,0.2821249640952187,0.28024714702727
OXY,0.007158381898144909,0.08460722131204233,0.06242022531374316,0.06737570866323968
NWL,0.11211124192916726,0.33483016878585964,0.3088109753554748,0.30275207455931946
RHI,0.007645645243808866,0.08743938039469897,0.06637857955679496,0.05491298661537534
VTR,0.1111952643928129,0.3334595393639428,0.29372622287189637,0.28633923208338585
NOC,0.07059887475374924,0.265704487643226,0.23434567457089497,0.20808969219917114
CE,0.004405071635806176,0.06637071369064955,0.051503524571441264,0.05095274222456437
EQIX,0.1186150868731812,0.3444054106328488,0.3107095589784895,0.2622558084727225
TFC,0.02245637532255641,0.14985451385445955,0.11990699723931374,0.11638258888138549
MTD,0.009180399230934819,0.09581439991428647,0.06885563645462041,0.06435471673147204
DE,0.059310216435711875,0.2435368892708287,0.20671517379448434,0.21445999295572263
